# material: PETG
# geometry: Cross
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Nikoo
# start_time: 2025-09-23 11:41:38
# notes: None
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.95,488.76,402.09
1.42,2.00,4.93,420.33,403.18
1.62,1.99,4.93,400.78,402.24
1.82,1.99,4.94,391.01,401.70
2.02,2.00,4.94,391.01,402.63
2.22,1.98,4.94,410.56,400.76
2.42,2.00,4.95,361.68,402.09
2.62,1.98,4.93,371.46,401.30
2.82,2.00,4.94,410.56,402.63
3.02,1.99,4.94,342.13,401.70
3.22,1.99,4.93,381.23,402.24
3.42,1.99,4.93,361.68,402.24
3.62,2.00,4.94,371.46,402.63
3.82,1.99,4.94,351.91,401.70
4.02,2.00,4.94,381.23,402.63
4.22,2.00,4.94,420.33,402.63
4.42,1.98,4.93,371.46,401.30
4.62,2.00,4.94,371.46,402.63
4.82,2.00,4.93,420.33,403.18
5.02,2.00,4.93,400.78,403.18
5.22,1.98,4.93,381.23,401.30
5.42,1.99,4.94,371.46,401.70
5.62,1.99,4.94,371.46,401.70
5.82,2.00,4.94,400.78,402.63
6.02,1.98,4.93,391.01,401.30
6.22,1.99,4.94,391.01,401.70
6.42,1.99,4.94,381.23,401.70
6.62,1.99,4.94,351.91,401.70
6.82,2.00,4.94,391.01,402.63
7.02,1.99,4.95,400.78,401.15
7.22,2.00,4.91,400.78,403.73
7.42,1.98,4.93,332.36,401.30
7.62,2.00,4.94,371.46,402.63
7.82,2.00,4.93,391.01,403.18
8.02,1.99,4.94,351.91,401.70
8.22,1.99,4.94,371.46,401.70
8.42,2.00,4.94,371.46,402.63
8.62,1.99,4.94,381.23,401.70
8.82,1.99,4.94,371.46,401.70
9.02,1.98,4.93,351.91,401.30
9.22,1.99,4.94,371.46,401.70
9.42,2.00,4.94,420.33,402.63
9.62,2.00,4.94,351.91,402.63
9.82,1.99,4.94,361.68,401.70
10.02,2.00,4.94,361.68,402.63
10.22,2.00,4.94,351.91,402.63
10.42,1.98,4.93,332.36,401.30
10.62,2.00,4.93,361.68,403.18
10.82,2.00,4.94,391.01,402.63
11.02,1.99,4.94,420.33,401.70
11.22,1.99,4.91,371.46,402.79
11.42,2.00,4.94,322.58,402.63
11.62,1.99,4.94,303.03,401.70
11.82,1.98,4.94,322.58,400.76
12.02,1.99,4.94,381.23,401.70
12.22,1.99,4.94,312.81,401.70
