# material: PETG
# geometry: Cross
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Nikoo
# start_time: 2025-09-22 14:49:19
# notes: None
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.08,5.01,351.91,407.30
1.42,2.08,5.01,371.46,407.30
1.62,2.08,5.01,361.68,407.30
1.82,2.09,5.01,361.68,408.21
2.02,2.08,5.02,371.46,406.75
2.22,2.08,5.01,391.01,407.30
2.42,2.08,5.01,381.23,407.30
2.62,2.08,4.99,391.01,407.85
2.82,2.08,5.01,361.68,407.30
3.02,2.08,4.99,391.01,407.85
3.22,2.07,5.01,371.46,406.39
3.42,2.09,5.01,381.23,408.21
3.62,2.08,5.01,381.23,407.30
3.82,2.09,5.01,430.11,408.21
4.02,2.09,5.01,420.33,408.21
4.22,2.07,5.02,391.01,405.84
4.42,2.09,5.01,371.46,408.21
4.62,2.08,5.01,361.68,407.30
4.82,2.08,5.01,371.46,407.30
5.02,2.09,5.01,371.46,408.21
5.22,2.07,5.01,351.91,406.39
5.42,2.09,5.01,342.13,408.21
5.62,2.09,5.01,381.23,408.21
5.82,2.07,4.99,381.23,406.93
6.02,2.09,5.01,391.01,408.21
6.22,2.08,5.01,391.01,407.30
6.42,2.08,5.02,420.33,406.75
6.62,2.08,5.01,430.11,407.30
6.82,2.07,5.01,430.11,406.39
7.02,2.09,5.01,488.76,408.21
7.22,2.08,5.01,498.53,407.30
7.42,2.09,5.01,449.66,408.21
7.62,2.08,5.01,449.66,407.30
7.82,2.08,5.01,449.66,407.30
8.02,2.08,5.02,439.88,406.75
8.22,2.08,5.01,391.01,407.30
8.42,2.08,5.01,391.01,407.30
8.62,2.08,5.02,400.78,406.75
8.82,2.08,5.01,381.23,407.30
9.02,2.09,5.01,400.78,408.21
9.22,2.08,5.01,400.78,407.30
9.42,2.08,5.01,361.68,407.30
9.62,2.08,5.01,391.01,407.30
9.82,2.08,5.01,361.68,407.30
10.02,2.08,5.01,400.78,407.30
10.22,2.08,5.02,351.91,406.75
10.42,2.09,5.01,361.68,408.21
10.62,2.08,5.01,381.23,407.30
10.82,2.07,4.99,381.23,406.93
11.02,2.08,5.01,381.23,407.30
11.22,2.08,5.01,342.13,407.30
11.42,2.07,5.01,391.01,406.39
11.62,2.07,5.01,381.23,406.39
11.82,2.08,5.01,361.68,407.30
12.02,2.07,5.01,371.46,406.39
12.22,2.08,5.01,400.78,407.30
12.42,2.07,5.01,361.68,406.39
12.62,2.08,5.02,351.91,406.75
12.82,2.08,5.01,381.23,407.30
13.02,2.08,5.01,371.46,407.30
13.22,2.09,5.01,400.78,408.21
13.42,2.07,5.01,371.46,406.39
13.62,2.09,5.01,371.46,408.21
13.82,2.08,5.01,400.78,407.30
14.02,2.09,5.01,361.68,408.21
14.22,2.08,5.01,371.46,407.30
14.42,2.07,4.99,381.23,406.93
14.62,2.08,5.01,400.78,407.30
14.82,2.09,5.01,371.46,408.21
15.02,2.07,5.01,410.56,406.39
15.22,2.08,5.01,391.01,407.30
15.42,2.08,5.01,342.13,407.30
15.62,2.07,5.01,410.56,406.39
15.82,2.08,5.01,420.33,407.30
16.02,2.08,5.01,391.01,407.30
16.22,2.08,5.01,400.78,407.30
16.42,2.08,5.01,391.01,407.30
16.62,2.09,5.01,420.33,408.21
16.82,2.09,5.01,400.78,408.21
17.02,2.07,5.01,400.78,406.39
17.22,2.08,5.01,400.78,407.30
17.42,2.08,5.01,381.23,407.30
17.62,2.09,5.01,371.46,408.21
17.82,2.08,5.01,361.68,407.30
18.02,2.08,4.99,391.01,407.85
18.22,2.09,5.01,371.46,408.21
18.42,2.08,5.01,391.01,407.30
18.62,2.08,4.99,391.01,407.85
18.82,2.08,5.01,420.33,407.30
19.02,2.08,5.01,381.23,407.30
19.22,2.08,5.01,391.01,407.30
19.42,2.09,5.01,410.56,408.21
19.62,2.07,5.01,381.23,406.39
19.82,2.08,5.02,391.01,406.75
20.02,2.08,4.99,361.68,407.85
20.22,2.09,5.01,361.68,408.21
20.42,2.09,5.01,361.68,408.21
20.62,2.07,4.99,381.23,406.93
20.82,2.08,5.01,342.13,407.30
21.02,2.08,5.01,381.23,407.30
21.22,2.08,5.01,351.91,407.30
21.42,2.08,5.01,351.91,407.30
21.62,2.08,5.01,351.91,407.30
21.82,2.07,5.01,351.91,406.39
22.02,2.08,5.01,351.91,407.30
22.22,2.08,4.99,361.68,407.85
22.42,2.09,4.99,371.46,408.76
22.62,2.09,5.01,322.58,408.21
22.82,2.08,5.01,332.36,407.30
23.02,2.09,5.01,351.91,408.21
23.22,2.08,5.01,332.36,407.30
23.42,2.08,5.01,332.36,407.30
23.62,2.08,5.01,381.23,407.30
23.82,2.07,5.01,322.58,406.39
24.02,2.09,5.01,351.91,408.21
24.22,2.08,5.02,342.13,406.75
24.42,2.08,5.01,361.68,407.30
24.62,2.08,5.01,381.23,407.30
24.82,2.07,5.01,342.13,406.39
25.02,2.09,5.01,371.46,408.21
25.22,2.08,5.01,342.13,407.30
25.42,2.09,5.01,351.91,408.21
25.62,2.08,5.01,351.91,407.30
25.82,2.07,5.01,332.36,406.39
26.02,2.08,5.01,322.58,407.30
26.22,2.09,5.01,342.13,408.21
26.42,2.07,5.01,312.81,406.39
26.62,2.08,5.01,361.68,407.30
26.82,2.07,5.01,312.81,406.39
27.02,2.08,5.01,322.58,407.30
27.22,2.08,5.01,332.36,407.30
27.42,2.08,5.01,332.36,407.30
27.62,2.09,5.01,371.46,408.21
27.82,2.07,5.01,322.58,406.39
28.02,2.08,5.01,322.58,407.30
28.22,2.08,5.01,342.13,407.30
28.42,2.08,4.99,351.91,407.85
