# material: PETG
# geometry: Hex
# preform_diameter: 20.0
# material_color: Black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 1
# operator: no
# start_time: 2025-09-09 16:09:53
# notes: no
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,4.02,5.01,0.00,566.90
1.42,4.02,4.99,0.00,567.66
1.62,4.02,5.01,0.00,566.90
1.82,4.02,4.99,0.00,567.66
2.02,4.02,5.01,0.00,566.90
2.22,4.02,5.01,0.00,566.90
2.42,4.03,5.01,0.00,567.55
2.62,4.02,4.99,0.00,567.66
2.82,4.02,5.01,0.00,566.90
3.02,4.02,4.99,0.00,567.66
3.22,4.03,5.01,0.00,567.55
3.42,4.02,5.01,0.00,566.90
3.62,4.02,5.01,0.00,566.90
3.82,4.03,4.99,0.00,568.31
4.02,4.02,4.99,0.00,567.66
4.22,4.03,4.99,0.00,568.31
4.42,4.02,5.01,0.00,566.90
4.62,4.02,4.99,0.00,567.66
4.82,4.03,4.99,0.00,568.31
5.02,4.02,4.99,0.00,567.66
5.22,4.03,5.01,0.00,567.55
5.42,4.02,4.99,0.00,567.66
5.62,4.03,5.01,0.00,567.55
5.82,4.02,4.99,0.00,567.66
6.02,4.02,4.99,0.00,567.66
6.22,4.03,4.99,0.00,568.31
6.42,4.02,4.99,0.00,567.66
6.62,4.03,5.01,0.00,567.55
6.82,4.02,5.01,0.00,566.90
7.02,4.02,5.01,0.00,566.90
7.22,4.02,5.01,0.00,566.90
7.42,4.03,5.01,0.00,567.55
7.62,4.03,5.01,0.00,567.55
7.82,4.02,4.99,0.00,567.66
8.02,4.03,5.02,0.00,566.79
8.22,4.02,4.99,0.00,567.66
8.42,4.03,5.01,0.00,567.55
8.62,4.03,4.99,0.00,568.31
8.82,4.02,5.01,0.00,566.90
9.02,4.03,5.01,0.00,567.55
9.22,4.03,5.01,0.00,567.55
9.42,4.02,5.01,0.00,566.90
9.62,4.02,4.99,0.00,567.66
9.82,4.03,5.01,0.00,567.55
10.02,4.02,4.99,0.00,567.66
10.22,4.02,5.01,0.00,566.90
