# material: PETG
# geometry: circle
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 1
# operator: Nikoo
# start_time: 2025-09-09 15:44:58
# notes: none
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.00,4.98,0.00,401.00
1.42,2.01,4.99,0.00,401.39
1.62,2.00,5.01,0.00,399.93
1.82,2.00,4.99,0.00,400.46
2.02,1.99,5.01,0.00,399.00
2.22,2.00,5.01,0.00,399.93
2.42,2.01,5.01,0.00,400.86
2.62,2.00,4.99,0.00,400.46
2.82,2.00,5.01,0.00,399.93
3.02,1.99,4.99,0.00,399.53
3.22,2.01,4.99,0.00,401.39
3.42,2.00,5.01,0.00,399.93
3.62,2.00,4.99,0.00,400.46
3.82,1.99,5.01,0.00,399.00
4.02,2.00,4.99,0.00,400.46
4.22,2.00,5.01,0.00,399.93
4.42,2.00,5.01,0.00,399.93
4.62,2.01,4.99,0.00,401.39
4.82,2.00,4.99,0.00,400.46
5.02,2.00,4.99,0.00,400.46
5.22,2.00,4.99,0.00,400.46
5.42,2.00,5.01,0.00,399.93
5.62,2.01,4.99,0.00,401.39
5.82,2.00,5.01,0.00,399.93
6.02,2.00,5.01,0.00,399.93
6.22,2.00,4.99,0.00,400.46
6.42,1.99,4.99,0.00,399.53
6.62,2.01,5.01,0.00,400.86
6.82,1.99,4.99,0.00,399.53
7.02,2.00,5.01,0.00,399.93
7.22,2.01,4.99,0.00,401.39
7.42,2.00,5.01,0.00,399.93
7.62,1.99,4.99,0.00,399.53
7.82,2.00,5.01,0.00,399.93
8.02,2.00,4.99,0.00,400.46
8.22,2.00,5.01,0.00,399.93
8.42,1.99,4.99,0.00,399.53
8.62,2.00,5.01,0.00,399.93
8.82,2.00,4.99,0.00,400.46
9.02,2.00,5.01,0.00,399.93
9.22,1.99,4.99,0.00,399.53
9.42,2.01,5.01,0.00,400.86
9.62,1.99,5.01,0.00,399.00
9.82,2.00,5.01,0.00,399.93
10.02,1.99,4.98,0.00,400.07
10.22,2.00,5.01,0.00,399.93
10.42,1.99,4.99,0.00,399.53
10.62,2.01,5.01,0.00,400.86
10.82,1.99,4.99,0.00,399.53
11.02,1.99,5.01,0.00,399.00
11.22,1.99,4.99,0.00,399.53
11.42,2.00,5.01,0.00,399.93
11.62,2.00,4.99,0.00,400.46
11.82,2.00,5.01,0.00,399.93
12.02,1.99,4.99,0.00,399.53
12.22,2.00,5.01,0.00,399.93
12.42,1.99,5.01,0.00,399.00
12.62,2.01,5.01,9.78,400.86
12.82,2.00,5.01,0.00,399.93
13.02,2.00,5.01,0.00,399.93
13.22,1.99,4.99,0.00,399.53
13.42,2.00,4.99,0.00,400.46
13.62,1.99,4.99,0.00,399.53
13.82,2.00,5.01,9.78,399.93
14.02,1.99,4.99,0.00,399.53
14.22,2.00,5.01,0.00,399.93
14.42,2.00,4.99,0.00,400.46
14.62,2.00,4.97,0.00,401.55
14.82,1.99,5.01,0.00,399.00
15.02,2.00,4.99,0.00,400.46
15.22,1.99,5.01,0.00,399.00
15.42,2.00,5.01,0.00,399.93
15.62,2.00,4.98,0.00,401.00
15.82,1.99,4.99,0.00,399.53
16.02,2.00,4.99,0.00,400.46
16.22,2.00,4.97,0.00,401.55
16.42,2.01,5.01,0.00,400.86
16.62,2.00,5.01,0.00,399.93
16.82,1.99,5.01,0.00,399.00
17.02,1.99,5.01,0.00,399.00
17.22,2.00,5.01,0.00,399.93
17.42,1.99,4.99,0.00,399.53
17.62,2.00,5.01,0.00,399.93
