# material: PETG
# geometry: hex
# preform_diameter: 20.0
# material_color: B
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 1
# operator: Nikoo
# start_time: 2025-09-09 16:37:46
# notes: None
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,3.49,4.34,371.46,567.58
1.42,3.49,4.35,391.01,566.71
1.62,3.49,4.35,391.01,566.71
1.82,3.48,4.34,361.68,566.83
2.02,3.48,4.35,371.46,565.95
2.22,3.49,4.34,351.91,567.58
2.42,3.48,4.34,322.58,566.83
2.62,3.49,4.35,351.91,566.71
2.82,3.49,4.34,312.81,567.58
3.02,3.48,4.34,312.81,566.83
3.22,3.49,4.35,322.58,566.71
3.42,3.49,4.35,332.36,566.71
3.62,3.48,4.34,332.36,566.83
3.82,3.49,4.36,322.58,565.84
4.02,3.49,4.35,342.13,566.71
4.22,3.48,4.35,342.13,565.95
4.42,3.49,4.35,361.68,566.71
4.62,3.48,4.34,361.68,566.83
4.82,3.48,4.35,361.68,565.95
5.02,3.48,4.34,351.91,566.83
5.22,3.48,4.35,332.36,565.95
5.42,3.49,4.35,332.36,566.71
5.62,3.48,4.35,312.81,565.95
5.82,3.49,4.36,342.13,565.84
6.02,3.48,4.34,342.13,566.83
6.22,3.49,4.35,391.01,566.71
6.42,3.48,4.34,381.23,566.83
6.62,3.48,4.35,391.01,565.95
6.82,3.49,4.35,361.68,566.71
7.02,3.48,4.35,332.36,565.95
7.22,3.49,4.35,361.68,566.71
7.42,3.48,4.35,342.13,565.95
7.62,3.49,4.35,351.91,566.71
7.82,3.48,4.34,381.23,566.83
8.02,3.49,4.34,361.68,567.58
8.22,3.48,4.35,342.13,565.95
8.42,3.49,4.35,351.91,566.71
8.62,3.49,4.35,351.91,566.71
8.82,3.48,4.35,342.13,565.95
9.02,3.49,4.35,361.68,566.71
9.22,3.48,4.34,361.68,566.83
9.42,3.49,4.35,400.78,566.71
9.62,3.48,4.34,410.56,566.83
9.82,3.49,4.34,400.78,567.58
10.02,3.48,4.34,391.01,566.83
10.22,3.48,4.36,351.91,565.08
10.42,3.48,4.34,342.13,566.83
10.62,3.49,4.35,312.81,566.71
10.82,3.49,4.35,322.58,566.71
11.02,3.48,4.34,342.13,566.83
11.22,3.49,4.35,351.91,566.71
11.42,3.48,4.34,391.01,566.83
11.62,3.49,4.35,381.23,566.71
11.82,3.49,4.35,361.68,566.71
12.02,3.48,4.35,332.36,565.95
12.22,3.49,4.34,371.46,567.58
12.42,3.48,4.34,322.58,566.83
12.62,3.48,4.35,342.13,565.95
12.82,3.48,4.34,332.36,566.83
13.02,3.49,4.35,342.13,566.71
13.22,3.48,4.34,371.46,566.83
13.42,3.49,4.35,361.68,566.71
13.62,3.48,4.34,361.68,566.83
13.82,3.49,4.35,342.13,566.71
14.02,3.48,4.34,342.13,566.83
14.22,3.48,4.34,332.36,566.83
14.42,3.49,4.35,351.91,566.71
14.62,3.48,4.35,371.46,565.95
14.82,3.49,4.35,371.46,566.71
15.02,3.49,4.34,391.01,567.58
15.22,3.49,4.35,361.68,566.71
15.42,3.49,4.35,332.36,566.71
15.62,3.48,4.35,332.36,565.95
15.82,3.49,4.34,361.68,567.58
16.02,3.48,4.34,342.13,566.83
16.22,3.49,4.35,351.91,566.71
16.42,3.48,4.34,351.91,566.83
16.62,3.49,4.35,332.36,566.71
16.82,3.49,4.32,332.36,568.47
17.02,3.49,4.34,351.91,567.58
17.22,3.48,4.35,361.68,565.95
17.42,3.48,4.35,332.36,565.95
17.62,3.49,4.34,381.23,567.58
17.82,3.48,4.35,361.68,565.95
18.02,3.48,4.31,361.68,568.59
18.22,3.49,4.35,391.01,566.71
18.42,3.49,4.34,400.78,567.58
18.62,3.49,4.34,381.23,567.58
18.82,3.48,4.35,361.68,565.95
19.02,3.49,4.35,381.23,566.71
19.22,3.48,4.35,400.78,565.95
19.42,3.48,4.34,420.33,566.83
19.62,3.48,4.34,420.33,566.83
19.82,3.49,4.35,410.56,566.71
20.02,3.49,4.35,371.46,566.71
20.22,3.49,4.35,342.13,566.71
20.42,3.49,4.34,332.36,567.58
20.62,3.48,4.35,293.26,565.95
20.82,3.49,4.35,312.81,566.71
21.02,3.49,4.34,322.58,567.58
21.22,3.49,4.34,322.58,567.58
21.42,3.48,4.34,342.13,566.83
21.62,3.48,4.35,342.13,565.95
21.82,3.48,4.34,332.36,566.83
22.02,3.48,4.35,342.13,565.95
22.22,3.49,4.34,361.68,567.58
22.42,3.48,4.35,391.01,565.95
22.62,3.49,4.31,420.33,569.35
22.82,3.48,4.35,400.78,565.95
23.02,3.49,4.35,439.88,566.71
23.22,3.48,4.35,430.11,565.95
23.42,3.48,4.35,439.88,565.95
23.62,3.48,4.34,459.43,566.83
23.82,3.48,4.34,459.43,566.83
24.02,3.48,4.34,459.43,566.83
24.22,3.48,4.35,459.43,565.95
24.42,3.49,4.35,459.43,566.71
24.62,3.49,4.35,488.76,566.71
24.82,3.48,4.34,439.88,566.83
25.02,3.49,4.35,420.33,566.71
25.22,3.49,4.34,430.11,567.58
25.42,3.48,4.34,410.56,566.83
25.62,3.49,4.34,430.11,567.58
25.82,3.48,4.34,430.11,566.83
26.02,3.49,4.35,410.56,566.71
26.22,3.48,4.35,410.56,565.95
26.42,3.48,4.35,400.78,565.95
