=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.08 16:54:19 =~=~=~=~=~=~=~=~=~=~=~=					
"time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)"			AM Clear PETG		Stock Clear PETG
3.2	2	4.86	293.26	386.43	371.46
3.4	2	4.86	283.48	386.43	361.68
3.6	2	4.86	293.26	386.43	361.68
3.8	2	4.86	312.81	386.43	351.91
4	2	4.86	303.03	386.43	332.36
4.2	1.99	4.86	303.03	385.53	342.13
4.4	2	4.86	303.03	386.43	351.91
4.6	2.01	4.86	303.03	387.33	332.36
4.8	2	4.86	312.81	386.43	361.68
5	1.99	4.86	332.36	385.53	381.23
5.2	1.99	4.86	322.58	385.53	381.23
5.4	2	4.86	312.81	386.43	381.23
5.6	2	4.86	332.36	386.43	400.78
5.8	2	4.86	303.03	386.43	430.11
6	2	4.86	303.03	386.43	449.66
6.2	1.99	4.86	322.58	385.53	459.43
6.4	2	4.76	332.36	390.8	459.43
6.6	2	4.76	312.81	390.8	449.66
6.8	2	4.76	332.36	390.8	449.66
7	2	4.76	303.03	390.8	478.98
7.2	1.99	4.76	293.26	389.89	459.43
7.4	2	4.76	263.93	390.8	469.21
7.6	2	4.76	224.83	390.8	459.43
7.8	1.99	4.76	244.38	389.89	449.66
8	2	4.76	234.6	390.8	459.43
8.2	1.99	4.76	234.6	389.89	449.66
8.4	2	4.76	234.6	390.8	478.98
8.6	2.01	4.76	215.05	391.7	459.43
8.8	2	4.76	224.83	390.8	449.66
9	2	4.76	215.05	390.8	439.88
9.2	2	4.76	175.95	390.8	410.56
9.4	2	4.76	185.73	390.8	400.78
9.6	1.99	4.65	185.73	394.39	391.01
9.8	2	4.65	166.18	395.31	391.01
10	1.99	4.65	175.95	394.39	391.01
10.2	2	4.65	185.73	395.31	371.46
10.4	2.01	4.65	166.18	396.23	381.23
10.6	1.99	4.65	166.18	394.39	351.91
10.8	2	4.65	175.95	395.31	351.91
11	2	4.65	185.73	395.31	351.91
11.2	1.99	4.65	185.73	394.39	361.68
11.4	1.99	4.65	166.18	394.39	351.91
11.6	1.99	4.65	175.95	394.39	351.91
11.8	2	4.65	166.18	395.31	351.91
12	2	4.54	175.95	399.99	351.91
12.2	1.99	4.54	175.95	399.06	342.13
12.4	1.99	4.54	156.4	399.06	342.13
12.6	2	4.54	185.73	399.99	332.36
12.8	2	4.54	175.95	399.99	332.36
13	2.01	4.54	166.18	400.92	351.91
13.2	2	4.54	175.95	399.99	361.68
13.4	2	4.54	175.95	399.99	361.68
13.6	1.99	4.54	185.73	399.06	361.68
13.8	1.99	4.54	195.5	399.06	351.91
14	2	4.43	195.5	404.84	361.68
14.2	2	4.43	205.28	404.84	351.91
