Time (sec),Feed (mm/min),Draw (m/min),Output Dia,Predicted Dia
5.8,2,4.97,371.46,382.21
6,2,4.97,361.68,382.21
6.2,1.99,4.97,361.68,381.32
6.4,1.99,4.97,351.91,381.32
6.6,2,4.97,332.36,382.21
6.8,2,4.97,342.13,382.21
7,2,4.86,351.91,386.43
7.2,2,4.86,332.36,386.43
7.4,2,4.86,361.68,386.43
7.6,1.99,4.86,381.23,385.53
7.8,2,4.86,381.23,386.43
8,2,4.86,381.23,386.43
8.2,2,4.86,400.78,386.43
8.4,1.99,4.86,430.11,385.53
8.6,1.99,4.86,449.66,385.53
8.8,1.99,4.97,459.43,381.32
9,1.99,4.97,459.43,381.32
9.2,2,4.97,449.66,382.21
9.4,2,4.97,449.66,382.21
9.6,2,4.97,478.98,382.21
9.8,1.99,4.97,459.43,381.32
10,2,4.97,469.21,382.21
10.2,2,4.97,459.43,382.21
10.4,1.99,4.97,449.66,381.32
10.6,1.99,4.97,459.43,381.32
10.8,1.99,4.97,449.66,381.32
11,1.99,4.97,478.98,381.32
11.2,2,4.97,459.43,382.21
11.4,2,4.97,449.66,382.21
11.6,2,4.97,439.88,382.21
11.8,2,4.97,410.56,382.21
12,2,4.97,400.78,382.21
12.2,2,4.97,391.01,382.21
12.4,1.99,4.97,391.01,381.32
12.6,2,4.97,391.01,382.21
12.8,2,4.97,371.46,382.21
13,1.99,4.97,381.23,381.32
13.2,1.99,4.97,351.91,381.32
13.4,1.99,4.97,351.91,381.32
13.6,1.99,4.97,351.91,381.32
13.8,2,4.97,361.68,382.21
14,1.99,4.97,351.91,381.32
14.2,2,4.97,351.91,382.21
14.4,2,4.97,351.91,382.21
14.6,2,4.97,351.91,382.21
14.8,1.99,4.97,342.13,381.32
15,2,4.97,342.13,382.21
15.2,2,4.97,332.36,382.21
15.4,2,4.97,332.36,382.21
15.6,2,4.97,351.91,382.21
15.8,1.99,4.97,361.68,381.32
16,2,4.97,361.68,382.21
16.2,1.99,4.97,361.68,381.32
16.4,2,4.97,351.91,382.21
16.6,1.99,4.97,361.68,381.32
16.8,2,4.97,351.91,382.21
17,2,4.97,351.91,382.21
17.2,2,4.97,371.46,382.21
17.4,2,4.97,381.23,382.21
17.6,2,4.97,391.01,382.21
17.8,2,4.97,391.01,382.21
18,2,4.97,381.23,382.21
18.2,2,4.97,391.01,382.21
18.4,2,4.97,400.78,382.21
18.6,1.99,4.97,410.56,381.32
18.8,1.99,4.97,400.78,381.32
19,2,4.97,371.46,382.21
19.2,1.99,4.97,361.68,381.32
19.4,2.01,4.97,361.68,383.09
19.6,2,4.97,351.91,382.21
19.8,1.99,4.97,361.68,381.32
20,2,4.97,361.68,382.21
20.2,1.99,4.97,361.68,381.32
20.4,1.99,4.97,351.91,381.32
20.6,2,4.97,332.36,382.21
20.8,2,4.97,342.13,382.21
21,2,4.97,342.13,382.21
21.2,1.99,4.97,342.13,381.32
21.4,1.99,4.97,361.68,381.32
21.6,2,4.97,361.68,382.21
21.8,2,4.97,361.68,382.21
22,2,4.97,351.91,382.21
22.2,2,4.97,342.13,382.21
22.4,1.99,4.97,342.13,381.32
22.6,1.99,4.97,371.46,381.32
22.8,1.99,4.97,371.46,381.32
23,1.98,4.97,361.68,380.42
23.2,1.99,4.97,361.68,381.32
23.4,1.99,4.97,351.91,381.32
23.6,2,4.97,351.91,382.21
23.8,1.99,4.97,351.91,381.32
24,2,4.97,361.68,382.21
24.2,2,4.97,381.23,382.21
24.4,2,4.97,400.78,382.21
24.6,2,4.97,400.78,382.21
24.8,2,4.97,391.01,382.21
25,1.99,4.97,391.01,381.32
25.2,2,4.97,391.01,382.21
25.4,2,4.97,381.23,382.21
25.6,1.99,4.97,361.68,381.32
25.8,2,4.97,361.68,382.21
26,2,4.97,332.36,382.21
26.2,2,4.97,342.13,382.21
26.4,2,4.97,361.68,382.21
26.6,2,4.97,361.68,382.21
26.8,2.01,4.97,361.68,383.09
27,2,4.97,371.46,382.21
27.2,1.99,4.97,361.68,381.32
27.4,2,4.97,351.91,382.21
27.6,2,4.97,351.91,382.21
27.8,2,4.97,351.91,382.21
28,1.99,4.97,351.91,381.32
28.2,1.99,4.97,351.91,381.32
28.4,1.99,4.97,342.13,381.32
28.6,1.99,4.97,351.91,381.32
28.8,1.99,4.97,332.36,381.32
29,2,4.97,342.13,382.21
29.2,2,4.97,342.13,382.21
29.4,1.99,4.97,351.91,381.32
29.6,2,4.97,332.36,382.21
29.8,1.99,4.97,371.46,381.32
30,1.99,4.97,371.46,381.32
30.2,1.99,4.97,381.23,381.32
30.4,2,4.86,361.68,386.43
30.6,2,4.86,371.46,386.43
30.8,2,4.86,371.46,386.43
31,2,4.86,361.68,386.43
31.2,1.99,4.86,361.68,385.53
31.4,2,4.86,361.68,386.43
31.6,2,4.86,351.91,386.43
31.8,2,4.86,332.36,386.43
32,2,4.86,332.36,386.43
32.2,2,4.86,332.36,386.43
32.4,2,4.86,332.36,386.43
32.6,2,4.86,342.13,386.43
32.8,1.99,4.86,361.68,385.53
33,2,4.86,351.91,386.43
33.2,2,4.86,342.13,386.43
33.4,2,4.86,351.91,386.43
33.6,2,4.86,332.36,386.43
33.8,1.99,4.86,332.36,385.53
34,1.99,4.86,351.91,385.53
34.2,2,4.86,342.13,386.43
34.4,2,4.86,342.13,386.43
34.6,2,4.86,332.36,386.43
34.8,2.01,4.86,342.13,387.33
35,2,4.86,351.91,386.43
35.2,1.99,4.86,371.46,385.53
35.4,1.99,4.86,371.46,385.53
35.6,2,4.86,361.68,386.43
35.8,2,4.86,351.91,386.43
36,2,4.86,371.46,386.43
36.2,2,4.86,351.91,386.43
36.4,1.99,4.86,381.23,385.53
36.6,1.99,4.86,381.23,385.53
36.8,2,4.86,381.23,386.43
37,2,4.86,371.46,386.43
37.2,2,4.86,351.91,386.43
37.4,2.01,4.86,342.13,387.33
37.6,2,4.86,342.13,386.43
37.8,1.99,4.86,342.13,385.53
38,1.99,4.86,342.13,385.53
38.2,2,4.86,351.91,386.43
38.4,2,4.86,332.36,386.43
38.6,2,4.86,351.91,386.43
38.8,2,4.86,342.13,386.43
39,1.99,4.86,342.13,385.53
39.2,1.99,4.86,361.68,385.53
39.4,2,4.86,351.91,386.43
39.6,1.99,4.86,342.13,385.53
39.8,2,4.86,342.13,386.43
40,1.99,4.86,342.13,385.53
40.2,2,4.86,332.36,386.43
40.4,1.99,4.86,351.91,385.53
40.6,1.99,4.86,351.91,385.53
40.8,2,4.86,332.36,386.43
41,2,4.86,351.91,386.43
41.2,2,4.86,361.68,386.43
41.4,2,4.86,361.68,386.43
41.6,2,4.86,351.91,386.43
41.8,1.99,4.86,371.46,385.53
42,2,4.86,381.23,386.43
42.2,2,4.86,381.23,386.43
42.4,2,4.76,371.46,390.8
42.6,2,4.76,361.68,390.8
42.8,2,4.76,332.36,390.8
43,1.99,4.76,322.58,389.89
43.2,2,4.76,322.58,390.8
43.4,1.99,4.76,342.13,389.89
43.6,2,4.76,342.13,390.8
43.8,2.01,4.76,342.13,391.7
44,1.99,4.76,332.36,389.89
44.2,2,4.76,342.13,390.8
44.4,2,4.76,332.36,390.8
44.6,1.98,4.76,351.91,388.97
44.8,1.99,4.76,361.68,389.89
45,1.99,4.76,342.13,389.89
45.2,1.99,4.76,361.68,389.89
45.4,2,4.76,332.36,390.8
45.6,2,4.76,332.36,390.8
45.8,2,4.76,332.36,390.8
46,2,4.76,312.81,390.8
46.2,1.99,4.76,332.36,389.89
46.4,2,4.76,322.58,390.8
46.6,1.99,4.76,312.81,389.89
46.8,1.99,4.76,332.36,389.89
47,2,4.76,322.58,390.8
47.2,2,4.76,342.13,390.8
47.4,2,4.76,322.58,390.8
47.6,1.99,4.76,342.13,389.89
47.8,1.99,4.76,351.91,389.89
48,2,4.76,342.13,390.8
48.2,2,4.76,332.36,390.8
48.4,2,4.76,332.36,390.8
48.6,2,4.76,342.13,390.8
48.8,2,4.76,351.91,390.8
49,2,4.76,351.91,390.8
49.2,1.99,4.76,351.91,389.89
49.4,2,4.76,332.36,390.8
49.6,2,4.76,332.36,390.8
49.8,2,4.76,332.36,390.8
50,2,4.76,322.58,390.8
50.2,2,4.76,342.13,390.8
50.4,2,4.76,322.58,390.8
50.6,2,4.76,351.91,390.8
50.8,1.99,4.76,342.13,389.89
51,2,4.76,371.46,390.8
51.2,2,4.76,361.68,390.8
51.4,2,4.65,351.91,395.31
51.6,2,4.65,351.91,395.31
51.8,2,4.65,351.91,395.31
52,1.99,4.65,342.13,394.39
52.2,1.99,4.65,322.58,394.39
52.4,2,4.65,322.58,395.31
52.6,1.99,4.65,312.81,394.39
52.8,1.99,4.65,342.13,394.39
53,1.99,4.65,332.36,394.39
53.2,1.99,4.65,312.81,394.39
53.4,1.99,4.65,322.58,394.39
53.6,2,4.65,322.58,395.31
53.8,2,4.65,312.81,395.31
54,2,4.65,312.81,395.31
54.2,2,4.65,312.81,395.31
54.4,1.99,4.65,332.36,394.39
54.6,2,4.65,332.36,395.31
54.8,1.99,4.65,322.58,394.39
55,2,4.65,312.81,395.31
55.2,2,4.65,312.81,395.31
55.4,2,4.65,322.58,395.31
55.6,2,4.65,312.81,395.31
55.8,1.99,4.65,312.81,394.39
56,1.99,4.65,303.03,394.39
56.2,2,4.65,303.03,395.31
56.4,2,4.65,303.03,395.31
56.6,2,4.65,303.03,395.31
56.8,2,4.65,293.26,395.31
57,2,4.65,312.81,395.31
57.2,1.99,4.65,322.58,394.39
57.4,1.99,4.65,342.13,394.39
57.6,2,4.65,332.36,395.31
57.8,2,4.65,332.36,395.31
58,2,4.54,342.13,399.99
58.2,1.99,4.54,342.13,399.06
58.4,1.99,4.54,312.81,399.06
58.6,1.99,4.54,322.58,399.06
58.8,1.99,4.54,332.36,399.06
59,1.99,4.54,332.36,399.06
