=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.16 13:10:09 =~=~=~=~=~=~=~=~=~=~=~=
17461,0.99,2.50,0
18657,0.98,2.52,830.89,393.67
18659,0.99,2.55,830.89,393.45
18661,0.98,2.50,869.99,395.78
72
18655,0.99,2.51,869.99,396.60
18657,0.98,2.52,830.89,393.67
18659,0.99,2.55,830.89,393.45
18661,0.98,2.50,869.99,395.78
Adafruit DS3502 Test
Couldn't find DS3502 chip
Found DS3502 chip
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
2,0.98,2.51,899.32,394.72
4,0.98,2.55,948.19,391.59
6,0.99,2.48,928.64,398.73
8,0.99,2.48,997.07,398.73
10,0.99,2.51,957.97,396.60
12,0.98,2.48,918.87,396.85
14,0.97,2.47,928.64,396.03
16,0.98,2.48,918.87,396.85
18,0.98,2.42,938.42,402.32
20,1.00,2.50,967.74,399.53
22,0.99,2.47,977.52,399.82
24,1.00,2.55,1026.39,395.30
26,1.00,2.51,1065.49,398.46
28,1.00,2.52,1163.25,397.40
30,1.00,2.51,1173.02,398.46
32,1.00,2.51,1251.22,398.46
34,0.99,2.52,1573.80,395.54
36,0.98,2.50,1837.73,395.78
38,0.96,2.50,1339.20,391.99
40,0.98,2.51,1202.35,394.72
42,1.00,2.48,1124.14,400.61
44,0.98,2.44,1192.57,400.11
46,0.99,2.54,1104.59,394.49
48,0.99,2.51,1016.62,396.60
50,0.97,2.47,987.29,396.03
52,1.00,2.52,987.29,397.40
54,1.00,2.48,967.74,400.61
56,1.01,2.52,938.42,399.25
58,0.98,2.52,957.97,393.67
60,0.99,2.47,957.97,399.82
62,1.00,2.52,957.97,397.40
64,1.00,2.51,957.97,398.46
66,0.98,2.50,957.97,395.78
68,0.99,2.46,1006.84,400.91
70,1.00,2.48,938.42,400.61
72,0.99,2.39,918.87,406.50
74,0.99,2.46,899.32,400.91
76,0.97,2.47,879.77,396.03
78,0.98,2.50,889.54,395.78
80,1.00,2.46,909.09,402.79
82,1.01,2.50,909.09,401.39
84,1.00,2.52,889.54,397.40
86,1.00,2.50,869.99,399.53
88,1.01,2.46,879.77,404.67
90,0.99,2.43,899.32,403.12
92,1.01,2.54,918.87,398.20
94,1.00,2.50,899.32,399.53
96,1.00,2.55,918.87,395.30
98,0.98,2.52,869.99,393.67
100,0.98,2.50,821.11,395.78
102,0.96,2.46,821.11,395.19
104,0.99,2.48,811.34,398.73
106,0.99,2.51,782.01,396.60
108,0.98,2.54,791.79,392.63
110,0.98,2.50,782.01,395.78
112,0.98,2.51,821.11,394.72
114,0.99,2.50,791.79,397.66
116,0.98,2.48,801.56,396.85
118,0.99,2.51,782.01,396.60
120,0.97,2.51,742.91,392.84
122,1.00,2.50,752.69,399.53
124,0.99,2.52,752.69,395.54
126,0.98,2.51,723.36,394.72
128,1.00,2.58,742.91,393.24
130,0.99,2.51,742.91,396.60
132,1.00,2.47,801.56,401.70
134,0.99,2.58,752.69,391.40
136,0.99,2.51,742.91,396.60
138,0.97,2.50,772.24,393.89
140,0.98,2.51,840.66,394.72
142,1.00,2.51,879.77,398.46
144,1.00,2.51,938.42,398.46
146,1.00,2.51,948.19,398.46
148,0.99,2.55,1212.12,393.45
150,0.99,2.51,1124.14,396.60
152,0.99,2.51,987.29,396.60
154,1.01,2.50,1026.39,401.39
156,0.99,2.52,879.77,395.54
158,1.00,2.59,889.54,392.22
160,1.00,2.55,860.21,395.30
162,1.00,2.54,840.66,396.35
164,1.01,2.51,860.21,400.32
166,0.98,2.42,879.77,402.32
168,0.99,2.51,821.11,396.60
170,0.98,2.51,860.21,394.72
172,0.98,2.52,860.21,393.67
174,0.98,2.46,918.87,399.01
176,0.99,2.50,860.21,397.66
178,0.99,2.50,821.11,397.66
180,1.00,2.52,791.79,397.40
182,0.99,2.51,801.56,396.60
184,0.99,2.50,791.79,397.66
186,1.01,2.50,801.56,401.39
188,1.00,2.44,782.01,403.90
190,1.00,2.50,811.34,399.53
192,0.99,2.56,782.01,392.42
194,0.99,2.50,801.56,397.66
196,1.00,2.44,821.11,403.90
198,1.00,2.51,830.89,398.46
200,0.98,2.51,840.66,394.72
202,1.00,2.52,879.77,397.40
204,1.00,2.51,811.34,398.46
206,1.00,2.47,782.01,401.70
208,0.99,2.48,772.24,398.73
210,0.99,2.52,821.11,395.54
212,0.98,2.48,801.56,396.85
214,0.99,2.50,791.79,397.66
216,1.01,2.52,762.46,399.25
218,1.01,2.48,772.24,402.48
220,0.98,2.42,752.69,402.32
222,0.99,2.50,782.01,397.66
224,0.99,2.54,772.24,394.49
226,1.00,2.50,782.01,399.53
228,0.99,2.51,821.11,396.60
230,1.00,2.47,821.11,401.70
232,1.00,2.47,772.24,401.70
234,1.02,2.51,801.56,404.01
236,1.00,2.55,772.24,395.30
238,0.99,2.51,801.56,396.60
240,0.99,2.51,782.01,396.60
242,0.99,2.47,752.69,399.82
244,0.98,2.48,742.91,396.85
246,0.98,2.51,742.91,394.72
248,0.98,2.44,733.14,400.11
250,0.98,2.48,742.91,396.85
252,0.98,2.50,762.46,395.78
254,0.99,2.52,733.14,395.54
256,0.99,2.48,713.59,398.73
258,0.99,2.55,723.36,393.45
260,1.00,2.43,713.59,405.01
262,0.99,2.51,664.71,396.60
264,1.00,2.52,664.71,397.40
266,0.98,2.51,664.71,394.72
268,1.00,2.54,684.26,396.35
270,0.97,2.50,654.94,393.89
272,0.99,2.51,713.59,396.60
274,0.99,2.52,742.91,395.54
276,0.99,2.52,752.69,395.54
278,0.99,2.48,723.36,398.73
280,0.97,2.46,703.81,397.11
282,0.98,2.50,713.59,395.78
284,0.99,2.50,723.36,397.66
286,0.99,2.51,733.14,396.60
288,1.00,2.48,664.71,400.61
290,1.00,2.52,635.39,397.40
292,0.99,2.48,635.39,398.73
294,0.99,2.48,654.94,398.73
296,0.99,2.50,635.39,397.66
298,0.99,2.44,635.39,402.01
300,0.99,2.52,615.84,395.54
302,0.99,2.54,635.39,394.49
304,1.00,2.52,625.61,397.40
306,1.00,2.55,625.61,395.30
308,0.99,2.51,635.39,396.60
310,1.00,2.52,635.39,397.40
312,0.99,2.56,645.16,392.42
314,0.99,2.50,635.39,397.66
316,0.98,2.50,664.71,395.78
318,0.98,2.46,625.61,399.01
320,0.98,2.44,664.71,400.11
322,0.99,2.50,606.06,397.66
324,0.99,2.51,606.06,396.60
326,0.99,2.51,625.61,396.60
328,1.01,2.54,625.61,398.20
330,1.01,2.48,654.94,402.48
332,0.99,2.54,615.84,394.49
334,0.98,2.44,606.06,400.11
336,1.01,2.54,596.29,398.20
338,0.99,2.51,606.06,396.60
340,1.00,2.51,615.84,398.46
342,1.00,2.51,576.74,398.46
344,1.00,2.47,566.96,401.70
346,0.99,2.42,566.96,404.23
348,1.00,2.54,566.96,396.35
350,1.00,2.48,557.18,400.61
352,1.01,2.51,576.74,400.32
354,0.99,2.48,576.74,398.73
356,1.00,2.51,596.29,398.46
358,0.99,2.51,586.51,396.60
360,0.98,2.50,615.84,395.78
362,0.99,2.47,557.18,399.82
364,0.98,2.50,557.18,395.78
366,0.97,2.50,557.18,393.89
368,0.99,2.50,557.18,397.66
370,0.99,2.52,557.18,395.54
372,0.99,2.51,576.74,396.60
374,1.01,2.51,615.84,400.32
376,0.99,2.50,566.96,397.66
378,1.00,2.50,596.29,399.53
380,1.01,2.50,566.96,401.39
382,0.99,2.54,566.96,394.49
384,0.99,2.51,566.96,396.60
386,0.99,2.51,566.96,396.60
388,0.99,2.44,576.74,402.01
390,0.99,2.44,537.63,402.01
392,0.97,2.50,547.41,393.89
394,0.99,2.48,537.63,398.73
396,1.01,2.48,557.18,402.48
398,0.98,2.50,576.74,395.78
400,0.98,2.55,566.96,391.59
402,0.97,2.47,537.63,396.03
404,0.99,2.47,557.18,399.82
406,1.00,2.51,566.96,398.46
408,0.98,2.47,527.86,397.93
410,0.99,2.52,537.63,395.54
412,0.99,2.52,527.86,395.54
414,1.00,2.51,566.96,398.46
416,1.00,2.48,615.84,400.61
418,1.00,2.50,762.46,399.53
420,0.99,2.50,625.61,397.66
422,1.00,2.52,625.61,397.40
424,0.99,2.54,645.16,394.49
426,0.98,2.51,596.29,394.72
428,0.99,2.46,596.29,400.91
430,0.99,2.51,557.18,396.60
432,1.01,2.51,576.74,400.32
434,1.00,2.52,576.74,397.40
436,1.00,2.47,557.18,401.70
438,1.00,2.50,586.51,399.53
440,0.99,2.48,606.06,398.73
442,1.00,2.47,586.51,401.70
444,0.99,2.55,576.74,393.45
446,1.01,2.54,596.29,400.04
448,0.99,2.52,576.74,395.54
450,0.99,2.51,566.96,396.60
452,1.00,2.48,566.96,400.61
454,1.01,2.50,576.74,401.39
456,1.01,2.51,547.41,400.32
458,1.00,2.52,557.18,397.40
460,0.99,2.50,557.18,397.66
462,0.98,2.51,557.18,394.72
464,0.98,2.48,615.84,396.85
466,0.99,2.51,615.84,396.60
468,0.99,2.50,566.96,397.66
470,1.00,2.51,576.74,398.46
472,0.99,2.51,576.74,396.60
474,0.99,2.58,537.63,391.40
476,0.98,2.50,527.86,395.78
478,0.99,2.50,518.08,397.66
480,1.01,2.50,547.41,401.39
482,1.00,2.52,527.86,397.40
484,1.01,2.59,527.86,394.05
486,0.99,2.50,547.41,397.66
488,1.00,2.56,547.41,394.27
490,1.01,2.54,537.63,400.04
492,1.00,2.51,557.18,398.46
494,0.98,2.50,606.06,395.78
496,0.99,2.51,557.18,396.60
498,0.99,2.48,508.31,398.73
500,0.99,2.59,547.41,390.38
502,0.99,2.47,547.41,399.82
504,0.98,2.55,537.63,391.59
506,1.00,2.50,557.18,399.53
508,1.00,2.50,527.86,399.53
510,0.98,2.58,547.41,389.55
512,0.99,2.51,557.18,396.60
514,1.01,2.50,576.74,401.39
516,0.99,2.48,625.61,398.73
518,1.00,2.47,557.18,401.70
520,1.00,2.51,518.08,398.46
522,1.00,2.59,547.41,392.22
524,0.97,2.50,615.84,393.89
526,0.98,2.50,557.18,395.78
528,0.99,2.50,537.63,397.66
530,0.99,2.50,547.41,397.66
532,0.99,2.48,557.18,398.73
534,0.99,2.51,537.63,396.60
536,0.99,2.52,537.63,395.54
538,0.99,2.51,537.63,396.60
540,1.00,2.50,527.86,399.53
542,0.99,2.52,527.86,395.54
544,0.98,2.51,547.41,394.72
546,1.00,2.54,547.41,396.35
548,1.01,2.51,566.96,400.32
550,1.01,2.51,557.18,400.32
552,0.99,2.54,527.86,394.49
554,0.99,2.48,527.86,398.73
556,1.00,2.50,527.86,399.53
558,1.00,2.51,527.86,398.46
560,0.98,2.42,518.08,402.32
562,0.99,2.50,518.08,397.66
564,0.98,2.47,518.08,397.93
566,0.99,2.50,518.08,397.66
568,1.01,2.60,537.63,393.03
570,0.99,2.51,508.31,396.60
572,1.00,2.60,508.31,391.21
574,0.98,2.54,498.53,392.63
576,1.00,2.47,498.53,401.70
578,0.99,2.50,508.31,397.66
580,1.00,2.52,488.76,397.40
582,0.99,2.54,498.53,394.49
584,0.99,2.50,498.53,397.66
586,0.99,2.51,498.53,396.60
588,0.99,2.51,518.08,396.60
590,1.00,2.50,488.76,399.53
592,0.99,2.48,478.98,398.73
594,0.99,2.50,488.76,397.66
596,1.01,2.50,498.53,401.39
598,1.00,2.56,586.51,394.27
600,1.00,2.48,547.41,400.61
602,0.99,2.47,488.76,399.82
604,0.99,2.44,498.53,402.01
606,1.01,2.50,498.53,401.39
608,0.98,2.48,498.53,396.85
610,0.99,2.48,488.76,398.73
612,0.99,2.47,498.53,399.82
614,0.98,2.43,488.76,401.21
616,1.00,2.48,498.53,400.61
618,1.00,2.52,478.98,397.40
620,1.01,2.50,537.63,401.39
622,1.01,2.51,625.61,400.32
624,0.99,2.43,547.41,403.12
626,1.00,2.46,498.53,402.79
628,1.00,2.48,478.98,400.61
