"Time (Y, M, D, T, min, sec)","Time < 1s","OUT1"
1/13/2025 1:39:14 PM,0.9717500,0.38230
1/13/2025 1:39:15 PM,0.0342500,0.37839
1/13/2025 1:39:15 PM,0.0967500,0.37518
1/13/2025 1:39:15 PM,0.1592500,0.37178
1/13/2025 1:39:15 PM,0.2217500,0.36797
1/13/2025 1:39:15 PM,0.2842500,0.36627
1/13/2025 1:39:15 PM,0.3467500,0.36395
1/13/2025 1:39:15 PM,0.4092500,0.36012
1/13/2025 1:39:15 PM,0.4717500,0.35884
1/13/2025 1:39:15 PM,0.5342500,0.35820
1/13/2025 1:39:15 PM,0.5967500,0.35863
1/13/2025 1:39:15 PM,0.6592500,0.35902
1/13/2025 1:39:15 PM,0.7217500,0.35543
1/13/2025 1:39:15 PM,0.7842500,0.35188
1/13/2025 1:39:15 PM,0.8467500,0.35426
1/13/2025 1:39:15 PM,0.9092500,0.35902
1/13/2025 1:39:15 PM,0.9717500,0.35584
1/13/2025 1:39:16 PM,0.0342500,0.35124
1/13/2025 1:39:16 PM,0.0967500,0.34715
1/13/2025 1:39:16 PM,0.1592500,0.34089
1/13/2025 1:39:16 PM,0.2217500,0.33930
1/13/2025 1:39:16 PM,0.2842500,0.33791
1/13/2025 1:39:16 PM,0.3467500,0.33563
1/13/2025 1:39:16 PM,0.4092500,0.33485
1/13/2025 1:39:16 PM,0.4717500,0.33379
1/13/2025 1:39:16 PM,0.5342500,0.33134
1/13/2025 1:39:16 PM,0.5967500,0.33178
1/13/2025 1:39:16 PM,0.6592500,0.33532
1/13/2025 1:39:16 PM,0.7217500,0.33637
1/13/2025 1:39:16 PM,0.7842500,0.33602
1/13/2025 1:39:16 PM,0.8467500,0.33804
1/13/2025 1:39:16 PM,0.9092500,0.34283
1/13/2025 1:39:16 PM,0.9717500,0.35582
1/13/2025 1:39:17 PM,0.0342500,0.36254
1/13/2025 1:39:17 PM,0.0967500,0.35820
1/13/2025 1:39:17 PM,0.1592500,0.35544
1/13/2025 1:39:17 PM,0.2217500,0.35866
1/13/2025 1:39:17 PM,0.2842500,0.36560
1/13/2025 1:39:17 PM,0.3467500,0.37661
1/13/2025 1:39:17 PM,0.4092500,0.38120
1/13/2025 1:39:17 PM,0.4717500,0.38347
1/13/2025 1:39:17 PM,0.5342500,0.39509
1/13/2025 1:39:17 PM,0.5967500,0.40759
1/13/2025 1:39:17 PM,0.6592500,0.42607
1/13/2025 1:39:17 PM,0.7217500,0.44644
1/13/2025 1:39:17 PM,0.7842500,0.46473
1/13/2025 1:39:17 PM,0.8467500,0.48553
1/13/2025 1:39:17 PM,0.9092500,0.53434
1/13/2025 1:39:17 PM,0.9717500,0.60690
1/13/2025 1:39:18 PM,0.0342500,0.65433
1/13/2025 1:39:18 PM,0.0967500,0.65684
1/13/2025 1:39:18 PM,0.1592500,0.65555
1/13/2025 1:39:18 PM,0.2217500,0.66563
1/13/2025 1:39:18 PM,0.2842500,0.68814
1/13/2025 1:39:18 PM,0.3467500,0.69051
1/13/2025 1:39:18 PM,0.4092500,0.67932
1/13/2025 1:39:18 PM,0.4717500,0.73652
1/13/2025 1:39:18 PM,0.5342500,0.79169
1/13/2025 1:39:18 PM,0.5967500,0.75317
1/13/2025 1:39:18 PM,0.6592500,0.67600
1/13/2025 1:39:18 PM,0.7217500,0.62415
1/13/2025 1:39:18 PM,0.7842500,0.59710
1/13/2025 1:39:18 PM,0.8467500,0.57095
1/13/2025 1:39:18 PM,0.9092500,0.55508
1/13/2025 1:39:18 PM,0.9717500,0.55984
1/13/2025 1:39:19 PM,0.0342500,0.55658
1/13/2025 1:39:19 PM,0.0967500,0.54176
1/13/2025 1:39:19 PM,0.1592500,0.52714
1/13/2025 1:39:19 PM,0.2217500,0.54065
1/13/2025 1:39:19 PM,0.2842500,0.53893
1/13/2025 1:39:19 PM,0.3467500,0.51407
1/13/2025 1:39:19 PM,0.4092500,0.48746
1/13/2025 1:39:19 PM,0.4717500,0.46283
1/13/2025 1:39:19 PM,0.5342500,0.45559
1/13/2025 1:39:19 PM,0.5967500,0.45759
1/13/2025 1:39:19 PM,0.6592500,0.46613
1/13/2025 1:39:19 PM,0.7217500,0.47801
1/13/2025 1:39:19 PM,0.7842500,0.48193
1/13/2025 1:39:19 PM,0.8467500,0.47925
1/13/2025 1:39:19 PM,0.9092500,0.47885
1/13/2025 1:39:19 PM,0.9717500,0.47983
1/13/2025 1:39:20 PM,0.0342500,0.47854
1/13/2025 1:39:20 PM,0.0967500,0.46750
1/13/2025 1:39:20 PM,0.1592500,0.45585
1/13/2025 1:39:20 PM,0.2217500,0.45036
1/13/2025 1:39:20 PM,0.2842500,0.45317
1/13/2025 1:39:20 PM,0.3467500,0.45450
1/13/2025 1:39:20 PM,0.4092500,0.46327
1/13/2025 1:39:20 PM,0.4717500,0.46202
1/13/2025 1:39:20 PM,0.5342500,0.44446
1/13/2025 1:39:20 PM,0.5967500,0.43532
1/13/2025 1:39:20 PM,0.6592500,0.43141
1/13/2025 1:39:20 PM,0.7217500,0.43077
1/13/2025 1:39:20 PM,0.7842500,0.43367
1/13/2025 1:39:20 PM,0.8467500,0.43775
1/13/2025 1:39:20 PM,0.9092500,0.44234
1/13/2025 1:39:20 PM,0.9717500,0.44385
1/13/2025 1:39:21 PM,0.0342500,0.44640
1/13/2025 1:39:21 PM,0.0967500,0.45068
1/13/2025 1:39:21 PM,0.1592500,0.45386
1/13/2025 1:39:21 PM,0.2217500,0.46378
1/13/2025 1:39:21 PM,0.2842500,0.48524
1/13/2025 1:39:21 PM,0.3467500,0.50030
1/13/2025 1:39:21 PM,0.4092500,0.49552
1/13/2025 1:39:21 PM,0.4717500,0.49883
1/13/2025 1:39:21 PM,0.5342500,0.50332
1/13/2025 1:39:21 PM,0.5967500,0.49169
1/13/2025 1:39:21 PM,0.6592500,0.48914
1/13/2025 1:39:21 PM,0.7217500,0.48522
1/13/2025 1:39:21 PM,0.7842500,0.48314
1/13/2025 1:39:21 PM,0.8467500,0.48661
1/13/2025 1:39:21 PM,0.9092500,0.48198
1/13/2025 1:39:21 PM,0.9717500,0.46743
1/13/2025 1:39:22 PM,0.0342500,0.45135
1/13/2025 1:39:22 PM,0.0967500,0.44648
1/13/2025 1:39:22 PM,0.1592500,0.44656
1/13/2025 1:39:22 PM,0.2217500,0.44783
1/13/2025 1:39:22 PM,0.2842500,0.44556
1/13/2025 1:39:22 PM,0.3467500,0.44001
1/13/2025 1:39:22 PM,0.4092500,0.43772
1/13/2025 1:39:22 PM,0.4717500,0.43941
1/13/2025 1:39:22 PM,0.5342500,0.43714
1/13/2025 1:39:22 PM,0.5967500,0.43426
1/13/2025 1:39:22 PM,0.6592500,0.44030
1/13/2025 1:39:22 PM,0.7217500,0.44615
1/13/2025 1:39:22 PM,0.7842500,0.45100
1/13/2025 1:39:22 PM,0.8467500,0.44818
1/13/2025 1:39:22 PM,0.9092500,0.44243
1/13/2025 1:39:22 PM,0.9717500,0.45698
1/13/2025 1:39:23 PM,0.0342500,0.47284
1/13/2025 1:39:23 PM,0.0967500,0.46734
1/13/2025 1:39:23 PM,0.1592500,0.46022
1/13/2025 1:39:23 PM,0.2217500,0.47379
1/13/2025 1:39:23 PM,0.2842500,0.47479
1/13/2025 1:39:23 PM,0.3467500,0.45937
1/13/2025 1:39:23 PM,0.4092500,0.45582
1/13/2025 1:39:23 PM,0.4717500,0.46774
1/13/2025 1:39:23 PM,0.5342500,0.47231
1/13/2025 1:39:23 PM,0.5967500,0.47847
1/13/2025 1:39:23 PM,0.6592500,0.47789
1/13/2025 1:39:23 PM,0.7217500,0.46281
1/13/2025 1:39:23 PM,0.7842500,0.45263
1/13/2025 1:39:23 PM,0.8467500,0.45175
1/13/2025 1:39:23 PM,0.9092500,0.46423
1/13/2025 1:39:23 PM,0.9717500,0.46390
1/13/2025 1:39:24 PM,0.0342500,0.45261
1/13/2025 1:39:24 PM,0.0967500,0.45410
1/13/2025 1:39:24 PM,0.1592500,0.46772
1/13/2025 1:39:24 PM,0.2217500,0.47686
1/13/2025 1:39:24 PM,0.2842500,0.46934
1/13/2025 1:39:24 PM,0.3467500,0.45974
1/13/2025 1:39:24 PM,0.4092500,0.45812
1/13/2025 1:39:24 PM,0.4717500,0.46014
1/13/2025 1:39:24 PM,0.5342500,0.45935
1/13/2025 1:39:24 PM,0.5967500,0.45751
1/13/2025 1:39:24 PM,0.6592500,0.45683
1/13/2025 1:39:24 PM,0.7217500,0.45687
1/13/2025 1:39:24 PM,0.7842500,0.45835
1/13/2025 1:39:24 PM,0.8467500,0.46036
1/13/2025 1:39:24 PM,0.9092500,0.46550
1/13/2025 1:39:24 PM,0.9717500,0.47286
1/13/2025 1:39:25 PM,0.0342500,0.46839
