=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.22 17:18:31 =~=~=~=~=~=~=~=~=~=~=~=,,,,
Adafruit DS3502 Test,,,,
Couldn't find DS3502 chip,,,,
Found DS3502 chip,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
0.2,0.94,2.48,381.23,389.22
0.4,0.95,2.46,381.23,393.27
0.6,0.95,2.46,381.23,393.27
0.8,0.94,2.5,400.78,388.17
1,0.94,2.5,371.46,388.17
1.2,0.94,2.51,361.68,387.13
1.4,0.95,2.51,371.46,389.04
1.6,0.94,2.54,391.01,385.08
1.8,0.95,2.51,410.56,389.04
2,0.95,2.44,400.78,394.35
2.2,0.96,2.47,439.88,394.12
2.4,0.96,2.5,439.88,391.99
2.6,0.95,2.48,439.88,391.14
2.8,0.95,2.51,430.11,389.04
3,0.94,2.51,430.11,387.13
3.2,0.96,2.51,449.66,390.94
3.4,0.96,2.5,439.88,391.99
3.6,0.95,2.46,498.53,393.27
3.8,0.96,2.55,459.43,387.84
4,0.96,2.5,469.21,391.99
4.2,0.96,2.48,439.88,393.05
4.4,0.96,2.56,449.66,386.83
4.6,0.94,2.38,449.66,397.91
4.8,0.96,2.48,459.43,393.05
5,0.95,2.5,469.21,390.09
5.2,0.97,2.48,459.43,394.95
5.4,0.96,2.5,459.43,391.99
5.6,0.95,2.51,449.66,389.04
5.8,0.96,2.43,469.21,397.37
6,0.96,2.46,459.43,395.19
6.2,0.94,2.42,498.53,394.58
6.4,0.94,2.48,469.21,389.22
6.6,0.96,2.55,469.21,387.84
6.8,0.96,2.51,488.76,390.94
7,0.95,2.51,488.76,389.04
7.2,0.94,2.59,459.43,381.06
7.4,0.95,2.51,478.98,389.04
7.6,0.97,2.52,498.53,391.79
7.8,0.94,2.42,498.53,394.58
8,0.95,2.47,527.86,392.2
8.2,0.94,2.52,508.31,386.1
8.4,0.96,2.56,537.63,386.83
8.6,0.96,2.5,566.96,391.99
8.8,0.95,2.51,518.08,389.04
9,0.95,2.52,566.96,388
9.2,0.97,2.51,557.18,392.84
9.4,0.94,2.52,557.18,386.1
9.6,0.95,2.51,576.74,389.04
9.8,0.93,2.54,537.63,383.16
10,0.94,2.47,586.51,390.27
10.2,0.96,2.52,576.74,389.9
10.4,0.94,2.5,566.96,388.17
10.6,0.95,2.51,606.06,389.04
10.8,0.96,2.5,586.51,391.99
11,0.95,2.48,625.61,391.14
11.2,0.94,2.51,635.39,387.13
11.4,0.95,2.5,586.51,390.09
11.6,0.95,2.51,615.84,389.04
11.8,0.96,2.51,625.61,390.94
12,0.93,2.48,635.39,387.28
12.2,0.95,2.42,606.06,396.53
12.4,0.95,2.51,615.84,389.04
12.6,0.96,2.5,615.84,391.99
12.8,0.96,2.47,625.61,394.12
13,0.95,2.5,576.74,390.09
13.2,0.97,2.48,576.74,394.95
13.4,0.97,2.5,615.84,393.89
13.6,0.95,2.5,606.06,390.09
13.8,0.95,2.43,625.61,395.44
14,0.96,2.47,645.16,394.12
14.2,0.95,2.5,654.94,390.09
14.4,0.94,2.56,654.94,383.05
14.6,0.95,2.5,645.16,390.09
14.8,0.95,2.51,694.04,389.04
15,0.96,2.54,694.04,388.87
