=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 12:38:57 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit DS3502 Test
Couldn't find DS3502 chip
Found DS3502 chip
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
2,1.01,2.51,518.08,402.17
4,1.02,2.55,566.96,400.81
6,1.03,2.50,488.76,406.93
8,1.01,2.50,469.21,403.25
10,1.02,2.51,449.66,404.01
12,1.01,2.50,469.21,401.39
14,1.01,2.48,449.66,404.34
16,1.01,2.54,478.98,400.04
18,1.01,2.52,498.53,401.10
20,1.02,2.51,596.29,404.01
22,1.01,2.50,547.41,403.25
24,1.02,2.48,488.76,406.19
26,1.01,2.51,547.41,402.17
28,1.04,2.47,537.63,410.98
30,1.01,2.50,557.18,403.25
32,1.01,2.52,537.63,399.25
34,1.03,2.47,576.74,409.14
36,1.01,2.43,566.96,406.90
38,1.01,2.50,537.63,401.39
40,1.01,2.48,645.16,404.34
42,1.01,2.50,566.96,403.25
44,1.01,2.51,518.08,402.17
46,1.01,2.51,518.08,402.17
48,1.01,2.50,498.53,401.39
50,1.01,2.54,488.76,400.04
52,1.01,2.50,498.53,401.39
54,1.01,2.50,537.63,403.25
56,1.01,2.50,498.53,403.25
58,1.01,2.47,566.96,405.43
60,1.01,2.51,654.94,402.17
62,1.02,2.52,879.77,402.93
64,1.01,2.39,694.04,412.21
66,1.01,2.51,615.84,402.17
68,1.01,2.44,596.29,407.66
70,1.01,2.48,527.86,404.34
72,1.02,2.50,547.41,405.09
74,1.02,2.58,586.51,398.71
76,1.02,2.40,625.61,412.94
78,1.01,2.50,566.96,403.25
80,1.01,2.48,566.96,404.34
82,1.01,2.50,606.06,401.39
84,1.01,2.50,635.39,401.39
86,1.01,2.40,635.39,411.06
88,1.00,2.51,703.81,398.46
90,1.02,2.48,664.71,406.19
92,1.01,2.50,625.61,403.25
94,1.01,2.48,586.51,404.34
96,1.01,2.50,576.74,403.25
98,1.01,2.50,596.29,403.25
100,1.02,2.50,566.96,405.09
102,1.01,2.48,449.66,404.34
104,1.01,2.54,439.88,400.04
106,1.01,2.50,420.33,403.25
108,1.01,2.48,410.56,402.48
110,1.01,2.50,410.56,403.25
112,1.01,2.50,420.33,403.25
114,1.01,2.50,430.11,403.25
116,1.01,2.51,400.78,402.17
118,1.01,2.51,410.56,402.17
120,1.01,2.51,420.33,402.17
122,1.01,2.43,400.78,408.78
124,1.02,2.50,351.91,405.09
126,1.04,2.47,371.46,410.98
128,1.04,2.47,391.01,410.98
