=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.16 15:18:27 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
,2.46,606.06,393.27,,
34483,0.96,2.48,537.63,393.05,
34485,0.95,2,2.47,557.18,392.2
34549,0.95,2.5,537.63,390.09,
34551,0.96,2.44,547.41,396.28,
Adafruit DS3502 Test,,,,,
Couldn't find DS3502 chip,,,,,
Found DS3502 chip,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),
2,0.95,2.55,557.18,385.96,
4,0.96,2.46,606.06,395.19,
6,0.96,2.5,596.29,391.99,
8,0.95,2.47,635.39,392.2,
10,0.96,2.48,625.61,393.05,
12,0.96,2.47,606.06,394.12,
14,0.95,2.46,645.16,393.27,
16,0.95,2.47,674.49,392.2,
18,0.97,2.44,723.36,398.2,
20,0.96,2.5,850.44,391.99,
22,0.96,2.46,997.07,395.19,
24,0.96,2.48,948.19,393.05,
26,0.96,2.52,879.77,389.9,
28,0.95,2.39,762.46,398.76,
30,0.96,2.46,713.59,395.19,
32,0.96,2.39,713.59,400.7,
34,0.96,2.44,694.04,396.28,
36,0.95,2.44,684.26,394.35,
38,0.95,2.46,674.49,393.27,
40,0.95,2.42,684.26,396.53,
42,0.95,2.47,684.26,392.2,
44,0.94,2.47,645.16,390.27,
46,0.97,2.44,625.61,398.2,
48,0.95,2.44,606.06,394.35,
50,0.95,2.44,664.71,394.35,
52,0.95,2.51,674.49,389.04,
54,0.95,2.46,654.94,393.27,
56,0.95,2.43,625.61,395.44,
58,0.96,2.43,625.61,397.37,
60,0.94,2.51,645.16,387.13,
62,0.95,2.44,645.16,394.35,
64,0.95,2.52,703.81,388,
66,0.95,2.46,654.94,393.27,
68,0.94,2.46,694.04,391.34,
70,0.94,2.48,752.69,389.22,
72,0.93,2.46,801.56,389.4,
74,0.95,2.35,957.97,402.16,
76,0.94,2.47,987.29,390.27,
78,0.95,2.43,977.52,395.44,
80,0.95,2.46,957.97,393.27,
82,0.96,2.47,977.52,394.12,
84,0.96,2.46,938.42,395.19,
86,0.96,2.47,899.32,394.12,
88,0.96,2.42,752.69,398.47,
90,0.94,2.46,674.49,391.34,
92,0.94,2.5,625.61,388.17,
94,0.98,2.48,625.61,396.85,
96,0.97,2.44,576.74,398.2,
98,0.96,2.48,557.18,393.05,
100,0.96,2.5,518.08,391.99,
102,0.97,2.48,547.41,394.95,
104,0.96,2.43,557.18,397.37,
106,0.96,2.46,596.29,395.19,
108,0.96,2.44,537.63,396.28,
110,0.97,2.48,488.76,394.95,
112,0.97,2.5,478.98,393.89,
114,0.95,2.44,469.21,394.35,
116,0.96,2.46,430.11,395.19,
118,0.94,2.44,469.21,392.41,
120,0.97,2.47,459.43,396.03,
122,0.96,2.44,449.66,396.28,
124,0.96,2.42,459.43,398.47,
126,0.94,2.44,420.33,392.41,
128,0.95,2.5,420.33,390.09,
130,0.95,2.46,439.88,393.27,
132,0.96,2.44,420.33,396.28,
134,0.96,2.46,420.33,395.19,
136,0.96,2.44,410.56,396.28,
138,0.95,2.47,391.01,392.2,
140,0.94,2.35,391.01,400.18,
142,0.95,2.44,381.23,394.35,
144,0.94,2.5,420.33,388.17,
146,0.95,2.46,469.21,393.27,
148,0.94,2.47,459.43,390.27,
150,0.96,2.43,449.66,397.37,
152,0.96,2.46,410.56,395.19,
154,0.92,2.47,420.33,386.39,
156,0.95,2.46,449.66,393.27,
158,0.96,2.5,527.86,391.99,
160,0.95,2.46,478.98,393.27,
162,0.96,2.46,498.53,395.19,
164,0.95,2.47,478.98,392.2,
166,0.95,2.44,478.98,394.35,
168,0.96,2.39,459.43,400.7,
170,0.96,2.44,459.43,396.28,
172,0.95,2.47,518.08,392.2,
174,0.95,2.47,488.76,392.2,
176,0.95,2.44,488.76,394.35,
178,0.96,2.46,518.08,395.19,
180,0.96,2.42,508.31,398.47,
182,0.96,2.5,498.53,391.99,
184,0.95,2.47,576.74,392.2,
186,0.95,2.48,537.63,391.14,
188,0.95,2.47,557.18,392.2,
190,0.95,2.47,596.29,392.2,
192,0.95,2.44,606.06,394.35,
194,0.98,2.48,625.61,396.85,
196,0.96,2.46,674.49,395.19,
198,0.96,2.42,684.26,398.47,
200,0.96,2.46,674.49,395.19,
202,0.96,2.46,664.71,395.19,
204,0.95,2.46,703.81,393.27,
206,0.96,2.43,762.46,397.37,
208,0.95,2.47,713.59,392.2,
