=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.14 16:20:08 =~=~=~=~=~=~=~=~=~=~=~=
Adafruit DS3502 Test
Couldn't find DS3502 chip
Found DS3502 chip
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
2,0.98,2.52,713.59,393.67
4,1.00,2.56,615.84,394.27
6,0.99,2.51,557.18,396.60
8,0.99,2.50,527.86,397.66
10,0.99,2.58,547.41,391.40
12,0.99,2.52,566.96,395.54
14,1.00,2.51,635.39,398.46
16,0.98,2.48,674.49,396.85
18,1.00,2.54,752.69,396.35
20,0.98,2.54,860.21,392.63
22,0.97,2.51,967.74,392.84
24,0.97,2.50,1026.39,393.89
26,1.00,2.52,1075.27,397.40
28,0.99,2.46,1016.62,400.91
30,0.98,2.48,909.09,396.85
32,1.01,2.51,869.99,400.32
34,1.00,2.54,733.14,396.35
36,1.00,2.51,615.84,398.46
38,0.99,2.48,547.41,398.73
40,0.99,2.52,547.41,395.54
42,0.99,2.50,518.08,397.66
44,0.99,2.48,478.98,398.73
46,0.99,2.51,459.43,396.60
48,0.97,2.50,469.21,393.89
50,1.00,2.56,439.88,394.27
52,0.99,2.51,400.78,396.60
54,0.99,2.50,381.23,397.66
56,0.98,2.55,361.68,391.59
58,1.00,2.52,371.46,397.40
60,1.01,2.60,361.68,393.03
62,0.99,2.51,381.23,396.60
64,1.00,2.56,361.68,394.27
66,0.98,2.48,332.36,396.85
68,0.99,2.52,332.36,395.54
70,1.00,2.54,312.81,396.35
72,0.98,2.50,312.81,395.78
74,1.00,2.54,322.58,396.35
76,0.99,2.54,293.26,394.49
78,0.99,2.47,303.03,399.82
80,1.00,2.54,303.03,396.35
82,1.01,2.54,303.03,400.04
84,0.98,2.51,312.81,394.72
86,0.98,2.48,303.03,396.85
88,0.98,2.51,332.36,394.72
90,0.99,2.52,312.81,395.54
92,0.99,2.48,342.13,398.73
94,0.99,2.52,312.81,395.54
96,1.01,2.55,342.13,398.98
98,0.99,2.52,351.91,395.54
100,0.99,2.51,361.68,396.60
102,0.99,2.43,361.68,403.12
104,0.97,2.50,410.56,393.89
106,0.99,2.58,410.56,391.40
108,0.99,2.52,410.56,395.54
110,0.99,2.58,420.33,391.40
112,1.00,2.60,420.33,391.21
114,0.98,2.50,694.04,395.78
116,1.00,2.54,879.77,396.35
118,1.00,2.50,1006.84,399.53
120,0.99,2.50,1026.39,397.66
122,1.00,2.52,997.07,397.40
124,1.00,2.51,977.52,398.46
126,1.00,2.60,899.32,391.21
128,1.00,2.54,801.56,396.35
130,0.97,2.47,762.46,396.03
132,0.96,2.48,694.04,393.05
134,0.99,2.48,703.81,398.73
136,1.01,2.54,596.29,400.04
138,0.98,2.48,576.74,396.85
140,1.00,2.52,498.53,397.40
142,0.98,2.51,459.43,394.72
144,0.98,2.56,410.56,390.57
146,0.99,2.59,420.33,390.38
148,1.00,2.52,420.33,397.40
150,1.00,2.46,430.11,402.79
152,1.00,2.52,439.88,397.40
154,0.99,2.46,439.88,400.91
156,1.00,2.55,478.98,395.30
158,1.00,2.43,459.43,405.01
160,0.99,2.52,508.31,395.54
162,0.98,2.50,488.76,395.78
164,0.99,2.47,488.76,399.82
166,1.00,2.51,508.31,398.46
168,0.98,2.50,557.18,395.78
170,1.01,2.54,625.61,400.04
172,0.99,2.51,772.24,396.60
174,1.00,2.52,860.21,397.40
176,0.99,2.54,909.09,394.49
178,0.99,2.52,1045.94,395.54
180,0.99,2.56,1114.37,392.42
182,1.00,2.52,1026.39,397.40
184,1.00,2.55,840.66,395.30
186,1.01,2.52,723.36,399.25
188,0.97,2.50,596.29,393.89
190,1.00,2.51,557.18,398.46
192,0.98,2.52,498.53,393.67
194,0.98,2.46,508.31,399.01
196,0.99,2.51,459.43,396.60
198,1.00,2.51,430.11,398.46
200,1.00,2.52,381.23,397.40
202,0.99,2.51,371.46,396.60
204,1.00,2.54,400.78,396.35
206,0.98,2.50,342.13,395.78
208,0.99,2.54,283.48,394.49
210,0.99,2.54,322.58,394.49
212,0.99,2.47,303.03,399.82
214,1.01,2.58,293.26,395.07
216,1.00,2.52,283.48,397.40
218,1.00,2.51,263.93,398.46
220,0.99,2.55,283.48,393.45
222,0.98,2.48,303.03,396.85
224,0.99,2.52,332.36,395.54
226,1.00,2.60,283.48,391.21
228,1.01,2.55,244.38,397.15
230,0.99,2.51,342.13,396.60
232,0.98,2.50,312.81,395.78
234,0.99,2.52,254.15,395.54
236,1.01,2.54,234.60,398.20
238,0.99,2.52,205.28,395.54
240,0.99,2.50,234.60,397.66
242,0.98,2.44,244.38,400.11
244,0.99,2.52,215.05,395.54
246,1.00,2.52,224.83,397.40
248,1.00,2.56,224.83,394.27
250,1.00,2.46,205.28,402.79
252,0.99,2.59,303.03,390.38
254,0.99,2.51,312.81,396.60
256,0.99,2.48,342.13,398.73
258,0.99,2.52,263.93,395.54
260,0.97,2.50,263.93,393.89
262,0.99,2.51,273.70,396.60
264,1.00,2.52,283.48,397.40
266,0.99,2.52,391.01,395.54
268,0.99,2.51,351.91,396.60
270,0.99,2.54,312.81,394.49
272,0.97,2.47,263.93,396.03
274,0.98,2.46,254.15,399.01
276,1.00,2.50,273.70,399.53
278,0.98,2.51,293.26,394.72
280,1.00,2.54,293.26,396.35
282,1.00,2.54,371.46,396.35
284,1.00,2.54,557.18,396.35
286,0.99,2.48,518.08,398.73
288,0.98,2.48,439.88,396.85
290,1.01,2.55,420.33,397.15
292,1.00,2.44,400.78,403.90
294,0.99,2.50,430.11,397.66
296,0.97,2.50,391.01,393.89
298,0.98,2.54,381.23,392.63
300,0.99,2.51,400.78,396.60
302,0.99,2.52,400.78,395.54
304,0.98,2.50,430.11,395.78
306,0.98,2.50,439.88,395.78
308,1.00,2.50,469.21,399.53
310,0.99,2.50,518.08,397.66
312,0.99,2.51,527.86,396.60
314,0.99,2.52,547.41,395.54
316,0.99,2.50,557.18,397.66
318,1.00,2.48,576.74,400.61
320,1.01,2.54,586.51,398.20
322,0.99,2.54,606.06,394.49
324,1.01,2.54,596.29,400.04
326,1.01,2.51,606.06,400.32
328,0.99,2.52,576.74,395.54
330,0.99,2.58,566.96,391.40
332,1.00,2.56,518.08,394.27
334,0.99,2.52,518.08,395.54
336,0.99,2.51,557.18,396.60
338,0.99,2.46,498.53,400.91
340,1.01,2.55,459.43,397.15
342,0.99,2.51,439.88,396.60
344,1.00,2.51,400.78,398.46
