=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 10:56:26 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
Adafruit DS3502 Test,,,,,,,,,,,,,
Couldn't find DS3502 chip,,,,,,,,,,,,,
Found DS3502 chip,,,,,,,,,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),,,,,,,,,
46,1,2.5,596.29,399.53,,,,,,,,,
48,1,2.43,566.96,405.01,,,,,,,,,240
50,0.99,2.51,527.86,396.6,,,,,,,,,
52,0.98,2.47,537.63,397.93,,,,,,,,,
54,0.99,2.47,537.63,399.82,,,,,,,,,
56,0.99,2.5,518.08,397.66,,,,,,,,,
58,1,2.55,498.53,395.3,,,,,,,,,
60,0.99,2.48,508.31,398.73,,,,,,,,,
62,1,2.5,527.86,399.53,,,,,,,,,
64,1.01,2.54,449.66,398.2,,,,,,,,,
66,0.99,2.51,449.66,396.6,,,,,,,,,
68,1.01,2.52,439.88,399.25,,,,,,,,,
70,1,2.48,459.43,400.61,,,,,,,,,
72,0.99,2.5,420.33,397.66,,,,,,,,,
74,1,2.56,449.66,394.27,,,,,,,,,
76,1,2.55,469.21,395.3,,,,,,,,,
78,0.99,2.48,449.66,398.73,,,,,,,,,
80,0.99,2.48,439.88,398.73,,,,,,,,,
82,0.99,2.5,449.66,397.66,,,,,,,,,
84,1,2.5,430.11,399.53,,,,,,,,,
86,0.99,2.5,469.21,397.66,,,,,,,,,
88,0.99,2.44,449.66,402.01,,,,,,,,,
90,1.01,2.5,449.66,401.39,,,,,,,,,
92,0.99,2.47,488.76,399.82,,,,,,,,,
94,1.01,2.52,498.53,399.25,,,,,,,,,
96,0.99,2.44,576.74,402.01,,,,,,,,,
98,0.99,2.48,547.41,398.73,,,,,,,,,
100,0.99,2.5,498.53,397.66,,,,,,,,,
102,0.99,2.5,488.76,397.66,,,,,,,,,
104,0.99,2.5,508.31,397.66,,,,,,,,,
106,0.99,2.48,498.53,398.73,,,,,,,,,
108,1.01,2.5,498.53,401.39,,,,,,,,,
110,1.01,2.5,439.88,401.39,,,,,,,,,
112,1.01,2.51,449.66,402.17,,,,,,,,,
114,1,2.51,449.66,398.46,,,,,,,,,
116,0.99,2.51,439.88,396.6,,,,,,,,,
118,0.99,2.5,439.88,397.66,,,,,,,,,
120,1.01,2.51,459.43,402.17,,,,,,,,,
122,0.99,2.5,430.11,397.66,,,,,,,,,
124,1,2.51,420.33,398.46,,,,,,,,,
126,0.98,2.44,430.11,400.11,,,,,,,,,
128,1,2.51,508.31,398.46,,,,,,,,,
130,1,2.51,439.88,398.46,,,,,,,,,
132,1,2.51,459.43,398.46,,,,,,,,,
134,0.99,2.5,527.86,397.66,,,,,,,,,
136,1,2.5,537.63,399.53,,,,,,,,,
