=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 14:08:37 =~=~=~=~=~=~=~=~=~=~=~=,,,,
Adafruit DS3502 Test,,,,
Couldn't find DS3502 chip,,,,
Found DS3502 chip,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um)
2,1,2.5,224.83,399.53
4,1.01,2.51,215.05,400.32
6,0.99,2.43,224.83,403.12
8,1.01,2.47,205.28,405.43
10,0.99,2.5,195.5,397.66
12,1,2.5,215.05,399.53
14,1.01,2.55,215.05,397.15
16,1.01,2.54,215.05,398.2
18,0.99,2.5,224.83,397.66
20,1,2.52,224.83,397.4
22,0.99,2.51,215.05,396.6
24,1.01,2.5,224.83,403.25
26,1.03,2.54,215.05,403.69
28,1.01,2.54,215.05,400.04
30,1.02,2.52,195.5,402.93
32,1,2.48,205.28,400.61
34,1.01,2.43,195.5,406.9
36,1,2.5,175.95,399.53
38,1,2.51,185.73,398.46
40,1.01,2.48,234.6,402.48
42,1.01,2.5,195.5,403.25
44,1.01,2.5,234.6,403.25
46,1.01,2.51,254.15,402.17
48,1.01,2.52,244.38,401.1
50,1.01,2.5,263.93,403.25
52,1.01,2.48,263.93,402.48
54,1.01,2.52,303.03,399.25
56,1.01,2.51,273.7,400.32
58,1,2.47,254.15,401.7
60,1,2.48,244.38,400.61
62,1,2.51,234.6,398.46
64,1,2.52,234.6,397.4
66,1,2.51,273.7,398.46
68,1.01,2.51,273.7,402.17
70,1,2.54,254.15,396.35
72,1.01,2.48,303.03,404.34
74,1.01,2.51,244.38,400.32
76,1,2.47,244.38,401.7
78,1,2.5,263.93,399.53
80,1,2.51,254.15,398.46
82,1,2.5,263.93,399.53
84,1.01,2.42,244.38,408.03
86,1,2.54,254.15,396.35
88,1.01,2.48,224.83,404.34
90,1.01,2.55,224.83,397.15
92,1.01,2.54,224.83,398.2
94,1.01,2.5,224.83,401.39
96,1.01,2.58,205.28,396.9
98,1.01,2.43,205.28,406.9
100,1.01,2.55,215.05,397.15
102,1,2.5,175.95,399.53
104,1.01,2.5,195.5,401.39
106,0.98,2.5,205.28,395.78
108,1.01,2.51,195.5,402.17
110,1.01,2.5,234.6,401.39
112,1.01,2.5,263.93,403.25
114,1.01,2.54,234.6,398.2
116,1.01,2.44,224.83,407.66
118,1.01,2.47,234.6,403.57
120,1.01,2.54,244.38,398.2
122,1.01,2.51,254.15,400.32
124,1.01,2.5,234.6,403.25
126,1,2.4,263.93,407.27
128,1.01,2.4,263.93,411.06
130,1.02,2.48,254.15,406.19
132,1,2.48,293.26,400.61
134,1.01,2.5,293.26,403.25
136,1,2.5,273.7,399.53
138,1.01,2.51,283.48,400.32
140,1.01,2.47,263.93,405.43
142,1.01,2.5,254.15,403.25
144,1.01,2.51,293.26,400.32
146,1.01,2.55,371.46,398.98
148,1.01,2.55,322.58,397.15
150,1.01,2.52,273.7,399.25
152,1,2.43,244.38,405.01
154,1.01,2.5,254.15,401.39
156,0.99,2.47,244.38,399.82
158,1,2.46,263.93,402.79
160,1.01,2.51,283.48,400.32
162,0.99,2.44,283.48,402.01
164,1.01,2.44,293.26,405.78
166,1.01,2.54,283.48,398.2
168,1.01,2.51,263.93,400.32
170,1.01,2.51,303.03,402.17
172,1,2.52,283.48,397.4
174,1.01,2.48,322.58,404.34
176,1.01,2.5,303.03,403.25
178,0.99,2.48,303.03,398.73
180,0.99,2.5,293.26,397.66
182,1,2.55,303.03,395.3
184,1.01,2.48,293.26,402.48
186,0.99,2.47,293.26,399.82
188,1.01,2.51,273.7,400.32
190,1.01,2.54,283.48,398.2
192,1.01,2.48,273.7,404.34
194,1.01,2.5,293.26,401.39
196,1.01,2.47,312.81,405.43
198,1,2.58,312.81,393.24
200,1.01,2.5,322.58,401.39
202,1.01,2.43,351.91,406.9
204,1.01,2.5,351.91,401.39
206,1,2.5,342.13,399.53
208,1,2.51,342.13,398.46
210,0.99,2.56,332.36,392.42
212,1,2.43,312.81,405.01
214,1.01,2.5,312.81,401.39
216,1.01,2.54,303.03,398.2
218,1,2.51,303.03,398.46
220,1.01,2.51,303.03,400.32
222,1.01,2.52,312.81,401.1
224,1.01,2.44,293.26,407.66
226,1.01,2.5,312.81,401.39
228,1.01,2.51,293.26,402.17
230,1,2.5,312.81,399.53
232,1,2.48,342.13,400.61
234,1.01,2.51,332.36,402.17
236,1,2.46,361.68,402.79
238,1,2.5,342.13,399.53
240,1.01,2.43,381.23,406.9
242,1.01,2.51,361.68,402.17
244,1.01,2.48,342.13,404.34
246,1.01,2.5,361.68,401.39
248,1.01,2.51,332.36,402.17
250,1,2.47,312.81,401.7
252,1.01,2.43,312.81,406.9
254,1.01,2.48,332.36,402.48
256,1.01,2.47,312.81,403.57
258,1,2.5,322.58,399.53
260,1.01,2.5,312.81,401.39
262,1,2.51,293.26,398.46
264,1.01,2.51,293.26,400.32
266,1.01,2.52,293.26,399.25
268,1,2.51,303.03,398.46
270,1.02,2.52,303.03,402.93
272,1.01,2.52,293.26,399.25
274,1.01,2.48,293.26,402.48
276,1.01,2.54,293.26,398.2
278,1.01,2.46,293.26,406.54
280,0.99,2.56,322.58,392.42
282,1,2.48,332.36,400.61
284,1.01,2.48,371.46,404.34
286,1,2.51,381.23,398.46
288,1,2.5,391.01,399.53
290,1.01,2.5,400.78,401.39
292,1.01,2.51,371.46,402.17
294,0.99,2.51,371.46,396.6
296,1.01,2.52,371.46,401.1
298,0.99,2.5,361.68,397.66
300,1.01,2.5,351.91,401.39
302,0.99,2.5,361.68,397.66
304,1,2.5,391.01,399.53
306,0.99,2.51,391.01,396.6
308,1.01,2.52,391.01,399.25
310,1.01,2.51,381.23,400.32
312,1.01,2.51,410.56,402.17
314,1.01,2.48,400.78,402.48
316,1,2.48,410.56,400.61
318,1.01,2.43,410.56,406.9
320,1.01,2.44,420.33,405.78
322,1.01,2.5,410.56,401.39
324,1.02,2.5,439.88,405.09
326,1.01,2.5,420.33,403.25
328,1.01,2.56,430.11,396.11
330,1,2.52,420.33,397.4
332,1,2.42,420.33,406.14
334,1.01,2.51,430.11,400.32
336,1.01,2.46,439.88,404.67
338,1.01,2.47,449.66,403.57
340,1.01,2.51,439.88,400.32
342,1.01,2.52,430.11,399.25
344,1.01,2.48,439.88,402.48
346,1.01,2.47,439.88,405.43
348,1,2.5,400.78,399.53
350,0.98,2.52,430.11,393.67
352,1,2.5,430.11,399.53
354,1.01,2.5,391.01,401.39
356,1,2.51,371.46,398.46
358,1.01,2.48,430.11,402.48
360,1.01,2.51,371.46,400.32
362,1,2.47,400.78,401.7
364,1.01,2.51,391.01,402.17
366,1.01,2.52,400.78,399.25
368,1,2.51,410.56,398.46
370,1.01,2.5,400.78,403.25
372,1.01,2.54,420.33,398.2
374,1,2.5,391.01,399.53
376,1,2.43,410.56,405.01
378,1.01,2.51,430.11,400.32
380,1,2.5,439.88,399.53
382,1.01,2.5,439.88,403.25
384,1.01,2.5,410.56,401.39
386,1.01,2.58,430.11,395.07
388,1.01,2.51,400.78,400.32
390,1.02,2.51,420.33,404.01
392,1,2.46,430.11,402.79
394,1.01,2.5,430.11,401.39
396,1.02,2.47,449.66,407.29
398,1.01,2.5,430.11,401.39
400,1.01,2.55,439.88,397.15
402,1.01,2.5,410.56,401.39
404,1,2.42,381.23,406.14
406,1,2.48,381.23,400.61
408,1,2.44,381.23,403.9
410,1.01,2.54,391.01,400.04
412,1.01,2.54,381.23,398.2
414,1.01,2.54,381.23,398.2
416,1.01,2.48,381.23,402.48
418,1.01,2.52,381.23,399.25
420,1.01,2.47,400.78,405.43
422,1.01,2.48,391.01,402.48
424,1,2.52,381.23,397.4
426,1,2.42,342.13,406.14
428,1.01,2.52,391.01,399.25
430,1.01,2.48,391.01,404.34
432,1.01,2.48,400.78,402.48
434,1.01,2.5,420.33,401.39
436,1,2.5,410.56,399.53
438,1.01,2.51,410.56,400.32
440,1.01,2.5,391.01,401.39
442,1,2.5,371.46,399.53
444,1.02,2.47,371.46,407.29
446,0.99,2.5,371.46,397.66
448,1.01,2.5,371.46,401.39
