=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.24 16:29:28 =~=~=~=~=~=~=~=~=~=~=~=,,,,,
Adafruit DS3502 Test,,,,,
Found DS3502 chip,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),
Positive Limit Reached!,,,,,
Please Wait..,,,,,
END OF CARRIAGE RETURN LOOP,,,,,
END OF FOR LOOP FOR MOVING TO STARTING POSITION,,,,,
END OF FOR LOOP FOR MOVING TO STARTING POSITION,,,,,
3,0.61,2.39,381.23,318.32,22
3,0.61,2.38,381.23,319.22,22
3,0.61,2.39,381.23,318.32,22
4,0.61,2.38,361.68,319.22,22
4,0.61,2.38,332.36,319.22,22
4,0.6,2.38,361.68,316.75,22
4,0.6,2.39,351.91,315.86,22
4,0.6,2.38,361.68,316.75,22
5,0.6,2.36,361.68,317.65,22
5,0.61,2.39,351.91,318.32,22
5,0.61,2.38,371.46,319.22,22
5,0.6,2.39,371.46,315.86,22
5,0.61,2.38,381.23,319.22,22
6,0.61,2.39,361.68,320.76,22
6,0.6,2.38,361.68,316.75,22
6,0.6,2.38,361.68,316.75,22
6,0.61,2.38,332.36,319.22,22
6,0.6,2.36,322.58,317.65,22
7,0.6,2.36,342.13,317.65,22
7,0.61,2.38,342.13,319.22,22
7,0.61,2.38,361.68,319.22,22
7,0.61,2.39,342.13,318.32,22
7,0.61,2.38,342.13,319.22,22
8,0.61,2.39,342.13,318.32,22
8,0.61,2.39,381.23,318.32,22
8,0.61,2.39,351.91,318.32,22
8,0.61,2.39,332.36,318.32,22
8,0.6,2.38,342.13,316.75,22
9,0.6,2.36,312.81,317.65,22
9,0.59,2.36,312.81,315.16,22
9,0.6,2.39,342.13,315.86,22
9,0.6,2.39,351.91,315.86,22
9,0.61,2.39,332.36,320.76,22
10,0.61,2.38,351.91,319.22,22
10,0.61,2.39,351.91,320.76,22
10,0.61,2.38,371.46,321.66,22
10,0.61,2.38,400.78,319.22,22
10,0.6,2.38,391.01,316.75,22
11,0.6,2.38,391.01,316.75,22
11,0.61,2.38,381.23,319.22,22
11,0.61,2.38,371.46,321.66,22
11,0.61,2.38,371.46,321.66,22
11,0.6,2.38,371.46,316.75,22
12,0.6,2.38,400.78,316.75,22
12,0.61,2.39,391.01,318.32,22
12,0.61,2.39,400.78,318.32,22
12,0.61,2.39,361.68,318.32,22
12,0.61,2.39,361.68,318.32,22
13,0.61,2.39,391.01,320.76,22
13,0.61,2.38,381.23,319.22,22
13,0.6,2.39,361.68,315.86,22
13,0.61,2.38,351.91,319.22,22
13,0.6,2.38,351.91,316.75,22
14,0.61,2.38,371.46,319.22,22
14,0.6,2.38,351.91,316.75,22
14,0.61,2.39,381.23,318.32,22
14,0.61,2.38,371.46,319.22,22
14,0.61,2.39,381.23,318.32,22
15,0.61,2.39,351.91,318.32,22
15,0.61,2.38,342.13,319.22,22
15,0.61,2.39,342.13,318.32,22
15,0.61,2.38,312.81,319.22,22
15,0.61,2.38,293.26,319.22,22
16,0.6,2.36,322.58,317.65,22
16,0.6,2.36,312.81,317.65,22
16,0.6,2.36,312.81,317.65,22
16,0.61,2.39,312.81,320.76,22
16,0.6,2.39,283.48,315.86,22
17,0.6,2.39,312.81,315.86,22
17,0.61,2.38,322.58,319.22,22
17,0.61,2.39,332.36,318.32,22
17,0.61,2.38,361.68,319.22,22
17,0.61,2.38,342.13,321.66,22
18,0.61,2.38,342.13,319.22,22
18,0.61,2.38,332.36,319.22,22
18,0.6,2.38,312.81,316.75,22
18,0.6,2.36,312.81,317.65,22
18,0.6,2.38,351.91,316.75,22
19,0.6,2.38,312.81,316.75,22
19,0.61,2.39,351.91,318.32,22
19,0.6,2.39,351.91,315.86,22
19,0.61,2.39,312.81,318.32,22
19,0.61,2.39,342.13,318.32,22
20,0.61,2.39,312.81,318.32,22
20,0.61,2.38,322.58,319.22,22
20,0.61,2.38,312.81,319.22,22
20,0.61,2.38,322.58,321.66,22
20,0.6,2.36,322.58,317.65,22
21,0.6,2.36,342.13,317.65,22
21,0.6,2.38,332.36,316.75,22
21,0.61,2.38,312.81,321.66,22
21,0.6,2.39,283.48,315.86,22
21,0.61,2.39,312.81,318.32,22
22,0.61,2.38,312.81,321.66,22
22,0.61,2.39,303.03,320.76,22
22,0.6,2.38,322.58,316.75,22
22,0.6,2.36,312.81,317.65,22
22,0.6,2.38,312.81,316.75,22
23,0.6,2.38,312.81,316.75,22
23,0.6,2.39,351.91,315.86,22
23,0.6,2.38,342.13,316.75,22
23,0.6,2.36,351.91,317.65,22
23,0.61,2.4,351.91,317.43,22
24,0.6,2.39,342.13,315.86,22
24,0.61,2.39,351.91,318.32,22
24,0.61,2.38,342.13,319.22,22
24,0.6,2.39,361.68,315.86,22
24,0.61,2.38,361.68,321.66,22
25,0.61,2.38,381.23,319.22,22
25,0.61,2.36,361.68,322.58,22
25,0.6,2.38,351.91,316.75,22
25,0.6,2.38,342.13,316.75,22
25,0.6,2.36,332.36,317.65,22
26,0.6,2.38,322.58,316.75,22
26,0.61,2.38,332.36,319.22,22
26,0.61,2.39,332.36,318.32,22
26,0.61,2.39,332.36,318.32,22
26,0.61,2.38,342.13,319.22,22
27,0.61,2.38,332.36,319.22,22
27,0.6,2.39,361.68,315.86,22
27,0.6,2.38,332.36,316.75,22
27,0.6,2.38,332.36,316.75,22
27,0.59,2.36,332.36,315.16,22
28,0.6,2.38,322.58,316.75,22
28,0.6,2.38,332.36,316.75,22
28,0.61,2.39,322.58,318.32,22
28,0.61,2.39,332.36,318.32,22
28,0.61,2.38,303.03,321.66,22
29,0.61,2.39,303.03,318.32,22
29,0.61,2.38,312.81,319.22,22
29,0.61,2.38,273.7,319.22,22
29,0.6,2.38,351.91,316.75,22
29,0.61,2.38,342.13,319.22,22
30,0.61,2.36,351.91,322.58,22
30,0.61,2.38,332.36,319.22,22
30,0.6,2.36,332.36,317.65,22
30,0.6,2.36,322.58,317.65,22
30,0.61,2.38,293.26,319.22,22
31,0.61,2.38,303.03,321.66,22
31,0.61,2.39,293.26,318.32,22
31,0.61,2.38,342.13,319.22,22
31,0.61,2.39,342.13,318.32,22
31,0.61,2.39,322.58,318.32,22
32,0.6,2.39,322.58,315.86,22
32,0.6,2.38,303.03,316.75,22
32,0.6,2.36,312.81,317.65,22
32,0.6,2.38,342.13,316.75,22
32,0.6,2.39,332.36,315.86,22
33,0.61,2.38,351.91,319.22,22
33,0.61,2.39,361.68,318.32,22
33,0.61,2.39,371.46,320.76,22
33,0.61,2.38,342.13,319.22,22
33,0.6,2.39,322.58,315.86,22
34,0.61,2.38,303.03,321.66,22
34,0.61,2.36,293.26,320.12,22
34,0.6,2.38,322.58,316.75,22
34,0.61,2.38,332.36,319.22,22
34,0.6,2.39,322.58,315.86,22
35,0.61,2.38,283.48,319.22,22
35,0.61,2.38,322.58,319.22,22
35,0.61,2.4,332.36,319.86,22
35,0.61,2.39,342.13,318.32,22
35,0.61,2.39,361.68,318.32,22
36,0.61,2.38,391.01,319.22,22
36,0.6,2.38,342.13,316.75,22
36,0.6,2.35,322.58,318.56,21
36,0.6,2.38,361.68,316.75,22
36,0.6,2.39,342.13,315.86,22
37,0.6,2.39,371.46,315.86,22
37,0.61,2.39,381.23,318.32,22
37,0.61,2.38,361.68,319.22,22
37,0.61,2.38,351.91,319.22,22
37,0.61,2.36,361.68,320.12,22
38,0.6,2.38,351.91,316.75,22
38,0.6,2.36,381.23,317.65,22
38,0.6,2.38,400.78,316.75,22
38,0.61,2.38,420.33,319.22,22
38,0.61,2.39,400.78,318.32,22
39,0.61,2.39,410.56,320.76,22
39,0.61,2.38,371.46,321.66,22
39,0.61,2.38,381.23,319.22,22
39,0.61,2.39,381.23,318.32,22
39,0.61,2.39,391.01,318.32,22
40,0.6,2.38,381.23,316.75,22
40,0.61,2.38,400.78,319.22,22
40,0.6,2.38,361.68,316.75,22
40,0.6,2.39,381.23,315.86,22
40,0.61,2.38,361.68,319.22,22
41,0.61,2.4,381.23,317.43,22
41,0.61,2.39,410.56,318.32,22
41,0.61,2.39,410.56,320.76,22
41,0.61,2.38,430.11,319.22,22
41,0.61,2.38,391.01,319.22,22
42,0.59,2.36,391.01,315.16,22
42,0.6,2.36,371.46,317.65,22
42,0.6,2.36,391.01,317.65,22
42,0.61,2.38,371.46,319.22,22
42,0.6,2.39,381.23,315.86,22
43,0.6,2.38,420.33,316.75,22
43,0.61,2.39,391.01,318.32,22
43,0.61,2.38,400.78,321.66,22
43,0.6,2.38,351.91,316.75,22
43,0.61,2.38,371.46,319.22,22
44,0.61,2.38,361.68,319.22,22
44,0.6,2.38,361.68,316.75,22
44,0.59,2.39,371.46,313.38,22
44,0.6,2.36,371.46,317.65,22
44,0.6,2.38,371.46,316.75,22
45,0.61,2.39,400.78,318.32,22
45,0.61,2.39,400.78,318.32,22
45,0.61,2.39,400.78,318.32,22
45,0.61,2.38,371.46,319.22,22
45,0.61,2.39,351.91,318.32,22
46,0.61,2.38,351.91,319.22,22
46,0.6,2.38,332.36,316.75,22
46,0.61,2.36,351.91,320.12,22
46,0.61,2.38,342.13,319.22,22
46,0.6,2.39,332.36,315.86,22
47,0.6,2.36,361.68,317.65,22
47,0.6,2.38,381.23,316.75,22
47,0.61,2.38,351.91,319.22,22
47,0.61,2.38,342.13,319.22,22
47,0.61,2.39,342.13,318.32,22
48,0.61,2.39,322.58,320.76,22
48,0.61,2.38,322.58,319.22,22
48,0.61,2.39,312.81,318.32,22
48,0.6,2.38,293.26,316.75,22
48,0.6,2.36,293.26,317.65,22
49,0.6,2.38,283.48,316.75,22
49,0.6,2.4,312.81,314.98,22
49,0.6,2.38,312.81,316.75,22
49,0.6,2.38,283.48,316.75,22
49,0.6,2.38,293.26,316.75,22
50,0.6,2.38,293.26,316.75,22
50,0.61,2.38,303.03,319.22,22
50,0.61,2.4,303.03,319.86,22
50,0.61,2.38,273.7,319.22,22
50,0.63,2.39,283.48,325.58,22
51,0.68,2.38,303.03,338.29,22
51,0.7,2.38,263.93,342.89,22
51,0.75,2.38,283.48,356.35,22
51,0.78,2.39,293.26,361.86,22
51,0.83,2.38,312.81,373.53,22
52,0.86,2.38,361.68,379.77,22
52,0.92,2.39,361.68,392.85,22
52,0.91,2.38,332.36,391.96,22
52,0.94,2.38,381.23,397.91,22
52,0.95,2.38,371.46,399.88,22
53,0.95,2.38,351.91,399.88,22
53,0.97,2.38,332.36,403.78,22
53,0.98,2.38,342.13,405.72,22
53,0.98,2.38,322.58,405.72,22
53,0.99,2.39,342.13,406.5,22
54,1.01,2.39,351.91,410.32,22
54,1.01,2.39,322.58,412.21,22
54,1.02,2.38,322.58,415.27,22
54,1.01,2.38,342.13,413.37,22
54,1.01,2.38,332.36,413.37,22
55,1.01,2.38,342.13,411.47,22
55,1.01,2.38,312.81,413.37,22
55,1.01,2.38,283.48,413.37,22
55,1.01,2.36,303.03,412.64,22
55,1.01,2.38,351.91,411.47,22
56,1.01,2.36,351.91,414.55,22
56,1.01,2.36,371.46,414.55,22
56,1.01,2.39,351.91,412.21,22
56,1.01,2.39,322.58,412.21,22
56,1.01,2.38,361.68,411.47,22
57,1.01,2.39,371.46,412.21,22
57,1.01,2.39,322.58,412.21,22
57,1.01,2.39,303.03,412.21,22
57,1.01,2.38,322.58,411.47,22
57,1.01,2.38,312.81,411.47,22
58,1.01,2.39,332.36,412.21,22
58,1,2.39,312.81,408.41,22
58,1.01,2.38,312.81,411.47,22
58,1,2.36,312.81,410.73,22
58,1,2.38,332.36,409.56,22
59,1.01,2.39,312.81,412.21,22
59,1.01,2.38,312.81,411.47,22
59,1.01,2.38,371.46,411.47,22
59,1.01,2.39,351.91,412.21,22
59,1.02,2.39,332.36,414.1,22
60,1.01,2.39,312.81,412.21,22
60,1.01,2.38,322.58,413.37,22
60,1.01,2.38,342.13,413.37,22
60,1.01,2.38,303.03,413.37,22
60,1.01,2.38,293.26,413.37,22
61,1.01,2.36,312.81,412.64,22
61,1.01,2.38,303.03,411.47,22
61,1.01,2.39,303.03,412.21,22
61,1.01,2.38,293.26,411.47,22
61,1.01,2.38,303.03,413.37,22
62,1,2.36,332.36,410.73,22
62,1.02,2.39,312.81,414.1,22
62,1.01,2.39,283.48,412.21,22
62,1.02,2.39,303.03,414.1,22
62,1.01,2.39,303.03,412.21,22
63,1.01,2.38,332.36,413.37,22
63,1.01,2.39,303.03,412.21,22
63,1.01,2.38,293.26,411.47,22
63,1,2.36,283.48,410.73,22
63,1,2.38,303.03,409.56,22
64,1.01,2.39,303.03,412.21,22
64,1.01,2.39,312.81,410.32,22
64,1.01,2.38,303.03,413.37,22
64,1.01,2.39,303.03,412.21,22
64,1.01,2.38,312.81,413.37,22
65,1.01,2.38,332.36,413.37,22
65,1.01,2.38,342.13,413.37,22
65,1.01,2.38,332.36,413.37,22
65,1.01,2.38,361.68,411.47,22
65,1.01,2.38,332.36,411.47,22
66,1.01,2.38,303.03,413.37,22
66,1.02,2.38,322.58,415.27,22
66,1,2.38,283.48,409.56,22
66,1.01,2.38,303.03,411.47,22
66,1.01,2.38,332.36,411.47,22
67,1.01,2.39,342.13,412.21,22
67,1.01,2.39,351.91,412.21,22
67,1.01,2.38,361.68,413.37,22
67,1.01,2.38,361.68,413.37,22
67,1.01,2.38,371.46,413.37,22
68,1.01,2.39,410.56,410.32,22
68,1.01,2.39,381.23,412.21,22
68,1.01,2.38,391.01,411.47,22
68,1.01,2.36,332.36,412.64,22
68,1,2.36,303.03,410.73,22
69,1.01,2.39,322.58,410.32,22
69,1.01,2.38,332.36,411.47,22
69,1.01,2.38,303.03,411.47,22
69,1.01,2.38,293.26,411.47,22
69,1.01,2.39,371.46,412.21,22
70,1.01,2.4,351.91,411.06,22
70,1.01,2.38,342.13,413.37,22
70,1.01,2.38,312.81,413.37,22
70,1.01,2.39,303.03,412.21,22
70,1.01,2.38,322.58,413.37,22
71,1.01,2.38,293.26,413.37,22
71,1.01,2.38,293.26,413.37,22
71,1.01,2.38,283.48,413.37,22
71,1.01,2.38,332.36,411.47,22
71,1,2.36,342.13,410.73,22
72,1.01,2.38,351.91,411.47,22
72,1.02,2.38,322.58,415.27,22
72,1.01,2.39,351.91,412.21,22
72,1.01,2.39,332.36,410.32,22
72,1.01,2.38,322.58,413.37,22
73,1.01,2.38,293.26,413.37,22
73,1.01,2.39,273.7,412.21,22
73,1.01,2.38,263.93,411.47,22
73,1.01,2.38,283.48,411.47,22
73,1.01,2.36,293.26,414.55,22
74,1,2.38,293.26,409.56,22
74,1.01,2.39,263.93,410.32,22
74,1.01,2.38,263.93,413.37,22
74,1.01,2.36,283.48,412.64,22
74,1.01,2.39,312.81,412.21,22
75,1.01,2.39,322.58,412.21,22
75,1.01,2.38,293.26,411.47,22
75,1.01,2.38,322.58,413.37,22
75,1.01,2.38,312.81,413.37,22
75,1.02,2.38,303.03,415.27,22
76,1.01,2.38,322.58,413.37,22
76,1.01,2.38,322.58,411.47,22
76,1.01,2.38,312.81,413.37,22
76,1.01,2.36,303.03,412.64,22
76,1.01,2.36,254.15,412.64,22
77,1.01,2.36,293.26,414.55,22
77,1.01,2.36,283.48,412.64,22
77,1.01,2.39,322.58,412.21,22
77,1.01,2.39,312.81,412.21,22
77,1.01,2.38,322.58,413.37,22
78,1.01,2.39,312.81,412.21,22
78,1.01,2.39,293.26,412.21,22
78,1.01,2.38,342.13,413.37,22
78,1.01,2.38,293.26,413.37,22
78,1.01,2.38,303.03,411.47,22
79,1.01,2.38,312.81,411.47,22
79,1.01,2.36,322.58,412.64,22
79,1.01,2.36,293.26,412.64,22
79,1.01,2.39,312.81,412.21,22
79,1.01,2.38,283.48,413.37,22
80,1.01,2.38,312.81,411.47,22
80,1.01,2.38,273.7,411.47,22
80,1.01,2.39,283.48,412.21,22
80,1.01,2.39,303.03,412.21,22
80,1.01,2.38,322.58,411.47,22
81,1.02,2.38,332.36,415.27,22
81,1.01,2.38,332.36,413.37,22
81,1.01,2.36,283.48,414.55,22
81,1.01,2.36,273.7,412.64,22
81,1.01,2.36,254.15,412.64,22
82,1.01,2.38,244.38,411.47,22
82,1.02,2.39,244.38,414.1,22
82,1.01,2.38,224.83,411.47,22
82,1.01,2.39,293.26,410.32,22
82,1.01,2.38,293.26,413.37,22
