# material: PETG
# geometry: cross
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Nikoo
# start_time: 2025-08-27 12:34:18
# notes: horizontally printed 0 deg extrusion direction
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,5.02,400.78,400.32
1.42,2.01,5.02,371.46,400.32
1.62,2.00,5.02,391.01,399.39
1.82,2.01,5.02,420.33,400.32
2.02,2.01,5.03,400.78,399.79
2.22,2.00,5.02,381.23,399.39
2.42,2.02,5.02,420.33,401.25
2.62,2.01,5.03,430.11,399.79
2.82,2.00,5.02,420.33,399.39
3.02,2.00,5.02,449.66,399.39
3.22,2.01,5.02,469.21,400.32
3.42,2.02,5.02,469.21,401.25
3.62,2.02,5.03,459.43,400.71
3.82,2.00,5.02,439.88,399.39
4.02,2.01,5.02,439.88,400.32
4.22,2.01,5.02,469.21,400.32
4.42,2.00,5.03,478.98,398.86
4.62,2.01,5.02,488.76,400.32
4.82,2.01,5.03,508.31,399.79
5.02,2.01,5.02,527.86,400.32
5.22,2.01,5.02,498.53,400.32
5.42,2.00,5.02,498.53,399.39
5.62,2.01,5.03,508.31,399.79
5.82,2.01,5.02,518.08,400.32
6.02,2.00,5.03,498.53,398.86
6.22,2.00,5.02,508.31,399.39
6.42,2.01,5.02,527.86,400.32
6.62,2.01,5.03,508.31,399.79
6.82,2.00,5.01,498.53,399.93
7.02,2.01,5.02,498.53,400.32
7.22,2.00,5.02,488.76,399.39
7.42,2.01,5.02,488.76,400.32
7.62,1.99,5.02,488.76,398.46
7.82,2.01,5.02,498.53,400.32
8.02,2.02,5.02,508.31,401.25
8.22,2.00,5.02,508.31,399.39
8.42,2.00,5.02,488.76,399.39
8.62,2.01,5.02,488.76,400.32
8.82,2.01,5.03,498.53,399.79
9.02,2.00,5.02,498.53,399.39
9.22,2.00,5.02,469.21,399.39
9.42,2.00,5.02,488.76,399.39
9.62,2.01,5.02,478.98,400.32
9.82,2.01,5.02,478.98,400.32
10.02,2.01,5.02,469.21,400.32
10.22,2.01,5.02,478.98,400.32
10.42,2.01,5.02,478.98,400.32
10.62,2.01,5.02,488.76,400.32
10.82,2.01,5.02,469.21,400.32
11.02,2.01,5.02,488.76,400.32
11.22,2.01,5.02,498.53,400.32
11.42,2.00,5.02,488.76,399.39
11.62,2.01,5.02,498.53,400.32
11.82,2.01,5.02,498.53,400.32
12.02,2.02,5.02,478.98,401.25
12.22,2.02,5.02,449.66,401.25
12.42,2.00,5.02,459.43,399.39
12.62,2.01,5.02,449.66,400.32
12.82,2.01,5.02,430.11,400.32
13.02,2.01,5.02,439.88,400.32
13.22,2.01,5.02,430.11,400.32
13.42,2.00,5.02,430.11,399.39
13.62,2.02,5.02,439.88,401.25
13.82,2.01,5.02,449.66,400.32
14.02,2.00,5.02,420.33,399.39
14.22,2.01,5.02,439.88,400.32
14.42,2.01,5.02,469.21,400.32
14.62,2.00,5.02,449.66,399.39
14.82,2.02,5.02,459.43,401.25
15.02,2.01,5.02,459.43,400.32
15.22,2.01,5.02,449.66,400.32
15.42,2.00,5.02,430.11,399.39
15.62,2.01,5.02,430.11,400.32
15.82,2.01,5.02,459.43,400.32
16.02,2.02,5.02,469.21,401.25
16.22,2.00,5.02,469.21,399.39
16.42,2.01,5.01,488.76,400.86
16.62,2.01,5.03,508.31,399.79
16.82,2.00,5.02,498.53,399.39
17.02,2.00,5.02,518.08,399.39
17.22,2.01,5.02,537.63,400.32
17.42,2.01,5.02,527.86,400.32
17.62,2.00,5.02,518.08,399.39
17.82,2.01,5.02,537.63,400.32
18.02,2.02,5.01,547.41,401.78
18.22,2.02,5.02,537.63,401.25
18.42,2.01,5.02,547.41,400.32
18.62,2.01,5.02,518.08,400.32
18.82,2.02,5.02,537.63,401.25
19.02,2.02,5.02,547.41,401.25
19.22,2.00,5.02,537.63,399.39
19.42,2.01,5.02,537.63,400.32
19.62,2.01,5.02,518.08,400.32
19.82,2.01,5.02,527.86,400.32
20.02,2.00,5.02,508.31,399.39
20.22,2.01,5.02,488.76,400.32
20.42,2.02,5.03,488.76,400.71
20.62,2.01,5.02,469.21,400.32
