# material: PETG
# geometry: cross
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Kevin Liu
# start_time: 2025-08-27 13:22:27
# notes: Vertically printed
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
3.75,2.00,5.02,166.18,399.39
3.95,2.01,5.02,175.95,400.32
4.15,2.00,5.02,156.40,399.39
4.35,2.02,5.03,185.73,400.71
4.55,2.01,5.02,185.73,400.32
4.75,2.00,5.02,185.73,399.39
4.95,2.00,5.02,166.18,399.39
5.15,2.01,5.02,175.95,400.32
5.35,2.01,5.02,205.28,400.32
5.55,2.01,5.03,185.73,399.79
5.75,1.99,5.03,185.73,397.93
5.95,2.02,5.02,224.83,401.25
6.15,2.01,5.02,195.50,400.32
6.35,2.01,5.02,185.73,400.32
6.55,2.01,4.99,175.95,401.39
6.75,2.02,5.02,175.95,401.25
6.95,2.02,5.02,166.18,401.25
7.15,2.01,5.02,185.73,400.32
7.35,2.01,5.02,185.73,400.32
7.55,2.00,5.03,185.73,398.86
7.75,2.00,5.02,185.73,399.39
7.95,2.01,5.02,205.28,400.32
8.15,2.01,5.02,195.50,400.32
8.35,2.02,5.02,205.28,401.25
8.55,2.02,5.01,195.50,401.78
8.75,2.00,5.03,205.28,398.86
8.95,2.00,5.02,205.28,399.39
9.15,2.01,5.03,215.05,399.79
9.35,2.01,5.02,195.50,400.32
9.55,2.02,5.03,195.50,400.71
9.75,2.01,5.02,195.50,400.32
9.95,2.01,5.02,205.28,400.32
10.15,2.01,5.02,205.28,400.32
10.35,2.01,5.02,215.05,400.32
10.55,2.00,5.02,215.05,399.39
10.75,2.02,5.03,215.05,400.71
10.95,2.01,5.02,215.05,400.32
11.15,2.00,5.02,205.28,399.39
11.35,2.01,5.03,205.28,399.79
11.55,2.01,5.02,215.05,400.32
11.75,2.01,5.02,205.28,400.32
11.95,2.02,5.02,195.50,401.25
12.15,2.01,5.02,195.50,400.32
12.35,2.01,5.02,195.50,400.32
12.55,2.01,5.02,215.05,400.32
12.75,2.01,5.02,234.60,400.32
12.95,2.01,5.03,215.05,399.79
13.15,2.00,5.03,215.05,398.86
13.35,2.01,5.02,224.83,400.32
13.55,2.01,5.02,224.83,400.32
13.75,2.01,5.02,224.83,400.32
13.95,2.01,5.02,244.38,400.32
14.15,2.01,5.02,263.93,400.32
14.35,2.00,5.02,234.60,399.39
14.55,2.01,5.02,254.15,400.32
14.75,2.01,5.02,234.60,400.32
14.95,2.01,5.02,234.60,400.32
15.15,2.01,5.02,224.83,400.32
15.35,2.01,5.02,215.05,400.32
15.55,2.01,5.02,224.83,400.32
15.75,2.01,5.02,224.83,400.32
15.95,2.01,5.02,205.28,400.32
16.15,2.01,5.02,224.83,400.32
16.35,2.00,5.02,234.60,399.39
16.55,2.00,5.02,244.38,399.39
16.75,2.01,5.02,224.83,400.32
16.95,2.01,5.02,224.83,400.32
17.15,2.01,5.02,283.48,400.32
17.35,2.01,5.02,263.93,400.32
