filename,start_time,end_time,window_size,detrended_std_um,bias_um
PETG_oct20.0_black_DR50.0_003.csv,600.0,800.0,5,10.0329,-26.2649
PETG_oct20.0_black_DR50.0_003.csv,600.0,800.0,25,15.1706,-26.2649
PETG_oct20.0_black_DR50.0_003.csv,600.0,800.0,50,18.5962,-26.2649
PETG_oct20.0_black_DR50.0_003.csv,600.0,800.0,100,22.4725,-26.2649
PETG_oct20.0_black_DR50.0_003.csv,600.0,800.0,250,27.439,-26.2649
PETG_oct20.0_black_DR50.0_003.csv,600.0,800.0,500,32.1646,-26.2649
PETG_oct20.0_black_DR50.0_001.csv,400.0,600.0,5,13.7625,188.0559
PETG_oct20.0_black_DR50.0_001.csv,400.0,600.0,25,27.0515,188.0559
PETG_oct20.0_black_DR50.0_001.csv,400.0,600.0,50,32.3224,188.0559
PETG_oct20.0_black_DR50.0_001.csv,400.0,600.0,100,39.616,188.0559
PETG_oct20.0_black_DR50.0_001.csv,400.0,600.0,250,42.0599,188.0559
PETG_oct20.0_black_DR50.0_001.csv,400.0,600.0,500,39.0578,188.0559
PETG_oct20.0_black_DR50.0_002.csv,100.0,300.0,5,27.314,247.7519
PETG_oct20.0_black_DR50.0_002.csv,100.0,300.0,25,56.7746,247.7519
PETG_oct20.0_black_DR50.0_002.csv,100.0,300.0,50,72.1288,247.7519
PETG_oct20.0_black_DR50.0_002.csv,100.0,300.0,100,87.0463,247.7519
PETG_oct20.0_black_DR50.0_002.csv,100.0,300.0,250,87.8019,247.7519
PETG_oct20.0_black_DR50.0_002.csv,100.0,300.0,500,94.3278,247.7519
