Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
0.4,1.0,2.56,615.84,394.27
0.6,0.99,2.51,557.18,396.6
0.8,0.99,2.5,527.86,397.66
1.0,0.99,2.58,547.41,391.4
1.2,0.99,2.52,566.96,395.54
1.4,1.0,2.51,635.39,398.46
1.6,0.98,2.48,674.49,396.85
1.8,1.0,2.54,752.69,396.35
2.0,0.98,2.54,860.21,392.63
2.2,0.97,2.51,967.74,392.84
2.4,0.97,2.5,1026.39,393.89
2.6,1.0,2.52,1075.27,397.4
2.8,0.99,2.46,1016.62,400.91
3.0,0.98,2.48,909.09,396.85
3.2,1.01,2.51,869.99,400.32
3.4,1.0,2.54,733.14,396.35
3.6,1.0,2.51,615.84,398.46
3.8,0.99,2.48,547.41,398.73
4.0,0.99,2.52,547.41,395.54
4.2,0.99,2.5,518.08,397.66
4.4,0.99,2.48,478.98,398.73
4.6,0.99,2.51,459.43,396.6
4.8,0.97,2.5,469.21,393.89
5.0,1.0,2.56,439.88,394.27
5.2,0.99,2.51,400.78,396.6
5.4,0.99,2.5,381.23,397.66
5.6,0.98,2.55,361.68,391.59
5.8,1.0,2.52,371.46,397.4
6.0,1.01,2.6,361.68,393.03
6.2,0.99,2.51,381.23,396.6
6.4,1.0,2.56,361.68,394.27
6.6,0.98,2.48,332.36,396.85
6.8,0.99,2.52,332.36,395.54
7.0,1.0,2.54,312.81,396.35
7.2,0.98,2.5,312.81,395.78
7.4,1.0,2.54,322.58,396.35
7.6,0.99,2.54,293.26,394.49
7.8,0.99,2.47,303.03,399.82
8.0,1.0,2.54,303.03,396.35
8.2,1.01,2.54,303.03,400.04
8.4,0.98,2.51,312.81,394.72
8.6,0.98,2.48,303.03,396.85
8.8,0.98,2.51,332.36,394.72
9.0,0.99,2.52,312.81,395.54
9.2,0.99,2.48,342.13,398.73
9.4,0.99,2.52,312.81,395.54
9.6,1.01,2.55,342.13,398.98
9.8,0.99,2.52,351.91,395.54
10.0,0.99,2.51,361.68,396.6
10.2,0.99,2.43,361.68,403.12
10.4,0.97,2.5,410.56,393.89
10.6,0.99,2.58,410.56,391.4
10.8,0.99,2.52,410.56,395.54
11.0,0.99,2.58,420.33,391.4
11.2,1.0,2.6,420.33,391.21
11.4,0.98,2.5,694.04,395.78
11.6,1.0,2.54,879.77,396.35
11.8,1.0,2.5,1006.84,399.53
