Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.53,2.00,586.51,552.64
1.42,1.54,2.00,596.29,554.33
1.62,1.53,2.01,576.74,550.80
1.82,1.54,2.01,586.51,552.47
2.02,1.52,2.03,586.51,547.29
2.22,1.54,2.01,586.51,552.47
2.42,1.53,1.99,586.51,554.51
2.62,1.54,2.00,586.51,554.33
2.82,1.53,2.00,596.29,552.64
3.02,1.53,2.01,586.51,550.80
3.22,1.53,2.00,586.51,552.64
3.42,1.52,2.00,586.51,550.96
3.62,1.54,2.00,596.29,554.33
3.82,1.52,2.01,586.51,549.12
4.02,1.54,2.00,586.51,554.33
4.22,1.53,1.99,586.51,554.51
4.42,1.54,2.00,596.29,554.33
4.62,1.53,2.00,606.06,552.64
4.82,1.52,2.00,586.51,550.96
5.02,1.53,2.01,596.29,550.80
5.22,1.52,1.99,596.29,552.81
5.42,1.53,2.00,596.29,552.64
5.62,1.53,2.01,586.51,550.80
5.82,1.54,2.00,596.29,554.33
6.02,1.54,2.00,606.06,554.33
6.22,1.53,2.01,606.06,550.80
6.42,1.54,2.00,606.06,554.33
6.62,1.52,1.99,586.51,552.81
6.82,1.53,2.01,606.06,550.80
7.02,1.52,1.99,596.29,552.81
7.22,1.54,2.00,596.29,554.33
7.42,1.53,2.00,596.29,552.64
7.62,1.53,1.99,606.06,554.51
7.82,1.53,2.00,615.84,552.64
8.02,1.53,1.99,596.29,554.51
8.22,1.54,2.01,586.51,552.47
8.42,1.52,1.99,596.29,552.81
8.62,1.53,2.00,596.29,552.64
8.82,1.54,1.99,606.06,556.20
9.02,1.52,1.99,586.51,552.81
9.22,1.54,2.00,606.06,554.33
9.42,1.53,1.99,586.51,554.51
9.62,1.53,2.01,596.29,550.80
9.82,1.54,1.99,596.29,556.20
10.02,1.53,2.00,596.29,552.64
10.22,1.53,1.99,596.29,554.51
10.42,1.54,2.00,596.29,554.33
10.62,1.54,1.99,586.51,556.20
10.82,1.53,2.00,586.51,552.64
11.02,1.54,2.01,615.84,552.47
11.22,1.54,2.00,596.29,554.33
11.42,1.54,2.00,606.06,554.33
11.62,1.54,2.00,596.29,554.33
11.82,1.54,2.01,615.84,552.47
12.02,1.54,2.00,596.29,554.33
12.22,1.53,2.01,606.06,550.80
12.42,1.54,2.01,615.84,552.47
12.62,1.52,1.99,596.29,552.81
12.82,1.54,2.00,615.84,554.33
13.02,1.53,2.00,615.84,552.64
13.22,1.54,2.00,606.06,554.33
13.42,1.54,2.01,606.06,552.47
13.62,1.53,1.99,606.06,554.51
13.82,1.54,2.01,615.84,552.47
14.02,1.52,2.01,596.29,549.12
14.22,1.54,2.00,606.06,554.33
14.42,1.53,1.99,625.61,554.51
14.62,1.54,2.00,615.84,554.33
14.82,1.54,2.00,606.06,554.33
15.02,1.53,2.00,615.84,552.64
15.22,1.53,2.00,615.84,552.64
15.42,1.53,1.99,625.61,554.51
15.62,1.54,2.00,635.39,554.33
15.82,1.52,2.00,615.84,550.96
16.02,1.54,2.01,635.39,552.47
16.22,1.54,2.00,635.39,554.33
16.42,1.54,1.99,625.61,556.20
16.62,1.53,2.00,635.39,552.64
16.82,1.52,2.00,615.84,550.96
17.02,1.53,2.00,615.84,552.64
17.22,1.54,1.99,625.61,556.20
17.42,1.53,2.00,635.39,552.64
17.62,1.53,2.01,625.61,550.80
17.82,1.54,2.00,625.61,554.33
18.02,1.54,2.00,635.39,554.33
18.22,1.54,2.00,615.84,554.33
18.42,1.53,2.00,635.39,552.64
18.62,1.52,1.99,625.61,552.81
18.82,1.53,2.01,625.61,550.80
19.02,1.53,2.00,625.61,552.64
19.22,1.52,1.99,625.61,552.81
19.42,1.53,2.00,635.39,552.64
19.62,1.54,1.99,625.61,556.20
19.82,1.54,2.01,635.39,552.47
20.02,1.54,1.99,625.61,556.20
20.22,1.54,2.01,635.39,552.47
20.42,1.54,2.00,625.61,554.33
20.62,1.53,2.00,615.84,552.64
20.82,1.54,2.01,635.39,552.47
21.02,1.53,1.99,615.84,554.51
21.22,1.54,2.01,635.39,552.47
21.42,1.53,2.00,635.39,552.64
21.62,1.54,2.01,625.61,552.47
21.82,1.54,2.00,615.84,554.33
22.02,1.53,2.00,615.84,552.64
