Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.06,5.03,488.76,404.39
1.42,2.06,5.03,498.53,404.39
1.62,2.05,5.03,498.53,403.47
1.82,2.06,5.02,518.08,404.93
2.02,2.05,5.03,518.08,403.47
2.22,2.05,5.02,508.31,404.01
2.42,2.05,5.02,518.08,404.01
2.62,2.06,5.03,518.08,404.39
2.82,2.05,5.02,498.53,404.01
3.02,2.06,5.03,508.31,404.39
3.22,2.05,5.02,498.53,404.01
3.42,2.05,5.03,527.86,403.47
3.62,2.06,5.02,518.08,404.93
3.82,2.05,5.03,498.53,403.47
4.02,2.06,5.03,508.31,404.39
4.22,2.06,5.02,508.31,404.93
4.42,2.06,5.03,508.31,404.39
4.62,2.05,5.02,498.53,404.01
4.82,2.06,5.03,508.31,404.39
5.02,2.06,5.03,508.31,404.39
5.22,2.06,5.03,518.08,404.39
5.42,2.05,5.03,518.08,403.47
5.62,2.05,5.03,518.08,403.47
5.82,2.06,5.02,518.08,404.93
6.02,2.05,5.02,518.08,404.01
6.22,2.06,5.03,537.63,404.39
6.42,2.05,5.02,537.63,404.01
6.62,2.06,5.03,537.63,404.39
6.82,2.06,5.02,537.63,404.93
7.02,2.06,5.03,537.63,404.39
7.22,2.06,5.03,498.53,404.39
7.42,2.05,5.03,518.08,403.47
7.62,2.06,5.03,527.86,404.39
7.82,2.05,5.02,527.86,404.01
8.02,2.06,5.03,498.53,404.39
8.22,2.05,5.02,498.53,404.01
8.42,2.06,5.03,527.86,404.39
8.62,2.06,5.03,537.63,404.39
8.82,2.05,5.03,547.41,403.47
9.02,2.06,5.03,557.18,404.39
9.22,2.06,5.03,557.18,404.39
9.42,2.06,5.03,547.41,404.39
9.62,2.05,5.02,547.41,404.01
9.82,2.06,5.03,547.41,404.39
10.02,2.06,5.02,518.08,404.93
10.22,2.06,5.03,537.63,404.39
10.42,2.06,5.03,547.41,404.39
10.62,2.05,5.03,547.41,403.47
10.82,2.05,5.03,566.96,403.47
11.02,2.05,5.02,557.18,404.01
11.22,2.07,5.03,547.41,405.30
11.42,2.06,5.02,537.63,404.93
11.62,2.06,5.02,537.63,404.93
11.82,2.05,5.02,537.63,404.01
12.02,2.06,5.03,508.31,404.39
12.22,2.06,5.03,518.08,404.39
12.42,2.05,5.02,508.31,404.01
12.62,2.07,5.02,527.86,405.84
12.82,2.05,5.02,518.08,404.01
13.02,2.05,5.03,508.31,403.47
13.22,2.06,5.03,527.86,404.39
13.42,2.07,5.02,527.86,405.84
13.62,2.06,5.03,547.41,404.39
13.82,2.05,5.03,527.86,403.47
14.02,2.06,5.03,557.18,404.39
14.22,2.05,5.02,557.18,404.01
14.42,2.06,5.03,566.96,404.39
14.62,2.06,5.03,537.63,404.39
14.82,2.05,5.03,518.08,403.47
15.02,2.06,5.03,527.86,404.39
15.22,2.06,5.03,537.63,404.39
15.42,2.06,5.03,537.63,404.39
15.62,2.04,5.02,537.63,403.09
15.82,2.06,5.03,566.96,404.39
16.02,2.05,5.02,566.96,404.01
16.22,2.06,5.02,566.96,404.93
16.42,2.06,5.03,566.96,404.39
16.62,2.05,5.03,547.41,403.47
16.82,2.05,5.03,537.63,403.47
17.02,2.06,5.03,537.63,404.39
17.22,2.06,5.03,557.18,404.39
17.42,2.05,5.03,557.18,403.47
17.62,2.06,5.03,557.18,404.39
17.82,2.06,5.03,537.63,404.39
18.02,2.05,5.05,566.96,402.93
18.22,2.05,5.03,547.41,403.47
18.42,2.05,5.02,547.41,404.01
18.62,2.05,5.03,557.18,403.47
18.82,2.06,5.01,557.18,405.47
19.02,2.05,5.03,557.18,403.47
19.22,2.06,5.02,576.74,404.93
19.42,2.05,5.02,547.41,404.01
19.62,2.06,5.03,576.74,404.39
20.12,2.06,5.02,527.86,404.93
20.16,2.06,5.03,547.41,404.39
20.36,2.05,5.03,527.86,403.47
20.56,2.06,5.03,537.63,404.39
20.76,2.05,5.02,557.18,404.01
20.96,2.06,5.02,537.63,404.93
21.16,2.06,5.02,537.63,404.93
21.36,2.06,5.03,557.18,404.39
21.56,2.06,5.03,547.41,404.39
21.76,2.05,5.02,537.63,404.01
21.96,2.06,5.02,557.18,404.93
22.17,2.06,5.03,547.41,404.39
22.36,2.06,5.03,547.41,404.39
22.56,2.05,5.02,557.18,404.01
22.76,2.06,5.03,547.41,404.39
22.96,2.06,5.03,557.18,404.39
23.16,2.05,5.03,547.41,403.47
23.36,2.06,5.03,557.18,404.39
23.56,2.04,5.02,547.41,403.09
23.76,2.06,5.02,547.41,404.93
23.96,2.05,5.02,527.86,404.01
24.16,2.06,5.03,527.86,404.39
24.36,2.05,5.02,527.86,404.01
24.56,2.05,5.03,527.86,403.47
24.76,2.06,5.03,518.08,404.39
24.96,2.04,5.03,537.63,402.55
25.16,2.05,5.03,527.86,403.47
25.36,2.05,5.02,518.08,404.01
25.56,2.06,5.03,518.08,404.39
25.76,2.05,5.02,508.31,404.01
25.96,2.05,5.02,518.08,404.01
26.16,2.05,5.01,537.63,404.55
26.36,2.05,5.03,547.41,403.47
26.56,2.06,5.03,547.41,404.39
26.76,2.05,5.03,547.41,403.47
26.96,2.05,5.03,557.18,403.47
27.16,2.06,5.02,547.41,404.93
27.36,2.04,5.03,547.41,402.55
27.56,2.05,5.03,547.41,403.47
27.76,2.05,5.03,527.86,403.47
27.96,2.06,5.03,527.86,404.39
28.16,2.06,5.03,537.63,404.39
28.36,2.06,5.03,547.41,404.39
28.56,2.05,5.03,537.63,403.47
28.76,2.05,5.03,547.41,403.47
28.96,2.06,5.03,537.63,404.39
29.16,2.05,5.03,557.18,403.47
29.36,2.06,5.03,566.96,404.39
29.56,2.04,5.02,576.74,403.09
29.76,2.06,5.03,615.84,404.39
29.96,2.06,5.02,664.71,404.93
30.16,2.05,5.03,635.39,403.47
30.36,2.06,5.03,625.61,404.39
30.56,2.05,5.02,596.29,404.01
30.76,2.06,5.03,586.51,404.39
30.96,2.05,5.02,576.74,404.01
31.16,2.06,5.03,557.18,404.39
31.36,2.06,5.03,547.41,404.39
31.56,2.05,5.03,547.41,403.47
31.76,2.05,5.02,557.18,404.01
31.96,2.05,5.02,547.41,404.01
32.16,2.06,5.02,576.74,404.93
32.36,2.05,5.03,557.18,403.47
32.56,2.06,5.03,547.41,404.39
32.76,2.05,5.03,557.18,403.47
32.96,2.05,5.02,566.96,404.01
33.16,2.06,5.03,566.96,404.39
33.36,2.05,5.03,566.96,403.47
33.56,2.06,5.03,576.74,404.39
33.76,2.06,5.03,586.51,404.39
33.96,2.06,5.02,596.29,404.93
34.16,2.05,5.03,576.74,403.47
34.36,2.05,5.02,566.96,404.01
34.56,2.06,5.02,566.96,404.93
34.76,2.06,5.03,557.18,404.39
34.96,2.06,5.03,566.96,404.39
35.16,2.06,5.03,547.41,404.39
35.36,2.06,5.03,566.96,404.39
35.56,2.07,5.03,566.96,405.30
35.76,2.05,5.03,557.18,403.47
35.96,2.07,5.03,576.74,405.30
36.16,2.05,5.02,576.74,404.01
36.36,2.06,5.03,547.41,404.39
36.56,2.05,5.03,576.74,403.47
36.76,2.05,5.03,586.51,403.47
36.96,2.06,5.03,566.96,404.39
37.16,2.05,5.03,557.18,403.47
37.36,2.06,5.03,557.18,404.39
37.56,2.06,5.02,557.18,404.93
37.76,2.06,5.02,557.18,404.93
37.96,2.06,5.03,566.96,404.39
38.16,2.04,5.02,576.74,403.09
38.36,2.06,5.03,596.29,404.39
38.56,2.06,5.02,566.96,404.93
38.76,2.07,5.03,566.96,405.30
38.96,2.06,5.02,576.74,404.93
39.16,2.06,5.03,586.51,404.39
39.87,2.05,5.03,557.18,403.47
39.91,2.05,5.03,557.18,403.47
40.11,2.05,5.03,557.18,403.47
40.31,2.06,5.03,557.18,404.39
40.51,2.06,5.02,547.41,404.93
40.71,2.05,5.03,557.18,403.47
40.91,2.06,5.03,557.18,404.39
41.11,2.06,5.03,576.74,404.39
41.31,2.06,5.03,566.96,404.39
41.51,2.05,5.02,547.41,404.01
41.71,2.06,5.03,547.41,404.39
41.91,2.05,5.03,557.18,403.47
42.11,2.06,5.03,547.41,404.39
42.31,2.06,5.03,566.96,404.39
42.51,2.05,5.02,547.41,404.01
42.71,2.06,5.03,596.29,404.39
42.91,2.05,5.03,596.29,403.47
43.11,2.05,5.03,596.29,403.47
43.31,2.05,5.05,576.74,402.93
43.51,2.06,5.03,596.29,404.39
43.71,2.06,5.02,576.74,404.93
43.91,2.05,5.03,527.86,403.47
44.34,2.05,5.02,547.41,404.01
44.38,2.06,5.01,566.96,405.47
44.58,2.06,5.03,566.96,404.39
44.78,2.06,5.03,557.18,404.39
44.98,2.05,5.03,557.18,403.47
45.18,2.06,5.03,576.74,404.39
45.38,2.05,5.02,557.18,404.01
45.58,2.06,5.03,566.96,404.39
45.78,2.06,5.03,547.41,404.39
45.98,2.06,5.03,576.74,404.39
46.18,2.05,5.03,576.74,403.47
46.38,2.05,5.03,576.74,403.47
46.58,2.06,5.01,576.74,405.47
46.78,2.05,5.03,547.41,403.47
46.98,2.06,5.03,557.18,404.39
47.18,2.04,5.03,547.41,402.55
47.38,2.06,5.03,586.51,404.39
47.58,2.05,5.02,576.74,404.01
47.78,2.05,5.03,566.96,403.47
47.98,2.06,5.02,557.18,404.93
48.18,2.05,5.02,547.41,404.01
48.38,2.06,5.03,547.41,404.39
48.58,2.05,5.02,606.06,404.01
48.78,2.05,5.02,557.18,404.01
48.98,2.06,5.03,566.96,404.39
49.18,2.06,5.03,566.96,404.39
49.42,2.06,5.03,566.96,404.39
49.58,2.06,5.02,566.96,404.93
49.78,2.06,5.03,596.29,404.39
49.98,2.06,5.02,566.96,404.93
50.18,2.05,5.02,566.96,404.01
50.38,2.06,5.03,576.74,404.39
50.58,2.05,5.02,566.96,404.01
50.78,2.06,5.03,576.74,404.39
50.98,2.05,5.01,576.74,404.55
51.18,2.06,5.03,566.96,404.39
51.38,2.06,5.03,566.96,404.39
51.58,2.07,5.03,566.96,405.30
51.78,2.05,5.03,576.74,403.47
51.98,2.05,5.02,557.18,404.01
52.18,2.07,5.03,557.18,405.30
52.38,2.05,5.02,547.41,404.01
52.58,2.05,5.02,547.41,404.01
52.78,2.05,5.03,527.86,403.47
52.98,2.06,5.05,557.18,403.85
53.18,2.06,5.03,547.41,404.39
53.38,2.06,5.02,557.18,404.93
53.58,2.06,5.03,566.96,404.39
53.78,2.05,5.02,576.74,404.01
53.98,2.05,5.02,586.51,404.01
54.18,2.06,5.02,576.74,404.93
54.38,2.05,5.03,547.41,403.47
54.58,2.07,5.03,557.18,405.30
54.78,2.06,5.02,537.63,404.93
54.98,2.06,5.03,557.18,404.39
55.18,2.06,5.03,557.18,404.39
55.38,2.05,5.02,557.18,404.01
55.58,2.05,5.03,557.18,403.47
55.78,2.05,5.02,576.74,404.01
55.98,2.05,5.03,586.51,403.47
56.18,2.06,5.03,596.29,404.39
56.38,2.06,5.03,576.74,404.39
56.58,2.05,5.03,596.29,403.47
56.78,2.05,5.05,586.51,402.93
56.98,2.05,5.02,566.96,404.01
57.18,2.05,5.02,566.96,404.01
57.38,2.06,5.03,576.74,404.39
57.58,2.05,5.03,557.18,403.47
57.78,2.06,5.03,557.18,404.39
57.98,2.05,5.03,566.96,403.47
58.18,2.05,5.03,566.96,403.47
58.38,2.06,5.05,586.51,403.85
58.58,2.06,5.02,566.96,404.93
58.78,2.06,5.02,566.96,404.93
58.98,2.05,5.02,586.51,404.01
59.18,2.05,5.03,557.18,403.47
59.38,2.05,5.03,576.74,403.47
59.58,2.06,5.05,557.18,403.85
59.78,2.05,5.03,566.96,403.47
59.98,2.06,5.03,547.41,404.39
60.18,2.05,5.03,566.96,403.47
60.38,2.05,5.02,557.18,404.01
60.58,2.05,5.03,566.96,403.47
60.78,2.06,5.03,537.63,404.39
60.98,2.05,5.03,518.08,403.47
61.18,2.06,5.03,566.96,404.39
61.38,2.06,5.03,527.86,404.39
61.58,2.06,5.03,547.41,404.39
61.78,2.05,5.03,527.86,403.47
61.98,2.05,5.03,537.63,403.47
62.18,2.06,5.03,537.63,404.39
62.38,2.05,5.03,557.18,403.47
62.58,2.06,5.03,566.96,404.39
62.78,2.05,5.02,557.18,404.01
62.98,2.05,5.03,547.41,403.47
63.18,2.06,5.03,557.18,404.39
63.38,2.05,5.03,547.41,403.47
63.58,2.06,5.03,566.96,404.39
63.78,2.05,5.03,547.41,403.47
63.98,2.06,5.03,586.51,404.39
64.18,2.05,5.03,576.74,403.47
64.38,2.06,5.02,596.29,404.93
64.58,2.06,5.03,566.96,404.39
64.78,2.05,5.03,557.18,403.47
64.98,2.05,5.03,576.74,403.47
65.18,2.05,5.02,557.18,404.01
65.38,2.06,5.03,576.74,404.39
65.58,2.05,5.03,557.18,403.47
65.78,2.06,5.02,537.63,404.93
65.98,2.06,5.02,547.41,404.93
66.18,2.06,5.03,527.86,404.39
66.38,2.05,5.02,557.18,404.01
66.58,2.05,5.02,547.41,404.01
66.78,2.06,5.03,557.18,404.39
66.98,2.06,5.03,547.41,404.39
67.18,2.05,5.03,566.96,403.47
67.38,2.06,5.03,566.96,404.39
67.58,2.06,5.02,566.96,404.93
67.78,2.06,5.03,557.18,404.39
67.98,2.06,5.03,557.18,404.39
68.18,2.05,5.03,537.63,403.47
68.38,2.06,5.03,537.63,404.39
68.58,2.05,5.03,518.08,403.47
68.78,2.06,5.03,547.41,404.39
68.98,2.06,5.02,537.63,404.93
69.18,2.06,5.03,527.86,404.39
69.38,2.05,5.02,547.41,404.01
69.58,2.06,5.03,547.41,404.39
69.78,2.05,5.03,557.18,403.47
69.98,2.06,5.02,537.63,404.93
70.18,2.06,5.03,557.18,404.39
70.38,2.05,5.03,547.41,403.47
70.58,2.06,5.03,547.41,404.39
70.78,2.05,5.02,537.63,404.01
70.98,2.06,5.03,557.18,404.39
71.18,2.06,5.03,537.63,404.39
71.38,2.04,5.02,537.63,403.09
71.58,2.06,5.03,547.41,404.39
71.78,2.06,5.02,547.41,404.93
71.98,2.05,5.02,547.41,404.01
72.18,2.05,5.03,557.18,403.47
72.38,2.05,5.03,557.18,403.47
72.58,2.06,5.03,547.41,404.39
72.78,2.05,5.02,557.18,404.01
72.98,2.06,5.03,537.63,404.39
73.18,2.05,5.02,547.41,404.01
73.38,2.06,5.03,547.41,404.39
73.58,2.07,5.03,547.41,405.30
73.78,2.06,5.03,547.41,404.39
73.98,2.06,5.03,547.41,404.39
74.18,2.05,5.02,547.41,404.01
74.38,2.06,5.03,527.86,404.39
74.58,2.05,5.03,547.41,403.47
74.78,2.06,5.02,557.18,404.93
74.98,2.06,5.02,557.18,404.93
75.18,2.05,5.03,537.63,403.47
75.38,2.05,5.03,557.18,403.47
75.58,2.05,5.02,537.63,404.01
75.78,2.05,5.02,547.41,404.01
75.98,2.05,5.02,527.86,404.01
76.18,2.05,5.02,547.41,404.01
76.38,2.06,5.03,547.41,404.39
76.58,2.07,5.03,557.18,405.30
76.78,2.06,5.03,557.18,404.39
76.98,2.05,5.03,557.18,403.47
77.18,2.06,5.02,566.96,404.93
77.38,2.06,5.03,557.18,404.39
77.58,2.05,5.02,547.41,404.01
77.78,2.06,5.03,537.63,404.39
77.98,2.05,5.02,557.18,404.01
78.18,2.06,5.03,527.86,404.39
78.38,2.06,5.02,557.18,404.93
78.58,2.05,5.03,518.08,403.47
78.78,2.06,5.05,547.41,403.85
78.98,2.04,5.03,537.63,402.55
79.18,2.06,5.03,557.18,404.39
79.38,2.06,5.02,537.63,404.93
79.58,2.06,5.03,547.41,404.39
79.78,2.06,5.05,537.63,403.85
79.98,2.05,5.03,547.41,403.47
80.18,2.05,5.03,557.18,403.47
80.38,2.06,5.02,547.41,404.93
80.58,2.06,5.03,547.41,404.39
80.78,2.06,5.05,527.86,403.85
80.98,2.05,5.03,537.63,403.47
81.18,2.06,5.03,557.18,404.39
81.38,2.06,5.02,547.41,404.93
81.58,2.05,5.03,566.96,403.47
81.78,2.06,5.02,566.96,404.93
81.98,2.06,5.03,566.96,404.39
82.18,2.05,5.02,576.74,404.01
82.38,2.05,5.02,566.96,404.01
82.58,2.06,5.03,557.18,404.39
82.78,2.05,5.01,557.18,404.55
82.98,2.06,5.02,527.86,404.93
83.18,2.06,5.02,547.41,404.93
83.38,2.05,5.02,537.63,404.01
83.58,2.06,5.01,566.96,405.47
83.78,2.05,5.01,557.18,404.55
83.98,2.06,5.02,566.96,404.93
84.18,2.05,5.01,537.63,404.55
84.38,2.06,5.01,547.41,405.47
84.58,2.06,5.01,537.63,405.47
84.78,2.06,5.02,547.41,404.93
84.98,2.06,5.01,547.41,405.47
