# material: stock PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: clear,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 030,,,,
# operator: Luka Morita,,,,
# start_time: 2025-07-31 11:43:44,,,,
# notes: stock PETG with no feedback control,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
358.3,2,4.98,469.21,401
358.5,1.99,4.97,439.88,400.61
358.7,1.99,4.98,449.66,400.07
358.9,2,4.98,449.66,401
359.1,1.99,4.97,439.88,400.61
359.3,1.99,4.98,459.43,400.07
359.5,2,4.98,459.43,401
359.7,2,4.98,439.88,401
359.9,1.99,4.98,439.88,400.07
360.1,2,4.98,430.11,401
360.3,2,4.98,449.66,401
360.5,1.99,4.99,449.66,399.53
360.7,2.01,4.98,449.66,401.94
360.9,1.99,4.98,449.66,400.07
361.1,2,4.98,430.11,401
361.3,2,4.98,459.43,401
361.5,2,4.98,430.11,401
361.7,2,4.98,449.66,401
361.9,2,4.98,449.66,401
362.1,1.99,4.98,449.66,400.07
362.3,1.99,4.98,449.66,400.07
362.5,2,4.98,449.66,401
362.7,2,4.97,439.88,401.55
362.9,1.99,4.98,439.88,400.07
363.1,2,4.98,439.88,401
363.3,2,4.98,439.88,401
363.5,2,4.98,459.43,401
363.7,2,4.98,449.66,401
363.9,2,4.97,420.33,401.55
364.1,2,4.98,449.66,401
364.3,2.01,4.98,449.66,401.94
364.5,1.99,4.98,449.66,400.07
364.7,1.99,4.98,439.88,400.07
364.9,2,4.98,459.43,401
365.1,2,4.98,420.33,401
365.3,1.99,4.98,410.56,400.07
365.5,1.99,4.98,420.33,400.07
365.7,1.99,4.98,430.11,400.07
365.9,2,4.98,430.11,401
366.1,1.99,4.97,439.88,400.61
366.3,2,4.98,439.88,401
366.5,2,4.98,449.66,401
366.7,2.01,4.98,439.88,401.94
366.9,1.99,4.99,439.88,399.53
367.1,2,4.98,449.66,401
367.3,2.01,4.98,459.43,401.94
367.5,2,4.97,449.66,401.55
367.7,2,4.98,449.66,401
367.9,2,4.98,449.66,401
368.1,2,4.98,449.66,401
368.3,2,4.98,449.66,401
368.5,2,4.98,430.11,401
368.7,1.99,4.97,439.88,400.61
368.9,2.01,4.98,449.66,401.94
369.1,2,4.98,439.88,401
369.3,1.99,4.98,420.33,400.07
369.5,2,4.98,430.11,401
369.7,2,4.98,420.33,401
369.9,2,4.98,430.11,401
370.1,2,4.98,439.88,401
370.3,2,4.98,430.11,401
370.5,1.99,4.97,420.33,400.61
370.7,2,4.98,449.66,401
370.9,1.99,4.99,449.66,399.53
371.1,1.99,4.98,439.88,400.07
371.3,1.99,4.97,459.43,400.61
371.5,2,4.98,459.43,401
371.7,2,4.98,430.11,401
371.9,2,4.98,449.66,401
372.1,2,4.99,459.43,400.46
372.3,2.01,4.98,430.11,401.94
372.5,2,4.98,439.88,401
372.7,2,4.98,430.11,401
372.9,1.99,4.98,449.66,400.07
373.1,2.01,4.98,449.66,401.94
373.3,2,4.98,439.88,401
373.5,1.99,4.98,439.88,400.07
373.7,2.01,4.98,430.11,401.94
373.9,2,4.98,449.66,401
374.1,1.99,4.98,430.11,400.07
374.3,1.99,4.98,439.88,400.07
374.5,2,4.98,439.88,401
374.7,2,4.97,439.88,401.55
374.9,2,4.98,439.88,401
375.1,2,4.97,439.88,401.55
375.3,2,4.99,430.11,400.46
375.5,2.01,4.98,449.66,401.94
375.7,2,4.98,459.43,401
375.9,1.99,4.99,449.66,399.53
376.1,2,4.99,469.21,400.46
376.3,1.99,4.98,449.66,400.07
376.5,2,4.98,449.66,401
376.7,2,4.98,469.21,401
376.9,2,4.98,439.88,401
377.1,2,4.99,469.21,400.46
377.3,2.01,4.98,459.43,401.94
377.5,1.99,4.98,439.88,400.07
377.7,1.99,4.98,459.43,400.07
377.9,2,4.98,459.43,401
378.1,1.99,4.98,469.21,400.07
378.3,2.01,4.98,439.88,401.94
378.5,2,4.98,449.66,401
378.7,2,4.98,430.11,401
378.9,2.01,4.98,449.66,401.94
379.1,2,4.98,449.66,401
379.3,1.99,4.98,439.88,400.07
379.5,2.01,4.99,469.21,401.39
379.7,2,4.97,478.98,401.55
379.9,1.99,4.98,449.66,400.07
380.1,2,4.98,439.88,401
380.3,2.01,4.99,459.43,401.39
380.5,2,4.98,420.33,401
380.7,1.99,4.98,430.11,400.07
380.9,2,4.98,420.33,401
381.1,1.99,4.98,430.11,400.07
381.3,2,4.98,439.88,401
381.5,1.99,4.98,459.43,400.07
381.7,2,4.98,439.88,401
381.9,2,4.98,439.88,401
382.1,1.99,4.98,439.88,400.07
382.3,2.01,4.98,439.88,401.94
382.5,1.99,4.98,469.21,400.07
382.7,1.99,4.98,488.76,400.07
382.9,2,4.98,459.43,401
383.1,2,4.98,459.43,401
383.3,2,4.98,439.88,401
383.5,1.99,4.98,469.21,400.07
383.7,2.01,4.98,449.66,401.94
383.9,2,4.98,449.66,401
384.1,2,4.98,459.43,401
384.3,1.99,4.98,449.66,400.07
384.5,1.99,4.98,430.11,400.07
384.7,2,4.98,469.21,401
384.9,2,4.98,439.88,401
385.1,2,4.98,478.98,401
385.3,1.99,4.98,459.43,400.07
385.5,1.99,4.98,449.66,400.07
385.7,2,4.98,430.11,401
385.9,2,4.98,459.43,401
386.1,2,4.98,459.43,401
386.3,2,4.99,449.66,400.46
386.5,1.99,4.98,449.66,400.07
386.7,1.99,4.98,459.43,400.07
386.9,2,4.98,430.11,401
387.1,2,4.98,430.11,401
387.3,2,4.98,430.11,401
387.5,2,4.98,439.88,401
387.7,2,4.98,449.66,401
387.9,1.99,4.98,449.66,400.07
388.1,2.01,4.98,449.66,401.94
388.3,2,4.98,459.43,401
388.5,2,4.98,430.11,401
388.7,2,4.98,459.43,401
388.9,2,4.98,439.88,401
389.1,1.99,4.98,459.43,400.07
389.3,2,4.99,459.43,400.46
389.5,2.01,4.98,469.21,401.94
389.7,2,4.97,459.43,401.55
389.9,2,4.98,469.21,401
390.1,2,4.98,449.66,401
390.3,1.99,4.98,469.21,400.07
390.5,2,4.98,488.76,401
390.7,2,4.98,459.43,401
390.9,1.99,4.98,459.43,400.07
391.1,2,4.98,469.21,401
391.3,2,4.98,449.66,401
391.5,1.99,4.98,449.66,400.07
391.7,2,4.98,478.98,401
391.9,1.99,4.97,469.21,400.61
392.1,2,4.98,469.21,401
392.3,2,4.98,469.21,401
392.5,1.99,4.98,478.98,400.07
392.7,1.99,4.98,469.21,400.07
392.9,2,4.99,478.98,400.46
393.1,2,4.98,459.43,401
393.3,1.99,4.98,469.21,400.07
393.5,2,4.98,478.98,401
393.7,1.99,4.98,469.21,400.07
393.9,2,4.98,469.21,401
394.1,2,4.98,478.98,401
394.3,2,4.98,449.66,401
394.5,2.01,4.98,469.21,401.94
394.7,2,4.99,488.76,400.46
394.9,1.99,4.98,469.21,400.07
395.1,2.01,4.98,469.21,401.94
395.3,2,4.98,469.21,401
395.5,1.99,4.97,478.98,400.61
395.7,2,4.98,469.21,401
395.9,2.01,4.98,488.76,401.94
396.1,1.99,4.98,498.53,400.07
396.3,2,4.98,488.76,401
396.5,2,4.98,488.76,401
396.7,1.99,4.98,459.43,400.07
396.9,2,4.98,488.76,401
397.1,2,4.98,469.21,401
397.3,1.99,4.98,439.88,400.07
397.5,2,4.98,478.98,401
397.7,2.01,4.98,459.43,401.94
397.9,1.99,4.97,459.43,400.61
398.1,2.01,4.97,469.21,402.48
398.3,2,4.98,478.98,401
398.5,2,4.97,459.43,401.55
398.7,2,4.98,469.21,401
398.9,2,4.98,478.98,401
399.1,1.98,4.98,469.21,399.13
399.3,2,4.98,469.21,401
399.5,2,4.98,478.98,401
399.7,1.99,4.98,469.21,400.07
