# material: PA,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Gray,,,,
# temperature_C: 200.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 001,,,,
# operator: Luka Morita,,,,
# start_time: 2025-06-18 12:39:44,,,,
# notes: none,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,4.06,10.07,283.48,401.63
1.42,4.06,10.08,273.7,401.36
1.62,4.06,10.07,283.48,401.63
1.82,4.06,10.07,293.26,401.63
2.02,4.06,10.07,273.7,401.63
2.22,4.06,10.08,303.03,401.36
2.42,4.05,10.08,293.26,400.9
2.62,4.06,10.08,322.58,401.36
2.82,4.06,10.08,303.03,401.36
3.02,4.06,10.07,303.03,401.63
3.22,4.05,10.08,312.81,400.9
3.42,4.06,10.08,293.26,401.36
3.62,4.06,10.08,273.7,401.36
3.82,4.05,10.07,263.93,401.17
4.02,4.06,10.07,254.15,401.63
4.22,4.06,10.08,234.6,401.36
4.42,4.06,10.07,254.15,401.63
4.62,4.06,10.08,263.93,401.36
4.82,4.06,10.08,263.93,401.36
5.02,4.05,10.07,283.48,401.17
5.22,4.06,10.09,283.48,401.1
5.42,4.04,10.08,273.7,400.44
5.62,4.06,10.07,283.48,401.63
5.82,4.06,10.08,283.48,401.36
6.02,4.06,10.08,283.48,401.36
6.22,4.05,10.08,283.48,400.9
6.42,4.06,10.07,244.38,401.63
6.62,4.05,10.08,273.7,400.9
6.82,4.06,10.08,263.93,401.36
7.02,4.06,10.08,254.15,401.36
7.22,4.06,10.07,283.48,401.63
7.42,4.05,10.05,273.7,401.44
7.62,4.06,10.08,273.7,401.36
7.82,4.06,10.07,273.7,401.63
8.02,4.06,10.08,273.7,401.36
8.22,4.06,10.07,283.48,401.63
8.42,4.05,10.08,273.7,400.9
8.62,4.05,10.07,293.26,401.17
8.82,4.06,10.09,283.48,401.1
9.02,4.05,10.08,293.26,400.9
9.22,4.06,10.07,303.03,401.63
9.42,4.06,10.07,293.26,401.63
9.62,4.06,10.07,303.03,401.63
9.82,4.06,10.08,303.03,401.36
10.02,4.06,10.07,303.03,401.63
10.22,4.06,10.07,293.26,401.63
10.42,4.06,10.07,312.81,401.63
10.62,4.05,10.08,303.03,400.9
10.82,4.05,10.08,293.26,400.9
11.02,4.06,10.07,293.26,401.63
11.22,4.06,10.08,273.7,401.36
11.42,4.06,10.07,283.48,401.63
11.62,4.06,10.08,283.48,401.36
11.82,4.05,10.07,263.93,401.17
12.02,4.06,10.09,283.48,401.1
12.22,4.05,10.07,263.93,401.17
12.42,4.06,10.07,273.7,401.63
12.62,4.05,10.08,263.93,400.9
12.82,4.06,10.07,263.93,401.63
13.02,4.06,10.08,254.15,401.36
13.22,4.06,10.07,283.48,401.63
13.42,4.06,10.08,254.15,401.36
13.62,4.06,10.08,283.48,401.36
13.82,4.06,10.07,244.38,401.63
14.02,4.06,10.07,293.26,401.63
14.22,4.06,10.07,303.03,401.63
14.42,4.06,10.08,312.81,401.36
14.62,4.05,10.07,303.03,401.17
14.82,4.06,10.07,303.03,401.63
15.02,4.05,10.08,254.15,400.9
15.22,4.05,10.07,273.7,401.17
