# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Clear,,,,
# temperature_C: 190.0,,,,
# drawdown_ratio: 20.0,,,,
# trial_number: 001,,,,
# operator: Luka,,,,
# start_time: 2025-06-18 13:18:55,,,,
# notes: testing lower draw cone in oven,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,9.5,3.02,899.32,1121.57
1.42,9.49,3.03,879.77,1118.53
1.62,9.49,3.03,879.77,1118.53
1.82,9.49,3.03,889.54,1118.53
2.02,9.49,3.03,889.54,1118.53
2.22,9.49,3.03,889.54,1118.53
2.42,9.49,3.05,909.09,1116.07
2.62,9.49,3.02,899.32,1121.02
2.82,9.48,3.03,889.54,1117.98
3.02,9.48,3.03,909.09,1117.98
3.22,9.5,3.02,928.64,1121.57
3.42,9.49,3.03,909.09,1118.53
3.62,9.49,3.03,928.64,1118.53
3.82,9.49,3.03,918.87,1118.53
4.02,9.49,3.03,948.19,1118.53
4.22,9.49,3.05,928.64,1116.07
4.42,9.5,3.03,899.32,1119.08
4.62,9.49,3.03,938.42,1118.53
4.82,9.49,3.03,928.64,1118.53
5.02,9.5,3.03,957.97,1119.08
5.22,9.49,3.03,997.07,1118.53
5.42,9.49,3.03,997.07,1118.53
5.62,9.5,3.03,977.52,1119.08
5.82,9.49,3.03,987.29,1118.53
6.02,9.49,3.03,948.19,1118.53
6.22,9.49,3.02,987.29,1121.02
6.42,9.49,3.02,977.52,1121.02
6.62,9.5,3.03,997.07,1119.08
6.82,9.49,3.03,997.07,1118.53
7.02,9.5,3.02,967.74,1121.57
7.22,9.49,3.06,987.29,1113.62
7.42,9.49,3.03,1016.62,1118.53
7.62,9.49,3.02,987.29,1121.02
7.82,9.48,3.03,948.19,1117.98
8.02,9.48,3.02,977.52,1120.47
8.22,9.49,3.05,948.19,1116.07
8.42,9.49,3.03,967.74,1118.53
8.62,9.49,3.02,977.52,1121.02
8.82,9.49,3.03,997.07,1118.53
9.02,9.49,3.03,987.29,1118.53
9.22,9.5,3.02,987.29,1121.57
9.42,9.48,3.03,977.52,1117.98
9.62,9.49,3.03,987.29,1118.53
9.82,9.51,3.06,967.74,1114.71
10.02,9.49,3.03,987.29,1118.53
10.22,9.48,3.03,1006.84,1117.98
10.42,9.49,3.02,987.29,1121.02
10.62,9.49,3.05,987.29,1116.07
10.82,9.51,3.03,967.74,1119.63
11.02,9.48,3.06,977.52,1113.07
11.22,9.48,3.03,987.29,1117.98
11.42,9.49,3.02,1006.84,1121.02
11.62,9.49,3.05,1055.72,1116.07
11.82,9.5,3.03,1085.04,1119.08
12.02,9.49,3.03,1075.27,1118.53
12.22,9.48,3.03,1075.27,1117.98
12.42,9.49,3.03,1085.04,1118.53
12.62,9.5,3.05,1065.49,1116.61
12.82,9.48,3.03,1075.27,1117.98
13.02,9.5,3.03,1065.49,1119.08
13.22,9.49,3.03,1104.59,1118.53
13.42,9.49,3.02,1094.82,1121.02
13.62,9.49,3.03,1065.49,1118.53
13.82,9.49,3.02,1085.04,1121.02
14.02,9.5,3.03,1065.49,1119.08
14.22,9.49,3.05,1094.82,1116.07
14.42,9.48,3.03,1133.92,1117.98
14.62,9.49,3.03,1143.69,1118.53
14.82,9.5,3.03,1143.69,1119.08
15.02,9.49,3.03,1114.37,1118.53
15.22,9.5,3.03,1124.14,1119.08
15.42,9.5,3.02,1124.14,1121.57
15.62,9.49,3.05,1094.82,1116.07
15.82,9.49,3.03,1075.27,1118.53
16.02,9.5,3.03,1075.27,1119.08
16.22,9.5,3.03,1124.14,1119.08
16.42,9.5,3.03,1104.59,1119.08
16.62,9.49,3.03,1114.37,1118.53
16.82,9.49,3.03,1133.92,1118.53
17.02,9.5,3.03,1133.92,1119.08
17.22,9.48,3.03,1114.37,1117.98
17.42,9.49,3.03,1094.82,1118.53
17.62,9.49,3.03,1094.82,1118.53
17.82,9.48,3.03,1114.37,1117.98
18.02,9.5,3.03,1124.14,1119.08
18.22,9.49,3.03,1133.92,1118.53
18.42,9.48,3.02,1153.47,1120.47
18.62,9.5,3.02,1153.47,1121.57
18.82,9.48,3.03,1133.92,1117.98
19.02,9.49,3.03,1143.69,1118.53
19.22,9.51,3.03,1143.69,1119.63
19.42,9.47,3.03,1182.8,1117.44
19.62,9.49,3.03,1173.02,1118.53
19.82,9.49,3.03,1192.57,1118.53
20.02,9.48,3.05,1163.25,1115.52
20.22,9.5,3.03,1173.02,1119.08
20.42,9.48,3.03,1173.02,1117.98
20.62,9.47,3.05,1192.57,1114.97
20.82,9.49,3.02,1202.35,1121.02
21.02,9.49,3.03,1231.67,1118.53
21.22,9.5,3.05,1221.9,1116.61
21.42,9.5,3.02,1212.12,1121.57
21.62,9.48,3.03,1212.12,1117.98
21.82,9.5,3.03,1231.67,1119.08
22.02,9.48,3.03,1231.67,1117.98
22.22,9.49,3.03,1261,1118.53
22.42,9.5,3.02,1270.77,1121.57
22.62,9.49,3.03,1290.32,1118.53
22.82,9.5,3.03,1300.1,1119.08
23.02,9.5,3.03,1339.2,1119.08
23.22,9.48,3.05,1358.75,1115.52
23.42,9.49,3.06,1319.65,1113.62
23.62,9.49,3.03,1300.1,1118.53
23.82,9.49,3.03,1300.1,1118.53
24.02,9.49,3.03,1290.32,1118.53
24.22,9.49,3.03,1319.65,1118.53
24.42,9.5,3.03,1388.07,1119.08
24.62,9.5,3.03,1427.17,1119.08
24.82,9.49,3.03,1456.5,1118.53
25.02,9.49,3.02,1436.95,1121.02
25.22,9.49,3.03,1446.73,1118.53
25.42,9.49,3.03,1427.17,1118.53
25.62,9.5,3.03,1436.95,1119.08
25.82,9.48,3.03,1436.95,1117.98
26.02,9.49,3.03,1417.4,1118.53
26.22,9.49,3.03,1407.62,1118.53
26.42,9.49,3.03,1368.52,1118.53
26.62,9.49,3.02,1348.97,1121.02
26.82,9.49,3.05,1397.85,1116.07
27.02,9.48,3.05,1358.75,1115.52
27.22,9.48,3.02,1358.75,1120.47
27.42,9.49,3.05,1368.52,1116.07
27.62,9.5,3.03,1339.2,1119.08
27.82,9.49,3.02,1339.2,1121.02
28.02,9.49,3.02,1388.07,1121.02
28.22,9.5,3.03,1368.52,1119.08
28.42,9.48,3.05,1329.42,1115.52
28.62,9.5,3.03,1309.87,1119.08
28.82,9.5,3.05,1280.55,1116.61
29.02,9.48,3.03,1319.65,1117.98
29.22,9.49,3.03,1290.32,1118.53
29.42,9.49,3.03,1261,1118.53
29.62,9.5,3.03,1280.55,1119.08
29.82,9.49,3.03,1261,1118.53
30.02,9.48,3.03,1231.67,1117.98
30.22,9.49,3.03,1212.12,1118.53
