# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Clear,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 003b,,,,
# operator: Kevin Liu,,,,
# start_time: 2025-06-12 14:41:01,,,,
# notes: Comparison of rectilinear preform to underextruded AM preform; rectilinear; 4mm in 10mm out; second attempt,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,4.01,9.99,273.7,400.93
1.42,4.01,9.97,263.93,401.2
1.62,4.01,9.97,254.15,401.2
1.82,4.01,9.99,254.15,400.93
2.02,4,9.97,224.83,400.73
2.22,4.01,9.97,234.6,401.2
2.42,4.01,9.99,244.38,400.93
2.62,4.01,9.99,244.38,400.93
2.82,4.01,9.99,234.6,400.93
3.02,4,9.99,215.05,400.46
3.22,4.01,9.99,224.83,400.93
3.42,4.01,9.99,205.28,400.93
3.62,4.01,9.99,234.6,400.93
3.82,4.01,9.97,244.38,401.2
4.02,4.01,9.99,244.38,400.93
4.22,4,9.97,224.83,400.73
4.42,4,9.97,224.83,400.73
4.62,4.01,9.97,215.05,401.2
4.82,4.01,9.99,215.05,400.93
5.02,4.01,9.99,224.83,400.93
5.22,4.01,9.99,224.83,400.93
5.42,4.01,9.97,244.38,401.2
5.62,4,9.97,215.05,400.73
5.82,4.01,9.99,234.6,400.93
6.02,4,9.97,224.83,400.73
6.22,4.01,9.99,234.6,400.93
6.42,4.01,9.97,234.6,401.2
6.62,4.01,9.97,224.83,401.2
6.82,4,9.99,224.83,400.46
7.02,4.01,9.97,234.6,401.2
7.22,4.01,9.99,234.6,400.93
7.42,4.01,9.97,205.28,401.2
7.62,4.01,9.97,224.83,401.2
7.82,4,9.99,215.05,400.46
8.02,4.01,9.97,205.28,401.2
8.22,4,9.99,195.5,400.46
8.42,4.01,9.97,205.28,401.2
8.62,4.01,9.99,195.5,400.93
8.82,4.01,9.97,205.28,401.2
9.02,4,9.99,195.5,400.46
9.22,4.01,9.99,195.5,400.93
9.42,4.01,9.97,185.73,401.2
9.62,4.01,9.99,185.73,400.93
9.82,4.01,9.97,195.5,401.2
