# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Clear,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 005,,,,
# operator: Luka Morita,,,,
# start_time: 2025-06-18 11:33:40,,,,
# notes: Stock PETG rod. Testing 4mm/min feed speed,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,4,9.99,146.63,400.46
1.42,4,9.99,175.95,400.46
1.62,4,9.99,146.63,400.46
1.82,4,10,136.85,400.2
2.02,4,9.99,156.4,400.46
2.22,4,9.99,156.4,400.46
2.42,4,9.99,156.4,400.46
2.62,4,9.99,156.4,400.46
2.82,4,10,175.95,400.2
3.02,4,9.99,156.4,400.46
3.22,4,9.99,146.63,400.46
3.42,4,9.99,166.18,400.46
3.62,4,10,146.63,400.2
3.82,4,9.99,156.4,400.46
4.02,4,9.99,156.4,400.46
4.22,4,9.99,146.63,400.46
4.42,4,9.99,156.4,400.46
4.62,3.99,9.99,136.85,400
4.82,4,9.99,156.4,400.46
5.02,4,9.99,185.73,400.46
5.22,4,9.99,166.18,400.46
5.42,4,10,146.63,400.2
5.62,4,9.99,136.85,400.46
5.82,4,9.99,166.18,400.46
6.02,4,9.99,156.4,400.46
6.22,4,9.99,175.95,400.46
6.42,4,9.99,166.18,400.46
6.62,3.99,10,156.4,399.73
6.82,4,9.99,146.63,400.46
7.02,3.99,9.97,156.4,400.27
7.22,4,9.99,146.63,400.46
7.42,4,10,146.63,400.2
7.62,4,9.99,166.18,400.46
7.82,4,9.99,156.4,400.46
8.02,4.01,9.99,146.63,400.93
8.22,4,9.99,166.18,400.46
8.42,4,9.99,156.4,400.46
8.62,4,9.99,166.18,400.46
8.82,4,9.99,166.18,400.46
9.02,4,10,166.18,400.2
9.22,4,9.99,166.18,400.46
9.42,4,9.99,175.95,400.46
9.62,4,10,156.4,400.2
9.82,4,9.99,166.18,400.46
10.02,4,9.97,166.18,400.73
10.22,4,9.99,166.18,400.46
10.42,4,9.99,175.95,400.46
10.62,4,9.99,185.73,400.46
10.82,4,9.99,146.63,400.46
11.02,4,9.99,146.63,400.46
11.22,4,9.99,156.4,400.46
11.42,4,10,156.4,400.2
11.62,4,9.99,146.63,400.46
11.82,4,9.99,166.18,400.46
12.02,4,9.97,136.85,400.73
12.22,4,9.99,156.4,400.46
12.42,4,9.99,166.18,400.46
12.62,4,9.99,166.18,400.46
12.82,4,9.99,166.18,400.46
13.02,4,9.99,146.63,400.46
13.22,4,10,156.4,400.2
13.42,4,9.99,146.63,400.46
13.62,4,9.97,146.63,400.73
13.82,3.99,9.99,146.63,400
14.02,4,9.99,166.18,400.46
14.22,4,9.99,156.4,400.46
14.42,4,10,136.85,400.2
14.62,4,9.99,156.4,400.46
14.82,4,9.99,156.4,400.46
15.02,4,9.99,146.63,400.46
15.22,4,9.99,175.95,400.46
15.42,4,9.99,175.95,400.46
15.62,4,10,136.85,400.2
15.82,4,9.99,175.95,400.46
16.02,3.99,9.99,166.18,400
16.22,4,9.99,166.18,400.46
16.42,4,9.99,156.4,400.46
16.62,3.99,9.99,156.4,400
16.82,4,9.99,185.73,400.46
17.02,4,9.99,185.73,400.46
17.22,4,9.99,156.4,400.46
17.42,4,10,136.85,400.2
17.62,4,9.99,175.95,400.46
17.82,4,9.99,175.95,400.46
18.02,4,9.99,146.63,400.46
18.22,4,9.99,166.18,400.46
18.42,4.01,9.99,166.18,400.93
18.62,4,9.99,175.95,400.46
18.82,4,9.99,175.95,400.46
19.02,4,10,156.4,400.2
19.22,4,9.99,166.18,400.46
19.42,4,9.99,156.4,400.46
19.62,4,10,175.95,400.2
19.82,4,9.99,185.73,400.46
20.02,4,9.99,166.18,400.46
20.22,4,10,185.73,400.2
20.42,4,9.99,166.18,400.46
20.62,3.99,9.99,156.4,400
20.82,4,9.99,185.73,400.46
21.02,4,9.99,175.95,400.46
21.22,4,9.99,175.95,400.46
21.42,4,10,175.95,400.2
21.62,4,9.99,175.95,400.46
21.82,4,9.99,175.95,400.46
22.02,4,9.99,166.18,400.46
22.22,4,10,166.18,400.2
22.42,4,9.99,166.18,400.46
22.62,4,9.99,156.4,400.46
22.82,4,10,156.4,400.2
23.02,4,9.99,185.73,400.46
23.22,4,10.01,185.73,399.93
23.42,4,9.99,166.18,400.46
23.62,4,9.99,195.5,400.46
23.82,4,9.99,175.95,400.46
24.02,4,10,175.95,400.2
24.22,4,9.99,175.95,400.46
24.42,4,9.99,166.18,400.46
24.62,4,9.99,175.95,400.46
24.82,4,9.99,185.73,400.46
25.02,4,9.99,185.73,400.46
25.22,4,9.99,185.73,400.46
25.42,3.99,9.99,175.95,400
25.62,4,9.99,185.73,400.46
25.82,4,9.99,185.73,400.46
26.02,4,9.99,175.95,400.46
26.22,4,9.99,175.95,400.46
26.42,4,9.99,195.5,400.46
26.62,3.99,10,166.18,399.73
26.82,4,9.99,175.95,400.46
27.02,4,9.99,185.73,400.46
27.22,4,9.99,175.95,400.46
27.42,4,9.99,185.73,400.46
27.62,4,9.99,195.5,400.46
27.82,4,9.99,185.73,400.46
28.02,4,10,175.95,400.2
28.22,4,9.99,175.95,400.46
28.42,4,9.99,166.18,400.46
28.62,4,10,185.73,400.2
28.82,4,9.99,185.73,400.46
29.02,4,9.99,175.95,400.46
29.22,4,10,175.95,400.2
29.42,4,9.99,175.95,400.46
29.62,3.99,9.99,175.95,400
29.82,4,9.99,175.95,400.46
30.02,4,9.99,195.5,400.46
30.22,4,9.99,166.18,400.46
30.42,4,9.99,185.73,400.46
30.62,4,10,185.73,400.2
30.82,4,10,166.18,400.2
31.02,4,9.99,185.73,400.46
31.22,4,9.99,205.28,400.46
31.42,4,9.99,185.73,400.46
31.62,4,9.99,185.73,400.46
31.82,4,9.97,205.28,400.73
32.02,4,9.99,175.95,400.46
32.22,4,9.99,185.73,400.46
32.42,4,9.97,195.5,400.73
32.62,4,9.99,185.73,400.46
32.82,4,9.99,195.5,400.46
33.02,4,9.99,195.5,400.46
33.22,4,9.99,175.95,400.46
33.42,3.99,9.99,195.5,400
33.62,4,9.99,185.73,400.46
33.82,4,10,166.18,400.2
34.02,4,9.99,185.73,400.46
34.22,3.99,9.99,185.73,400
34.42,4,9.99,185.73,400.46
34.62,4,9.99,195.5,400.46
34.82,4,9.99,195.5,400.46
35.02,4,9.99,175.95,400.46
35.22,4,9.99,205.28,400.46
35.42,4,9.99,175.95,400.46
35.62,4,9.99,175.95,400.46
35.82,4,9.97,195.5,400.73
36.02,4,9.99,185.73,400.46
36.22,4,9.99,175.95,400.46
36.42,4,9.97,205.28,400.73
36.62,4,10,175.95,400.2
36.82,4,9.99,185.73,400.46
37.02,4,10,195.5,400.2
37.22,4,10,195.5,400.2
37.42,4,9.99,195.5,400.46
37.62,4,9.99,185.73,400.46
37.82,4,9.99,175.95,400.46
38.02,4,9.99,185.73,400.46
38.22,4,9.99,175.95,400.46
38.42,4,9.99,175.95,400.46
38.62,4,9.99,195.5,400.46
38.82,4,9.99,195.5,400.46
39.02,4,9.99,175.95,400.46
39.22,4,9.99,195.5,400.46
39.42,4,9.99,195.5,400.46
39.62,4,10,185.73,400.2
39.82,4,9.99,195.5,400.46
40.02,4,9.99,185.73,400.46
40.22,4,9.99,195.5,400.46
40.42,4,9.99,195.5,400.46
40.62,4,9.99,185.73,400.46
40.82,4,10,185.73,400.2
41.02,4,9.97,195.5,400.73
41.22,4,9.99,185.73,400.46
41.42,4,10,195.5,400.2
41.62,4,9.99,185.73,400.46
41.82,4,9.99,185.73,400.46
42.02,4,10,195.5,400.2
42.22,4,9.99,205.28,400.46
42.42,3.99,10,195.5,399.73
42.62,4,9.99,205.28,400.46
42.82,4,9.99,205.28,400.46
43.02,4,9.99,205.28,400.46
43.22,4,9.97,215.05,400.73
43.42,4,9.99,215.05,400.46
43.62,4,9.99,175.95,400.46
43.82,4,10,195.5,400.2
44.02,4,9.97,205.28,400.73
44.22,4,9.99,185.73,400.46
44.42,4,9.99,205.28,400.46
44.62,4,9.99,195.5,400.46
44.82,4,10,185.73,400.2
45.02,4,9.99,195.5,400.46
45.22,4,9.99,205.28,400.46
45.42,4,9.99,195.5,400.46
45.62,4,9.99,215.05,400.46
45.82,4,9.99,205.28,400.46
46.02,4,10,185.73,400.2
46.22,4,9.99,185.73,400.46
46.42,4,10,195.5,400.2
46.62,4,9.99,175.95,400.46
46.82,4,9.99,185.73,400.46
47.02,4,9.99,175.95,400.46
47.22,4,9.99,175.95,400.46
47.42,4,9.99,205.28,400.46
47.62,4,9.99,195.5,400.46
47.82,4,9.99,195.5,400.46
48.02,4,9.99,215.05,400.46
48.22,4,9.99,215.05,400.46
48.42,4,10,195.5,400.2
48.62,4,9.99,205.28,400.46
48.82,4,9.99,205.28,400.46
49.02,4,9.99,175.95,400.46
49.22,4,9.99,185.73,400.46
49.42,4,10,185.73,400.2
49.62,4,9.99,205.28,400.46
49.82,4,9.99,205.28,400.46
50.02,4,9.99,175.95,400.46
50.22,4,9.99,195.5,400.46
50.42,4,9.99,205.28,400.46
50.62,4,9.99,195.5,400.46
50.82,4,9.99,205.28,400.46
51.02,4,9.99,205.28,400.46
51.22,4,10,195.5,400.2
51.42,4,9.99,205.28,400.46
51.62,4,9.97,195.5,400.73
51.82,4,9.99,195.5,400.46
52.02,4,9.99,215.05,400.46
52.22,4,9.99,205.28,400.46
52.42,4,9.99,195.5,400.46
52.62,4,9.99,205.28,400.46
52.82,4,10,195.5,400.2
53.02,4,9.99,195.5,400.46
53.22,4,10,185.73,400.2
53.42,3.99,9.99,175.95,400
53.62,4,9.99,205.28,400.46
53.82,4,9.99,195.5,400.46
54.02,4,9.97,195.5,400.73
54.22,4,10,205.28,400.2
54.42,4,9.99,205.28,400.46
54.62,4.01,10,195.5,400.66
54.82,4,9.99,205.28,400.46
55.02,4.01,9.99,215.05,400.93
55.22,4,9.99,175.95,400.46
55.42,4,10,205.28,400.2
55.62,4,9.99,215.05,400.46
55.82,4,9.99,195.5,400.46
56.02,4,9.99,205.28,400.46
56.22,4,9.99,215.05,400.46
56.42,4,9.99,205.28,400.46
56.62,4,9.99,205.28,400.46
56.82,4,9.99,205.28,400.46
57.02,3.99,9.99,185.73,400
57.22,4,9.99,205.28,400.46
57.42,4,9.99,224.83,400.46
57.62,3.99,9.99,195.5,400
57.82,4,9.99,205.28,400.46
58.02,4,9.99,215.05,400.46
58.22,3.99,9.99,205.28,400
58.42,4,9.99,224.83,400.46
58.62,4,9.99,215.05,400.46
58.82,4,9.99,215.05,400.46
59.02,4,9.99,205.28,400.46
59.22,4,9.99,215.05,400.46
59.42,4,10,205.28,400.2
59.62,4,9.99,205.28,400.46
59.82,3.99,9.96,195.5,400.54
60.02,4,9.99,195.5,400.46
60.22,4,10.01,215.05,399.93
60.42,4,9.99,234.6,400.46
60.62,4,10,215.05,400.2
60.82,4.01,10,215.05,400.66
61.02,3.99,10,195.5,399.73
61.22,4,9.99,205.28,400.46
61.42,4,9.99,205.28,400.46
61.62,4,9.99,224.83,400.46
61.82,4,10,215.05,400.2
62.02,4,9.99,215.05,400.46
62.22,4,10,195.5,400.2
62.42,4,9.99,195.5,400.46
62.62,4,9.99,205.28,400.46
62.82,4,9.97,224.83,400.73
63.02,3.99,9.99,215.05,400
63.22,4,10,205.28,400.2
63.42,4,10,215.05,400.2
63.62,4,9.99,195.5,400.46
63.82,4,9.99,205.28,400.46
64.02,4,9.99,215.05,400.46
64.22,4,9.93,195.5,401.55
64.42,3.99,9.99,205.28,400
64.62,4,9.97,195.5,400.73
64.82,4,9.99,205.28,400.46
65.02,4,10,224.83,400.2
65.22,4.01,10.04,215.05,399.86
65.42,4,9.99,195.5,400.46
65.62,4,9.99,205.28,400.46
65.82,4,10.04,215.05,399.39
66.02,4,10,205.28,400.2
66.22,4,10,215.05,400.2
66.42,4,10,215.05,400.2
66.62,3.99,10,195.5,399.73
66.82,4,10,215.05,400.2
67.02,4,9.99,224.83,400.46
67.22,4,9.99,195.5,400.46
67.42,4,9.99,215.05,400.46
67.62,4,10.01,224.83,399.93
67.82,4,9.99,215.05,400.46
68.02,4,9.99,215.05,400.46
68.22,4,9.99,215.05,400.46
68.42,4,10.01,215.05,399.93
68.62,4,9.99,224.83,400.46
68.82,4,9.97,215.05,400.73
69.02,3.99,9.99,205.28,400
69.22,4,9.99,215.05,400.46
69.42,4,9.99,205.28,400.46
69.62,4,9.99,215.05,400.46
69.82,4,9.99,215.05,400.46
70.02,4,9.99,234.6,400.46
70.22,3.99,9.99,215.05,400
70.42,4,9.99,224.83,400.46
70.62,4,9.99,215.05,400.46
70.82,4,9.99,215.05,400.46
71.02,4,9.99,224.83,400.46
71.22,4,9.99,215.05,400.46
