# material: PETG,,,,
# geometry: cykl,,,,
# preform_diameter: 20.0,,,,
# material_color: Clear,,,,
# temperature_C: 150.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 001,,,,
# operator: Luka Morita,,,,
# start_time: 2025-06-18 11:55:21,,,,
# notes: ,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.15,4,9.99,478.98,400.46
1.35,4,9.99,527.86,400.46
1.55,4,9.99,674.49,400.46
1.75,4,10,772.24,400.2
1.95,4,9.99,391.01,400.46
2.15,3.99,10,449.66,399.73
2.35,4,9.99,508.31,400.46
2.55,4,9.99,547.41,400.46
2.75,4,9.99,664.71,400.46
2.95,4,9.99,840.66,400.46
3.15,4,10,703.81,400.2
3.35,4,9.99,322.58,400.46
3.55,4,9.99,342.13,400.46
3.75,4,9.99,361.68,400.46
3.95,4.01,9.99,361.68,400.93
4.15,4,10,400.78,400.2
4.35,4,9.99,400.78,400.46
4.55,4,9.99,420.33,400.46
4.75,4,9.99,478.98,400.46
4.95,4,9.99,566.96,400.46
5.15,4,9.99,684.26,400.46
5.35,4,9.99,889.54,400.46
5.55,4,9.99,527.86,400.46
5.75,4.01,9.99,606.06,400.93
5.95,4,9.99,733.14,400.46
6.15,4,9.99,918.87,400.46
6.35,4,9.99,410.56,400.46
6.55,4,9.99,293.26,400.46
6.75,4,9.99,303.03,400.46
6.95,4,9.99,322.58,400.46
7.15,4,9.99,420.33,400.46
7.35,4,9.99,420.33,400.46
7.55,4,9.99,430.11,400.46
7.75,4,9.99,488.76,400.46
7.95,4,9.99,537.63,400.46
8.15,4,9.99,615.84,400.46
8.35,4,10,674.49,400.2
8.55,4,9.99,606.06,400.46
8.75,4,9.99,312.81,400.46
8.95,4,9.99,303.03,400.46
9.15,4,9.99,332.36,400.46
9.35,4.01,9.99,361.68,400.93
9.55,4,9.99,371.46,400.46
9.75,4,10,342.13,400.2
9.95,4,9.99,361.68,400.46
10.15,4,9.97,371.46,400.73
10.35,4,9.99,371.46,400.46
10.55,3.99,9.99,371.46,400
10.75,4,9.99,361.68,400.46
10.95,4,9.99,381.23,400.46
11.15,3.99,9.99,400.78,400
11.35,4,9.99,459.43,400.46
11.55,4,9.99,498.53,400.46
11.75,4,9.99,576.74,400.46
11.95,4,9.99,645.16,400.46
12.15,4,9.99,566.96,400.46
12.35,3.99,9.97,361.68,400.27
12.55,4,9.99,371.46,400.46
12.75,4,9.99,478.98,400.46
12.95,4,9.99,586.51,400.46
13.15,4,9.99,723.36,400.46
13.35,4,9.99,987.29,400.46
13.55,4,9.99,918.87,400.46
13.75,4,9.97,1221.9,400.73
13.95,3.99,9.99,1026.39,400
14.15,4,9.99,948.19,400.46
14.35,3.99,9.99,381.23,400
14.55,4,10,322.58,400.2
14.75,4,9.99,322.58,400.46
14.95,4,10,303.03,400.2
15.15,4,9.97,303.03,400.73
15.35,4,10,312.81,400.2
15.55,4,9.99,322.58,400.46
15.75,4,9.99,342.13,400.46
15.95,4,9.99,322.58,400.46
16.15,3.99,9.99,351.91,400
16.35,4,9.99,371.46,400.46
16.55,4,9.99,410.56,400.46
16.75,3.99,9.99,430.11,400
16.95,4,9.99,449.66,400.46
17.15,4,9.99,498.53,400.46
17.35,4,9.99,557.18,400.46
17.55,4,9.99,733.14,400.46
17.75,4,10,645.16,400.2
17.95,4,10,303.03,400.2
18.15,4,9.99,293.26,400.46
18.35,4,9.99,312.81,400.46
18.55,4,9.99,342.13,400.46
18.75,4,9.99,351.91,400.46
18.95,4,9.99,371.46,400.46
19.15,4,9.99,361.68,400.46
19.35,4,9.99,351.91,400.46
19.55,4,9.99,351.91,400.46
19.75,4,9.99,381.23,400.46
19.95,4,9.99,361.68,400.46
20.15,4,10,351.91,400.2
20.35,4,9.99,371.46,400.46
20.55,4,9.99,371.46,400.46
20.75,4,9.99,381.23,400.46
20.95,4,9.99,391.01,400.46
21.15,4,9.99,381.23,400.46
21.35,4,9.99,391.01,400.46
21.55,4,9.99,381.23,400.46
21.75,4,9.99,400.78,400.46
21.95,4,9.99,420.33,400.46
22.15,4,9.97,459.43,400.73
22.35,3.99,10,508.31,399.73
22.55,4,9.99,537.63,400.46
22.75,4,9.99,508.31,400.46
22.95,4,9.99,449.66,400.46
23.15,4,9.99,459.43,400.46
23.35,4,9.99,518.08,400.46
23.55,4,9.99,576.74,400.46
23.75,4,9.99,596.29,400.46
23.95,4,9.99,606.06,400.46
24.15,4,9.99,527.86,400.46
24.35,4,9.99,449.66,400.46
24.55,4,9.99,381.23,400.46
24.75,4,9.99,420.33,400.46
24.95,4,9.99,537.63,400.46
25.15,4,9.99,615.84,400.46
25.35,4,9.97,703.81,400.73
25.55,4,9.99,733.14,400.46
25.75,4,9.99,615.84,400.46
25.95,4,9.99,742.91,400.46
26.15,4,9.99,772.24,400.46
26.35,4,9.99,703.81,400.46
26.55,4,9.99,410.56,400.46
26.75,4,9.99,371.46,400.46
26.95,4,10,420.33,400.2
27.15,4,9.99,478.98,400.46
27.35,4,9.99,518.08,400.46
27.55,4,9.99,537.63,400.46
27.75,4,9.99,566.96,400.46
27.95,4,9.99,596.29,400.46
28.15,4,9.99,664.71,400.46
28.35,4,9.99,439.88,400.46
28.55,4,9.99,381.23,400.46
28.75,4,9.99,430.11,400.46
28.95,4,10,488.76,400.2
29.15,4,9.99,518.08,400.46
29.35,4,10,547.41,400.2
29.55,4,9.99,606.06,400.46
29.75,4,9.99,654.94,400.46
29.95,4,9.99,694.04,400.46
30.15,4,9.99,586.51,400.46
30.35,4,9.99,371.46,400.46
30.55,4,9.97,391.01,400.73
30.75,4,9.99,430.11,400.46
30.95,4,9.99,469.21,400.46
31.15,4,10,508.31,400.2
31.35,4,9.99,557.18,400.46
31.55,3.99,9.99,596.29,400
31.75,4,9.99,586.51,400.46
31.95,4.01,9.97,420.33,401.2
32.15,4,9.99,381.23,400.46
32.35,4,9.97,410.56,400.73
32.55,4,9.99,430.11,400.46
32.75,4,9.99,459.43,400.46
32.95,4,9.99,518.08,400.46
33.15,4,10,557.18,400.2
33.35,4,9.99,557.18,400.46
33.55,4,10,596.29,400.2
33.75,4,9.99,674.49,400.46
33.95,4,9.99,674.49,400.46
34.15,4,9.99,478.98,400.46
34.35,4,9.99,420.33,400.46
34.55,4,9.99,410.56,400.46
34.75,4,9.97,439.88,400.73
34.95,4,9.99,410.56,400.46
35.15,4,9.99,430.11,400.46
35.35,4,10,449.66,400.2
35.55,4,9.99,449.66,400.46
35.75,4,9.99,488.76,400.46
35.95,4,9.99,537.63,400.46
36.15,4,9.97,557.18,400.73
36.35,4,9.99,430.11,400.46
36.55,4,9.99,410.56,400.46
36.75,4,10,439.88,400.2
36.95,4,9.99,478.98,400.46
37.15,4,10,547.41,400.2
37.35,4,10,557.18,400.2
37.55,4,9.99,615.84,400.46
37.75,4,9.99,654.94,400.46
37.95,4,9.99,537.63,400.46
38.15,4,10,381.23,400.2
38.35,4,9.99,410.56,400.46
38.55,4,9.99,430.11,400.46
38.75,4,9.99,459.43,400.46
38.95,4,9.99,498.53,400.46
39.15,4,9.97,488.76,400.73
39.35,4,10,498.53,400.2
39.55,4,9.99,537.63,400.46
39.75,4,9.99,576.74,400.46
39.95,3.99,9.99,518.08,400
40.15,4,9.99,439.88,400.46
40.35,4,9.97,459.43,400.73
40.55,4,9.99,459.43,400.46
40.75,4,9.99,488.76,400.46
40.95,3.99,10,488.76,399.73
41.15,4,9.99,518.08,400.46
41.35,4,9.99,508.31,400.46
41.55,4,10,508.31,400.2
41.75,4,9.99,537.63,400.46
41.95,4,9.99,527.86,400.46
42.15,4,9.95,488.76,401.27
42.35,4,10,430.11,400.2
42.55,4,9.99,439.88,400.46
42.75,3.99,9.99,439.88,400
42.95,4,9.99,469.21,400.46
