# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-06-19 14:37:13
# notes: high infill
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.99,4.99,175.95,399.53
1.42,1.99,4.99,195.50,399.53
1.62,1.99,5.01,175.95,399.00
1.82,1.99,4.99,166.18,399.53
2.02,1.99,5.01,195.50,399.00
2.22,1.99,4.99,175.95,399.53
2.42,2.00,4.99,195.50,400.46
2.62,1.99,5.01,185.73,399.00
2.82,1.98,4.99,205.28,398.60
3.02,2.00,4.99,215.05,400.46
3.22,2.00,4.99,224.83,400.46
3.42,1.98,4.99,215.05,398.60
3.62,1.99,4.99,215.05,399.53
3.82,2.00,5.01,224.83,399.93
4.02,2.00,4.99,215.05,400.46
4.22,1.99,5.01,244.38,399.00
4.42,2.00,5.01,234.60,399.93
4.62,1.99,5.01,263.93,399.00
4.82,1.99,4.99,478.98,399.53
5.02,1.99,5.01,1368.52,399.00
5.22,1.98,4.99,703.81,398.60
5.42,2.00,4.99,312.81,400.46
5.62,1.99,4.99,263.93,399.53
5.82,1.99,4.99,254.15,399.53
6.02,2.00,4.99,254.15,400.46
6.22,1.99,5.01,283.48,399.00
6.42,2.00,4.99,312.81,400.46
6.62,1.99,5.01,312.81,399.00
6.82,1.99,4.99,332.36,399.53
7.02,1.99,4.99,312.81,399.53
7.22,1.99,4.99,332.36,399.53
7.42,1.99,5.01,303.03,399.00
7.62,1.99,4.99,234.60,399.53
7.82,1.99,4.99,234.60,399.53
8.02,1.99,4.99,215.05,399.53
8.22,1.99,4.99,234.60,399.53
8.42,1.99,4.99,244.38,399.53
8.62,1.98,4.99,195.50,398.60
8.82,1.99,4.98,185.73,400.07
9.02,1.99,5.01,156.40,399.00
9.22,1.98,5.01,136.85,398.06
9.42,1.99,4.99,146.63,399.53
9.62,2.00,4.99,127.08,400.46
9.82,1.99,4.99,127.08,399.53
10.02,2.00,4.99,127.08,400.46
10.22,1.99,4.99,146.63,399.53
10.42,1.99,4.99,127.08,399.53
10.62,2.00,5.01,146.63,399.93
10.82,1.99,4.99,136.85,399.53
11.02,1.99,4.99,136.85,399.53
11.22,1.99,5.01,175.95,399.00
11.42,1.99,4.99,136.85,399.53
11.62,2.00,4.99,156.40,400.46
11.82,1.99,4.99,117.30,399.53
12.02,1.99,4.98,127.08,400.07
12.22,2.00,4.99,146.63,400.46
12.42,1.98,4.99,107.53,398.60
12.62,1.99,4.99,136.85,399.53
12.82,1.99,5.01,136.85,399.00
13.02,1.98,4.99,127.08,398.60
13.22,1.99,4.99,156.40,399.53
13.42,1.98,5.01,127.08,398.06
13.62,1.98,4.99,136.85,398.60
13.82,1.99,4.99,146.63,399.53
14.02,1.98,4.99,127.08,398.60
14.22,1.99,4.99,127.08,399.53
14.42,1.99,4.99,127.08,399.53
14.62,1.98,4.99,127.08,398.60
14.82,1.99,4.99,136.85,399.53
15.02,1.98,4.99,107.53,398.60
15.22,2.00,4.99,136.85,400.46
15.42,2.00,5.01,136.85,399.93
15.62,1.99,5.01,97.75,399.00
15.82,2.00,4.99,136.85,400.46
16.02,1.99,4.99,136.85,399.53
16.22,1.98,4.99,136.85,398.60
16.42,1.99,4.99,156.40,399.53
16.62,2.00,4.99,156.40,400.46
16.82,1.99,4.99,146.63,399.53
17.02,2.00,5.01,146.63,399.93
17.22,2.00,5.01,146.63,399.93
17.42,1.99,4.99,146.63,399.53
17.62,1.99,5.01,136.85,399.00
17.82,1.99,4.99,127.08,399.53
18.02,2.00,4.99,136.85,400.46
18.22,1.99,4.98,136.85,400.07
18.42,1.99,4.99,136.85,399.53
18.62,2.00,4.99,175.95,400.46
18.82,1.99,4.99,156.40,399.53
19.02,2.00,5.01,156.40,399.93
19.22,1.99,4.99,156.40,399.53
19.42,1.98,4.99,146.63,398.60
19.62,2.00,4.99,156.40,400.46
19.82,1.98,4.99,146.63,398.60
20.02,1.99,5.01,166.18,399.00
20.22,1.99,5.01,175.95,399.00
