# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-06-12 12:38:52
# notes: Comparison of rectilinear preform to underextruded AM preform; this one's rectilinear
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.01,4.98,107.53,401.94
1.42,2.00,4.97,107.53,401.55
1.62,2.01,4.98,0.00,401.94
1.82,2.01,4.99,107.53,401.39
2.02,2.01,4.98,97.75,401.94
2.22,2.00,4.98,0.00,401.00
2.42,2.01,4.97,0.00,402.48
2.62,2.01,4.98,0.00,401.94
2.82,2.00,4.97,0.00,401.55
3.02,2.01,4.98,0.00,401.94
3.22,2.01,4.99,0.00,401.39
3.42,2.00,4.97,0.00,401.55
3.62,2.01,4.97,107.53,402.48
3.82,2.01,4.98,0.00,401.94
4.02,2.01,4.98,0.00,401.94
4.22,1.99,4.98,0.00,400.07
4.42,2.01,4.98,0.00,401.94
4.62,2.00,4.97,0.00,401.55
4.82,2.00,4.97,0.00,401.55
5.02,1.99,4.97,0.00,400.61
5.22,2.00,4.97,107.53,401.55
5.42,2.01,4.98,0.00,401.94
5.62,2.00,4.98,0.00,401.00
5.82,2.00,4.98,0.00,401.00
6.02,2.01,4.97,97.75,402.48
6.22,2.00,4.97,107.53,401.55
6.42,1.99,4.98,97.75,400.07
6.62,2.00,4.97,107.53,401.55
6.82,2.01,4.97,0.00,402.48
7.02,2.00,4.98,107.53,401.00
7.22,2.00,4.98,127.08,401.00
7.42,2.00,4.95,117.30,402.09
7.62,2.00,4.97,87.98,401.55
7.82,2.01,4.98,97.75,401.94
8.02,2.01,4.97,117.30,402.48
8.22,2.00,4.98,127.08,401.00
8.42,2.00,4.98,107.53,401.00
8.62,2.01,4.99,127.08,401.39
8.82,2.01,4.98,127.08,401.94
9.02,2.00,4.97,107.53,401.55
9.22,2.01,4.98,107.53,401.94
9.42,2.00,4.98,127.08,401.00
9.62,2.00,4.97,97.75,401.55
9.82,2.01,4.97,107.53,402.48
10.02,2.01,4.97,97.75,402.48
10.22,2.00,4.98,117.30,401.00
10.42,1.99,4.98,117.30,400.07
10.62,2.00,4.97,117.30,401.55
10.82,1.99,4.97,107.53,400.61
11.02,2.01,4.98,127.08,401.94
11.22,1.99,4.97,97.75,400.61
11.42,2.00,4.97,107.53,401.55
11.62,2.01,4.97,107.53,402.48
11.82,2.01,4.98,97.75,401.94
12.02,2.01,4.98,117.30,401.94
12.22,2.00,4.97,97.75,401.55
12.42,2.01,4.97,127.08,402.48
12.62,2.01,4.98,127.08,401.94
12.82,2.00,4.98,127.08,401.00
13.02,2.01,4.97,127.08,402.48
13.22,2.00,4.98,127.08,401.00
13.42,2.00,4.98,117.30,401.00
13.62,2.00,4.97,107.53,401.55
13.82,2.00,4.97,97.75,401.55
14.02,2.00,4.98,136.85,401.00
14.22,2.01,4.97,117.30,402.48
14.42,2.01,4.97,127.08,402.48
14.62,1.99,4.98,117.30,400.07
