# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Kevin Liu
# start_time: 2025-06-12 12:48:59
# notes: Comparison of rectilinear preform to underextruded AM preform; this one's rectilinear; 1mm in 2.5m out
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.02,2.52,576.74,402.93
1.42,1.02,2.51,615.84,404.01
1.62,1.01,2.51,625.61,402.17
1.82,1.03,2.50,654.94,406.93
2.02,1.02,2.51,674.49,404.01
2.22,1.01,2.52,703.81,399.25
2.42,1.02,2.51,752.69,404.01
2.62,1.03,2.51,752.69,405.84
2.82,1.01,2.51,733.14,402.17
3.02,1.02,2.52,694.04,402.93
3.22,1.01,2.50,674.49,403.25
3.42,1.02,2.52,654.94,402.93
3.62,1.02,2.52,684.26,402.93
3.82,1.01,2.51,694.04,402.17
4.02,1.01,2.52,694.04,401.10
4.22,1.01,2.51,664.71,400.32
4.42,1.02,2.51,742.91,404.01
4.62,1.01,2.50,713.59,403.25
4.82,1.02,2.51,703.81,404.01
5.02,1.01,2.50,684.26,403.25
5.22,1.01,2.51,713.59,402.17
5.42,1.02,2.51,723.36,404.01
5.62,1.01,2.50,733.14,401.39
5.82,1.02,2.51,752.69,404.01
6.02,1.01,2.50,762.46,401.39
6.22,1.02,2.51,772.24,404.01
6.42,1.01,2.51,723.36,400.32
6.62,1.02,2.51,742.91,404.01
6.82,1.02,2.51,733.14,404.01
7.02,1.01,2.51,713.59,402.17
7.22,1.02,2.52,694.04,402.93
7.42,1.01,2.50,703.81,403.25
7.62,1.02,2.51,645.16,404.01
7.82,1.01,2.51,674.49,400.32
8.02,1.01,2.51,694.04,402.17
8.22,1.02,2.52,684.26,402.93
8.42,1.01,2.51,703.81,402.17
8.62,1.02,2.51,684.26,404.01
8.82,1.01,2.50,694.04,403.25
9.02,1.02,2.51,703.81,404.01
9.22,1.01,2.50,694.04,403.25
9.42,1.02,2.51,684.26,404.01
9.62,1.02,2.52,625.61,402.93
9.82,1.03,2.51,684.26,405.84
10.02,1.02,2.52,694.04,402.93
10.22,1.02,2.50,674.49,405.09
10.42,1.02,2.51,694.04,404.01
10.62,1.01,2.51,703.81,402.17
10.82,1.02,2.51,742.91,404.01
11.02,1.01,2.51,742.91,400.32
11.22,1.01,2.51,742.91,402.17
11.42,1.01,2.51,869.99,402.17
11.62,1.02,2.51,752.69,404.01
11.82,1.02,2.51,782.01,404.01
12.02,1.01,2.51,772.24,402.17
12.22,1.01,2.51,733.14,400.32
12.42,1.02,2.50,713.59,405.09
12.62,1.03,2.51,684.26,405.84
12.82,1.01,2.50,674.49,401.39
13.02,1.03,2.51,674.49,405.84
13.22,1.01,2.50,713.59,401.39
13.42,1.02,2.51,723.36,404.01
13.62,1.01,2.51,684.26,400.32
13.82,1.02,2.51,694.04,404.01
14.02,1.01,2.51,723.36,402.17
14.22,1.01,2.51,742.91,402.17
14.42,1.02,2.51,742.91,404.01
14.62,1.01,2.50,713.59,403.25
14.82,1.03,2.51,713.59,405.84
15.02,1.01,2.51,733.14,402.17
15.22,1.01,2.51,772.24,402.17
15.42,1.02,2.51,762.46,404.01
15.62,1.02,2.51,791.79,404.01
15.82,1.02,2.50,811.34,405.09
16.02,1.02,2.50,811.34,405.09
16.22,1.02,2.52,811.34,402.93
16.42,1.01,2.52,782.01,399.25
16.62,1.02,2.51,752.69,404.01
16.82,1.01,2.50,733.14,403.25
17.02,1.01,2.51,703.81,402.17
17.22,1.01,2.51,674.49,402.17
17.42,1.01,2.51,654.94,402.17
17.62,1.01,2.51,654.94,402.17
17.82,1.02,2.50,703.81,405.09
18.02,1.01,2.52,752.69,401.10
18.22,1.01,2.51,733.14,402.17
18.42,1.02,2.51,762.46,404.01
18.62,1.01,2.48,742.91,404.34
18.82,1.03,2.51,742.91,405.84
19.02,1.02,2.52,772.24,402.93
19.22,1.02,2.50,772.24,405.09
19.42,1.01,2.52,782.01,401.10
19.62,1.03,2.47,821.11,409.14
19.82,1.01,2.52,821.11,401.10
20.02,1.01,2.51,821.11,400.32
20.22,1.02,2.51,801.56,404.01
20.42,1.01,2.51,723.36,402.17
20.62,1.02,2.52,742.91,402.93
20.82,1.01,2.50,723.36,401.39
21.02,1.01,2.50,723.36,403.25
21.22,1.03,2.52,713.59,404.76
21.42,1.02,2.51,684.26,404.01
21.62,1.02,2.52,674.49,402.93
21.82,1.01,2.50,664.71,403.25
22.02,1.02,2.51,664.71,404.01
22.22,1.01,2.52,635.39,401.10
22.42,1.02,2.52,674.49,402.93
22.62,1.01,2.50,615.84,403.25
22.82,1.01,2.50,606.06,403.25
23.02,1.03,2.52,615.84,404.76
23.22,1.02,2.50,645.16,405.09
23.42,1.02,2.51,606.06,404.01
23.62,1.01,2.51,606.06,402.17
23.82,1.01,2.51,615.84,402.17
24.02,1.01,2.50,625.61,403.25
24.22,1.01,2.52,664.71,399.25
24.42,1.02,2.52,703.81,402.93
24.62,1.01,2.50,752.69,403.25
24.82,1.02,2.52,694.04,402.93
25.02,1.01,2.51,664.71,402.17
25.22,1.02,2.51,674.49,404.01
25.42,1.02,2.51,664.71,404.01
25.62,1.02,2.51,645.16,404.01
25.82,1.02,2.51,674.49,404.01
26.02,1.02,2.50,664.71,405.09
26.22,1.02,2.51,654.94,404.01
26.42,1.01,2.51,586.51,402.17
26.62,1.01,2.51,606.06,402.17
26.82,1.01,2.47,606.06,403.57
27.02,1.02,2.51,606.06,404.01
27.22,1.01,2.50,586.51,401.39
27.42,1.03,2.50,606.06,406.93
27.62,1.01,2.50,586.51,403.25
27.82,1.01,2.51,566.96,402.17
28.02,1.01,2.51,596.29,402.17
28.22,1.01,2.50,615.84,403.25
28.42,1.02,2.50,606.06,405.09
28.62,1.01,2.47,596.29,405.43
28.82,1.02,2.51,576.74,404.01
29.02,1.02,2.51,547.41,404.01
29.22,1.01,2.51,566.96,402.17
29.42,1.01,2.51,547.41,400.32
29.62,1.02,2.51,596.29,404.01
29.82,1.01,2.52,566.96,401.10
30.02,1.01,2.52,566.96,401.10
30.22,1.01,2.50,586.51,403.25
30.42,1.01,2.51,566.96,402.17
30.62,1.02,2.51,606.06,404.01
30.82,1.01,2.50,635.39,401.39
31.02,1.01,2.51,664.71,402.17
31.22,1.01,2.51,674.49,402.17
31.42,1.02,2.51,694.04,404.01
31.62,1.01,2.51,694.04,402.17
31.82,1.03,2.51,694.04,405.84
32.02,1.02,2.51,674.49,404.01
32.22,1.01,2.51,674.49,402.17
32.42,1.02,2.52,694.04,402.93
32.62,1.01,2.50,654.94,401.39
32.82,1.01,2.51,635.39,402.17
33.02,1.02,2.50,606.06,405.09
33.22,1.01,2.51,625.61,402.17
33.42,1.01,2.51,654.94,402.17
33.62,1.03,2.51,645.16,405.84
