# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: clear,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 004,,,,
# operator: Kevin Liu,,,,
# start_time: 2025-06-12 15:22:52,,,,
# notes: Comparison of rectilinear preform to underextruded AM preform; rectilinear; 5mm in 12.5m out,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
6.44,5,12.5,293.26,400.06
6.64,5,12.51,293.26,399.85
6.84,5,12.5,293.26,400.06
7.04,5,12.48,303.03,400.28
7.24,5,12.48,293.26,400.28
7.44,4.99,12.51,293.26,399.48
7.64,5,12.51,303.03,399.85
7.84,5,12.5,273.7,400.06
8.04,4.99,12.5,283.48,399.69
8.24,5,12.51,293.26,399.85
8.44,5,12.5,303.03,400.06
8.64,5,12.48,283.48,400.28
8.84,5,12.51,283.48,399.85
9.04,5,12.51,273.7,399.85
9.24,5,12.5,283.48,400.06
9.44,5,12.5,273.7,400.06
9.64,5,12.5,303.03,400.06
9.84,5,12.51,303.03,399.85
10.04,5,12.51,312.81,399.85
10.24,5,12.51,283.48,399.85
10.44,5,12.51,312.81,399.85
10.64,5,12.51,293.26,399.85
10.84,5,12.51,293.26,399.85
11.04,5,12.5,283.48,400.06
11.24,5,12.51,283.48,399.85
11.44,5,12.5,283.48,400.06
11.64,5,12.5,263.93,400.06
11.84,5,12.48,283.48,400.28
12.04,5,12.48,283.48,400.28
12.24,5,12.5,273.7,400.06
12.44,5,12.52,244.38,399.63
12.64,5,12.51,263.93,399.85
12.84,5,12.51,263.93,399.85
13.04,5,12.5,303.03,400.06
13.24,5,12.52,254.15,399.63
13.44,5,12.5,283.48,400.06
13.64,5,12.51,283.48,399.85
13.84,5,12.5,303.03,400.06
14.04,5,12.51,293.26,399.85
14.24,5,12.5,263.93,400.06
14.44,5,12.51,273.7,399.85
14.64,5,12.5,283.48,400.06
14.84,5,12.51,283.48,399.85
15.04,5,12.5,273.7,400.06
15.24,5,12.51,273.7,399.85
15.44,5,12.51,254.15,399.85
15.64,5,12.5,283.48,400.06
15.84,5,12.51,273.7,399.85
16.04,5,12.5,273.7,400.06
16.24,5,12.5,263.93,400.06
16.44,5,12.48,254.15,400.28
16.64,5,12.51,263.93,399.85
16.84,5,12.5,244.38,400.06
17.04,5,12.51,234.6,399.85
17.24,5,12.51,254.15,399.85
17.44,5,12.51,254.15,399.85
17.64,5,12.5,273.7,400.06
17.84,5,12.5,273.7,400.06
18.04,5,12.51,293.26,399.85
18.24,5,12.5,283.48,400.06
18.44,5,12.51,273.7,399.85
18.64,5,12.51,273.7,399.85
18.84,5,12.5,293.26,400.06
19.04,5,12.51,293.26,399.85
19.24,5,12.5,332.36,400.06
19.44,5,12.48,303.03,400.28
19.64,5,12.5,293.26,400.06
19.84,5,12.48,283.48,400.28
20.04,5,12.51,263.93,399.85
20.24,5.01,12.5,244.38,400.44
20.44,5,12.51,244.38,399.85
20.64,5,12.5,263.93,400.06
20.84,5,12.51,254.15,399.85
21.04,5,12.5,283.48,400.06
21.24,5,12.48,263.93,400.28
21.44,5,12.5,283.48,400.06
21.64,5,12.51,283.48,399.85
21.84,5,12.51,293.26,399.85
22.04,5,12.51,283.48,399.85
22.24,5,12.5,273.7,400.06
22.44,5,12.5,273.7,400.06
22.64,5,12.5,273.7,400.06
22.84,5,12.5,283.48,400.06
23.04,5,12.5,312.81,400.06
23.24,5,12.5,283.48,400.06
23.44,5,12.51,303.03,399.85
23.64,5,12.48,273.7,400.28
23.84,5,12.51,254.15,399.85
24.04,5,12.48,263.93,400.28
24.24,5,12.51,234.6,399.85
24.44,5,12.5,254.15,400.06
24.64,5,12.48,273.7,400.28
24.84,5,12.5,283.48,400.06
25.04,5,12.52,263.93,399.63
25.24,5,12.5,273.7,400.06
25.44,5,12.51,263.93,399.85
25.64,5,12.5,283.48,400.06
25.84,5,12.51,263.93,399.85
26.04,5,12.51,244.38,399.85
26.24,5,12.5,254.15,400.06
26.44,5,12.5,254.15,400.06
26.64,5,12.5,263.93,400.06
26.84,5,12.51,263.93,399.85
27.04,5,12.48,263.93,400.28
27.24,5,12.51,254.15,399.85
27.44,5,12.5,273.7,400.06
27.64,5,12.51,263.93,399.85
27.84,5,12.5,273.7,400.06
28.04,5,12.5,244.38,400.06
28.24,5,12.5,273.7,400.06
28.44,5,12.51,254.15,399.85
28.64,5,12.51,254.15,399.85
28.84,5,12.51,254.15,399.85
29.04,5,12.48,273.7,400.28
29.24,5,12.51,273.7,399.85
29.44,5,12.5,273.7,400.06
29.64,5,12.51,244.38,399.85
29.84,5,12.51,263.93,399.85
30.04,5,12.51,244.38,399.85
30.24,5,12.51,263.93,399.85
30.44,5,12.5,254.15,400.06
30.64,5.01,12.51,254.15,400.22
30.84,5,12.5,244.38,400.06
31.04,5,12.5,234.6,400.06
31.24,5,12.48,254.15,400.28
31.44,5,12.5,224.83,400.06
31.64,5,12.5,254.15,400.06
31.84,5,12.52,303.03,399.63
32.04,5,12.5,283.48,400.06
32.24,5,12.51,244.38,399.85
32.44,5,12.5,254.15,400.06
32.64,5,12.51,263.93,399.85
32.84,5,12.5,244.38,400.06
33.04,5,12.51,263.93,399.85
33.24,5,12.5,254.15,400.06
33.44,5,12.51,244.38,399.85
33.64,5,12.51,234.6,399.85
33.84,5,12.51,254.15,399.85
34.04,5,12.5,244.38,400.06
34.24,5,12.5,244.38,400.06
34.44,5,12.5,244.38,400.06
34.64,5,12.5,263.93,400.06
34.84,5,12.51,244.38,399.85
35.04,5,12.51,254.15,399.85
35.24,5,12.52,234.6,399.63
35.44,5,12.5,263.93,400.06
35.64,5,12.48,244.38,400.28
35.84,5,12.5,254.15,400.06
36.04,5,12.51,254.15,399.85
36.24,5,12.5,244.38,400.06
36.44,5,12.51,263.93,399.85
36.64,5,12.51,234.6,399.85
36.84,5,12.5,254.15,400.06
37.04,5,12.51,254.15,399.85
37.24,5,12.5,254.15,400.06
37.44,5,12.51,263.93,399.85
37.64,5,12.5,244.38,400.06
37.84,5,12.51,244.38,399.85
38.04,5,12.5,254.15,400.06
38.24,5,12.51,234.6,399.85
38.44,5,12.5,254.15,400.06
38.64,5,12.52,234.6,399.63
38.84,5,12.5,254.15,400.06
39.04,5,12.5,234.6,400.06
39.24,5,12.48,263.93,400.28
