# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: feedback_system
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-06-17 16:14:49
# notes: Uses active feedback control system
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
49, 1.99, 4.97, 342.13, 381.32
51, 1.99, 4.97, 361.68, 381.32
53, 2.00, 4.97, 400.78, 382.21
55, 1.99, 4.97, 361.68, 381.32
57, 2.00, 4.97, 322.58, 382.21
59, 2.00, 4.86, 312.81, 386.43
61, 1.99, 4.86, 342.13, 385.53
63, 2.00, 4.86, 361.68, 386.43
65, 2.01, 4.86, 322.58, 387.33
67, 2.00, 4.86, 322.58, 386.43
69, 1.99, 4.86, 322.58, 385.53
71, 2.00, 4.86, 322.58, 386.43
73, 2.01, 4.86, 322.58, 387.33
75, 1.99, 4.86, 351.91, 385.53
77, 2.00, 4.86, 391.01, 386.43
79, 2.00, 4.86, 391.01, 386.43
81, 2.00, 4.86, 400.78, 386.43
83, 2.00, 4.86, 381.23, 386.43
85, 2.01, 4.86, 439.88, 387.33
87, 2.00, 4.86, 469.21, 386.43
89, 1.99, 4.86, 459.43, 385.53
91, 2.00, 4.86, 459.43, 386.43
93, 1.99, 4.86, 439.88, 385.53
95, 2.00, 4.86, 420.33, 386.43
97, 2.01, 4.86, 430.11, 387.33
99, 2.00, 4.86, 381.23, 386.43
101, 2.00, 4.86, 342.13, 386.43
103, 1.99, 4.86, 332.36, 385.53
105, 2.00, 4.86, 381.23, 386.43
107, 1.99, 4.86, 371.46, 385.53
109, 1.99, 4.86, 371.46, 385.53
111, 2.00, 4.86, 439.88, 386.43
113, 1.99, 4.86, 420.33, 385.53
115, 2.01, 4.86, 361.68, 387.33
117, 1.99, 4.86, 342.13, 385.53
119, 2.00, 4.86, 322.58, 386.43
121, 1.99, 4.86, 342.13, 385.53
123, 2.00, 4.86, 312.81, 386.43
125, 1.99, 4.86, 303.03, 385.53
127, 2.00, 4.86, 342.13, 386.43
129, 2.00, 4.86, 312.81, 386.43
131, 1.99, 4.86, 342.13, 385.53
133, 2.01, 4.86, 322.58, 387.33
135, 1.99, 4.86, 273.70, 385.53
137, 2.00, 4.86, 283.48, 386.43
139, 1.99, 4.86, 263.93, 385.53
141, 1.99, 4.86, 303.03, 385.53
143, 2.01, 4.86, 303.03, 387.33
145, 1.99, 4.86, 342.13, 385.53
147, 2.00, 4.86, 342.13, 386.43
149, 1.99, 4.86, 293.26, 385.53
151, 2.00, 4.86, 273.70, 386.43
153, 2.00, 4.76, 263.93, 390.80
155, 1.99, 4.76, 244.38, 389.89
157, 2.01, 4.76, 263.93, 391.70
159, 1.99, 4.76, 283.48, 389.89
161, 2.00, 4.76, 254.15, 390.80
163, 2.00, 4.76, 273.70, 390.80
165, 1.99, 4.76, 263.93, 389.89
167, 1.99, 4.76, 234.60, 389.89
169, 1.99, 4.76, 293.26, 389.89
171, 2.00, 4.76, 273.70, 390.80
173, 2.00, 4.76, 303.03, 390.80
175, 1.99, 4.76, 303.03, 389.89
177, 2.00, 4.76, 293.26, 390.80
179, 2.00, 4.76, 263.93, 390.80
181, 2.00, 4.76, 283.48, 390.80
183, 2.00, 4.76, 322.58, 390.80
185, 1.99, 4.76, 312.81, 389.89
187, 2.00, 4.76, 312.81, 390.80
189, 1.99, 4.76, 381.23, 389.89
191, 2.00, 4.76, 371.46, 390.80
193, 2.00, 4.76, 351.91, 390.80
195, 1.99, 4.76, 342.13, 389.89
197, 2.00, 4.76, 312.81, 390.80
199, 2.01, 4.76, 322.58, 391.70
201, 1.99, 4.65, 303.03, 394.39
203, 2.00, 4.65, 322.58, 395.31
205, 1.99, 4.65, 361.68, 394.39
207, 2.00, 4.65, 351.91, 395.31
209, 1.99, 4.65, 361.68, 394.39
211, 2.00, 4.65, 371.46, 395.31
213, 1.99, 4.65, 322.58, 394.39
215, 1.99, 4.65, 283.48, 394.39
217, 2.00, 4.65, 254.15, 395.31
219, 2.00, 4.65, 254.15, 395.31
221, 2.00, 4.65, 244.38, 395.31
223, 2.00, 4.65, 234.60, 395.31
225, 2.00, 4.65, 234.60, 395.31
227, 2.00, 4.65, 234.60, 395.31
229, 1.99, 4.65, 234.60, 394.39
231, 1.99, 4.65, 234.60, 394.39
233, 2.00, 4.65, 185.73, 395.31
235, 2.00, 4.54, 224.83, 399.99
237, 2.00, 4.54, 234.60, 399.99
239, 2.00, 4.54, 215.05, 399.99
241, 1.99, 4.54, 244.38, 399.06
243, 2.00, 4.54, 254.15, 399.99
245, 2.00, 4.54, 254.15, 399.99
247, 2.00, 4.54, 234.60, 399.99
249, 2.00, 4.54, 273.70, 399.99
251, 2.00, 4.54, 273.70, 399.99
253, 2.00, 4.54, 273.70, 399.99
255, 1.99, 4.54, 283.48, 399.06
257, 2.00, 4.54, 263.93, 399.99
259, 2.00, 4.54, 293.26, 399.99
261, 1.99, 4.54, 273.70, 399.06
263, 2.00, 4.54, 293.26, 399.99
265, 2.00, 4.43, 303.03, 404.84
267, 2.00, 4.43, 273.70, 404.84
269, 2.00, 4.43, 283.48, 404.84
271, 1.99, 4.43, 263.93, 403.90
273, 2.00, 4.43, 234.60, 404.84
275, 1.99, 4.43, 244.38, 403.90
277, 1.99, 4.43, 244.38, 403.90
279, 2.00, 4.43, 263.93, 404.84
281, 2.00, 4.43, 283.48, 404.84
283, 2.01, 4.43, 263.93, 405.78
285, 1.99, 4.43, 254.15, 403.90
287, 2.00, 4.43, 244.38, 404.84
289, 2.01, 4.43, 254.15, 405.78
291, 2.00, 4.43, 263.93, 404.84
293, 2.00, 4.32, 283.48, 409.87
295, 2.00, 4.32, 273.70, 409.87
297, 2.00, 4.32, 244.38, 409.87
299, 1.99, 4.32, 263.93, 408.92
301, 2.00, 4.32, 254.15, 409.87
303, 2.01, 4.32, 283.48, 410.82
305, 1.99, 4.32, 303.03, 408.92
307, 2.00, 4.32, 254.15, 409.87
309, 2.00, 4.32, 273.70, 409.87
311, 2.00, 4.32, 273.70, 409.87
313, 2.00, 4.32, 283.48, 409.87
315, 1.99, 4.32, 263.93, 408.92
317, 2.00, 4.32, 273.70, 409.87
319, 2.00, 4.22, 303.03, 415.09
321, 1.99, 4.22, 312.81, 414.12
323, 2.00, 4.22, 303.03, 415.09
325, 1.99, 4.22, 322.58, 414.12
327, 1.99, 4.22, 293.26, 414.12
329, 2.00, 4.22, 263.93, 415.09
331, 1.99, 4.22, 254.15, 414.12
333, 2.00, 4.22, 293.26, 415.09
335, 1.99, 4.22, 322.58, 414.12
337, 1.99, 4.22, 303.03, 414.12
339, 2.00, 4.22, 312.81, 415.09
