# material: PETG
# geometry: oct0deg-annealed
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-07-14 13:33:34
# notes: Comparison between annealed and untreated. Sample was annealed at 100C for 2 hr; raster lines parallel to preform length.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.98,4.97,351.91,399.67
1.42,1.99,4.98,342.13,400.07
1.62,1.98,4.98,322.58,399.13
1.82,1.99,4.97,322.58,400.61
2.02,1.98,4.98,332.36,399.13
2.22,1.98,4.98,332.36,399.13
2.42,1.98,4.98,342.13,399.13
2.62,1.98,4.97,322.58,399.67
2.82,1.99,4.98,332.36,400.07
3.02,1.97,4.98,303.03,398.20
3.22,1.99,4.98,303.03,400.07
3.42,1.98,4.97,303.03,399.67
3.62,1.99,4.98,322.58,400.07
3.82,1.98,4.98,312.81,399.13
4.02,1.99,4.98,322.58,400.07
4.22,1.97,4.98,303.03,398.20
4.42,1.98,4.98,322.58,399.13
4.62,1.99,4.97,312.81,400.61
4.82,1.98,4.98,322.58,399.13
5.02,1.99,4.98,342.13,400.07
5.22,1.97,4.98,312.81,398.20
5.42,1.98,4.98,332.36,399.13
5.62,1.99,4.98,332.36,400.07
5.82,1.99,4.98,332.36,400.07
6.02,1.98,4.98,312.81,399.13
6.22,1.99,4.98,322.58,400.07
6.42,1.98,4.98,312.81,399.13
6.62,1.98,4.98,322.58,399.13
6.82,1.99,4.98,332.36,400.07
7.02,1.98,4.97,322.58,399.67
7.22,1.99,4.98,342.13,400.07
7.42,1.97,4.98,312.81,398.20
7.62,1.98,4.98,322.58,399.13
7.82,1.98,4.98,303.03,399.13
8.02,1.99,4.98,312.81,400.07
8.22,1.98,4.98,312.81,399.13
8.42,1.99,4.98,322.58,400.07
8.62,1.98,4.97,303.03,399.67
8.82,1.98,4.98,312.81,399.13
9.02,1.97,4.98,303.03,398.20
9.22,1.99,4.98,322.58,400.07
9.42,1.98,4.98,322.58,399.13
9.62,1.98,4.98,312.81,399.13
9.82,1.99,4.98,322.58,400.07
10.02,1.98,4.98,312.81,399.13
10.22,1.99,4.98,312.81,400.07
10.42,1.98,4.98,312.81,399.13
10.62,1.99,4.98,312.81,400.07
10.82,1.97,4.97,332.36,398.73
11.02,1.99,4.99,342.13,399.53
11.22,1.97,4.98,312.81,398.20
11.42,1.98,4.98,322.58,399.13
11.62,1.97,4.98,322.58,398.20
11.82,1.99,4.98,332.36,400.07
12.02,1.99,4.98,332.36,400.07
12.22,1.98,4.97,312.81,399.67
12.42,1.98,4.98,322.58,399.13
12.62,1.98,4.98,303.03,399.13
12.82,1.99,4.98,293.26,400.07
13.02,1.99,4.98,293.26,400.07
13.22,1.98,4.98,312.81,399.13
13.42,1.98,4.97,312.81,399.67
13.62,1.99,4.98,312.81,400.07
13.82,1.98,4.98,303.03,399.13
14.02,1.99,4.98,322.58,400.07
14.22,1.99,4.98,322.58,400.07
14.42,1.98,4.98,303.03,399.13
14.62,1.99,4.99,312.81,399.53
14.82,1.98,4.98,303.03,399.13
15.02,1.98,4.98,293.26,399.13
15.22,1.98,4.98,273.70,399.13
15.42,1.99,4.98,303.03,400.07
15.62,1.97,4.98,283.48,398.20
15.82,1.99,4.98,303.03,400.07
16.02,1.99,4.99,293.26,399.53
16.22,1.98,4.97,293.26,399.67
16.42,1.98,4.98,293.26,399.13
16.62,1.98,4.98,303.03,399.13
16.82,1.98,4.98,303.03,399.13
17.02,1.98,4.98,303.03,399.13
17.22,1.98,4.98,293.26,399.13
17.42,1.98,4.98,303.03,399.13
17.62,1.99,4.98,312.81,400.07
17.82,1.99,4.98,283.48,400.07
18.02,1.98,4.97,303.03,399.67
18.22,1.99,4.98,312.81,400.07
18.42,1.97,4.98,303.03,398.20
18.62,1.98,4.98,312.81,399.13
18.82,1.99,4.98,293.26,400.07
19.02,1.98,4.98,322.58,399.13
19.22,1.97,4.98,303.03,398.20
24.76,1.98,4.98,361.68,399.13
24.96,1.99,4.97,371.46,400.61
25.16,1.99,4.98,351.91,400.07
25.36,1.98,4.97,342.13,399.67
25.56,1.99,4.98,361.68,400.07
25.76,1.98,4.98,332.36,399.13
25.96,1.99,4.98,342.13,400.07
26.16,1.98,4.98,332.36,399.13
26.36,1.98,4.97,361.68,399.67
26.56,1.99,4.98,351.91,400.07
26.76,1.99,4.98,332.36,400.07
26.96,1.98,4.98,332.36,399.13
27.16,1.98,4.97,351.91,399.67
27.36,1.99,4.98,361.68,400.07
27.56,1.97,4.98,332.36,398.20
27.76,1.98,4.98,361.68,399.13
27.96,1.98,4.98,361.68,399.13
28.16,1.98,4.98,361.68,399.13
28.36,1.97,4.98,351.91,398.20
28.56,1.98,4.98,361.68,399.13
28.76,1.98,4.98,400.78,399.13
28.96,1.98,4.98,361.68,399.13
29.16,1.98,4.98,400.78,399.13
29.36,1.98,4.98,381.23,399.13
29.56,1.99,4.98,391.01,400.07
29.76,1.98,4.98,361.68,399.13
29.96,1.98,4.98,361.68,399.13
30.16,1.98,4.97,361.68,399.67
30.36,1.98,4.98,361.68,399.13
30.56,1.98,4.98,342.13,399.13
30.76,1.98,4.98,342.13,399.13
30.96,1.97,4.98,332.36,398.20
31.16,1.99,4.98,351.91,400.07
31.36,1.98,4.98,342.13,399.13
31.56,1.99,4.98,342.13,400.07
31.76,1.98,4.98,342.13,399.13
31.96,1.98,4.98,342.13,399.13
32.16,1.99,4.98,342.13,400.07
32.36,1.99,4.98,342.13,400.07
32.56,1.97,4.99,322.58,397.66
32.76,1.97,4.98,322.58,398.20
32.96,1.99,4.98,332.36,400.07
33.16,1.98,4.97,322.58,399.67
33.36,1.98,4.98,332.36,399.13
33.56,1.98,4.98,312.81,399.13
33.76,1.99,4.98,312.81,400.07
33.96,1.98,4.97,322.58,399.67
34.16,1.98,4.98,312.81,399.13
34.36,1.97,4.98,283.48,398.20
34.56,1.99,4.98,303.03,400.07
34.76,1.99,4.98,303.03,400.07
34.96,1.98,4.98,303.03,399.13
35.16,1.99,4.99,312.81,399.53
35.36,1.97,4.98,303.03,398.20
35.56,1.99,4.98,312.81,400.07
35.76,1.97,4.97,283.48,398.73
35.96,1.98,4.97,303.03,399.67
36.16,1.98,4.98,283.48,399.13
36.36,1.99,4.98,312.81,400.07
36.56,1.97,4.99,312.81,397.66
36.76,1.99,4.98,303.03,400.07
36.96,1.98,4.98,312.81,399.13
37.16,1.97,4.98,303.03,398.20
37.36,1.99,4.97,293.26,400.61
37.56,1.98,4.98,293.26,399.13
37.76,1.99,4.98,303.03,400.07
37.96,1.97,4.97,283.48,398.73
38.16,1.99,4.99,293.26,399.53
38.36,1.97,4.98,303.03,398.20
38.56,1.99,4.98,303.03,400.07
38.76,1.97,4.98,312.81,398.20
38.96,1.99,4.98,322.58,400.07
39.16,1.98,4.98,312.81,399.13
39.36,1.98,4.98,293.26,399.13
39.56,1.98,4.98,303.03,399.13
39.76,1.98,4.98,293.26,399.13
39.96,1.98,4.98,312.81,399.13
40.16,1.97,4.98,283.48,398.20
40.36,1.99,4.98,283.48,400.07
40.56,1.98,4.97,283.48,399.67
40.76,1.99,4.98,312.81,400.07
40.96,1.98,4.98,283.48,399.13
41.16,1.99,4.98,312.81,400.07
41.36,1.98,4.98,312.81,399.13
41.56,1.99,4.98,322.58,400.07
41.76,1.98,4.98,293.26,399.13
41.96,1.99,4.98,303.03,400.07
42.16,1.97,4.99,273.70,397.66
42.36,1.98,4.97,303.03,399.67
42.56,1.98,4.98,303.03,399.13
42.76,1.98,4.98,293.26,399.13
42.96,1.99,4.98,312.81,400.07
43.16,1.97,4.98,303.03,398.20
43.36,1.99,4.98,303.03,400.07
43.56,1.98,4.98,312.81,399.13
43.76,1.99,4.98,293.26,400.07
43.96,1.98,4.98,283.48,399.13
44.16,1.99,4.98,312.81,400.07
44.36,1.98,4.98,293.26,399.13
44.56,1.98,4.98,293.26,399.13
