# material: PETG
# geometry: oct0deg-untreated
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-07-14 14:50:37
# notes: Comparison between annealed and untreated. Sample not heat treated; raster lines parallel to preform length.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.99,4.98,0.00,400.07
1.42,1.98,4.98,0.00,399.13
1.62,1.98,4.98,0.00,399.13
1.82,1.98,4.97,0.00,399.67
2.02,1.98,4.98,0.00,399.13
2.22,1.99,4.98,0.00,400.07
2.42,1.98,4.98,0.00,399.13
2.62,1.98,4.98,0.00,399.13
2.82,1.99,4.99,0.00,399.53
3.02,1.99,4.98,0.00,400.07
3.22,1.99,4.98,0.00,400.07
3.42,1.98,4.98,0.00,399.13
3.62,1.99,4.98,0.00,400.07
3.82,1.98,4.98,0.00,399.13
4.02,1.98,4.98,0.00,399.13
4.22,1.99,4.98,0.00,400.07
4.42,1.99,4.98,0.00,400.07
4.62,1.98,4.99,0.00,398.60
4.82,1.99,4.98,0.00,400.07
5.02,1.99,4.98,0.00,400.07
5.22,1.99,4.98,0.00,400.07
5.42,2.00,4.99,234.60,400.46
5.62,1.99,4.98,234.60,400.07
5.82,1.99,4.98,185.73,400.07
6.02,1.99,4.98,244.38,400.07
6.22,1.97,4.98,234.60,398.20
6.42,1.97,4.98,234.60,398.20
6.62,1.99,4.99,0.00,399.53
6.82,1.98,4.98,0.00,399.13
7.02,1.98,4.98,0.00,399.13
7.22,1.99,4.98,0.00,400.07
7.42,1.98,4.98,0.00,399.13
7.62,1.99,4.98,0.00,400.07
7.82,1.99,4.98,224.83,400.07
8.02,1.98,4.98,224.83,399.13
8.22,1.98,4.97,234.60,399.67
8.42,1.99,4.98,244.38,400.07
8.62,1.99,4.98,224.83,400.07
8.82,1.98,4.95,215.05,400.21
9.02,1.98,4.98,234.60,399.13
9.22,1.99,4.98,224.83,400.07
9.42,1.98,4.98,215.05,399.13
9.62,1.99,4.98,0.00,400.07
9.82,1.99,4.98,215.05,400.07
10.02,1.98,4.98,205.28,399.13
10.22,1.99,4.99,215.05,399.53
10.42,1.99,4.97,215.05,400.61
10.62,1.99,4.98,215.05,400.07
10.82,1.99,4.99,224.83,399.53
11.02,1.98,4.99,215.05,398.60
11.22,1.98,4.98,215.05,399.13
11.42,1.98,4.98,205.28,399.13
11.62,1.99,4.98,234.60,400.07
11.82,2.00,4.98,224.83,401.00
12.02,1.99,4.98,215.05,400.07
12.22,1.98,4.99,215.05,398.60
12.42,1.98,4.99,224.83,398.60
12.62,1.99,4.98,205.28,400.07
12.82,1.97,4.99,215.05,397.66
13.02,1.99,4.99,244.38,399.53
13.22,1.99,4.99,205.28,399.53
13.42,1.98,4.98,195.50,399.13
13.62,1.98,4.99,215.05,398.60
13.82,1.99,4.98,224.83,400.07
14.02,1.98,4.98,195.50,399.13
14.22,1.99,4.98,224.83,400.07
14.42,1.99,4.98,215.05,400.07
14.62,1.99,4.98,234.60,400.07
14.82,1.99,4.98,215.05,400.07
15.02,1.99,4.98,205.28,400.07
15.22,1.99,4.99,215.05,399.53
15.42,1.99,4.98,224.83,400.07
15.62,1.97,4.98,215.05,398.20
15.82,1.99,4.98,244.38,400.07
16.02,1.99,4.98,224.83,400.07
16.22,1.98,4.97,224.83,399.67
16.42,1.99,4.98,205.28,400.07
16.62,1.99,4.98,224.83,400.07
16.82,1.99,4.98,224.83,400.07
17.02,2.00,4.98,224.83,401.00
17.22,1.98,4.97,234.60,399.67
17.42,1.97,4.98,244.38,398.20
17.62,1.98,4.98,254.15,399.13
17.82,1.98,4.98,234.60,399.13
18.02,1.99,4.98,234.60,400.07
18.22,1.99,4.98,244.38,400.07
18.42,1.98,4.98,224.83,399.13
18.62,1.98,4.98,263.93,399.13
18.82,1.99,4.98,254.15,400.07
19.02,1.98,4.98,244.38,399.13
19.22,1.99,4.98,234.60,400.07
19.42,1.99,4.98,254.15,400.07
19.62,1.98,4.98,254.15,399.13
19.82,1.99,4.98,254.15,400.07
20.02,1.99,4.99,254.15,399.53
20.22,1.97,4.98,234.60,398.20
20.42,1.98,4.98,244.38,399.13
20.62,1.99,4.98,244.38,400.07
20.82,1.99,4.98,254.15,400.07
21.02,1.99,4.98,244.38,400.07
21.22,1.98,4.98,254.15,399.13
21.42,1.98,4.98,234.60,399.13
21.62,1.99,4.98,244.38,400.07
21.82,1.99,4.98,263.93,400.07
22.02,1.98,4.98,273.70,399.13
22.22,1.99,4.98,273.70,400.07
22.42,1.99,4.98,254.15,400.07
22.62,1.98,4.98,244.38,399.13
22.82,1.99,4.98,254.15,400.07
23.02,1.99,4.99,254.15,399.53
23.22,1.98,4.98,244.38,399.13
23.42,1.99,4.98,273.70,400.07
23.62,1.98,4.98,244.38,399.13
23.82,1.99,4.98,283.48,400.07
24.02,1.99,4.98,303.03,400.07
24.22,1.99,4.98,303.03,400.07
24.42,1.99,4.98,273.70,400.07
24.62,1.99,4.98,293.26,400.07
24.82,1.99,4.98,254.15,400.07
25.02,1.99,4.99,273.70,399.53
25.22,1.98,4.98,273.70,399.13
25.42,1.98,4.98,273.70,399.13
25.62,1.99,4.98,273.70,400.07
25.82,1.98,4.98,293.26,399.13
26.02,1.98,4.98,273.70,399.13
26.22,1.98,4.98,283.48,399.13
26.42,1.99,4.98,273.70,400.07
26.62,1.98,4.99,283.48,398.60
26.82,1.99,4.98,254.15,400.07
27.02,1.99,4.98,263.93,400.07
27.22,1.98,4.98,263.93,399.13
27.42,1.99,4.98,234.60,400.07
27.62,1.99,4.98,254.15,400.07
27.82,1.99,4.98,244.38,400.07
28.02,1.98,4.99,263.93,398.60
28.22,1.99,4.98,254.15,400.07
28.42,1.98,4.99,254.15,398.60
28.62,1.99,4.99,244.38,399.53
28.82,1.99,4.98,244.38,400.07
29.02,2.00,4.98,254.15,401.00
29.22,1.99,4.98,254.15,400.07
29.42,1.99,4.98,224.83,400.07
29.62,1.99,4.97,244.38,400.61
29.82,1.99,4.98,234.60,400.07
30.02,1.99,4.98,195.50,400.07
30.22,1.97,5.01,244.38,397.13
30.42,1.99,4.98,224.83,400.07
30.62,1.98,4.99,234.60,398.60
30.82,1.98,4.98,234.60,399.13
31.02,1.99,4.98,224.83,400.07
31.22,1.99,4.98,175.95,400.07
31.42,1.98,4.98,244.38,399.13
31.62,1.99,4.98,224.83,400.07
31.82,1.98,4.98,215.05,399.13
32.02,1.99,4.98,205.28,400.07
32.22,1.98,4.99,234.60,398.60
32.42,1.99,4.98,224.83,400.07
32.62,1.98,4.98,205.28,399.13
32.82,1.99,4.99,215.05,399.53
33.02,1.98,4.99,205.28,398.60
33.22,1.99,4.98,195.50,400.07
33.42,1.99,4.98,234.60,400.07
33.62,1.99,4.98,205.28,400.07
33.82,1.98,4.98,215.05,399.13
34.02,1.99,4.98,224.83,400.07
34.22,1.98,4.99,205.28,398.60
34.42,1.98,4.98,224.83,399.13
34.62,1.99,4.98,244.38,400.07
34.82,1.99,4.98,215.05,400.07
35.02,1.99,4.98,224.83,400.07
35.22,1.99,4.98,205.28,400.07
35.42,1.98,4.98,215.05,399.13
35.62,1.98,4.98,215.05,399.13
35.82,1.99,4.98,234.60,400.07
36.02,1.98,4.98,215.05,399.13
36.22,1.98,4.98,224.83,399.13
36.42,1.99,4.99,224.83,399.53
36.62,1.98,4.98,215.05,399.13
36.82,1.98,4.98,195.50,399.13
37.02,1.99,4.98,215.05,400.07
37.22,1.98,4.98,215.05,399.13
37.42,1.97,4.98,195.50,398.20
37.62,1.98,4.97,224.83,399.67
37.82,1.99,4.98,205.28,400.07
38.02,1.99,4.98,205.28,400.07
38.22,1.98,4.98,224.83,399.13
38.42,1.99,4.98,234.60,400.07
38.62,1.99,4.99,234.60,399.53
38.82,1.99,4.98,224.83,400.07
39.02,1.98,4.98,215.05,399.13
39.22,1.98,4.98,244.38,399.13
39.42,1.99,4.98,224.83,400.07
39.62,1.98,4.98,254.15,399.13
39.82,1.99,4.99,244.38,399.53
40.02,1.99,4.98,254.15,400.07
40.22,1.99,4.98,244.38,400.07
40.42,1.99,4.99,263.93,399.53
40.62,1.99,4.99,234.60,399.53
40.82,1.98,4.98,234.60,399.13
41.02,1.98,4.98,263.93,399.13
41.22,1.99,4.98,234.60,400.07
41.42,1.98,4.98,224.83,399.13
41.62,1.98,4.98,234.60,399.13
41.82,1.99,4.98,254.15,400.07
42.02,1.99,4.98,234.60,400.07
42.22,1.98,4.98,234.60,399.13
42.42,1.99,4.99,283.48,399.53
42.62,1.99,4.98,254.15,400.07
42.82,1.98,4.98,234.60,399.13
43.02,1.99,4.99,234.60,399.53
43.22,1.99,4.98,254.15,400.07
43.42,1.99,4.98,244.38,400.07
43.62,1.99,4.97,244.38,400.61
43.82,1.98,4.98,234.60,399.13
44.02,1.98,4.98,263.93,399.13
44.22,1.99,4.98,224.83,400.07
44.42,1.99,4.98,224.83,400.07
44.62,1.98,4.98,244.38,399.13
44.82,1.98,5.01,234.60,398.06
45.02,1.99,4.97,224.83,400.61
45.22,1.98,4.98,215.05,399.13
45.42,1.99,4.98,234.60,400.07
45.62,1.99,4.98,195.50,400.07
45.82,1.99,4.98,224.83,400.07
46.02,1.99,4.98,224.83,400.07
46.22,1.99,4.98,195.50,400.07
46.42,1.98,4.99,205.28,398.60
46.62,1.98,4.98,224.83,399.13
46.82,1.98,4.99,224.83,398.60
47.02,1.97,4.98,254.15,398.20
47.22,1.99,4.98,224.83,400.07
47.42,1.99,4.98,205.28,400.07
47.62,1.97,4.98,215.05,398.20
