# material: PETG
# geometry: oct
# preform_diameter: 20.0
# material_color: black&white
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 003
# operator: Kevin Liu
# start_time: 2025-08-07 15:24:47
# notes: See 001&002. Same preform
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
20, 2.94, 4.97, 723.36, 463.36
22, 2.93, 4.97, 703.81, 462.63
24, 2.94, 4.97, 694.04, 463.36
26, 2.94, 4.97, 674.49, 463.36
28, 2.94, 4.97, 635.39, 463.36
30, 2.93, 4.97, 645.16, 462.63
32, 2.94, 4.97, 635.39, 463.36
34, 2.94, 4.97, 606.06, 463.36
36, 2.94, 4.97, 615.84, 463.36
38, 2.94, 4.97, 615.84, 463.36
40, 2.93, 4.97, 625.61, 462.63
42, 2.94, 4.97, 615.84, 463.36
44, 2.94, 4.97, 615.84, 463.36
46, 2.94, 4.97, 615.84, 463.36
48, 2.93, 4.97, 615.84, 462.63
50, 2.94, 4.97, 645.16, 463.36
52, 2.94, 4.97, 664.71, 463.36
54, 2.94, 4.97, 684.26, 463.36
56, 2.95, 4.97, 703.81, 464.10
58, 2.93, 4.97, 723.36, 462.63
60, 2.94, 4.97, 694.04, 463.36
62, 2.93, 4.97, 694.04, 462.63
64, 2.94, 4.97, 694.04, 463.36
66, 2.95, 4.97, 674.49, 464.10
68, 2.94, 4.97, 703.81, 463.36
70, 2.94, 4.97, 684.26, 463.36
72, 2.93, 4.97, 684.26, 462.63
74, 2.93, 4.97, 664.71, 462.63
76, 2.93, 4.97, 664.71, 462.63
78, 2.94, 4.97, 664.71, 463.36
80, 2.94, 4.97, 674.49, 463.36
82, 2.94, 4.97, 654.94, 463.36
84, 2.94, 4.97, 645.16, 463.36
86, 2.94, 4.97, 625.61, 463.36
88, 2.94, 4.97, 615.84, 463.36
90, 2.94, 4.97, 615.84, 463.36
92, 2.93, 4.97, 615.84, 462.63
94, 2.94, 4.97, 615.84, 463.36
96, 2.94, 4.97, 635.39, 463.36
