# material: PETG,,,,
# geometry: oct90deg,,,,
# preform_diameter: 20.0,,,,
# material_color: black,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 001,,,,
# operator: Kevin Liu,,,,
# start_time: 2025-06-24 16:14:56,,,,
# notes: horizontally printed; infill perpendicular to preform axis,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2,5.1,215.05,396.23
1.42,2,5.1,244.38,396.23
1.62,2,5.1,244.38,396.23
1.82,1.99,5.07,234.6,396.35
2.02,1.99,5.1,254.15,395.3
2.22,2,5.1,293.26,396.23
2.42,1.99,5.1,283.48,395.3
2.62,2,5.1,283.48,396.23
2.82,1.99,5.1,303.03,395.3
3.02,2,5.1,342.13,396.23
3.22,2,5.1,351.91,396.23
3.42,2,5.1,381.23,396.23
3.62,1.99,5.1,381.23,395.3
3.82,2,5.1,371.46,396.23
4.02,2,5.1,381.23,396.23
4.22,1.99,5.09,400.78,395.83
4.42,2,5.11,381.23,395.71
4.62,1.99,5.1,410.56,395.3
4.82,2,5.1,420.33,396.23
5.02,1.99,5.1,420.33,395.3
5.22,2,5.1,420.33,396.23
5.42,2,5.1,430.11,396.23
5.62,1.99,5.1,430.11,395.3
5.82,2,5.09,420.33,396.75
6.02,2,5.1,439.88,396.23
6.22,1.99,5.1,430.11,395.3
6.42,1.99,5.1,449.66,395.3
6.62,2,5.1,449.66,396.23
6.82,1.99,5.1,449.66,395.3
7.02,2,5.1,488.76,396.23
7.22,2,5.1,469.21,396.23
7.42,1.99,5.1,478.98,395.3
7.62,2,5.09,488.76,396.75
7.82,1.99,5.1,547.41,395.3
8.02,2,5.09,508.31,396.75
8.22,1.98,5.09,478.98,394.9
8.42,2,5.1,508.31,396.23
8.62,1.99,5.1,527.86,395.3
8.82,1.99,5.1,508.31,395.3
9.02,1.99,5.1,518.08,395.3
9.22,2,5.1,498.53,396.23
9.42,1.99,5.1,478.98,395.3
9.62,2,5.1,478.98,396.23
9.82,2,5.1,449.66,396.23
10.02,2,5.09,469.21,396.75
10.22,1.99,5.1,430.11,395.3
10.42,1.99,5.1,420.33,395.3
10.62,2,5.1,371.46,396.23
10.82,2,5.1,371.46,396.23
11.02,2,5.09,361.68,396.75
11.22,1.99,5.09,351.91,395.83
11.42,2,5.1,371.46,396.23
11.62,2,5.1,371.46,396.23
11.82,2,5.1,371.46,396.23
12.02,2,5.1,420.33,396.23
12.22,2,5.1,420.33,396.23
12.42,1.99,5.09,459.43,395.83
12.62,1.99,5.1,498.53,395.3
12.82,2,5.1,576.74,396.23
13.02,1.99,5.11,586.51,394.78
13.22,2.01,5.1,576.74,397.15
13.42,2,5.1,586.51,396.23
13.62,2,5.1,557.18,396.23
13.82,1.99,5.1,557.18,395.3
14.02,2,5.09,566.96,396.75
14.22,1.99,5.11,547.41,394.78
14.42,1.99,5.1,518.08,395.3
14.62,2,5.1,508.31,396.23
14.82,2,5.1,508.31,396.23
15.02,2,5.1,508.31,396.23
15.22,1.99,5.1,527.86,395.3
15.42,2,5.1,576.74,396.23
15.62,2,5.1,557.18,396.23
15.82,2,5.1,586.51,396.23
16.02,2,5.1,566.96,396.23
16.22,1.99,5.1,557.18,395.3
16.42,2,5.1,508.31,396.23
16.62,2,5.1,537.63,396.23
16.82,2.01,5.1,557.18,397.15
17.02,1.99,5.1,547.41,395.3
17.22,2,5.1,547.41,396.23
17.42,2,5.1,518.08,396.23
17.62,1.99,5.09,518.08,395.83
17.82,2,5.07,508.31,397.27
18.02,2,5.1,498.53,396.23
18.22,2,5.1,478.98,396.23
18.42,1.99,5.09,478.98,395.83
18.62,2,5.1,518.08,396.23
18.82,2,5.1,498.53,396.23
19.02,2,5.1,527.86,396.23
19.22,2,5.09,537.63,396.75
19.42,2,5.09,557.18,396.75
19.62,2,5.1,566.96,396.23
19.82,2,5.1,586.51,396.23
20.02,2,5.09,615.84,396.75
20.22,1.99,5.1,625.61,395.3
20.42,2,5.1,596.29,396.23
20.62,1.99,5.1,566.96,395.3
20.82,2,5.1,518.08,396.23
21.02,2,5.1,508.31,396.23
21.22,1.99,5.1,469.21,395.3
21.42,1.99,5.1,459.43,395.3
21.62,2,5.1,439.88,396.23
21.82,1.99,5.1,410.56,395.3
22.02,1.99,5.1,410.56,395.3
22.22,2,5.1,381.23,396.23
22.42,1.99,5.09,381.23,395.83
22.62,1.99,5.11,361.68,394.78
22.82,2,5.1,371.46,396.23
23.02,2,5.1,351.91,396.23
23.22,1.99,5.09,351.91,395.83
23.42,2,5.1,371.46,396.23
23.62,1.99,5.09,351.91,395.83
23.82,1.99,5.1,361.68,395.3
24.02,1.99,5.1,381.23,395.3
24.22,2,5.1,400.78,396.23
24.42,1.99,5.09,361.68,395.83
24.62,1.99,5.1,361.68,395.3
24.82,2,5.1,342.13,396.23
25.02,1.98,5.1,342.13,394.38
25.22,1.99,5.1,342.13,395.3
25.42,2,5.1,371.46,396.23
25.62,2,5.1,361.68,396.23
25.82,2,5.1,391.01,396.23
26.02,2,5.1,381.23,396.23
26.22,1.99,5.1,371.46,395.3
26.42,2,5.09,371.46,396.75
26.62,2,5.1,391.01,396.23
26.82,1.99,5.1,410.56,395.3
27.02,2,5.1,400.78,396.23
27.22,2,5.1,420.33,396.23
27.42,2,5.1,410.56,396.23
27.62,1.99,5.1,391.01,395.3
27.82,2,5.1,410.56,396.23
28.02,1.99,5.09,400.78,395.83
28.22,1.99,5.09,410.56,395.83
28.42,2,5.1,391.01,396.23
28.62,1.99,5.1,400.78,395.3
28.82,1.99,5.11,400.78,394.78
29.02,1.99,5.1,410.56,395.3
29.22,2,5.09,410.56,396.75
29.42,1.99,5.09,410.56,395.83
29.62,2,5.1,430.11,396.23
29.82,1.99,5.09,420.33,395.83
30.02,2,5.1,410.56,396.23
30.22,2,5.1,420.33,396.23
30.42,2,5.1,410.56,396.23
30.62,2,5.1,420.33,396.23
30.82,2,5.1,410.56,396.23
31.02,1.99,5.1,381.23,395.3
31.22,2,5.1,391.01,396.23
31.42,2,5.1,391.01,396.23
31.62,1.99,5.1,391.01,395.3
31.82,2,5.09,371.46,396.75
32.02,1.99,5.1,371.46,395.3
32.22,2,5.1,371.46,396.23
32.42,2,5.11,381.23,395.71
32.62,2,5.1,361.68,396.23
