# material: PETG,,,,
# geometry: oct0deg,,,,
# preform_diameter: 20.0,,,,
# material_color: black,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 001,,,,
# operator: Kevin Liu,,,,
# start_time: 2025-06-24 12:04:59,,,,
# notes: horizontally printed preform; extrusion orientation parallel with preform (0 degrees),,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2,5.07,576.74,397.27
1.42,1.99,5.09,576.74,395.83
1.62,2,5.09,547.41,396.75
1.82,2,5.09,537.63,396.75
2.02,2,5.07,508.31,397.27
2.22,2,5.07,488.76,397.27
2.42,1.98,5.09,449.66,394.9
2.62,2,5.09,469.21,396.75
2.82,2,5.09,478.98,396.75
3.02,2,5.09,469.21,396.75
3.22,1.99,5.09,488.76,395.83
3.42,2,5.09,449.66,396.75
3.62,2,5.09,439.88,396.75
3.82,1.99,5.09,449.66,395.83
4.02,1.99,5.07,430.11,396.35
4.22,1.99,5.09,410.56,395.83
4.42,2,5.07,400.78,397.27
4.62,2,5.09,410.56,396.75
4.82,1.99,5.09,400.78,395.83
5.02,1.99,5.09,400.78,395.83
5.22,2.01,5.09,400.78,397.67
5.42,1.99,5.07,391.01,396.35
5.62,1.98,5.07,391.01,395.42
5.82,1.99,5.09,400.78,395.83
6.02,2,5.07,400.78,397.27
6.22,2,5.09,371.46,396.75
6.42,2,5.07,351.91,397.27
6.62,1.99,5.09,322.58,395.83
6.82,1.99,5.09,361.68,395.83
7.02,2,5.09,342.13,396.75
7.22,2,5.09,332.36,396.75
7.42,2,5.1,332.36,396.23
7.62,2,5.09,322.58,396.75
7.82,1.99,5.07,322.58,396.35
8.02,2.01,5.09,312.81,397.67
8.22,1.99,5.05,312.81,397.4
8.42,2.01,5.09,312.81,397.67
8.62,2,5.09,322.58,396.75
8.82,2,5.09,303.03,396.75
9.02,1.98,5.07,312.81,395.42
9.22,2,5.09,332.36,396.75
9.42,2,5.07,312.81,397.27
9.62,2,5.09,342.13,396.75
9.82,2,5.09,283.48,396.75
10.02,2,5.09,322.58,396.75
10.22,1.99,5.09,322.58,395.83
10.42,2,5.09,312.81,396.75
10.62,2,5.07,293.26,397.27
10.82,2,5.09,303.03,396.75
11.02,2,5.09,273.7,396.75
11.22,2,5.09,293.26,396.75
11.42,1.99,5.1,303.03,395.3
11.62,1.99,5.09,312.81,395.83
11.82,2,5.09,322.58,396.75
12.02,2,5.1,303.03,396.23
12.22,2,5.09,293.26,396.75
12.42,1.99,5.09,273.7,395.83
12.62,1.99,5.09,283.48,395.83
12.82,1.99,5.09,293.26,395.83
13.02,2,5.09,283.48,396.75
13.22,2.01,5.09,254.15,397.67
13.42,2,5.09,283.48,396.75
13.62,1.99,5.1,273.7,395.3
13.82,2,5.09,273.7,396.75
14.02,1.99,5.09,254.15,395.83
14.22,2,5.09,283.48,396.75
14.42,2,5.09,293.26,396.75
14.62,2,5.1,312.81,396.23
14.82,1.99,5.09,322.58,395.83
15.02,2,5.09,332.36,396.75
15.22,1.99,5.09,332.36,395.83
15.42,2,5.09,361.68,396.75
15.62,1.99,5.09,351.91,395.83
15.82,2,5.09,361.68,396.75
16.02,2,5.09,361.68,396.75
16.22,2,5.09,391.01,396.75
16.42,1.99,5.1,381.23,395.3
16.62,2,5.09,439.88,396.75
16.82,1.99,5.09,430.11,395.83
17.02,2,5.09,449.66,396.75
17.22,1.99,5.09,420.33,395.83
17.42,2,5.1,430.11,396.23
17.62,2,5.07,420.33,397.27
17.82,2,5.09,410.56,396.75
18.02,1.98,5.09,391.01,394.9
18.22,2,5.09,410.56,396.75
18.42,2,5.09,391.01,396.75
18.62,2,5.09,351.91,396.75
18.82,1.99,5.09,332.36,395.83
19.02,2,5.09,351.91,396.75
19.22,1.99,5.09,332.36,395.83
19.42,2,5.09,332.36,396.75
19.62,1.99,5.09,322.58,395.83
19.82,2,5.09,332.36,396.75
20.02,2,5.09,312.81,396.75
20.22,2,5.1,342.13,396.23
20.42,1.99,5.09,342.13,395.83
