# material: PETG
# geometry: oct
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 010
# operator: Kevin Liu
# start_time: 2025-07-31 13:44:35
# notes: PI control system active. Horizontally printed preform 0 deg raster
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
76, 1.99, 4.97, 342.13, 381.32
78, 1.98, 4.97, 332.36, 380.42
80, 1.99, 4.86, 322.58, 385.53
82, 1.98, 4.86, 322.58, 384.63
84, 1.98, 4.86, 332.36, 384.63
86, 1.98, 4.86, 332.36, 384.63
88, 1.98, 4.86, 322.58, 384.63
90, 1.99, 4.86, 332.36, 385.53
92, 1.98, 4.86, 351.91, 384.63
94, 1.98, 4.86, 332.36, 384.63
96, 1.98, 4.86, 342.13, 384.63
98, 1.99, 4.86, 342.13, 385.53
100, 1.99, 4.86, 342.13, 385.53
102, 1.97, 4.86, 351.91, 383.72
104, 1.98, 4.86, 332.36, 384.63
106, 1.98, 4.86, 342.13, 384.63
108, 1.99, 4.86, 322.58, 385.53
110, 1.97, 4.86, 342.13, 383.72
112, 1.99, 4.86, 312.81, 385.53
114, 1.98, 4.86, 312.81, 384.63
116, 1.99, 4.86, 322.58, 385.53
118, 1.99, 4.86, 332.36, 385.53
120, 1.98, 4.86, 332.36, 384.63
122, 1.98, 4.86, 332.36, 384.63
124, 1.98, 4.86, 312.81, 384.63
126, 1.99, 4.86, 322.58, 385.53
128, 1.99, 4.86, 263.93, 385.53
130, 1.99, 4.76, 293.26, 389.89
132, 1.99, 4.76, 254.15, 389.89
134, 1.99, 4.76, 254.15, 389.89
136, 1.97, 4.76, 215.05, 388.06
138, 1.98, 4.76, 234.60, 388.97
140, 1.99, 4.76, 224.83, 389.89
142, 1.97, 4.76, 254.15, 388.06
144, 1.99, 4.76, 244.38, 389.89
146, 1.97, 4.76, 244.38, 388.06
148, 1.99, 4.76, 254.15, 389.89
150, 1.99, 4.76, 234.60, 389.89
152, 1.98, 4.76, 254.15, 388.97
154, 1.99, 4.76, 244.38, 389.89
156, 1.97, 4.76, 224.83, 388.06
158, 1.99, 4.76, 234.60, 389.89
160, 1.98, 4.76, 215.05, 388.97
162, 1.99, 4.76, 254.15, 389.89
164, 1.98, 4.76, 244.38, 388.97
166, 1.98, 4.65, 254.15, 393.47
168, 1.99, 4.65, 224.83, 394.39
170, 1.98, 4.65, 254.15, 393.47
172, 1.99, 4.65, 224.83, 394.39
174, 1.97, 4.65, 224.83, 392.55
176, 1.98, 4.65, 234.60, 393.47
178, 1.97, 4.65, 224.83, 392.55
180, 1.99, 4.65, 224.83, 394.39
182, 1.98, 4.65, 234.60, 393.47
184, 1.98, 4.65, 224.83, 393.47
186, 1.98, 4.65, 234.60, 393.47
188, 1.98, 4.65, 244.38, 393.47
190, 1.98, 4.65, 215.05, 393.47
192, 1.99, 4.65, 224.83, 394.39
194, 1.98, 4.54, 234.60, 398.13
196, 1.99, 4.54, 234.60, 399.06
198, 1.97, 4.54, 254.15, 397.19
200, 1.99, 4.54, 234.60, 399.06
202, 1.99, 4.54, 215.05, 399.06
204, 1.99, 4.54, 234.60, 399.06
206, 1.97, 4.54, 224.83, 397.19
208, 1.98, 4.54, 234.60, 398.13
210, 1.98, 4.54, 224.83, 398.13
212, 1.99, 4.54, 234.60, 399.06
214, 1.98, 4.54, 234.60, 398.13
216, 1.99, 4.43, 224.83, 403.90
218, 1.98, 4.43, 234.60, 402.95
220, 1.99, 4.43, 234.60, 403.90
