# material: PETG,,,,,,,,,,,,,,,,
# geometry: oct,,,,,,,,,,,,,,,,
# preform_diameter: 20.0,,,,,,,,,,,,,,,,
# material_color: black,,,,,,,,,,,,,,,,
# temperature_C: 160.0,,,,,,,,,,,,,,,,
# drawdown_ratio: 50.0,,,,,,,,,,,,,,,,
# trial_number: 011,,,,,,,,,,,,,,,,
# operator: Kevin Liu,,,,,,,,,,,,,,,,
# start_time: 2025-07-31 13:48:20,,,,,,,,,,,,,,,,
# notes: PI control system active. Horizontally printed preform 0 deg raster. 010 glitched,,,,,,,,,,,,,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),,,,,,,,,,,,
4.7,1.98,4.97,459.43,380.42,,,,,,,,,,,,
4.9,1.98,4.97,449.66,380.42,,,,,,,,,,,,
5.1,1.97,4.97,478.98,379.53,,,,,,,,,,,,
5.3,1.99,4.97,459.43,381.32,,,,,,,,,,,,
5.5,1.99,4.97,478.98,381.32,,,,,,,,,,,,
5.7,1.98,4.97,478.98,380.42,,,,,,,,,,,,
5.9,1.99,4.97,498.53,381.32,,,,,,,,,,,,
6.1,1.99,4.97,459.43,381.32,,,,,,,,,,,,
6.3,1.99,4.97,498.53,381.32,,,,,,,,,,,,
6.5,1.98,4.97,449.66,380.42,,,,,,,,,,,,
6.7,1.99,4.97,478.98,381.32,,,,,,,,,,,,
6.9,1.98,4.97,469.21,380.42,,,,,,,,,,,,
7.1,1.98,4.97,498.53,380.42,,,,,,,,,,,, 
7.3,1.99,4.97,488.76,381.32,,,,,,,,,,,,
7.5,1.97,5.08,498.53,375.47,,,,,,,,,,,,
7.7,1.98,5.08,469.21,376.35,,,,,,,,,,,,
7.9,1.98,5.08,498.53,376.35,,,,,,,,,,,,
8.1,1.99,5.08,469.21,377.24,,,,,,,,,,,,
8.3,1.98,5.08,498.53,376.35,,,,,,,,,,,,
8.5,1.99,5.08,498.53,377.24,,,,,,,,,,,,
8.7,1.97,5.08,508.31,375.47,,,,,,,,,,,,
8.9,1.98,5.08,478.98,376.35,,,,,,,,,,,,
9.1,1.99,5.08,508.31,377.24,,,,,,,,,,,,
9.3,1.98,5.08,469.21,376.35,,,,,,,,,,,,
9.5,1.98,5.08,488.76,376.35,,,,,,,,,,,,
9.7,1.98,5.08,459.43,376.35,,,,,,,,,,,,
9.9,1.98,5.08,469.21,376.35,,,,,,,,,,,,
10.1,1.97,5.08,459.43,375.47,,,,,,,,,,,,
10.3,1.99,5.08,449.66,377.24,,,,,,,,,,,,
10.5,1.99,5.08,410.56,377.24,,,,,,,,,,,,
10.7,1.98,5.08,420.33,376.35,,,,,,,,,,,,
10.9,1.99,5.08,400.78,377.24,,,,,,,,,,,,
11.1,1.98,5.08,410.56,376.35,,,,,,,,,,,,
11.3,1.97,5.08,391.01,375.47,,,,,,,,,,,,
11.5,1.98,5.08,400.78,376.35,,,,,,,,,,,,
11.7,1.99,5.08,400.78,377.24,,,,,,,,,,,,
11.9,1.99,5.08,381.23,377.24,,,,,,,,,,,,
12.1,1.98,5.08,371.46,376.35,,,,,,,,,,,,
12.3,1.97,5.19,371.46,371.54,,,,,,,,,,,,
12.5,1.98,5.19,361.68,372.41,,,,,,,,,,,,
12.7,1.99,5.19,351.91,373.29,,,,,,,,,,,,
12.9,1.99,5.19,371.46,373.29,,,,,,,,,,,,
13.1,1.98,5.19,371.46,372.41,,,,,,,,,,,,
13.3,1.98,5.19,381.23,372.41,,,,,,,,,,,,
13.5,1.99,5.19,400.78,373.29,,,,,,,,,,,,
13.7,1.99,5.19,361.68,373.29,,,,,,,,,,,,
13.9,1.99,5.19,361.68,373.29,,,,,,,,,,,,
14.1,1.99,5.19,361.68,373.29,,,,,,,,,,,,
14.3,1.98,5.19,361.68,372.41,,,,,,,,,,,,
14.5,1.99,5.19,351.91,373.29,,,,,,,,,,,,
14.7,1.98,5.19,381.23,372.41,,,,,,,,,,,,
14.9,1.99,5.19,351.91,373.29,,,,,,,,,,,,
15.1,1.98,5.19,381.23,372.41,,,,,,,,,,,,
15.3,1.99,5.19,351.91,373.29,,,,,,,,,,,,
15.5,1.98,5.19,361.68,372.41,,,,,,,,,,,,
15.7,1.98,5.19,381.23,372.41,,,,,,,,,,,,
15.9,1.97,5.19,371.46,371.54,,,,,,,,,,,,
16.1,1.99,5.19,361.68,373.29,,,,,,,,,,,,
16.3,1.98,5.19,371.46,372.41,,,,,,,,,,,,
16.5,1.99,5.19,371.46,373.29,,,,,,,,,,,,
16.7,1.98,5.19,391.01,372.41,,,,,,,,,,,,
16.9,1.99,5.19,391.01,373.29,,,,,,,,,,,,
17.1,1.98,5.19,381.23,372.41,,,,,,,,,,,,
17.3,1.99,5.19,361.68,373.29,,,,,,,,,,,,
17.5,1.98,5.19,351.91,372.41,,,,,,,,,,,,
17.7,1.98,5.19,342.13,372.41,,,,,,,,,,,,
17.9,1.99,5.19,351.91,373.29,,,,,,,,,,,,
18.1,1.99,5.19,351.91,373.29,,,,,,,,,,,,
18.3,1.97,5.19,371.46,371.54,,,,,,,,,,,,
18.5,1.99,5.19,351.91,373.29,,,,,,,,,,,,
18.7,1.99,5.19,361.68,373.29,,,,,,,,,,,,
18.9,2,5.19,371.46,374.16,,,,,,,,,,,,
19.1,1.98,5.19,391.01,372.41,,,,,,,,,,,,
19.3,1.98,5.19,361.68,372.41,,,,,,,,,,,,
19.5,1.98,5.19,361.68,372.41,,,,,,,,,,,,
19.7,1.99,5.19,361.68,373.29,,,,,,,,,,,,
19.9,1.97,5.19,371.46,371.54,,,,,,,,,,,,
20.1,1.99,5.19,361.68,373.29,,,,,,,,,,,,
20.3,1.98,5.19,381.23,372.41,,,,,,,,,,,,
20.5,1.99,5.19,371.46,373.29,,,,,,,,,,,,
20.7,1.98,5.19,361.68,372.41,,,,,,,,,,,,
20.9,1.99,5.19,361.68,373.29,,,,,,,,,,,,
21.1,2,5.19,361.68,374.16,,,,,,,,,,,,
21.3,1.99,5.19,342.13,373.29,,,,,,,,,,,,
21.5,1.97,5.19,351.91,371.54,,,,,,,,,,,,
21.7,1.98,5.19,361.68,372.41,,,,,,,,,,,,
21.9,1.98,5.19,381.23,372.41,,,,,,,,,,,,
22.1,1.99,5.08,381.23,377.24,,,,,,,,,,,,
22.3,1.98,5.08,381.23,376.35,,,,,,,,,,,,
22.5,1.99,5.08,381.23,377.24,,,,,,,,,,,,
22.7,1.98,5.08,400.78,376.35,,,,,,,,,,,,
22.9,1.98,5.08,410.56,376.35,,,,,,,,,,,,
23.1,1.98,5.08,400.78,376.35,,,,,,,,,,,,
23.3,1.99,5.08,342.13,377.24,,,,,,,,,,,,
23.5,1.98,5.08,371.46,376.35,,,,,,,,,,,,
23.7,1.99,5.08,361.68,377.24,,,,,,,,,,,,
23.9,1.99,5.08,371.46,377.24,,,,,,,,,,,,
24.1,1.98,5.08,361.68,376.35,,,,,,,,,,,,
24.3,1.98,5.08,371.46,376.35,,,,,,,,,,,,
24.5,1.99,5.08,371.46,377.24,,,,,,,,,,,,
24.7,1.99,5.08,371.46,377.24,,,,,,,,,,,,
24.9,2,5.08,361.68,378.12,,,,,,,,,,,,
25.1,1.98,5.08,381.23,376.35,,,,,,,,,,,,
25.3,1.98,5.08,361.68,376.35,,,,,,,,,,,,
25.5,1.98,5.08,381.23,376.35,,,,,,,,,,,,
25.7,1.98,5.08,371.46,376.35,,,,,,,,,,,,
25.9,1.99,5.08,371.46,377.24,,,,,,,,,,,,
26.1,1.98,5.08,391.01,376.35,,,,,,,,,,,,
26.3,1.99,5.08,351.91,377.24,,,,,,,,,,,,
26.5,1.99,5.08,351.91,377.24,,,,,,,,,,,,
26.7,1.99,5.08,351.91,377.24,,,,,,,,,,,,
26.9,1.98,5.08,361.68,376.35,,,,,,,,,,,,
27.1,1.98,5.08,332.36,376.35,,,,,,,,,,,,
27.3,1.99,5.08,351.91,377.24,,,,,,,,,,,,
27.5,1.99,5.08,351.91,377.24,,,,,,,,,,,,
27.7,1.98,5.08,342.13,376.35,,,,,,,,,,,,
27.9,1.99,5.08,332.36,377.24,,,,,,,,,,,,
28.1,1.99,5.08,342.13,377.24,,,,,,,,,,,,
28.3,1.99,5.08,342.13,377.24,,,,,,,,,,,,
28.5,1.98,5.08,332.36,376.35,,,,,,,,,,,,
28.7,1.98,5.08,322.58,376.35,,,,,,,,,,,,
28.9,1.99,5.08,351.91,377.24,,,,,,,,,,,,
29.1,1.99,5.08,351.91,377.24,,,,,,,,,,,,
29.3,1.98,5.08,371.46,376.35,,,,,,,,,,,,
29.5,1.99,5.08,371.46,377.24,,,,,,,,,,,,
29.7,1.98,5.08,371.46,376.35,,,,,,,,,,,,
29.9,1.99,5.08,361.68,377.24,,,,,,,,,,,,
30.1,1.98,5.08,371.46,376.35,,,,,,,,,,,,
30.3,1.99,5.08,342.13,377.24,,,,,,,,,,,,
30.5,1.99,5.08,342.13,377.24,,,,,,,,,,,,
30.7,1.99,5.08,312.81,377.24,,,,,,,,,,,,
30.9,1.98,5.08,332.36,376.35,,,,,,,,,,,,
31.1,1.99,5.08,312.81,377.24,,,,,,,,,,,,
31.3,1.97,5.08,351.91,375.47,,,,,,,,,,,,
31.5,1.99,5.08,322.58,377.24,,,,,,,,,,,,
31.7,1.99,5.08,332.36,377.24,,,,,,,,,,,,
31.9,1.99,5.08,322.58,377.24,,,,,,,,,,,,
32.1,1.99,4.97,332.36,381.32,,,,,,,,,,,,
32.3,1.99,4.97,332.36,381.32,,,,,,,,,,,,
32.5,1.99,4.97,361.68,381.32,,,,,,,,,,,,
32.7,1.98,4.97,371.46,380.42,,,,,,,,,,,,
32.9,1.98,4.97,498.53,380.42,,,,,,,,,,,,
33.1,1.98,4.97,703.81,380.42,,,,,,,,,,,,
33.3,1.98,4.97,527.86,380.42,,,,,,,,,,,,
33.5,1.99,4.97,420.33,381.32,,,,,,,,,,,,
33.7,1.98,4.97,410.56,380.42,,,,,,,,,,,,
