# material: PETG
# geometry: oct
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 012
# operator: Kevin Liu
# start_time: 2025-07-31 15:06:01
# notes: Same setup as 010 and 011 but with foam insulation at opening of furnace removed. I suspect molten plastic is sticking to it and gunking up
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
36, 1.98, 4.97, 498.53, 380.42
38, 1.98, 4.97, 547.41, 380.42
40, 1.98, 4.97, 635.39, 380.42
42, 1.99, 4.97, 566.96, 381.32
44, 1.99, 5.08, 635.39, 377.24
46, 1.98, 5.08, 713.59, 376.35
48, 1.98, 5.08, 674.49, 376.35
50, 1.99, 5.08, 586.51, 377.24
52, 1.98, 5.08, 527.86, 376.35
54, 1.98, 5.08, 518.08, 376.35
56, 1.98, 5.08, 547.41, 376.35
58, 1.98, 5.08, 596.29, 376.35
60, 1.99, 5.19, 742.91, 373.29
62, 1.98, 5.19, 615.84, 372.41
64, 1.99, 5.19, 586.51, 373.29
66, 1.99, 5.19, 606.06, 373.29
68, 1.98, 5.19, 576.74, 372.41
70, 1.98, 5.19, 596.29, 372.41
72, 1.98, 5.19, 625.61, 372.41
74, 1.98, 5.19, 654.94, 372.41
76, 1.99, 5.19, 625.61, 373.29
78, 1.98, 5.30, 645.16, 368.59
80, 1.99, 5.30, 625.61, 369.46
82, 1.99, 5.30, 606.06, 369.46
84, 1.98, 5.30, 586.51, 368.59
86, 1.97, 5.30, 635.39, 367.73
88, 1.98, 5.30, 596.29, 368.59
90, 1.99, 5.30, 547.41, 369.46
92, 1.99, 5.30, 547.41, 369.46
94, 1.98, 5.41, 508.31, 364.89
96, 1.99, 5.41, 488.76, 365.74
98, 1.98, 5.41, 459.43, 364.89
100, 1.99, 5.41, 449.66, 365.74
102, 1.98, 5.41, 449.66, 364.89
104, 1.99, 5.41, 420.33, 365.74
106, 1.99, 5.41, 410.56, 365.74
108, 1.99, 5.41, 430.11, 365.74
110, 1.97, 5.41, 459.43, 364.03
112, 1.99, 5.41, 420.33, 365.74
114, 1.98, 5.41, 459.43, 364.89
116, 1.99, 5.51, 566.96, 362.14
118, 1.98, 5.51, 586.51, 361.29
120, 1.99, 5.51, 606.06, 362.14
122, 1.99, 5.51, 498.53, 362.14
124, 1.98, 5.51, 508.31, 361.29
126, 1.98, 5.51, 498.53, 361.29
128, 1.98, 5.51, 518.08, 361.29
130, 1.98, 5.51, 449.66, 361.29
132, 1.98, 5.51, 518.08, 361.29
134, 1.98, 5.51, 478.98, 361.29
136, 1.98, 5.51, 537.63, 361.29
138, 1.99, 5.62, 537.63, 358.64
140, 1.99, 5.62, 557.18, 358.64
142, 1.98, 5.62, 635.39, 357.80
144, 1.99, 5.62, 635.39, 358.64
146, 1.98, 5.62, 742.91, 357.80
148, 1.99, 5.62, 596.29, 358.64
150, 1.98, 5.62, 557.18, 357.80
152, 1.99, 5.62, 508.31, 358.64
154, 1.98, 5.62, 518.08, 357.80
156, 1.99, 5.62, 459.43, 358.64
158, 1.98, 5.62, 459.43, 357.80
160, 1.99, 5.62, 420.33, 358.64
162, 1.99, 5.73, 410.56, 355.24
164, 1.99, 5.73, 430.11, 355.24
166, 1.98, 5.73, 459.43, 354.41
168, 1.98, 5.73, 537.63, 354.41
170, 1.99, 5.73, 606.06, 355.24
172, 1.98, 5.73, 576.74, 354.41
174, 1.99, 5.73, 606.06, 355.24
176, 1.99, 5.73, 684.26, 355.24
178, 1.99, 5.73, 654.94, 355.24
180, 1.99, 5.73, 508.31, 355.24
182, 1.99, 5.73, 488.76, 355.24
184, 1.98, 5.73, 576.74, 354.41
186, 1.98, 5.73, 596.29, 354.41
188, 1.98, 5.73, 596.29, 354.41
190, 1.99, 5.84, 508.31, 351.94
192, 1.99, 5.84, 430.11, 351.94
194, 1.98, 5.84, 400.78, 351.11
196, 1.99, 5.84, 439.88, 351.94
