# material: PETG
# geometry: oct
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 013
# operator: Kevin Liu
# start_time: 2025-07-31 15:20:28
# notes: Same as 012; turned up feed speed
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
30, 3.99, 4.86, 0.00, 545.22
32, 3.99, 4.86, 0.00, 545.22
34, 3.99, 4.86, 0.00, 545.22
36, 3.99, 4.86, 0.00, 545.22
38, 3.99, 4.86, 0.00, 545.22
40, 3.99, 4.86, 0.00, 545.22
42, 3.99, 4.86, 0.00, 545.22
44, 3.99, 4.86, 0.00, 545.22
46, 3.99, 4.86, 0.00, 545.22
48, 3.99, 4.86, 0.00, 545.22
50, 3.99, 4.86, 0.00, 545.22
52, 3.99, 4.86, 0.00, 545.86
54, 3.99, 4.86, 0.00, 545.22
56, 3.99, 4.86, 0.00, 545.22
58, 3.99, 4.86, 0.00, 545.22
60, 3.99, 4.86, 0.00, 545.22
62, 3.99, 4.86, 0.00, 545.22
64, 3.99, 4.86, 0.00, 545.22
66, 3.99, 4.86, 0.00, 545.22
68, 3.99, 4.86, 0.00, 545.22
70, 3.99, 4.86, 0.00, 545.22
72, 3.99, 4.86, 0.00, 545.22
74, 3.99, 4.86, 0.00, 545.22
76, 3.99, 4.86, 0.00, 545.86
78, 3.98, 4.86, 0.00, 544.58
80, 3.99, 4.86, 0.00, 545.22
82, 3.99, 4.86, 0.00, 545.22
84, 3.98, 4.86, 0.00, 544.58
86, 3.99, 4.86, 0.00, 545.22
88, 3.99, 4.86, 0.00, 545.22
90, 3.99, 4.86, 0.00, 545.22
92, 3.99, 4.86, 0.00, 545.22
94, 3.99, 4.86, 0.00, 545.22
96, 3.99, 4.86, 0.00, 545.22
98, 3.99, 4.86, 0.00, 545.22
100, 3.99, 4.86, 0.00, 545.22
102, 3.99, 4.86, 0.00, 545.22
104, 3.99, 4.86, 0.00, 545.22
106, 3.98, 4.86, 0.00, 544.58
108, 3.99, 4.86, 0.00, 545.22
110, 3.99, 4.86, 0.00, 545.22
112, 3.99, 4.86, 0.00, 545.22
114, 3.99, 4.86, 0.00, 545.22
116, 3.99, 4.86, 0.00, 545.22
118, 3.99, 4.86, 0.00, 545.22
120, 3.98, 4.86, 0.00, 544.58
122, 3.99, 4.86, 0.00, 545.22
124, 3.99, 4.86, 0.00, 545.22
126, 3.99, 4.86, 0.00, 545.22
128, 3.99, 4.86, 0.00, 545.22
130, 3.99, 4.86, 0.00, 545.22
132, 3.99, 4.86, 0.00, 545.22
134, 3.99, 4.86, 0.00, 545.22
136, 3.99, 4.86, 0.00, 545.22
138, 3.99, 4.86, 0.00, 545.22
140, 3.99, 4.86, 0.00, 545.22
142, 3.99, 4.86, 0.00, 545.22
144, 3.99, 4.86, 0.00, 545.22
146, 3.99, 4.86, 0.00, 545.22
148, 3.99, 4.86, 0.00, 545.22
150, 3.99, 4.86, 0.00, 545.22
152, 3.99, 4.86, 0.00, 545.22
154, 3.99, 4.86, 0.00, 545.22
156, 3.99, 4.86, 0.00, 545.22
158, 3.99, 4.86, 0.00, 545.22
160, 3.99, 4.86, 0.00, 545.22
162, 3.99, 4.86, 0.00, 545.22
164, 3.99, 4.86, 0.00, 545.22
166, 3.99, 4.86, 0.00, 545.22
168, 3.99, 4.86, 0.00, 545.86
170, 3.99, 4.86, 0.00, 545.22
172, 3.99, 4.86, 0.00, 545.22
174, 3.99, 4.86, 0.00, 545.22
176, 3.99, 4.86, 0.00, 545.22
178, 3.99, 4.86, 0.00, 545.22
180, 3.99, 4.86, 0.00, 545.22
182, 3.99, 4.86, 0.00, 545.22
184, 3.99, 4.86, 0.00, 545.22
