# material: PETG
# geometry: oct90deg-annealed
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-07-10 15:30:25
# notes: Comparison between annealed and untreated. Sample was annealed at 100C for 2 hr; raster lines perpendicular to preform length.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.98,4.98,254.15,399.13
1.42,1.99,4.98,263.93,400.07
1.62,1.98,4.98,273.70,399.13
1.82,1.98,4.98,263.93,399.13
2.02,1.99,4.99,244.38,399.53
2.22,1.99,4.98,263.93,400.07
2.42,1.98,4.98,244.38,399.13
2.62,1.98,4.98,215.05,399.13
2.82,1.98,4.99,224.83,398.60
3.02,1.99,4.98,215.05,400.07
3.22,1.98,4.99,185.73,398.60
3.42,1.98,4.98,195.50,399.13
3.62,1.99,4.99,185.73,399.53
3.82,1.98,4.98,195.50,399.13
4.02,1.99,4.98,205.28,400.07
4.22,1.99,4.98,195.50,400.07
4.42,1.98,4.99,215.05,398.60
4.62,1.99,4.98,224.83,400.07
4.82,1.98,4.98,234.60,399.13
5.02,1.98,4.97,254.15,399.67
5.22,1.99,4.98,254.15,400.07
5.42,1.99,4.98,283.48,400.07
5.62,1.99,4.98,273.70,400.07
5.82,1.98,4.98,273.70,399.13
6.02,1.99,4.98,283.48,400.07
6.22,1.99,4.99,263.93,399.53
6.42,1.98,4.97,263.93,399.67
6.62,1.98,4.97,283.48,399.67
6.82,1.99,4.98,293.26,400.07
7.02,1.99,4.98,303.03,400.07
7.22,1.99,4.98,312.81,400.07
7.42,1.98,4.99,283.48,398.60
7.62,1.99,4.98,303.03,400.07
7.82,1.98,4.97,303.03,399.67
8.02,1.98,4.98,273.70,399.13
8.22,1.98,4.99,293.26,398.60
8.42,1.99,4.98,254.15,400.07
8.62,1.99,4.98,254.15,400.07
8.82,1.98,4.99,244.38,398.60
9.02,1.98,4.98,263.93,399.13
9.22,1.99,4.99,263.93,399.53
9.42,1.98,4.98,205.28,399.13
9.62,1.99,4.98,175.95,400.07
9.82,1.99,4.98,195.50,400.07
10.02,1.99,4.98,156.40,400.07
10.22,1.98,4.98,175.95,399.13
10.42,1.98,4.99,185.73,398.60
10.62,1.98,4.98,166.18,399.13
10.82,1.98,4.97,175.95,399.67
11.02,1.98,4.98,175.95,399.13
11.22,1.99,4.98,175.95,400.07
11.42,1.98,4.98,205.28,399.13
11.62,1.99,4.97,215.05,400.61
11.82,1.98,4.98,195.50,399.13
12.02,1.99,4.98,234.60,400.07
12.22,1.98,4.98,234.60,399.13
12.42,1.98,4.98,215.05,399.13
12.62,1.99,4.98,215.05,400.07
12.82,1.99,4.98,215.05,400.07
13.02,1.99,4.98,215.05,400.07
13.22,1.98,4.98,195.50,399.13
13.42,1.97,4.98,215.05,398.20
13.62,1.99,4.98,224.83,400.07
13.82,1.98,4.98,195.50,399.13
14.02,1.97,4.98,166.18,398.20
14.22,1.97,4.99,166.18,397.66
14.42,1.99,4.98,185.73,400.07
14.62,1.99,4.98,166.18,400.07
