# material: PETG
# geometry: oct90deg-untreated
# preform_diameter: 20.0
# material_color: black
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Kevin Liu
# start_time: 2025-07-10 16:26:12
# notes: Comparison between annealed and untreated. Sample was untreated; raster lines perpendicular to preform length.
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.99,4.98,557.18,400.07
1.42,1.99,4.98,586.51,400.07
1.62,1.99,4.98,566.96,400.07
1.82,1.98,4.98,566.96,399.13
2.02,1.98,4.98,596.29,399.13
2.22,1.99,4.98,596.29,400.07
2.42,1.98,4.97,606.06,399.67
2.62,1.99,4.98,615.84,400.07
2.82,1.98,4.99,625.61,398.60
3.02,1.99,4.99,606.06,399.53
3.22,1.98,4.98,586.51,399.13
3.42,1.97,4.99,557.18,397.66
3.62,1.99,4.97,576.74,400.61
3.82,1.99,4.98,566.96,400.07
4.02,1.99,4.97,566.96,400.61
4.22,1.99,4.98,557.18,400.07
4.42,1.98,4.98,557.18,399.13
4.62,1.99,4.98,547.41,400.07
4.82,1.98,4.98,547.41,399.13
5.02,1.98,4.98,547.41,399.13
5.22,1.99,4.98,537.63,400.07
5.42,1.99,4.98,537.63,400.07
5.62,1.99,4.98,518.08,400.07
5.82,1.98,4.97,527.86,399.67
6.02,1.98,4.98,537.63,399.13
6.22,1.99,4.98,508.31,400.07
6.42,1.98,4.98,518.08,399.13
6.62,1.97,4.98,508.31,398.20
6.82,1.99,4.99,498.53,399.53
7.02,1.99,4.98,518.08,400.07
7.22,1.99,4.98,518.08,400.07
7.42,1.98,4.98,508.31,399.13
7.62,1.99,4.99,508.31,399.53
7.82,1.99,4.98,508.31,400.07
8.02,1.98,4.99,527.86,398.60
8.22,1.97,4.99,527.86,397.66
8.42,1.97,4.98,508.31,398.20
8.62,1.98,4.99,527.86,398.60
8.82,1.99,4.98,537.63,400.07
9.02,1.98,4.98,537.63,399.13
9.22,1.98,4.98,557.18,399.13
9.42,1.98,4.98,547.41,399.13
9.62,1.99,4.98,537.63,400.07
9.82,1.98,4.98,557.18,399.13
10.02,1.98,4.99,537.63,398.60
10.22,1.98,4.98,576.74,399.13
10.42,1.99,4.98,576.74,400.07
10.62,1.98,4.98,566.96,399.13
10.82,1.97,4.98,557.18,398.20
11.02,1.99,4.98,576.74,400.07
11.22,1.99,4.99,566.96,399.53
11.42,1.99,4.99,547.41,399.53
11.62,1.98,4.98,537.63,399.13
11.82,1.98,4.98,547.41,399.13
12.02,1.99,4.98,557.18,400.07
12.22,1.99,4.98,547.41,400.07
12.42,1.98,4.98,547.41,399.13
12.62,1.99,4.98,518.08,400.07
12.82,1.98,4.98,537.63,399.13
13.02,1.99,4.99,547.41,399.53
13.22,1.98,4.99,547.41,398.60
13.42,1.97,4.98,547.41,398.20
13.62,1.97,4.98,547.41,398.20
13.82,1.99,4.98,527.86,400.07
14.02,1.98,4.98,537.63,399.13
14.22,1.99,4.98,508.31,400.07
14.42,1.97,4.97,498.53,398.73
14.62,1.99,4.98,518.08,400.07
14.82,1.98,4.98,527.86,399.13
15.02,1.98,4.97,498.53,399.67
15.22,1.98,4.98,508.31,399.13
15.42,1.99,4.98,518.08,400.07
15.62,1.99,4.98,518.08,400.07
15.82,1.98,4.97,518.08,399.67
16.02,1.98,4.97,498.53,399.67
16.22,1.98,4.98,518.08,399.13
16.42,1.99,4.98,508.31,400.07
16.62,1.98,4.99,518.08,398.60
16.82,1.97,4.94,508.31,399.82
17.02,1.98,4.98,488.76,399.13
17.22,1.98,4.98,498.53,399.13
17.42,1.99,4.99,537.63,399.53
17.62,1.98,4.98,518.08,399.13
17.82,1.99,4.98,557.18,400.07
18.02,1.99,4.98,537.63,400.07
18.22,1.98,4.98,566.96,399.13
18.42,1.99,4.98,557.18,400.07
18.62,1.97,4.98,557.18,398.20
18.82,1.98,4.99,547.41,398.60
19.02,1.99,4.98,566.96,400.07
19.22,1.99,4.97,557.18,400.61
19.42,2.00,4.98,557.18,401.00
19.62,1.99,4.98,566.96,400.07
19.82,1.99,4.98,566.96,400.07
20.02,1.98,4.98,576.74,399.13
20.22,1.98,4.98,566.96,399.13
20.42,1.99,4.97,566.96,400.61
20.62,1.99,5.01,557.18,399.00
20.82,1.99,4.97,566.96,400.61
21.02,1.99,4.98,557.18,400.07
21.22,1.97,4.98,576.74,398.20
21.42,1.99,4.98,606.06,400.07
21.62,1.98,4.98,625.61,399.13
21.82,1.98,4.98,586.51,399.13
22.02,1.97,4.97,557.18,398.73
22.22,1.98,4.99,547.41,398.60
22.42,1.99,4.98,557.18,400.07
22.62,1.98,4.98,557.18,399.13
22.82,1.98,4.98,537.63,399.13
23.02,1.99,4.98,518.08,400.07
23.22,1.99,4.98,537.63,400.07
23.42,1.99,4.98,518.08,400.07
23.62,1.98,4.98,527.86,399.13
23.82,1.99,4.98,508.31,400.07
24.02,1.99,4.98,518.08,400.07
24.22,1.99,4.98,518.08,400.07
24.42,1.98,4.97,537.63,399.67
24.62,1.98,4.98,527.86,399.13
24.82,1.99,4.99,527.86,399.53
25.02,1.98,4.98,508.31,399.13
25.22,1.97,4.99,508.31,397.66
25.42,1.98,4.98,508.31,399.13
25.62,1.99,4.98,508.31,400.07
25.82,1.99,4.97,488.76,400.61
26.02,1.97,4.98,488.76,398.20
26.22,1.98,4.98,498.53,399.13
26.42,1.99,4.98,498.53,400.07
26.62,1.98,4.99,498.53,398.60
26.82,1.97,4.98,508.31,398.20
27.02,1.98,4.98,518.08,399.13
27.22,1.99,4.99,527.86,399.53
27.42,1.98,4.98,508.31,399.13
27.62,1.98,4.98,537.63,399.13
27.82,1.99,4.98,508.31,400.07
28.02,1.99,4.98,527.86,400.07
28.22,1.99,4.98,518.08,400.07
28.42,1.98,4.98,527.86,399.13
28.62,1.98,4.98,547.41,399.13
28.82,1.99,4.98,557.18,400.07
29.02,1.98,4.98,566.96,399.13
29.22,1.98,4.98,576.74,399.13
29.42,1.99,4.98,547.41,400.07
29.62,1.98,4.98,576.74,399.13
29.82,1.98,4.97,547.41,399.67
30.02,1.98,4.98,566.96,399.13
30.22,1.98,4.98,596.29,399.13
30.42,1.98,4.98,615.84,399.13
30.62,1.98,4.98,596.29,399.13
30.82,1.99,4.98,576.74,400.07
31.02,1.98,4.99,586.51,398.60
31.22,1.98,4.99,596.29,398.60
31.42,1.99,4.98,596.29,400.07
31.62,1.98,4.97,586.51,399.67
31.82,1.99,4.98,557.18,400.07
32.02,1.99,4.99,566.96,399.53
32.22,1.99,4.98,586.51,400.07
32.42,1.99,4.98,547.41,400.07
32.62,1.98,4.98,537.63,399.13
32.82,1.99,4.98,537.63,400.07
33.02,1.98,4.98,537.63,399.13
33.22,1.98,4.98,518.08,399.13
33.42,1.99,4.98,527.86,400.07
33.62,1.98,4.98,518.08,399.13
33.82,1.99,4.98,518.08,400.07
34.02,1.99,4.98,527.86,400.07
34.22,1.97,4.97,527.86,398.73
34.42,1.98,4.98,537.63,399.13
34.62,1.98,4.98,537.63,399.13
34.82,1.98,4.99,537.63,398.60
35.02,1.98,4.98,527.86,399.13
35.22,1.97,4.98,518.08,398.20
35.42,1.98,4.98,557.18,399.13
35.62,1.99,4.99,547.41,399.53
35.82,1.98,4.98,547.41,399.13
36.02,1.98,4.98,537.63,399.13
36.22,1.99,4.98,537.63,400.07
36.42,1.98,4.98,547.41,399.13
36.62,1.99,4.98,537.63,400.07
36.82,1.97,4.98,537.63,398.20
37.02,1.97,4.98,566.96,398.20
37.22,1.99,4.99,537.63,399.53
37.42,1.99,4.98,557.18,400.07
37.62,1.98,4.98,576.74,399.13
37.82,1.98,4.97,557.18,399.67
38.02,1.98,4.98,557.18,399.13
38.22,1.99,4.98,557.18,400.07
38.42,1.98,4.98,547.41,399.13
38.62,1.98,4.98,527.86,399.13
38.82,1.97,4.98,547.41,398.20
39.02,1.99,4.99,527.86,399.53
39.22,1.99,4.98,557.18,400.07
39.42,1.99,4.98,527.86,400.07
39.62,1.98,4.98,527.86,399.13
39.82,1.98,4.98,557.18,399.13
40.02,1.99,4.98,547.41,400.07
40.22,1.98,4.98,547.41,399.13
40.42,1.98,4.97,527.86,399.67
40.62,1.98,4.98,527.86,399.13
40.82,1.99,4.99,547.41,399.53
41.02,1.99,4.98,557.18,400.07
41.22,1.98,4.98,547.41,399.13
41.42,1.97,4.98,527.86,398.20
41.62,1.99,4.99,576.74,399.53
41.82,1.99,4.98,566.96,400.07
42.02,1.98,4.98,557.18,399.13
42.22,1.98,4.98,537.63,399.13
42.42,1.98,4.98,537.63,399.13
42.62,1.99,4.98,557.18,400.07
42.82,1.98,4.98,557.18,399.13
43.02,1.98,4.98,547.41,399.13
43.22,1.99,4.98,557.18,400.07
43.42,1.99,4.99,557.18,399.53
43.62,1.98,4.98,537.63,399.13
43.82,1.98,4.98,527.86,399.13
44.02,1.98,4.98,518.08,399.13
44.22,1.98,4.98,518.08,399.13
44.42,1.99,4.98,518.08,400.07
44.62,1.98,4.98,537.63,399.13
44.82,1.99,4.97,537.63,400.61
45.02,1.97,4.99,518.08,397.66
45.22,1.98,4.99,527.86,398.60
45.42,1.99,4.99,527.86,399.53
45.62,1.98,4.98,537.63,399.13
45.82,1.99,4.98,518.08,400.07
46.02,1.99,4.98,527.86,400.07
46.22,1.99,4.98,527.86,400.07
46.42,1.99,4.98,498.53,400.07
46.62,1.98,4.98,518.08,399.13
46.82,1.99,4.98,508.31,400.07
47.02,1.99,4.98,527.86,400.07
47.22,1.98,4.98,527.86,399.13
47.42,1.98,4.97,508.31,399.67
47.62,1.98,4.98,518.08,399.13
47.82,1.99,4.98,518.08,400.07
48.02,1.98,4.99,547.41,398.60
48.22,1.99,4.98,557.18,400.07
48.42,1.98,4.98,547.41,399.13
48.62,1.97,4.97,527.86,398.73
48.82,1.99,4.98,518.08,400.07
49.02,1.98,4.98,547.41,399.13
49.22,1.97,4.98,537.63,398.20
49.42,1.97,4.98,537.63,398.20
49.62,1.97,4.98,537.63,398.20
49.82,1.99,4.99,547.41,399.53
50.02,1.99,4.98,527.86,400.07
50.22,1.99,4.98,518.08,400.07
50.42,1.99,4.98,527.86,400.07
50.62,1.98,4.98,527.86,399.13
50.82,1.99,4.98,547.41,400.07
51.02,1.98,4.98,527.86,399.13
51.22,1.98,4.98,527.86,399.13
51.42,1.98,4.98,527.86,399.13
51.62,1.99,4.98,557.18,400.07
51.82,1.98,4.97,547.41,399.67
52.02,1.99,4.98,537.63,400.07
52.22,1.99,4.99,557.18,399.53
52.42,1.99,4.98,547.41,400.07
52.62,1.98,4.98,547.41,399.13
52.82,1.98,4.99,527.86,398.60
53.02,1.98,4.98,547.41,399.13
53.22,1.99,4.98,537.63,400.07
53.42,1.98,4.99,566.96,398.60
53.62,1.97,4.98,576.74,398.20
53.82,1.97,4.98,586.51,398.20
54.02,1.99,4.99,586.51,399.53
54.22,1.98,4.98,566.96,399.13
54.42,1.97,4.98,547.41,398.20
54.62,1.97,4.98,557.18,398.20
54.82,1.99,4.99,557.18,399.53
55.02,1.99,4.98,566.96,400.07
55.22,1.98,4.98,576.74,399.13
55.42,1.97,4.98,566.96,398.20
55.62,1.99,4.98,576.74,400.07
