# material: PETG
# geometry: oct_core&sheath
# preform_diameter: 20.0
# material_color: black&white
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-08-07 15:03:28
# notes: Precursor to (hopefully) conductive TPU fiber trials
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
31, 2.94, 4.97, 430.11, 463.36
33, 2.94, 4.97, 410.56, 463.36
35, 2.93, 4.97, 439.88, 462.63
37, 2.93, 4.97, 449.66, 462.63
39, 2.94, 4.97, 439.88, 463.36
41, 2.94, 4.97, 430.11, 463.36
43, 2.94, 4.97, 430.11, 463.36
45, 2.94, 4.97, 430.11, 463.36
47, 2.94, 4.97, 430.11, 463.36
49, 2.94, 4.97, 439.88, 463.36
51, 2.94, 4.97, 459.43, 463.36
53, 2.94, 4.97, 449.66, 463.36
55, 2.94, 4.97, 439.88, 463.36
57, 2.94, 4.97, 439.88, 463.36
59, 2.94, 4.97, 449.66, 463.36
61, 2.94, 4.97, 449.66, 463.36
63, 2.95, 4.97, 488.76, 464.10
65, 2.95, 4.97, 508.31, 464.10
67, 2.93, 4.97, 527.86, 462.63
69, 2.94, 4.97, 547.41, 463.36
71, 2.94, 4.97, 576.74, 463.36
73, 2.93, 4.97, 557.18, 462.63
75, 2.94, 4.97, 566.96, 463.36
77, 2.93, 4.97, 576.74, 462.63
79, 2.93, 5.08, 557.18, 457.68
81, 2.94, 5.08, 586.51, 458.41
83, 2.94, 5.08, 596.29, 458.41
85, 2.94, 5.08, 576.74, 458.41
87, 2.93, 5.08, 566.96, 457.68
89, 2.94, 5.08, 557.18, 458.41
91, 2.94, 5.08, 547.41, 458.41
93, 2.94, 5.08, 527.86, 458.41
95, 2.95, 5.08, 488.76, 459.13
97, 2.94, 5.08, 498.53, 458.41
99, 2.94, 5.08, 498.53, 458.41
101, 2.94, 5.08, 469.21, 458.41
103, 2.93, 5.08, 478.98, 457.68
105, 2.94, 5.08, 478.98, 458.41
107, 2.94, 5.08, 488.76, 458.41
109, 2.94, 5.08, 478.98, 458.41
111, 2.94, 5.08, 488.76, 458.41
113, 2.94, 5.08, 478.98, 458.41
115, 2.93, 5.19, 469.21, 452.89
117, 2.94, 5.19, 488.76, 453.61
119, 2.94, 5.19, 498.53, 453.61
121, 2.93, 5.19, 498.53, 452.89
123, 2.94, 5.19, 478.98, 453.61
125, 2.94, 5.19, 478.98, 453.61
127, 2.93, 5.19, 469.21, 452.89
129, 2.94, 5.19, 459.43, 453.61
131, 2.93, 5.19, 469.21, 452.89
133, 2.93, 5.19, 469.21, 452.89
135, 2.94, 5.19, 449.66, 453.61
137, 2.94, 5.19, 478.98, 453.61
139, 2.93, 5.19, 488.76, 452.89
141, 2.94, 5.19, 469.21, 453.61
143, 2.95, 5.19, 478.98, 454.32
145, 2.93, 5.19, 478.98, 452.89
147, 2.94, 5.19, 469.21, 453.61
149, 2.94, 5.19, 459.43, 453.61
151, 2.93, 5.30, 459.43, 448.24
153, 2.95, 5.30, 449.66, 449.66
155, 2.94, 5.30, 459.43, 448.95
157, 2.93, 5.30, 459.43, 448.24
159, 2.94, 5.30, 478.98, 448.95
161, 2.94, 5.30, 459.43, 448.95
163, 2.94, 5.30, 478.98, 448.95
165, 2.93, 5.30, 478.98, 448.24
167, 2.94, 5.30, 469.21, 448.95
169, 2.94, 5.30, 469.21, 448.95
171, 2.93, 5.30, 469.21, 448.24
173, 2.94, 5.30, 459.43, 448.95
175, 2.94, 5.30, 420.33, 448.95
177, 2.94, 5.30, 439.88, 448.95
179, 2.93, 5.30, 469.21, 448.24
181, 2.94, 5.30, 430.11, 448.95
183, 2.95, 5.30, 439.88, 449.66
185, 2.93, 5.30, 469.21, 448.24
187, 2.94, 5.30, 430.11, 448.95
189, 2.94, 5.30, 439.88, 448.95
191, 2.94, 5.41, 430.11, 444.44
193, 2.94, 5.41, 439.88, 444.44
195, 2.94, 5.41, 439.88, 444.44
197, 2.94, 5.41, 430.11, 444.44
199, 2.94, 5.41, 420.33, 444.44
201, 2.94, 5.41, 420.33, 444.44
203, 2.94, 5.41, 420.33, 444.44
205, 2.94, 5.41, 430.11, 444.44
207, 2.94, 5.41, 430.11, 444.44
209, 2.93, 5.41, 420.33, 443.74
211, 2.93, 5.41, 439.88, 443.74
213, 2.94, 5.41, 420.33, 444.44
215, 2.94, 5.41, 420.33, 444.44
217, 2.94, 5.41, 439.88, 444.44
219, 2.94, 5.41, 430.11, 444.44
221, 2.94, 5.41, 449.66, 444.44
223, 2.95, 5.41, 410.56, 445.14
225, 2.93, 5.41, 391.01, 443.74
227, 2.94, 5.41, 400.78, 444.44
229, 2.93, 5.41, 420.33, 443.74
231, 2.94, 5.41, 420.33, 444.44
233, 2.94, 5.41, 410.56, 444.44
235, 2.94, 5.41, 410.56, 444.44
237, 2.93, 5.41, 430.11, 443.74
239, 2.94, 5.41, 400.78, 444.44
241, 2.94, 5.41, 420.33, 444.44
243, 2.93, 5.41, 430.11, 443.74
