# material: PETG
# geometry: oct_core&sheath
# preform_diameter: 20.0
# material_color: black&white
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Kevin Liu
# start_time: 2025-08-07 15:19:29
# notes: See 001; same preform; last one crashed. Oven wasn't closed properly during this trial; probably led to stability issues toward the start
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
23, 2.94, 4.97, 557.18, 463.36
25, 2.93, 4.97, 537.63, 462.63
27, 2.94, 5.08, 703.81, 458.41
29, 2.93, 5.08, 684.26, 457.68
31, 2.94, 5.08, 410.56, 458.41
33, 2.94, 5.08, 342.13, 458.41
35, 2.93, 5.08, 293.26, 457.68
37, 2.94, 5.08, 283.48, 458.41
39, 2.94, 5.08, 351.91, 458.41
41, 2.94, 5.08, 400.78, 458.41
43, 2.94, 5.08, 439.88, 458.41
45, 2.94, 5.08, 488.76, 458.41
47, 2.93, 5.08, 469.21, 457.68
49, 2.94, 5.08, 449.66, 458.41
51, 2.93, 5.08, 449.66, 457.68
53, 2.94, 5.08, 508.31, 458.41
55, 2.94, 5.08, 351.91, 458.41
57, 2.94, 5.08, 420.33, 458.41
59, 2.94, 5.08, 439.88, 458.41
61, 2.94, 5.08, 381.23, 458.41
63, 2.94, 5.08, 478.98, 458.41
65, 2.93, 5.08, 410.56, 457.68
67, 2.93, 5.08, 410.56, 457.68
69, 2.94, 5.08, 469.21, 458.41
71, 2.94, 5.08, 420.33, 458.41
73, 2.94, 5.08, 400.78, 458.41
75, 2.94, 5.08, 381.23, 458.41
77, 2.94, 5.08, 498.53, 458.41
79, 2.93, 5.08, 303.03, 457.68
81, 2.94, 5.08, 263.93, 458.41
83, 2.94, 5.08, 303.03, 458.41
85, 2.94, 5.08, 283.48, 458.41
87, 2.94, 5.08, 518.08, 458.41
89, 2.93, 5.08, 782.01, 457.68
91, 2.94, 5.08, 625.61, 458.41
93, 2.94, 5.08, 742.91, 458.41
95, 2.93, 5.08, 576.74, 457.68
97, 2.94, 5.08, 527.86, 458.41
99, 2.94, 5.08, 322.58, 458.41
101, 2.93, 5.08, 254.15, 457.68
103, 2.94, 5.08, 342.13, 458.41
105, 2.94, 5.08, 215.05, 458.41
107, 2.95, 5.19, 303.03, 454.32
109, 2.94, 5.19, 371.46, 453.61
111, 2.93, 5.19, 351.91, 452.89
113, 2.95, 5.19, 371.46, 454.32
115, 2.93, 5.19, 391.01, 452.89
117, 2.94, 5.19, 361.68, 453.61
119, 2.94, 5.19, 303.03, 453.61
121, 2.93, 5.19, 312.81, 452.89
123, 2.94, 5.19, 293.26, 453.61
125, 2.94, 5.19, 293.26, 453.61
127, 2.94, 5.19, 371.46, 453.61
129, 2.94, 5.19, 527.86, 453.61
131, 2.94, 5.19, 733.14, 453.61
133, 2.93, 5.19, 850.44, 452.89
135, 2.94, 5.19, 459.43, 453.61
137, 2.94, 5.19, 439.88, 453.61
139, 2.93, 5.19, 371.46, 452.89
141, 2.94, 5.19, 391.01, 453.61
143, 2.94, 5.19, 557.18, 453.61
145, 2.94, 5.19, 518.08, 453.61
147, 2.94, 5.19, 459.43, 453.61
149, 2.94, 5.19, 459.43, 453.61
151, 2.94, 5.19, 635.39, 453.61
153, 2.94, 5.19, 459.43, 453.61
155, 2.94, 5.19, 381.23, 453.61
157, 2.93, 5.19, 391.01, 452.89
159, 2.94, 5.19, 420.33, 453.61
161, 2.93, 5.19, 439.88, 452.89
163, 2.94, 5.19, 342.13, 453.61
165, 2.94, 5.19, 439.88, 453.61
167, 2.94, 5.19, 752.69, 453.61
169, 2.94, 5.19, 645.16, 453.61
171, 2.94, 5.19, 576.74, 453.61
173, 2.94, 5.19, 654.94, 453.61
175, 2.94, 5.19, 488.76, 453.61
177, 2.94, 5.19, 361.68, 453.61
179, 2.93, 5.19, 615.84, 452.89
181, 2.94, 5.19, 293.26, 453.61
183, 2.94, 5.19, 312.81, 453.61
185, 2.94, 5.19, 293.26, 453.61
187, 2.94, 5.19, 391.01, 453.61
189, 2.94, 5.19, 449.66, 453.61
191, 2.94, 5.19, 527.86, 453.61
193, 2.94, 5.19, 596.29, 453.61
195, 2.94, 5.19, 635.39, 453.61
197, 2.94, 5.19, 713.59, 453.61
199, 2.94, 5.30, 527.86, 448.95
201, 2.93, 5.30, 478.98, 448.24
203, 2.94, 5.30, 576.74, 448.95
205, 2.94, 5.30, 791.79, 448.95
207, 2.94, 5.30, 889.54, 448.95
209, 2.93, 5.30, 860.21, 448.24
211, 2.94, 5.30, 918.87, 448.95
213, 2.94, 5.30, 860.21, 448.95
215, 2.94, 5.30, 703.81, 448.95
217, 2.95, 5.30, 537.63, 449.66
219, 2.94, 5.30, 684.26, 448.95
221, 2.94, 5.30, 909.09, 448.95
223, 2.94, 5.30, 938.42, 448.95
225, 2.94, 5.41, 439.88, 444.44
227, 2.93, 5.41, 361.68, 443.74
229, 2.94, 5.41, 518.08, 444.44
231, 2.94, 5.41, 586.51, 444.44
233, 2.94, 5.41, 508.31, 444.44
