# material: PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: Black,,,,
# temperature_C: 170,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 001,,,,
# operator: Luka Morita,,,,
# start_time: 2025-01-13 11:49:09,,,,
# notes: 2mm/min feed. AM Concentric. Temperature Sweep Trial.,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
0.2,1,2.5,224.83,399.53
0.4,1.01,2.51,215.05,400.32
0.6,0.99,2.43,224.83,403.12
0.8,1.01,2.47,205.28,405.43
1,0.99,2.5,195.5,397.66
1.2,1,2.5,215.05,399.53
1.4,1.01,2.55,215.05,397.15
1.6,1.01,2.54,215.05,398.2
1.8,0.99,2.5,224.83,397.66
2,1,2.52,224.83,397.4
2.2,0.99,2.51,215.05,396.6
2.4,1.01,2.5,224.83,403.25
2.6,1.03,2.54,215.05,403.69
2.8,1.01,2.54,215.05,400.04
3,1.02,2.52,195.5,402.93
3.2,1,2.48,205.28,400.61
3.4,1.01,2.43,195.5,406.9
3.6,1,2.5,175.95,399.53
3.8,1,2.51,185.73,398.46
4,1.01,2.48,234.6,402.48
4.2,1.01,2.5,195.5,403.25
4.4,1.01,2.5,234.6,403.25
4.6,1.01,2.51,254.15,402.17
4.8,1.01,2.52,244.38,401.1
5,1.01,2.5,263.93,403.25
5.2,1.01,2.48,263.93,402.48
5.4,1.01,2.52,303.03,399.25
5.6,1.01,2.51,273.7,400.32
5.8,1,2.47,254.15,401.7
6,1,2.48,244.38,400.61
6.2,1,2.51,234.6,398.46
6.4,1,2.52,234.6,397.4
6.6,1,2.51,273.7,398.46
6.8,1.01,2.51,273.7,402.17
7,1,2.54,254.15,396.35
7.2,1.01,2.48,303.03,404.34
7.4,1.01,2.51,244.38,400.32
7.6,1,2.47,244.38,401.7
7.8,1,2.5,263.93,399.53
8,1,2.51,254.15,398.46
8.2,1,2.5,263.93,399.53
8.4,1.01,2.42,244.38,408.03
8.6,1,2.54,254.15,396.35
8.8,1.01,2.48,224.83,404.34
9,1.01,2.55,224.83,397.15
9.2,1.01,2.54,224.83,398.2
9.4,1.01,2.5,224.83,401.39
9.6,1.01,2.58,205.28,396.9
9.8,1.01,2.43,205.28,406.9
10,1.01,2.55,215.05,397.15
10.2,1,2.5,175.95,399.53
10.4,1.01,2.5,195.5,401.39
10.6,0.98,2.5,205.28,395.78
10.8,1.01,2.51,195.5,402.17
11,1.01,2.5,234.6,401.39
11.2,1.01,2.5,263.93,403.25
11.4,1.01,2.54,234.6,398.2
11.6,1.01,2.44,224.83,407.66
11.8,1.01,2.47,234.6,403.57
12,1.01,2.54,244.38,398.2
12.2,1.01,2.51,254.15,400.32
12.4,1.01,2.5,234.6,403.25
12.6,1,2.4,263.93,407.27
12.8,1.01,2.4,263.93,411.06
13,1.02,2.48,254.15,406.19
13.2,1,2.48,293.26,400.61
13.4,1.01,2.5,293.26,403.25
13.6,1,2.5,273.7,399.53
13.8,1.01,2.51,283.48,400.32
14,1.01,2.47,263.93,405.43
14.2,1.01,2.5,254.15,403.25
14.4,1.01,2.51,293.26,400.32
14.6,1.01,2.55,371.46,398.98
