# material: cali
# geometry: brati
# preform_diameter: 0.0
# material_color: ntest
# temperature_C: 
# drawdown_ratio: 
# trial_number: 002
# operator: Kevin Liu
# start_time: 2025-07-22 10:59:03
# notes: Stationary fiber to test keyence measurement variability. First trial glitched
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.99,2.30,478.98,589.28
1.42,1.99,2.28,449.66,591.01
1.62,1.99,2.30,459.43,589.28
1.82,2.00,2.30,459.43,590.66
2.02,1.98,2.28,449.66,589.63
2.22,1.98,2.28,469.21,589.63
2.42,1.98,2.30,478.98,587.91
2.62,1.98,2.28,459.43,589.63
2.82,2.00,2.30,478.98,590.66
3.02,1.98,2.30,459.43,587.91
3.22,1.99,2.28,469.21,591.01
3.42,1.98,2.28,459.43,589.63
3.62,1.98,2.28,478.98,589.63
3.82,1.99,2.28,459.43,591.01
4.02,1.98,2.30,449.66,587.91
4.22,1.99,2.27,469.21,592.76
4.42,1.98,2.28,459.43,589.63
4.62,1.99,2.30,469.21,589.28
4.82,2.00,2.30,478.98,590.66
5.02,1.98,2.30,459.43,587.91
5.22,1.98,2.28,459.43,589.63
5.42,1.99,2.28,469.21,591.01
5.62,1.98,2.28,478.98,589.63
5.82,1.99,2.28,478.98,591.01
6.02,1.98,2.30,469.21,587.91
6.22,1.99,2.30,469.21,589.28
6.42,1.99,2.30,469.21,589.28
6.62,1.99,2.30,469.21,589.28
6.82,1.99,2.27,459.43,592.76
7.02,2.00,2.30,478.98,590.66
7.22,1.99,2.28,449.66,591.01
7.42,1.98,2.28,469.21,589.63
7.62,1.99,2.30,469.21,589.28
7.82,1.98,2.28,449.66,589.63
8.02,1.98,2.30,478.98,587.91
8.22,1.99,2.30,459.43,589.28
8.42,1.98,2.28,459.43,589.63
8.62,1.99,2.28,469.21,591.01
8.82,1.98,2.30,459.43,587.91
9.02,1.98,2.28,469.21,589.63
9.22,1.99,2.28,449.66,591.01
9.42,1.98,2.28,469.21,589.63
9.62,1.99,2.28,469.21,591.01
9.82,1.99,2.30,459.43,589.28
10.02,1.98,2.28,459.43,589.63
10.22,1.99,2.28,478.98,591.01
10.42,1.98,2.27,449.66,591.37
10.62,1.99,2.27,469.21,592.76
10.82,1.98,2.30,469.21,587.91
11.02,1.98,2.28,449.66,589.63
11.22,1.99,2.28,478.98,591.01
11.42,1.99,2.30,478.98,589.28
11.62,1.99,2.28,459.43,591.01
11.82,1.99,2.30,469.21,589.28
12.02,1.98,2.30,459.43,587.91
12.22,1.99,2.28,478.98,591.01
12.42,1.99,2.28,459.43,591.01
12.62,1.99,2.28,449.66,591.01
12.82,2.00,2.30,478.98,590.66
13.02,1.99,2.30,469.21,589.28
13.22,1.98,2.28,469.21,589.63
13.42,1.99,2.30,469.21,589.28
13.62,1.98,2.28,459.43,589.63
13.82,1.99,2.28,478.98,591.01
14.02,1.98,2.28,459.43,589.63
14.22,1.99,2.28,478.98,591.01
14.42,1.99,2.28,459.43,591.01
14.62,1.99,2.28,459.43,591.01
14.82,1.99,2.30,478.98,589.28
15.02,1.98,2.30,459.43,587.91
15.22,1.99,2.28,469.21,591.01
15.42,1.99,2.30,478.98,589.28
15.62,1.98,2.28,459.43,589.63
15.82,1.99,2.30,469.21,589.28
16.02,1.98,2.28,459.43,589.63
16.22,1.99,2.28,459.43,591.01
16.42,2.00,2.28,469.21,592.39
16.62,1.99,2.30,449.66,589.28
16.82,1.99,2.30,469.21,589.28
17.02,1.98,2.28,469.21,589.63
17.22,1.99,2.28,469.21,591.01
17.42,1.99,2.28,459.43,591.01
17.62,1.98,2.28,449.66,589.63
17.82,1.99,2.28,469.21,591.01
18.02,1.98,2.30,478.98,587.91
18.22,1.98,2.28,459.43,589.63
18.42,1.99,2.28,469.21,591.01
18.62,1.99,2.30,469.21,589.28
18.82,1.98,2.27,469.21,591.37
19.02,1.98,2.30,469.21,587.91
19.22,1.99,2.28,469.21,591.01
19.42,2.00,2.28,478.98,592.39
19.62,1.99,2.30,459.43,589.28
19.82,1.99,2.28,459.43,591.01
20.02,1.98,2.28,478.98,589.63
20.22,1.98,2.28,459.43,589.63
20.42,1.99,2.30,459.43,589.28
20.62,2.00,2.30,469.21,590.66
20.82,1.99,2.28,478.98,591.01
21.02,1.99,2.30,478.98,589.28
21.22,1.99,2.27,459.43,592.76
21.42,1.99,2.28,469.21,591.01
21.62,1.98,2.30,469.21,587.91
21.82,1.99,2.27,469.21,592.76
22.02,1.98,2.28,478.98,589.63
22.22,1.98,2.27,459.43,591.37
22.42,1.99,2.28,469.21,591.01
22.62,1.99,2.28,469.21,591.01
22.82,1.99,2.28,449.66,591.01
23.02,1.99,2.28,459.43,591.01
23.22,1.98,2.28,469.21,589.63
23.42,1.98,2.30,469.21,587.91
23.62,1.98,2.30,459.43,587.91
23.82,1.99,2.28,478.98,591.01
24.02,1.98,2.28,478.98,589.63
24.22,1.99,2.28,469.21,591.01
24.42,2.00,2.30,469.21,590.66
24.62,1.99,2.28,478.98,591.01
24.82,1.99,2.27,449.66,592.76
25.02,1.99,2.30,478.98,589.28
25.22,1.99,2.28,459.43,591.01
25.42,1.99,2.30,469.21,589.28
25.62,1.98,2.28,449.66,589.63
25.82,1.99,2.30,478.98,589.28
26.02,1.99,2.30,469.21,589.28
26.22,1.99,2.28,478.98,591.01
26.42,1.99,2.28,469.21,591.01
26.62,1.98,2.28,469.21,589.63
26.82,1.99,2.28,469.21,591.01
27.02,1.98,2.30,459.43,587.91
27.22,1.99,2.28,469.21,591.01
27.42,1.99,2.28,449.66,591.01
27.62,1.98,2.28,459.43,589.63
27.82,1.99,2.30,478.98,589.28
28.02,2.00,2.30,469.21,590.66
28.22,1.98,2.28,469.21,589.63
28.42,1.99,2.30,478.98,589.28
28.62,1.98,2.28,478.98,589.63
28.82,1.99,2.28,478.98,591.01
29.02,1.98,2.30,469.21,587.91
29.22,1.98,2.28,469.21,589.63
29.42,1.99,2.28,478.98,591.01
29.62,1.99,2.30,469.21,589.28
29.82,1.99,2.27,459.43,592.76
30.02,1.99,2.30,469.21,589.28
30.22,1.99,2.28,469.21,591.01
30.42,1.99,2.28,478.98,591.01
30.62,1.99,2.28,459.43,591.01
30.82,1.99,2.28,469.21,591.01
31.02,1.99,2.30,459.43,589.28
31.22,2.00,2.30,478.98,590.66
31.42,1.99,2.28,478.98,591.01
31.62,1.99,2.30,478.98,589.28
31.82,1.99,2.28,469.21,591.01
32.02,1.99,2.30,469.21,589.28
32.22,1.98,2.28,449.66,589.63
32.42,1.99,2.28,478.98,591.01
32.62,1.98,2.28,478.98,589.63
32.82,1.99,2.28,478.98,591.01
33.02,1.99,2.28,459.43,591.01
33.22,1.99,2.28,469.21,591.01
33.42,1.99,2.28,469.21,591.01
33.62,1.98,2.28,469.21,589.63
33.82,1.99,2.28,469.21,591.01
34.02,1.99,2.28,469.21,591.01
34.22,1.98,2.28,449.66,589.63
34.42,1.99,2.28,469.21,591.01
34.62,1.99,2.28,469.21,591.01
34.82,1.99,2.28,459.43,591.01
35.02,1.99,2.28,459.43,591.01
35.22,1.99,2.28,469.21,591.01
35.42,1.99,2.28,449.66,591.01
35.62,1.98,2.31,449.66,586.19
35.82,1.98,2.27,459.43,591.37
36.02,1.99,2.30,478.98,589.28
36.22,1.98,2.28,459.43,589.63
36.42,1.99,2.28,469.21,591.01
36.62,1.99,2.28,478.98,591.01
36.82,1.99,2.27,449.66,592.76
37.02,1.99,2.28,469.21,591.01
37.22,1.99,2.30,469.21,589.28
37.42,1.98,2.28,469.21,589.63
37.62,1.99,2.30,469.21,589.28
37.82,1.99,2.28,478.98,591.01
38.02,1.99,2.30,469.21,589.28
38.22,1.98,2.30,469.21,587.91
38.42,1.99,2.27,478.98,592.76
38.62,1.99,2.30,469.21,589.28
38.82,1.99,2.28,478.98,591.01
39.02,1.99,2.28,469.21,591.01
39.22,1.99,2.30,478.98,589.28
39.42,1.98,2.28,449.66,589.63
39.62,2.00,2.30,469.21,590.66
39.82,1.99,2.28,469.21,591.01
40.02,1.99,2.30,469.21,589.28
40.22,1.99,2.30,469.21,589.28
40.42,1.98,2.28,459.43,589.63
40.62,1.99,2.30,478.98,589.28
40.82,1.99,2.30,478.98,589.28
41.02,1.98,2.28,478.98,589.63
41.22,1.99,2.30,459.43,589.28
41.42,1.98,2.30,459.43,587.91
