#,,,,
#,,,,
#,,,,
#,,,,
#,,,,
#,,,,
#,,,,
#,,,,
#,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
3.7,2,4.97,400.78,382.21
3.9,2,4.97,391.01,382.21
4.1,2,4.97,391.01,382.21
4.3,2,4.97,410.56,382.21
4.5,2,4.97,391.01,382.21
4.7,2,4.97,410.56,382.21
4.9,2,4.97,400.78,382.21
5.1,2,4.97,400.78,382.21
5.3,1.99,4.97,400.78,381.32
5.5,1.99,4.97,488.76,381.32
5.7,1.99,4.97,391.01,381.32
5.9,2,4.97,400.78,382.21
6.1,2,4.97,400.78,382.21
6.3,2,4.97,400.78,382.21
6.5,2,4.97,400.78,382.21
6.7,2,4.97,410.56,382.21
6.9,2,4.97,459.43,382.21
7.1,1.99,4.97,469.21,381.32
7.3,1.99,4.97,488.76,381.32
7.5,1.99,4.97,498.53,381.32
7.7,2,4.97,488.76,382.21
7.9,2,4.97,508.31,382.21
8.1,2,4.97,537.63,382.21
8.3,2,4.97,527.86,382.21
8.5,2,4.97,557.18,382.21
8.7,2,4.97,566.96,382.21
8.9,2,4.97,557.18,382.21
9.1,2,4.97,547.41,382.21
9.3,1.99,4.97,557.18,381.32
9.5,1.99,4.97,566.96,381.32
9.7,2.01,4.97,557.18,383.09
9.9,2,4.97,566.96,382.21
10.1,2,4.97,537.63,382.21
10.3,2,4.97,518.08,382.21
10.5,2,4.97,518.08,382.21
10.7,2,4.97,508.31,382.21
10.9,2,4.97,508.31,382.21
11.1,1.99,4.97,537.63,381.32
11.3,1.99,4.97,527.86,381.32
11.5,1.99,4.97,518.08,381.32
11.7,1.99,4.97,508.31,381.32
11.9,2,4.97,498.53,382.21
12.1,1.99,4.97,518.08,381.32
12.3,2,4.97,508.31,382.21
12.5,2,4.97,478.98,382.21
12.7,2,4.97,488.76,382.21
12.9,2,4.97,478.98,382.21
13.1,2,4.97,478.98,382.21
13.3,2,4.97,469.21,382.21
13.5,2,4.97,469.21,382.21
13.7,2,4.97,449.66,382.21
13.9,2,4.97,469.21,382.21
14.1,1.99,4.97,488.76,381.32
14.3,2,4.97,478.98,382.21
14.5,1.99,4.97,498.53,381.32
14.7,2,4.97,478.98,382.21
14.9,2,4.97,488.76,382.21
15.1,2,4.97,459.43,382.21
15.3,1.99,5.08,469.21,377.24
15.5,1.99,5.08,459.43,377.24
15.7,1.99,5.08,469.21,377.24
15.9,2.01,5.08,459.43,379
16.1,2,5.08,449.66,378.12
16.3,2,5.08,459.43,378.12
16.5,2,5.08,469.21,378.12
16.7,1.99,5.08,478.98,377.24
16.9,1.99,5.08,469.21,377.24
17.1,2,5.08,478.98,378.12
17.3,2,5.08,478.98,378.12
17.5,1.99,5.08,478.98,377.24
17.7,1.99,5.08,459.43,377.24
17.9,2,5.08,469.21,378.12
18.1,1.99,5.08,478.98,377.24
18.3,1.99,5.08,478.98,377.24
18.5,2,5.08,469.21,378.12
18.7,2,5.08,469.21,378.12
18.9,2,5.08,469.21,378.12
19.1,2,5.08,469.21,378.12
19.3,2,5.08,478.98,378.12
19.5,1.99,5.08,498.53,377.24
19.7,2,5.08,478.98,378.12
19.9,2,5.08,478.98,378.12
20.1,2,5.08,469.21,378.12
20.3,1.99,5.08,469.21,377.24
20.5,1.99,5.08,469.21,377.24
20.7,1.99,5.08,469.21,377.24
20.9,1.99,5.08,459.43,377.24
21.1,2,5.08,449.66,378.12
21.3,2,5.08,439.88,378.12
21.5,2,5.08,430.11,378.12
21.7,2,5.08,430.11,378.12
21.9,2,5.08,430.11,378.12
22.1,1.99,5.08,439.88,377.24
22.3,2,5.08,459.43,378.12
22.5,2,5.08,439.88,378.12
22.7,2,5.08,459.43,378.12
22.9,1.99,5.08,449.66,377.24
23.1,1.99,5.08,449.66,377.24
23.3,1.99,5.08,439.88,377.24
23.5,2,5.08,439.88,378.12
23.7,2,5.08,420.33,378.12
23.9,1.99,5.08,400.78,377.24
24.1,2,5.08,410.56,378.12
24.3,2,5.08,400.78,378.12
24.5,2,5.08,400.78,378.12
24.7,2,5.08,381.23,378.12
24.9,2,5.08,371.46,378.12
25.1,2,5.08,371.46,378.12
25.3,1.99,5.08,391.01,377.24
25.5,1.99,5.08,400.78,377.24
25.7,1.99,5.08,410.56,377.24
25.9,2,5.08,400.78,378.12
26.1,2,5.08,400.78,378.12
26.3,1.99,5.08,410.56,377.24
26.5,1.99,5.08,410.56,377.24
26.7,2,5.08,391.01,378.12
26.9,1.99,5.08,391.01,377.24
27.1,1.99,5.08,400.78,377.24
27.3,2,5.08,381.23,378.12
27.5,2,5.08,391.01,378.12
27.7,2,5.08,400.78,378.12
27.9,1.99,5.08,381.23,377.24
28.1,1.99,5.08,391.01,377.24
28.3,2,5.08,361.68,378.12
28.5,2,5.08,332.36,378.12
28.7,2,5.08,351.91,378.12
28.9,2,5.08,361.68,378.12
29.1,1.99,5.08,371.46,377.24
29.3,2,5.08,361.68,378.12
29.5,2,5.08,361.68,378.12
29.7,2,5.08,361.68,378.12
29.9,2,5.08,371.46,378.12
30.1,1.99,5.08,361.68,377.24
30.3,1.99,5.08,391.01,377.24
30.5,1.99,5.08,381.23,377.24
30.7,2,5.08,381.23,378.12
