# material: Micrometer_Test,,,,,
# geometry:,,,,,
# preform_diameter:,,,,,
# material_color:,,,,,
# temperature_C:,,,,,
# drawdown_ratio:,,,,,
# trial_number: 001,,,,,
# operator:Luka Morita,,,,,
# start_time: 2025-06-20 15:48:14,,,,,
# notes: Testing analog micrometer noise with known diameter (1.75mm filament),,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um),
0.2,0.5,1.26,1749.76,399.25,1750.666007
0.4,0.51,1.28,1759.53,400.81,1.76
0.6,0.51,1.22,1749.76,409.52,0.100533168
0.8,0.5,1.25,1749.76,401.39,
1,0.52,1.29,1739.98,402.32,
1.2,0.51,1.22,1749.76,409.52,
1.4,0.51,1.23,1779.08,407.29,
1.6,0.52,1.26,1749.76,406.58,
1.8,0.52,1.25,1769.31,408.76,
2,0.51,1.26,1769.31,402.93,
2.2,0.5,1.28,1739.98,397.15,
2.4,0.5,1.25,1749.76,401.39,
2.6,0.5,1.28,1720.43,397.15,
2.8,0.51,1.23,1749.76,407.29,
3,0.51,1.28,1749.76,400.81,
3.2,0.52,1.26,1769.31,406.58,
3.4,0.52,1.26,1749.76,406.58,
3.6,0.51,1.22,1759.53,409.52,
3.8,0.5,1.25,1769.31,401.39,
4,0.51,1.29,1769.31,398.71,
4.2,0.51,1.26,1769.31,402.93,
4.4,0.52,1.28,1769.31,404.43,
4.6,0.51,1.26,1769.31,402.93,
4.8,0.52,1.25,1759.53,408.76,
5,0.51,1.23,1759.53,407.29,
5.2,0.5,1.23,1749.76,403.57,
5.4,0.5,1.25,1769.31,401.39,
5.6,0.51,1.26,1779.08,402.93,
5.8,0.54,1.25,1769.31,416,
6,0.51,1.28,1739.98,400.81,
6.2,0.52,1.25,1769.31,408.76,
6.4,0.51,1.25,1779.08,405.09,
6.6,0.5,1.28,1779.08,397.15,
6.8,0.51,1.23,1759.53,407.29,
7,0.51,1.25,1739.98,405.09,
7.2,0.5,1.28,1739.98,397.15,
7.4,0.49,1.28,1720.43,393.45,
7.6,0.5,1.25,1739.98,401.39,
7.8,0.53,1.26,1749.76,410.19,
8,0.51,1.28,1779.08,400.81,
8.2,0.51,1.25,1769.31,405.09,
8.4,0.51,1.28,1749.76,400.81,
8.6,0.5,1.28,1759.53,397.15,
8.8,0.51,1.28,1759.53,400.81,
9,0.5,1.21,1759.53,408.03,
9.2,0.5,1.29,1759.53,395.07,
9.4,0.5,1.23,1759.53,403.57,
9.6,0.51,1.26,1749.76,402.93,
9.8,0.52,1.18,1749.76,420.21,
10,0.51,1.25,1759.53,405.09,
10.2,0.5,1.25,1749.76,401.39,
10.4,0.5,1.28,1749.76,397.15,
10.6,0.51,1.23,1769.31,407.29,
10.8,0.49,1.22,1769.31,402.01,
11,0.5,1.28,1759.53,397.15,
11.2,0.51,1.26,1749.76,402.93,
11.4,0.5,1.28,1759.53,397.15,
11.6,0.5,1.26,1759.53,399.25,
11.8,0.52,1.25,1769.31,408.76,
12,0.5,1.26,1749.76,399.25,
12.2,0.53,1.25,1749.76,412.39,
12.4,0.51,1.25,1739.98,405.09,
12.6,0.51,1.25,1749.76,405.09,
12.8,0.52,1.29,1749.76,402.32,
13,0.5,1.28,1769.31,397.15,
13.2,0.51,1.26,1769.31,402.93,
13.4,0.53,1.26,1749.76,410.19,
13.6,0.51,1.25,1749.76,405.09,
13.8,0.51,1.28,1749.76,400.81,
14,0.5,1.25,1749.76,401.39,
14.2,0.5,1.25,1759.53,401.39,
14.4,0.51,1.25,1769.31,405.09,
14.6,0.52,1.25,1769.31,408.76,
14.8,0.5,1.22,1759.53,405.78,
15,0.52,1.18,1759.53,420.21,
15.2,0.52,1.26,1759.53,406.58,
15.4,0.49,1.29,1769.31,391.4,
15.6,0.52,1.29,1759.53,402.32,
15.8,0.49,1.25,1749.76,397.66,
16,0.52,1.25,1779.08,408.76,
16.2,0.51,1.28,1779.08,400.81,
16.4,0.51,1.25,1749.76,405.09,
16.6,0.5,1.3,1749.76,393.03,
16.8,0.5,1.25,1739.98,401.39,
17,0.51,1.23,1739.98,407.29,
17.2,0.5,1.28,1739.98,397.15,
17.4,0.5,1.26,1749.76,399.25,
17.6,0.5,1.26,1769.31,399.25,
17.8,0.52,1.26,1739.98,406.58,
18,0.51,1.28,1769.31,400.81,
18.2,0.51,1.3,1739.98,396.65,
18.4,0.52,1.25,1769.31,408.76,
18.6,0.51,1.26,1730.21,402.93,
18.8,0.5,1.29,1749.76,395.07,
19,0.5,1.21,1749.76,408.03,
19.2,0.51,1.26,1769.31,402.93,
19.4,0.52,1.23,1769.31,410.98,
19.6,0.51,1.26,1739.98,402.93,
19.8,0.52,1.23,1769.31,410.98,
20,0.5,1.26,1730.21,399.25,
20.2,0.52,1.25,1749.76,408.76,
20.4,0.5,1.28,1769.31,397.15,
20.6,0.51,1.3,1759.53,396.65,
20.8,0.53,1.28,1769.31,408.03,
21,0.51,1.28,1749.76,400.81,
21.2,0.52,1.28,1769.31,404.43,
21.4,0.53,1.25,1759.53,412.39,
21.6,0.51,1.28,1749.76,400.81,
21.8,0.5,1.25,1779.08,401.39,
22,0.5,1.25,1739.98,401.39,
22.2,0.5,1.26,1749.76,399.25,
22.4,0.5,1.28,1788.86,397.15,
22.6,0.49,1.26,1739.98,395.54,
22.8,0.5,1.28,1759.53,397.15,
23,0.51,1.25,1749.76,405.09,
23.2,0.51,1.26,1759.53,402.93,
23.4,0.51,1.29,1749.76,398.71,
23.6,0.5,1.25,1739.98,401.39,
23.8,0.51,1.19,1759.53,414.1,
24,0.51,1.36,1759.53,388.72,
24.2,0.51,1.26,1749.76,402.93,
24.4,0.51,1.25,1759.53,405.09,
24.6,0.51,1.23,1739.98,407.29,
24.8,0.51,1.22,1749.76,409.52,
25,0.51,1.28,1749.76,400.81,
25.2,0.5,1.21,1759.53,408.03,
25.4,0.5,1.25,1759.53,401.39,
25.6,0.51,1.26,1759.53,402.93,
25.8,0.52,1.25,1739.98,408.76,
26,0.49,1.26,1739.98,395.54,
26.2,0.5,1.23,1749.76,403.57,
26.4,0.5,1.22,1749.76,405.78,
26.6,0.52,1.26,1769.31,406.58,
26.8,0.5,1.26,1759.53,399.25,
27,0.51,1.32,1759.53,394.62,
27.2,0.51,1.25,1749.76,405.09,
27.4,0.5,1.28,1769.31,397.15,
27.6,0.5,1.28,1720.43,397.15,
27.8,0.51,1.26,1759.53,402.93,
28,0.49,1.25,1730.21,397.66,
28.2,0.48,1.28,1739.98,389.72,
28.4,0.51,1.28,1759.53,400.81,
28.6,0.49,1.23,1749.76,399.82,
28.8,0.5,1.29,1720.43,395.07,
29,0.5,1.26,1759.53,399.25,
29.2,0.51,1.19,1749.76,414.1,
29.4,0.53,1.23,1749.76,414.63,
29.6,0.51,1.22,1749.76,409.52,
29.8,0.51,1.26,1769.31,402.93,
30,0.5,1.29,1769.31,395.07,
30.2,0.5,1.32,1749.76,391.02,
30.4,0.49,1.28,1759.53,393.45,
30.6,0.52,1.22,1749.76,413.23,
30.8,0.51,1.21,1749.76,411.79,
31,0.5,1.22,1739.98,405.78,
31.2,0.52,1.26,1749.76,406.58,
31.4,0.51,1.21,1749.76,411.79,
31.6,0.52,1.26,1759.53,406.58,
31.8,0.51,1.29,1769.31,398.71,
32,0.5,1.28,1759.53,397.15,
32.2,0.52,1.28,1759.53,404.43,
