Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.03,5.03,0.00,401.63
1.42,2.03,5.02,0.00,402.17
1.62,2.02,5.02,0.00,401.25
1.82,2.03,5.03,0.00,401.63
2.02,2.03,5.03,0.00,401.63
2.22,2.03,5.02,0.00,402.17
2.42,2.03,5.02,0.00,402.17
2.62,2.03,5.03,0.00,401.63
2.82,2.03,5.02,0.00,402.17
3.02,2.02,5.02,0.00,401.25
3.22,2.02,5.02,0.00,401.25
3.42,2.04,5.02,0.00,403.09
3.62,2.02,5.02,0.00,401.25
3.82,2.03,5.02,0.00,402.17
4.02,2.03,5.03,0.00,401.63
4.22,2.03,5.02,0.00,402.17
4.42,2.02,5.02,0.00,401.25
4.62,2.02,5.02,0.00,401.25
4.82,2.03,5.03,0.00,401.63
5.02,2.03,5.02,0.00,402.17
5.22,2.02,5.02,0.00,401.25
5.42,2.03,5.03,0.00,401.63
5.62,2.03,5.03,0.00,401.63
5.82,2.02,5.02,0.00,401.25
6.02,2.02,5.03,0.00,400.71
6.22,2.03,5.02,0.00,402.17
6.42,2.03,5.02,0.00,402.17
6.62,2.03,5.02,0.00,402.17
6.82,2.03,5.02,0.00,402.17
7.02,2.03,5.02,0.00,402.17
7.22,2.03,5.03,0.00,401.63
7.42,2.02,5.03,0.00,400.71
7.62,2.03,5.03,0.00,401.63
7.82,2.02,5.03,0.00,400.71
8.02,2.03,5.02,0.00,402.17
8.22,2.02,5.02,0.00,401.25
8.42,2.03,5.03,0.00,401.63
8.62,2.03,5.03,0.00,401.63
8.82,2.02,5.02,0.00,401.25
9.02,2.02,5.02,0.00,401.25
9.22,2.03,5.02,0.00,402.17
9.42,2.02,5.02,0.00,401.25
9.62,2.02,5.02,0.00,401.25
9.82,2.03,5.03,0.00,401.63
10.02,2.03,5.02,0.00,402.17
10.22,2.02,5.02,0.00,401.25
10.42,2.03,5.02,0.00,402.17
10.62,2.03,5.02,0.00,402.17
10.82,2.03,5.02,0.00,402.17
11.02,2.02,5.02,0.00,401.25
11.22,2.03,5.02,0.00,402.17
11.42,2.03,5.03,0.00,401.63
11.62,2.03,5.01,0.00,402.71
11.82,2.02,5.02,0.00,401.25
12.02,2.03,5.02,0.00,402.17
12.22,2.03,5.02,0.00,402.17
12.42,2.03,5.02,0.00,402.17
12.62,2.03,5.02,0.00,402.17
12.82,2.04,5.03,0.00,402.55
13.02,2.03,5.02,0.00,402.17
13.22,2.02,5.02,0.00,401.25
13.42,2.03,5.03,0.00,401.63
13.62,2.03,5.02,0.00,402.17
13.82,2.03,5.02,0.00,402.17
14.02,2.02,5.02,0.00,401.25
14.22,2.03,5.03,0.00,401.63
14.42,2.03,5.03,0.00,401.63
14.62,2.03,5.02,0.00,402.17
14.82,2.02,5.02,0.00,401.25
15.02,2.03,5.02,0.00,402.17
15.22,2.03,5.02,0.00,402.17
15.42,2.03,5.02,0.00,402.17
15.62,2.04,5.03,0.00,402.55
15.82,2.03,5.02,0.00,402.17
16.02,2.03,5.02,0.00,402.17
16.22,2.02,5.03,0.00,400.71
16.42,2.03,5.03,0.00,401.63
16.62,2.03,5.03,0.00,401.63
16.82,2.03,5.02,0.00,402.17
17.02,2.02,5.02,0.00,401.25
17.22,2.03,5.03,0.00,401.63
17.42,2.03,5.05,1837.73,401.10
17.62,2.03,5.02,1984.36,402.17
17.82,2.03,5.02,2267.84,402.17
18.02,2.04,5.03,2541.54,402.55
18.22,2.02,5.02,2355.82,401.25
18.42,2.03,5.02,1808.41,402.17
18.62,2.03,5.03,1886.61,401.63
18.82,2.02,5.02,2267.84,401.25
19.02,2.03,5.02,2795.70,402.17
19.22,2.03,5.03,3587.49,401.63
19.42,2.03,5.02,3841.64,402.17
19.62,2.02,5.02,0.00,401.25
19.82,2.03,5.03,0.00,401.63
20.02,2.03,5.02,0.00,402.17
20.22,2.03,5.03,0.00,401.63
20.42,2.03,5.02,0.00,402.17
20.62,2.02,5.03,1280.55,400.71
20.82,2.03,5.03,0.00,401.63
21.02,2.03,5.02,1221.90,402.17
21.22,2.02,5.02,1163.25,401.25
21.42,2.03,5.03,1153.47,401.63
21.62,2.03,5.02,1045.94,402.17
21.82,2.02,5.03,0.00,400.71
22.02,2.02,5.02,1143.69,401.25
22.22,2.03,5.02,0.00,402.17
22.42,2.03,5.02,2160.31,402.17
22.62,2.03,5.02,1104.59,402.17
22.82,2.03,5.03,1143.69,401.63
23.02,2.02,5.02,10000.00,401.25
23.22,2.03,5.03,6598.24,401.63
23.42,2.04,5.03,5034.21,402.55
23.62,2.03,5.02,1221.90,402.17
23.82,2.03,5.02,1485.83,402.17
24.02,2.03,5.02,2150.54,402.17
24.22,2.02,5.02,2922.78,401.25
24.42,2.03,5.02,3616.81,402.17
24.62,2.02,5.02,3675.46,401.25
24.82,2.03,5.02,3528.84,402.17
25.02,2.02,5.03,3401.76,400.71
25.22,2.04,5.02,2952.10,403.09
25.42,2.02,5.02,2629.52,401.25
25.62,2.03,5.02,2365.59,402.17
25.82,2.04,5.03,2218.96,402.55
26.02,2.03,5.02,2101.66,402.17
26.22,2.03,5.02,2013.69,402.17
26.42,2.03,5.02,1945.26,402.17
26.62,2.02,5.02,1818.18,401.25
26.82,2.03,5.03,1681.33,401.63
27.02,2.04,5.03,1534.70,402.55
27.22,2.03,5.02,1397.85,402.17
27.42,2.03,5.02,1290.32,402.17
27.62,2.03,5.03,10000.00,401.63
27.82,2.03,5.02,10000.00,402.17
28.02,2.03,5.03,6578.69,401.63
28.22,2.03,5.02,3049.85,402.17
28.42,2.03,5.02,1221.90,402.17
28.62,2.02,5.02,1173.02,401.25
28.82,2.03,5.02,1075.27,402.17
29.02,2.03,5.02,948.19,402.17
29.22,2.03,5.02,928.64,402.17
29.42,2.03,5.03,830.89,401.63
29.62,2.03,5.02,811.34,402.17
29.82,2.02,5.02,987.29,401.25
30.02,2.03,5.02,1016.62,402.17
30.22,2.03,5.03,1026.39,401.63
30.42,2.03,5.02,997.07,402.17
30.62,2.04,5.03,997.07,402.55
30.82,2.04,5.02,987.29,403.09
31.02,2.03,5.02,938.42,402.17
31.22,2.03,5.03,909.09,401.63
31.42,2.04,5.03,850.44,402.55
31.62,2.02,5.02,821.11,401.25
31.82,2.03,5.03,869.99,401.63
32.02,2.03,5.03,938.42,401.63
32.22,2.04,5.02,899.32,403.09
32.42,2.04,5.03,840.66,402.55
32.62,2.03,5.02,830.89,402.17
32.82,2.02,5.02,869.99,401.25
33.02,2.03,5.03,918.87,401.63
33.22,2.03,5.02,938.42,402.17
33.42,2.03,5.02,977.52,402.17
33.62,2.04,4.99,987.29,404.17
33.82,2.03,5.02,987.29,402.17
34.02,2.03,5.02,977.52,402.17
34.22,2.02,5.03,987.29,400.71
34.42,2.03,5.03,899.32,401.63
34.62,2.03,5.02,879.77,402.17
34.82,2.03,5.02,0.00,402.17
35.02,2.02,5.02,0.00,401.25
35.22,2.03,5.02,0.00,402.17
35.42,2.03,5.03,0.00,401.63
35.62,2.02,5.03,0.00,400.71
35.82,2.03,5.03,0.00,401.63
36.02,2.04,5.03,0.00,402.55
36.22,2.03,5.02,0.00,402.17
36.42,2.02,5.02,0.00,401.25
36.62,2.03,5.03,0.00,401.63
36.82,2.03,5.01,850.44,402.71
37.02,2.02,5.02,0.00,401.25
37.22,2.03,5.03,0.00,401.63
37.42,2.03,5.02,0.00,402.17
37.62,2.03,5.02,0.00,402.17
37.82,2.03,5.02,0.00,402.17
38.02,2.02,5.02,0.00,401.25
38.22,2.03,5.03,0.00,401.63
