Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2.02,2.01,1143.69,633.58
1.42,2.03,2.00,1143.69,637.16
1.62,2.03,2.01,1085.04,635.04
1.82,2.01,2.01,1026.39,632.12
2.02,2.03,2.01,1036.17,635.04
2.22,2.01,2.00,987.29,634.23
2.42,2.03,2.01,1006.84,635.04
2.62,2.02,2.00,1006.84,635.70
2.82,2.03,2.03,1006.84,632.93
3.02,2.02,2.00,1036.17,635.70
3.22,2.03,2.03,1036.17,632.93
3.42,2.01,2.00,1065.49,634.23
3.62,2.02,2.03,1094.82,631.48
3.82,2.03,2.01,1124.14,635.04
4.02,2.02,2.01,1133.92,633.58
4.22,2.03,2.03,1182.80,632.93
4.42,2.03,2.03,1202.35,632.93
4.62,2.02,2.01,1153.47,633.58
4.82,2.03,2.00,1085.04,637.16
5.02,2.03,2.01,957.97,635.04
5.22,2.02,2.01,869.99,633.58
5.42,2.02,2.01,811.34,633.58
5.62,2.02,2.01,742.91,633.58
5.82,2.03,2.01,742.91,635.04
6.02,2.00,2.03,752.69,628.56
6.22,1.96,2.04,791.79,620.63
6.42,1.94,2.00,850.44,622.38
6.62,1.92,2.01,850.44,617.31
6.82,1.89,2.01,909.09,612.80
7.02,1.88,2.01,938.42,611.29
7.22,1.85,2.01,977.52,606.73
7.42,1.84,2.00,1026.39,607.23
7.62,1.84,2.01,1045.94,605.21
7.82,1.80,2.01,1026.39,597.52
8.02,1.80,2.03,987.29,595.53
8.22,1.78,2.00,918.87,596.40
8.42,1.75,2.03,830.89,587.77
8.62,1.65,2.00,811.34,574.13
8.82,1.47,2.01,733.14,540.63
9.02,1.42,2.03,733.14,530.24
9.22,1.42,2.00,713.59,533.79
9.42,1.43,2.01,801.56,533.74
9.62,1.55,2.03,791.79,552.31
9.82,1.58,2.01,869.99,560.78
10.02,1.57,2.01,889.54,559.13
10.22,1.55,2.03,869.99,553.97
10.42,1.55,2.03,879.77,553.97
10.62,1.55,2.00,840.66,557.67
10.82,1.55,2.01,811.34,555.81
11.02,1.55,2.00,782.01,557.67
11.22,1.55,2.01,811.34,555.81
11.42,1.55,2.03,782.01,553.97
11.62,1.55,2.00,762.46,557.67
11.82,1.56,2.01,752.69,557.47
12.02,1.55,2.00,742.91,557.67
12.22,1.56,2.03,733.14,555.63
12.42,1.55,2.01,752.69,555.81
12.62,1.55,2.01,801.56,555.81
12.82,1.55,2.03,782.01,553.97
13.02,1.55,2.00,811.34,556.00
13.22,1.56,2.03,840.66,555.63
13.42,1.55,2.00,850.44,556.00
13.62,1.55,2.03,869.99,553.97
13.82,1.55,2.00,909.09,556.00
14.02,1.55,2.03,899.32,552.31
14.22,1.55,2.01,879.77,555.81
14.42,1.55,2.00,860.21,557.67
14.62,1.55,2.00,869.99,557.67
14.82,1.55,2.00,869.99,556.00
15.02,1.55,2.01,889.54,555.81
15.22,1.55,2.00,860.21,557.67
15.42,1.55,2.03,869.99,553.97
15.62,1.55,2.00,840.66,557.67
15.82,1.55,2.03,850.44,553.97
16.02,1.55,2.01,840.66,555.81
16.22,1.55,2.00,830.89,556.00
16.42,1.55,2.01,850.44,555.81
16.62,1.55,2.00,850.44,557.67
16.82,1.55,2.01,850.44,555.81
17.02,1.55,2.01,830.89,554.15
17.22,1.55,2.03,840.66,553.97
17.42,1.55,2.00,830.89,557.67
17.62,1.55,2.00,840.66,556.00
17.82,1.55,2.00,850.44,557.67
18.02,1.55,2.00,830.89,556.00
18.22,1.56,2.01,840.66,557.47
18.42,1.55,2.00,840.66,556.00
18.62,1.55,2.01,840.66,555.81
18.82,1.54,2.00,821.11,554.33
19.02,1.55,2.01,830.89,555.81
19.22,1.55,2.00,821.11,557.67
19.42,1.55,2.01,850.44,555.81
19.62,1.55,2.03,830.89,553.97
19.82,1.55,2.00,840.66,556.00
