Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.09,1.06,596.29,641.06
1.42,1.08,1.05,615.84,642.39
1.62,1.08,1.06,625.61,638.31
1.82,1.08,1.06,586.51,638.31
2.02,1.08,1.06,615.84,638.31
2.22,1.07,1.05,615.84,639.61
2.42,1.09,1.07,615.84,637.04
2.62,1.08,1.05,596.29,642.39
2.82,1.09,1.06,615.84,641.06
3.02,1.08,1.05,606.06,642.39
3.22,1.08,1.06,596.29,638.31
3.42,1.07,1.05,615.84,639.61
3.62,1.09,1.06,586.51,641.06
3.82,1.09,1.06,625.61,641.06
4.02,1.09,1.06,615.84,641.06
4.22,1.08,1.06,606.06,638.31
4.42,1.09,1.06,635.39,641.06
4.62,1.07,1.03,625.61,643.75
4.82,1.08,1.07,625.61,634.31
5.02,1.07,1.06,615.84,635.55
5.22,1.09,1.06,606.06,641.06
5.42,1.09,1.05,615.84,645.15
5.62,1.08,1.09,586.51,630.38
5.82,1.07,1.07,596.29,631.57
6.02,1.07,1.07,635.39,631.57
6.22,1.08,1.06,606.06,638.31
6.42,1.09,1.07,615.84,637.04
6.62,1.08,1.06,635.39,638.31
6.82,1.08,1.07,596.29,634.31
7.02,1.08,1.06,606.06,638.31
7.22,1.07,1.07,606.06,631.57
7.42,1.09,1.06,488.76,641.06
7.62,1.07,1.07,400.78,631.57
7.82,1.09,1.07,625.61,637.04
8.02,1.08,1.06,635.39,638.31
8.22,1.09,1.06,635.39,641.06
8.42,1.08,1.05,606.06,642.39
8.62,1.08,1.07,635.39,634.31
8.82,1.08,1.06,625.61,638.31
9.02,1.07,1.06,635.39,635.55
9.22,1.09,1.06,518.08,641.06
9.42,1.09,1.07,498.53,637.04
9.62,1.09,1.06,635.39,641.06
9.82,1.09,1.06,527.86,641.06
10.02,1.08,1.07,527.86,634.31
10.22,1.08,1.05,635.39,642.39
10.42,1.08,1.07,508.31,634.31
10.62,1.09,1.05,478.98,645.15
10.82,1.09,1.07,576.74,637.04
11.02,1.07,1.06,654.94,635.55
11.22,1.09,1.07,645.16,637.04
11.42,1.08,1.06,625.61,638.31
11.62,1.09,1.06,557.18,641.06
11.82,1.07,1.05,586.51,639.61
12.02,1.10,1.06,606.06,643.79
12.22,1.10,1.05,606.06,647.90
12.42,1.08,1.07,703.81,634.31
12.62,1.07,1.07,635.39,631.57
12.82,1.08,1.07,625.61,634.31
13.02,1.08,1.05,645.16,642.39
13.22,1.07,1.06,664.71,635.55
13.42,1.08,1.07,664.71,634.31
13.62,1.07,1.03,664.71,643.75
13.82,1.08,1.05,654.94,642.39
14.02,1.09,1.07,664.71,637.04
14.22,1.10,1.09,684.26,635.79
14.42,1.07,1.07,547.41,631.57
14.62,1.08,1.06,19.55,638.31
14.82,1.08,1.05,361.68,642.39
15.02,1.08,1.06,586.51,638.31
15.22,1.09,1.07,674.49,637.04
15.42,1.10,1.09,654.94,635.79
15.62,1.08,1.06,664.71,638.31
15.82,1.09,1.07,664.71,637.04
16.02,1.09,1.06,635.39,641.06
16.22,1.08,1.06,635.39,638.31
16.42,1.08,1.06,625.61,638.31
16.62,1.08,1.07,6969.70,634.31
16.82,1.11,1.07,0.00,642.46
17.02,1.09,1.09,0.00,633.09
17.22,1.11,1.10,0.00,634.57
17.42,1.11,1.07,0.00,642.46
17.62,1.09,1.10,0.00,629.22
17.82,1.08,1.07,0.00,634.31
18.02,1.09,1.11,0.00,625.42
18.22,1.10,1.10,0.00,631.90
18.42,1.09,1.09,0.00,633.09
18.62,1.11,1.09,0.00,638.48
18.82,1.11,1.07,0.00,642.46
19.02,1.11,1.10,0.00,634.57
19.22,1.10,1.09,0.00,635.79
19.42,1.10,1.11,0.00,628.08
19.62,1.09,1.07,0.00,637.04
19.82,1.09,1.11,0.00,625.42
20.02,1.11,1.10,0.00,634.57
20.22,1.10,1.07,0.00,639.75
20.42,1.11,1.10,0.00,634.57
20.62,1.10,1.07,0.00,639.75
20.82,1.09,1.10,0.00,629.22
21.02,1.10,1.09,0.00,635.79
21.22,1.10,1.07,0.00,639.75
21.42,1.10,1.11,0.00,628.08
21.62,1.09,1.09,0.00,633.09
21.82,1.10,1.10,0.00,631.90
22.02,1.11,1.06,0.00,646.51
22.22,1.10,1.09,0.00,635.79
22.42,1.11,1.09,0.00,638.48
22.62,1.09,1.07,0.00,637.04
22.82,1.10,1.10,0.00,631.90
23.02,1.09,1.07,0.00,637.04
23.22,1.11,1.09,0.00,638.48
