# material: stock PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-06-19 15:48:14
# notes: stock petg with feedback control; feed speed 4 mm/min
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
36, 4.00, 4.86, 107.53, 546.49
38, 4.00, 4.86, 117.30, 546.49
40, 4.00, 4.86, 127.08, 546.49
42, 4.00, 4.86, 127.08, 546.49
44, 4.00, 4.86, 107.53, 546.49
46, 4.00, 4.86, 127.08, 546.49
48, 4.00, 4.86, 117.30, 546.49
50, 4.00, 4.86, 127.08, 546.49
52, 4.00, 4.86, 117.30, 546.49
54, 4.00, 4.86, 117.30, 546.49
56, 4.00, 4.86, 107.53, 546.49
58, 4.00, 4.86, 127.08, 546.49
60, 4.00, 4.86, 127.08, 546.49
62, 4.00, 4.86, 107.53, 546.49
64, 4.00, 4.86, 117.30, 546.49
66, 4.00, 4.86, 107.53, 546.49
68, 4.00, 4.86, 117.30, 546.49
70, 4.00, 4.86, 127.08, 546.49
72, 4.00, 4.86, 117.30, 546.49
74, 4.00, 4.86, 127.08, 546.49
76, 4.00, 4.86, 136.85, 546.49
78, 4.00, 4.86, 127.08, 546.49
80, 4.00, 4.86, 107.53, 546.49
82, 4.00, 4.86, 136.85, 546.49
84, 4.00, 4.86, 127.08, 546.49
86, 4.00, 4.86, 107.53, 546.49
88, 4.00, 4.86, 136.85, 546.49
90, 4.00, 4.86, 117.30, 546.49
92, 4.00, 4.86, 127.08, 546.49
94, 4.00, 4.86, 127.08, 546.49
96, 4.00, 4.86, 117.30, 546.49
98, 4.00, 4.86, 117.30, 546.49
100, 4.00, 4.86, 107.53, 546.49
102, 4.00, 4.86, 136.85, 546.49
104, 4.00, 4.86, 107.53, 546.49
106, 4.00, 4.86, 127.08, 546.49
108, 4.00, 4.86, 136.85, 546.49
110, 4.00, 4.86, 117.30, 546.49
112, 3.99, 4.86, 117.30, 545.86
114, 4.00, 4.86, 97.75, 546.49
116, 4.01, 4.86, 127.08, 547.13
118, 4.00, 4.86, 107.53, 546.49
120, 4.00, 4.86, 127.08, 546.49
122, 4.00, 4.86, 107.53, 546.49
124, 4.00, 4.86, 117.30, 546.49
126, 4.00, 4.86, 107.53, 546.49
128, 4.00, 4.86, 97.75, 546.49
130, 4.00, 4.86, 107.53, 546.49
132, 4.00, 4.86, 107.53, 546.49
134, 4.00, 4.86, 117.30, 546.49
136, 4.00, 4.86, 107.53, 546.49
138, 4.00, 4.86, 127.08, 546.49
140, 4.00, 4.86, 117.30, 546.49
142, 4.00, 4.86, 117.30, 546.49
144, 4.00, 4.86, 146.63, 546.49
146, 4.00, 4.86, 97.75, 546.49
148, 4.00, 4.86, 127.08, 546.49
150, 4.00, 4.86, 107.53, 546.49
152, 4.00, 4.86, 107.53, 546.49
154, 4.00, 4.86, 117.30, 546.49
156, 4.00, 4.86, 107.53, 546.49
158, 4.00, 4.86, 107.53, 546.49
160, 4.00, 4.86, 117.30, 546.49
162, 4.00, 4.86, 127.08, 546.49
164, 4.00, 4.86, 107.53, 546.49
166, 4.00, 4.86, 127.08, 546.49
168, 4.00, 4.86, 107.53, 546.49
170, 4.00, 4.86, 117.30, 546.49
172, 4.00, 4.86, 107.53, 546.49
174, 4.00, 4.86, 117.30, 546.49
176, 4.00, 4.86, 107.53, 546.49
178, 4.00, 4.86, 127.08, 546.49
180, 4.00, 4.86, 107.53, 546.49
182, 4.00, 4.86, 97.75, 546.49
184, 4.00, 4.86, 117.30, 546.49
186, 4.00, 4.86, 107.53, 546.49
188, 4.00, 4.86, 107.53, 546.49
190, 4.00, 4.86, 117.30, 546.49
192, 4.00, 4.86, 107.53, 546.49
194, 4.00, 4.86, 117.30, 546.49
196, 4.00, 4.86, 107.53, 546.49
198, 4.00, 4.86, 97.75, 546.49
200, 4.00, 4.86, 107.53, 546.49
202, 4.00, 4.86, 97.75, 546.49
204, 4.00, 4.86, 127.08, 546.49
206, 4.00, 4.86, 117.30, 546.49
208, 4.00, 4.86, 117.30, 546.49
210, 4.00, 4.86, 117.30, 546.49
212, 4.00, 4.86, 127.08, 546.49
214, 4.00, 4.86, 117.30, 546.49
216, 4.00, 4.86, 107.53, 546.49
218, 4.00, 4.86, 107.53, 546.49
220, 4.00, 4.86, 107.53, 546.49
222, 4.00, 4.86, 127.08, 546.49
224, 4.00, 4.86, 107.53, 546.49
226, 4.00, 4.86, 117.30, 546.49
228, 4.00, 4.86, 117.30, 546.49
230, 4.00, 4.86, 107.53, 546.49
232, 3.99, 4.86, 127.08, 545.86
234, 4.00, 4.86, 97.75, 546.49
236, 4.00, 4.86, 117.30, 546.49
238, 4.00, 4.86, 107.53, 546.49
240, 4.00, 4.86, 117.30, 546.49
242, 4.00, 4.86, 117.30, 546.49
244, 4.00, 4.86, 146.63, 546.49
246, 4.00, 4.86, 136.85, 546.49
248, 4.00, 4.86, 117.30, 546.49
250, 4.00, 4.86, 127.08, 546.49
252, 4.01, 4.86, 127.08, 547.13
254, 4.00, 4.86, 136.85, 546.49
256, 4.00, 4.86, 146.63, 546.49
258, 4.00, 4.86, 156.40, 546.49
260, 4.00, 4.86, 185.73, 546.49
262, 4.00, 4.86, 185.73, 546.49
264, 4.00, 4.86, 205.28, 546.49
266, 4.00, 4.86, 195.50, 546.49
268, 4.00, 4.86, 185.73, 546.49
270, 4.00, 4.86, 166.18, 546.49
272, 3.99, 4.86, 156.40, 545.86
274, 4.00, 4.86, 146.63, 546.49
276, 4.00, 4.86, 146.63, 546.49
278, 4.00, 4.86, 146.63, 546.49
280, 4.00, 4.86, 146.63, 546.49
282, 3.99, 4.86, 156.40, 545.86
284, 4.00, 4.86, 136.85, 546.49
286, 4.00, 4.86, 156.40, 546.49
288, 4.00, 4.86, 136.85, 546.49
290, 4.00, 4.86, 136.85, 546.49
292, 4.00, 4.86, 117.30, 546.49
294, 4.00, 4.86, 127.08, 546.49
296, 4.00, 4.86, 156.40, 546.49
298, 4.00, 4.86, 156.40, 546.49
300, 3.99, 4.86, 156.40, 545.86
302, 4.00, 4.86, 146.63, 546.49
304, 4.00, 4.86, 166.18, 546.49
306, 4.00, 4.86, 166.18, 546.49
308, 4.00, 4.86, 156.40, 546.49
310, 4.00, 4.86, 156.40, 546.49
312, 4.00, 4.86, 136.85, 546.49
314, 4.00, 4.86, 146.63, 546.49
316, 4.00, 4.86, 146.63, 546.49
318, 4.00, 4.86, 166.18, 546.49
320, 4.00, 4.86, 156.40, 546.49
322, 4.00, 4.86, 166.18, 546.49
324, 4.00, 4.86, 175.95, 546.49
326, 4.00, 4.86, 166.18, 546.49
328, 4.00, 4.86, 156.40, 546.49
330, 4.00, 4.86, 136.85, 546.49
332, 4.00, 4.86, 136.85, 546.49
334, 4.00, 4.86, 146.63, 546.49
336, 4.00, 4.86, 127.08, 546.49
338, 4.00, 4.86, 156.40, 546.49
340, 4.00, 4.86, 175.95, 546.49
342, 4.00, 4.86, 185.73, 546.49
344, 4.00, 4.86, 195.50, 546.49
346, 4.00, 4.86, 205.28, 546.49
348, 4.00, 4.86, 215.05, 546.49
350, 4.00, 4.86, 215.05, 546.49
352, 4.00, 4.76, 263.93, 552.67
354, 4.00, 4.76, 234.60, 552.67
356, 4.00, 4.76, 215.05, 552.67
358, 4.00, 4.76, 185.73, 552.67
360, 4.00, 4.76, 185.73, 552.67
362, 4.00, 4.76, 185.73, 552.67
364, 4.00, 4.76, 175.95, 552.67
366, 4.00, 4.65, 175.95, 559.06
368, 4.00, 4.65, 166.18, 559.06
370, 4.00, 4.65, 195.50, 559.06
372, 4.00, 4.65, 185.73, 559.06
374, 4.00, 4.65, 185.73, 559.06
376, 4.00, 4.65, 166.18, 559.06
378, 4.00, 4.65, 156.40, 559.06
380, 4.00, 4.65, 175.95, 559.06
382, 3.99, 4.54, 156.40, 565.02
384, 4.00, 4.54, 156.40, 565.67
386, 4.00, 4.54, 156.40, 565.67
388, 4.00, 4.54, 166.18, 565.67
390, 4.00, 4.54, 156.40, 565.67
392, 4.00, 4.54, 175.95, 565.67
394, 4.00, 4.54, 136.85, 565.67
396, 4.00, 4.54, 156.40, 565.67
398, 4.00, 4.43, 156.40, 572.53
400, 4.00, 4.43, 166.18, 572.53
402, 4.00, 4.43, 146.63, 572.53
404, 4.00, 4.43, 156.40, 572.53
406, 4.00, 4.43, 166.18, 572.53
408, 4.00, 4.43, 156.40, 572.53
410, 4.00, 4.43, 156.40, 572.53
412, 4.00, 4.43, 136.85, 572.53
414, 4.00, 4.32, 156.40, 579.64
416, 4.00, 4.32, 166.18, 579.64
