# material: stock PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 002
# operator: Kevin Liu
# start_time: 2025-06-19 15:57:12
# notes: stock PETG using feedback control; feed speed 4 mm/min
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
23, 4.00, 4.97, 654.94, 540.52
25, 4.00, 4.97, 654.94, 540.52
27, 4.00, 4.97, 664.71, 540.52
29, 4.00, 4.97, 664.71, 540.52
31, 4.00, 4.97, 664.71, 540.52
33, 4.00, 4.97, 674.49, 540.52
35, 4.00, 4.97, 664.71, 540.52
37, 4.00, 4.97, 674.49, 540.52
39, 4.00, 4.97, 713.59, 540.52
41, 3.99, 4.97, 713.59, 539.89
43, 4.00, 4.97, 733.14, 540.52
45, 4.00, 4.97, 723.36, 540.52
47, 4.00, 4.97, 742.91, 540.52
49, 4.00, 5.08, 733.14, 534.74
51, 4.00, 5.08, 733.14, 534.74
53, 4.00, 5.08, 733.14, 534.74
55, 4.00, 5.08, 713.59, 534.74
57, 4.00, 5.08, 723.36, 534.74
59, 4.00, 5.08, 713.59, 534.74
61, 4.00, 5.08, 723.36, 534.74
63, 4.00, 5.08, 742.91, 534.74
65, 4.00, 5.08, 742.91, 534.74
67, 4.00, 5.08, 772.24, 534.74
69, 3.99, 5.08, 772.24, 534.12
71, 4.00, 5.08, 782.01, 534.74
73, 4.00, 5.08, 772.24, 534.74
75, 4.00, 5.08, 742.91, 534.74
77, 4.00, 5.08, 762.46, 534.74
79, 4.00, 5.08, 733.14, 534.74
81, 4.00, 5.08, 733.14, 534.74
83, 4.00, 5.08, 713.59, 534.74
85, 4.00, 5.08, 723.36, 534.74
87, 4.00, 5.08, 713.59, 534.74
89, 4.00, 5.08, 713.59, 534.74
91, 4.00, 5.08, 694.04, 534.74
93, 4.00, 5.08, 684.26, 534.74
95, 4.00, 5.08, 703.81, 534.74
97, 4.00, 5.08, 684.26, 534.74
99, 4.00, 5.08, 684.26, 534.74
101, 4.00, 5.08, 684.26, 534.74
103, 4.00, 5.08, 664.71, 534.74
105, 4.00, 5.08, 664.71, 534.74
107, 3.99, 5.08, 684.26, 534.12
109, 4.00, 5.08, 684.26, 534.74
111, 4.00, 5.08, 684.26, 534.74
113, 4.00, 5.08, 664.71, 534.74
115, 4.00, 5.08, 654.94, 534.74
117, 4.00, 5.08, 664.71, 534.74
119, 4.00, 5.08, 674.49, 534.74
121, 4.00, 5.08, 654.94, 534.74
123, 4.00, 5.08, 664.71, 534.74
125, 4.00, 5.08, 674.49, 534.74
127, 4.00, 5.08, 684.26, 534.74
129, 4.00, 5.08, 674.49, 534.74
131, 4.00, 5.08, 674.49, 534.74
133, 4.00, 5.08, 684.26, 534.74
135, 4.00, 5.08, 674.49, 534.74
137, 4.00, 5.08, 694.04, 534.74
139, 4.00, 5.08, 674.49, 534.74
141, 4.00, 5.08, 684.26, 534.74
143, 4.00, 5.08, 684.26, 534.74
145, 3.99, 5.08, 664.71, 534.12
147, 4.00, 5.08, 674.49, 534.74
