# material: stock PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: clear,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 002,,,,
# operator: Kevin Liu,,,,
# start_time: 2025-06-19 15:57:12,,,,
# notes: stock PETG using feedback control; feed speed 4 mm/min,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
2.3,4,4.97,654.94,540.52
2.5,4,4.97,654.94,540.52
2.7,4,4.97,664.71,540.52
2.9,4,4.97,664.71,540.52
3.1,4,4.97,664.71,540.52
3.3,4,4.97,674.49,540.52
3.5,4,4.97,664.71,540.52
3.7,4,4.97,674.49,540.52
3.9,4,4.97,713.59,540.52
4.1,3.99,4.97,713.59,539.89
4.3,4,4.97,733.14,540.52
4.5,4,4.97,723.36,540.52
4.7,4,4.97,742.91,540.52
4.9,4,5.08,733.14,534.74
5.1,4,5.08,733.14,534.74
5.3,4,5.08,733.14,534.74
5.5,4,5.08,713.59,534.74
5.7,4,5.08,723.36,534.74
5.9,4,5.08,713.59,534.74
6.1,4,5.08,723.36,534.74
6.3,4,5.08,742.91,534.74
6.5,4,5.08,742.91,534.74
6.7,4,5.08,772.24,534.74
6.9,3.99,5.08,772.24,534.12
7.1,4,5.08,782.01,534.74
7.3,4,5.08,772.24,534.74
7.5,4,5.08,742.91,534.74
7.7,4,5.08,762.46,534.74
7.9,4,5.08,733.14,534.74
8.1,4,5.08,733.14,534.74
8.3,4,5.08,713.59,534.74
8.5,4,5.08,723.36,534.74
8.7,4,5.08,713.59,534.74
8.9,4,5.08,713.59,534.74
9.1,4,5.08,694.04,534.74
9.3,4,5.08,684.26,534.74
9.5,4,5.08,703.81,534.74
9.7,4,5.08,684.26,534.74
9.9,4,5.08,684.26,534.74
10.1,4,5.08,684.26,534.74
10.3,4,5.08,664.71,534.74
10.5,4,5.08,664.71,534.74
10.7,3.99,5.08,684.26,534.12
10.9,4,5.08,684.26,534.74
11.1,4,5.08,684.26,534.74
11.3,4,5.08,664.71,534.74
11.5,4,5.08,654.94,534.74
11.7,4,5.08,664.71,534.74
11.9,4,5.08,674.49,534.74
12.1,4,5.08,654.94,534.74
12.3,4,5.08,664.71,534.74
12.5,4,5.08,674.49,534.74
12.7,4,5.08,684.26,534.74
12.9,4,5.08,674.49,534.74
13.1,4,5.08,674.49,534.74
13.3,4,5.08,684.26,534.74
13.5,4,5.08,674.49,534.74
13.7,4,5.08,694.04,534.74
13.9,4,5.08,674.49,534.74
14.1,4,5.08,684.26,534.74
14.3,4,5.08,684.26,534.74
14.5,3.99,5.08,664.71,534.12
14.7,4,5.08,674.49,534.74
14.9,4,5.08,654.94,534.74
15.1,4,5.08,684.26,534.74
15.3,3.99,5.08,674.49,534.12
15.5,4,5.08,674.49,534.74
15.7,4,5.08,674.49,534.74
15.9,4,5.08,674.49,534.74
16.1,4,5.08,694.04,534.74
16.3,4.01,5.08,694.04,535.36
16.5,4,5.08,703.81,534.74
16.7,4,5.08,674.49,534.74
16.9,4,5.08,694.04,534.74
17.1,4,4.97,674.49,540.52
17.3,4,4.97,674.49,540.52
17.5,4,4.97,684.26,540.52
17.7,4,4.97,684.26,540.52
17.9,4,4.97,684.26,540.52
18.1,4.01,4.97,684.26,541.15
18.3,4,4.97,684.26,540.52
18.5,4,4.97,684.26,540.52
18.7,4,4.97,664.71,540.52
18.9,4,4.97,674.49,540.52
19.1,4,4.97,684.26,540.52
19.3,4,4.97,664.71,540.52
19.5,4,4.97,684.26,540.52
19.7,4,4.97,674.49,540.52
19.9,4,4.97,674.49,540.52
20.1,4,4.97,674.49,540.52
20.3,4,4.97,684.26,540.52
20.5,4,4.97,664.71,540.52
20.7,4,4.97,645.16,540.52
20.9,4,4.97,654.94,540.52
21.1,4,4.97,654.94,540.52
21.3,4,4.97,654.94,540.52
21.5,4,4.97,674.49,540.52
21.7,4,4.97,654.94,540.52
21.9,4,4.97,684.26,540.52
22.1,4,4.97,674.49,540.52
22.3,4,4.97,654.94,540.52
22.5,4,4.97,674.49,540.52
22.7,4,4.97,654.94,540.52
22.9,4,4.97,684.26,540.52
23.1,4,4.97,674.49,540.52
23.3,4,4.97,684.26,540.52
23.5,4,4.97,674.49,540.52
23.7,4,4.97,664.71,540.52
23.9,4,4.97,674.49,540.52
24.1,4,4.97,674.49,540.52
24.3,4,4.97,674.49,540.52
24.5,4,4.97,684.26,540.52
24.7,4,4.97,664.71,540.52
24.9,4.01,4.97,684.26,541.15
25.1,4,4.97,684.26,540.52
25.3,3.99,4.97,694.04,539.89
25.5,4,4.97,694.04,540.52
25.7,4,4.97,674.49,540.52
25.9,4,4.97,674.49,540.52
26.1,4,4.97,674.49,540.52
26.3,4,4.97,694.04,540.52
26.5,4,4.97,694.04,540.52
26.7,4,4.97,674.49,540.52
26.9,4,4.97,694.04,540.52
27.1,4,4.97,684.26,540.52
27.3,4,4.97,674.49,540.52
27.5,4,4.97,674.49,540.52
27.7,4,4.97,664.71,540.52
27.9,4,4.97,664.71,540.52
28.1,4,4.97,654.94,540.52
28.3,4,4.97,674.49,540.52
28.5,4,4.97,664.71,540.52
28.7,4,4.97,654.94,540.52
28.9,4,4.97,674.49,540.52
29.1,4,4.97,684.26,540.52
29.3,4,4.97,684.26,540.52
29.5,4,4.97,674.49,540.52
29.7,3.99,4.97,684.26,539.89
29.9,4,4.97,694.04,540.52
30.1,4,4.97,694.04,540.52
30.3,4,4.97,703.81,540.52
30.5,4,4.97,694.04,540.52
30.7,4,4.97,684.26,540.52
