# material: stock PETG,,,,
# geometry: cyl,,,,
# preform_diameter: 20.0,,,,
# material_color: clear,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 003,,,,
# operator: Kevin Liu,,,,
# start_time: 2025-06-19 16:09:40,,,,
# notes: stock petg with feedback control; feed speed 4mm/min,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
4.1,4,10.05,459.43,380.14
4.3,4,10.05,478.98,380.14
4.5,4,10.05,478.98,380.14
4.7,3.99,10.05,498.53,379.7
4.9,4,10.05,508.31,380.14
5.1,4,10.05,527.86,380.14
5.3,4,10.16,596.29,378.12
5.5,4,10.16,635.39,378.12
5.7,4,10.16,674.49,378.12
5.9,4,10.16,694.04,378.12
6.1,4,10.27,674.49,376.12
6.3,3.99,10.27,654.94,375.68
6.5,4,10.27,596.29,376.12
6.7,4,10.27,527.86,376.12
6.9,4,10.38,449.66,374.16
7.1,4,10.38,449.66,374.16
7.3,4,10.38,400.78,374.16
7.5,4,10.38,381.23,374.16
7.7,3.99,10.38,381.23,373.72
7.9,3.99,10.38,371.46,373.72
8.1,4,10.38,371.46,374.16
8.3,4,10.49,381.23,372.22
8.5,4,10.49,381.23,372.22
8.7,4,10.49,381.23,372.22
8.9,4,10.49,391.01,372.22
9.1,4,10.49,391.01,372.22
9.3,4,10.49,430.11,372.22
9.5,4,10.49,430.11,372.22
9.7,4,10.49,430.11,372.22
9.9,4,10.49,430.11,372.22
10.1,3.99,10.49,430.11,371.79
10.3,4,10.59,420.33,370.32
10.5,4,10.59,381.23,370.32
10.7,4,10.59,391.01,370.32
10.9,4,10.59,371.46,370.32
11.1,4,10.59,381.23,370.32
11.3,4,10.59,391.01,370.32
11.5,3.99,10.59,410.56,369.89
11.7,4,10.59,430.11,370.32
11.9,4,10.59,420.33,370.32
12.1,4,10.7,430.11,368.45
12.3,4,10.7,391.01,368.45
12.5,3.99,10.7,410.56,368.02
12.7,4,10.7,400.78,368.45
12.9,4,10.7,391.01,368.45
13.1,4,10.7,410.56,368.45
13.3,4,10.7,410.56,368.45
13.5,4,10.7,400.78,368.45
13.7,4,10.7,391.01,368.45
13.9,4,10.7,381.23,368.45
14.1,4,10.7,381.23,368.45
14.3,4,10.7,400.78,368.45
14.5,3.99,10.7,381.23,368.02
14.7,4,10.81,391.01,366.6
14.9,3.99,10.7,371.46,368.02
15.1,4,10.81,361.68,366.6
15.3,4,10.81,381.23,366.6
15.5,4,10.81,371.46,366.6
15.7,4,10.81,391.01,366.6
15.9,4,10.81,371.46,366.6
16.1,4.01,10.81,381.23,367.02
16.3,4,10.81,381.23,366.6
16.5,4,10.81,381.23,366.6
16.7,4,10.81,381.23,366.6
16.9,4,10.81,381.23,366.6
17.1,4,10.81,400.78,366.6
17.3,4,10.81,391.01,366.6
17.5,4,10.81,400.78,366.6
17.7,4,10.81,400.78,366.6
17.9,4,10.81,410.56,366.6
18.1,4,10.81,400.78,366.6
18.3,4,10.81,420.33,366.6
18.5,4,10.81,410.56,366.6
18.7,4,10.81,400.78,366.6
18.9,4,10.81,420.33,366.6
19.1,4,10.81,420.33,366.6
19.3,4,10.81,430.11,366.6
19.5,3.99,10.81,430.11,366.17
19.7,4,10.81,420.33,366.6
19.9,4,10.81,420.33,366.6
20.1,4,10.81,430.11,366.6
20.3,4,10.81,420.33,366.6
20.5,4,10.81,391.01,366.6
20.7,4,10.81,400.78,366.6
20.9,4,10.81,400.78,366.6
21.1,4,10.81,420.33,366.6
21.3,4,10.81,410.56,366.6
21.5,4,10.81,400.78,366.6
21.7,4,10.81,400.78,366.6
21.9,4,10.81,400.78,366.6
22.1,4,10.81,391.01,366.6
22.3,4,10.81,381.23,366.6
22.5,4,10.81,400.78,366.6
22.7,4,10.81,400.78,366.6
22.9,4,10.81,400.78,366.6
23.1,4,10.81,391.01,366.6
23.3,3.99,10.81,391.01,366.17
23.5,4,10.92,381.23,364.78
23.7,4,10.92,400.78,364.78
23.9,4,10.92,381.23,364.78
24.1,3.99,10.81,371.46,366.17
24.3,4,10.92,410.56,364.78
24.5,4,10.92,391.01,364.78
24.7,4,10.92,391.01,364.78
24.9,4,10.92,400.78,364.78
25.1,4,10.92,400.78,364.78
25.3,3.99,10.81,410.56,366.17
25.5,4,10.92,439.88,364.78
25.7,4,10.92,410.56,364.78
25.9,4,10.92,420.33,364.78
26.1,4,10.92,420.33,364.78
26.3,4,10.92,430.11,364.78
26.5,4,10.92,430.11,364.78
26.7,4,10.92,449.66,364.78
26.9,3.99,10.92,439.88,364.35
27.1,4,10.92,410.56,364.78
27.3,4,10.92,420.33,364.78
27.5,4,10.92,391.01,364.78
27.7,4,10.92,410.56,364.78
27.9,4,10.92,400.78,364.78
28.1,4,10.92,410.56,364.78
28.3,3.99,10.92,400.78,364.35
28.5,4,10.92,420.33,364.78
28.7,4,10.92,410.56,364.78
28.9,4,10.92,391.01,364.78
29.1,4,10.92,381.23,364.78
29.3,4,10.92,381.23,364.78
29.5,4,10.92,381.23,364.78
29.7,4,10.92,371.46,364.78
29.9,4,10.92,361.68,364.78
30.1,4,10.92,371.46,364.78
30.3,4,10.92,371.46,364.78
30.5,4,11.03,351.91,362.99
30.7,4,11.03,342.13,362.99
30.9,4,11.03,322.58,362.99
31.1,4,11.03,342.13,362.99
31.3,4,11.03,332.36,362.99
31.5,4,11.03,342.13,362.99
31.7,3.99,10.92,322.58,364.35
31.9,4,11.03,342.13,362.99
32.1,4,11.03,342.13,362.99
32.3,4,11.03,322.58,362.99
32.5,4,11.03,322.58,362.99
32.7,4,11.03,332.36,362.99
32.9,4,11.03,342.13,362.99
33.1,4,11.03,351.91,362.99
33.3,4,11.03,371.46,362.99
33.5,3.99,10.92,361.68,364.35
33.7,4,11.03,371.46,362.99
33.9,4,11.03,371.46,362.99
34.1,4,11.03,351.91,362.99
34.3,4,11.03,371.46,362.99
34.5,4,11.03,361.68,362.99
34.7,4,11.03,391.01,362.99
34.9,4,11.03,381.23,362.99
35.1,4,11.03,381.23,362.99
35.3,4,11.03,371.46,362.99
35.5,4,11.03,361.68,362.99
35.7,4,11.03,391.01,362.99
35.9,4,11.03,381.23,362.99
36.1,4,11.03,400.78,362.99
36.3,4,11.03,381.23,362.99
36.5,4,10.92,420.33,364.78
36.7,4,10.92,371.46,364.78
36.9,4,10.92,400.78,364.78
37.1,4,10.92,410.56,364.78
