# material: stock PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 010
# operator: Kevin Liu
# start_time: 2025-07-24 13:02:17
# notes: 010 indicates second batch of stock petg trials (i just dont want repeat names and idk what number the last trial was).
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.99,4.99,185.73,399.53
1.42,1.98,4.98,195.50,399.13
1.62,1.99,4.98,185.73,400.07
1.82,1.98,4.99,185.73,398.60
2.02,1.98,4.98,175.95,399.13
2.22,1.98,4.98,185.73,399.13
2.42,1.98,4.97,185.73,399.67
2.62,1.99,4.98,195.50,400.07
2.82,1.98,4.98,166.18,399.13
3.02,1.99,4.98,195.50,400.07
3.22,1.99,4.98,195.50,400.07
3.42,1.98,4.98,185.73,399.13
3.62,1.99,4.98,185.73,400.07
3.82,1.99,4.98,175.95,400.07
4.02,1.99,4.98,185.73,400.07
4.22,1.98,4.98,175.95,399.13
4.42,1.99,4.98,205.28,400.07
4.62,1.99,4.98,205.28,400.07
4.82,1.97,4.98,195.50,398.20
5.02,1.99,4.99,195.50,399.53
5.22,1.98,4.97,195.50,399.67
5.42,1.99,4.98,205.28,400.07
5.62,1.99,4.99,205.28,399.53
5.82,2.00,4.98,195.50,401.00
6.02,1.98,4.99,195.50,398.60
6.22,1.98,4.98,185.73,399.13
6.42,1.99,4.99,205.28,399.53
6.62,1.99,4.98,205.28,400.07
6.82,1.98,4.98,185.73,399.13
7.02,1.99,4.98,195.50,400.07
7.22,1.98,4.98,195.50,399.13
7.42,1.98,4.99,175.95,398.60
7.62,1.99,4.99,185.73,399.53
7.82,1.99,4.98,195.50,400.07
8.02,1.99,4.98,205.28,400.07
8.22,1.98,4.99,185.73,398.60
8.42,2.00,4.98,205.28,401.00
8.62,1.99,4.99,195.50,399.53
8.82,1.97,4.98,175.95,398.20
9.02,1.99,4.98,205.28,400.07
9.22,1.98,4.98,185.73,399.13
9.42,1.99,4.98,185.73,400.07
9.62,1.99,4.98,185.73,400.07
9.82,1.99,4.98,185.73,400.07
10.02,2.00,4.99,215.05,400.46
10.22,1.99,4.99,205.28,399.53
10.42,1.99,4.98,205.28,400.07
10.62,1.99,4.99,205.28,399.53
10.82,1.97,4.99,205.28,397.66
11.02,1.99,4.98,205.28,400.07
11.22,1.98,4.98,195.50,399.13
11.42,1.99,4.98,205.28,400.07
11.62,1.99,4.99,224.83,399.53
11.82,1.99,4.98,195.50,400.07
12.02,1.99,4.98,205.28,400.07
12.22,1.97,4.98,185.73,398.20
12.42,1.99,4.98,224.83,400.07
12.62,1.98,4.98,185.73,399.13
12.82,1.97,4.98,205.28,398.20
13.02,1.99,4.98,195.50,400.07
13.22,1.97,4.98,195.50,398.20
13.42,1.99,4.98,205.28,400.07
13.62,1.99,4.98,195.50,400.07
13.82,1.97,4.97,215.05,398.73
14.02,1.99,4.99,205.28,399.53
14.22,1.97,4.98,185.73,398.20
14.42,2.00,4.99,215.05,400.46
14.62,2.10,4.99,195.50,410.58
14.82,2.23,5.02,205.28,421.09
15.02,2.33,4.99,195.50,431.83
15.22,2.41,4.97,195.50,440.72
15.42,2.57,4.98,205.28,454.34
15.62,2.68,4.98,195.50,464.11
15.82,2.75,4.98,215.05,469.72
16.02,2.75,4.98,215.05,469.72
16.22,2.76,4.98,205.28,470.52
16.42,2.80,4.98,205.28,474.47
16.62,3.09,4.99,195.50,497.64
16.82,3.16,5.01,215.05,502.18
17.02,3.20,4.98,205.28,507.23
17.22,3.43,5.07,205.28,519.75
17.42,3.58,4.99,195.50,535.89
17.62,3.58,4.99,215.05,535.89
17.82,3.72,4.98,215.05,546.96
18.02,3.90,4.99,185.73,559.05
18.22,4.08,4.99,175.95,571.59
18.42,4.16,4.98,195.50,578.21
18.62,4.20,4.99,185.73,580.01
18.82,4.38,4.99,195.50,592.10
19.02,4.42,4.98,215.05,596.04
19.22,4.48,4.98,185.73,599.79
19.42,4.53,4.98,195.50,602.90
19.62,4.64,4.98,195.50,610.30
19.82,4.67,4.97,205.28,613.57
20.02,4.72,4.98,205.28,615.79
20.22,4.73,4.99,185.73,615.57
20.42,4.74,4.99,195.50,616.17
20.62,4.75,4.98,185.73,617.61
20.82,4.87,4.98,205.28,625.43
21.02,4.93,4.98,215.05,629.01
21.22,4.97,4.98,195.50,631.97
21.42,5.01,5.01,215.05,632.63
21.62,5.01,4.98,224.83,634.34
21.82,5.01,4.97,215.05,635.19
22.02,5.01,4.98,215.05,634.34
22.22,5.01,4.98,224.83,634.34
22.42,5.00,5.09,195.50,627.02
22.62,5.00,5.64,215.05,595.63
22.82,5.00,6.23,195.50,566.69
23.02,5.00,6.87,195.50,539.47
23.22,5.00,7.64,195.50,511.74
23.42,5.00,8.23,215.05,493.03
23.62,5.01,8.74,205.28,478.87
23.82,5.01,9.17,205.28,467.52
24.02,5.01,9.41,185.73,461.48
24.22,5.01,9.62,205.28,456.30
24.42,5.00,9.85,215.05,450.56
24.62,5.01,9.99,215.05,447.94
24.82,5.01,10.12,215.05,444.96
25.02,5.01,10.32,205.28,440.60
25.22,5.00,10.31,215.05,440.48
25.42,5.01,10.48,195.50,437.20
25.62,5.01,10.74,205.28,431.98
25.82,5.01,10.86,205.28,429.57
26.02,5.01,11.02,166.18,426.42
26.22,5.01,11.17,166.18,423.59
26.42,5.01,11.29,156.40,421.32
26.62,5.01,11.49,156.40,417.61
26.82,5.00,11.64,156.40,414.57
27.02,5.00,11.80,156.40,411.73
27.22,5.01,11.93,166.18,409.79
27.42,5.01,12.11,175.95,406.82
27.62,5.01,12.33,156.40,403.04
27.82,5.01,12.44,156.40,401.30
28.02,5.01,12.51,166.18,400.22
28.22,5.01,12.51,175.95,400.22
28.42,5.01,12.54,166.18,399.79
28.62,5.00,12.51,136.85,399.85
28.82,5.01,12.51,175.95,400.22
29.02,5.01,12.50,166.18,400.44
29.22,5.01,12.51,156.40,400.22
29.42,5.01,12.52,156.40,400.01
29.62,5.00,12.51,156.40,399.85
29.82,5.01,12.50,156.40,400.44
30.02,5.01,12.54,156.40,399.79
30.22,5.01,12.50,166.18,400.44
30.42,5.01,12.54,156.40,399.79
30.62,5.01,12.51,136.85,400.22
30.82,5.01,12.50,166.18,400.44
31.02,5.01,12.52,146.63,400.01
31.22,5.00,12.51,146.63,399.85
31.42,5.00,12.51,156.40,399.85
31.62,5.01,12.51,166.18,400.22
31.82,5.00,12.51,175.95,399.85
32.02,5.01,12.50,156.40,400.44
32.22,5.01,12.50,156.40,400.44
32.42,5.00,12.50,175.95,400.06
32.62,5.00,12.52,175.95,399.63
32.82,5.01,12.51,175.95,400.22
33.02,5.01,12.51,166.18,400.22
33.22,5.01,12.51,156.40,400.22
33.42,5.01,12.52,146.63,400.01
33.62,5.00,12.51,156.40,399.85
33.82,5.01,12.50,156.40,400.44
34.02,5.01,12.48,156.40,400.65
34.22,5.01,12.50,185.73,400.44
34.42,5.01,12.51,166.18,400.22
34.62,5.01,12.51,166.18,400.22
34.82,5.00,12.50,146.63,400.06
35.02,5.01,12.51,166.18,400.22
35.22,5.01,12.51,166.18,400.22
35.42,5.01,12.50,156.40,400.44
35.62,5.00,12.52,146.63,399.63
35.82,5.00,12.51,156.40,399.85
36.02,5.01,12.51,146.63,400.22
36.22,5.01,12.52,166.18,400.01
36.42,5.01,12.51,166.18,400.22
36.62,5.01,12.54,146.63,399.79
36.82,5.01,12.52,175.95,400.01
37.02,5.01,12.51,175.95,400.22
37.22,5.01,12.51,156.40,400.22
37.42,5.01,12.51,175.95,400.22
37.62,5.01,12.50,175.95,400.44
37.82,5.01,12.52,166.18,400.01
38.02,5.01,12.51,166.18,400.22
38.22,5.00,12.51,156.40,399.85
38.42,5.01,12.51,156.40,400.22
38.62,5.01,12.50,195.50,400.44
38.82,5.01,12.51,175.95,400.22
39.02,5.01,12.50,156.40,400.44
39.22,5.01,12.51,166.18,400.22
39.42,5.00,12.50,156.40,400.06
39.62,5.01,12.52,166.18,400.01
39.82,5.00,12.50,156.40,400.06
40.02,5.00,12.52,156.40,399.63
40.22,5.01,12.51,175.95,400.22
40.42,5.01,12.51,175.95,400.22
40.62,5.01,12.52,156.40,400.01
40.82,5.01,12.51,156.40,400.22
41.02,5.01,12.50,166.18,400.44
41.22,5.00,12.51,175.95,399.85
41.42,5.01,12.51,166.18,400.22
41.62,5.01,12.50,166.18,400.44
41.82,5.00,12.52,146.63,399.63
42.02,5.01,12.51,166.18,400.22
42.22,5.01,12.50,175.95,400.44
42.42,5.00,12.51,166.18,399.85
42.62,5.01,12.51,185.73,400.22
42.82,5.00,12.51,175.95,399.85
43.02,5.00,12.51,175.95,399.85
43.22,5.01,12.48,185.73,400.65
43.42,5.01,12.50,185.73,400.44
43.62,5.01,12.50,185.73,400.44
43.82,5.01,12.51,185.73,400.22
44.02,5.01,12.50,185.73,400.44
44.22,5.00,12.50,175.95,400.06
44.42,5.01,12.50,175.95,400.44
44.62,5.01,12.51,175.95,400.22
44.82,5.00,12.50,175.95,400.06
45.02,5.01,12.50,166.18,400.44
45.22,5.00,12.50,175.95,400.06
45.42,5.01,12.52,185.73,400.01
45.62,5.01,12.51,195.50,400.22
45.82,5.00,12.51,175.95,399.85
46.02,5.00,12.51,185.73,399.85
46.22,5.01,12.50,166.18,400.44
46.42,5.01,12.52,175.95,400.01
46.62,5.01,12.50,195.50,400.44
46.82,5.00,12.47,166.18,400.49
47.02,5.01,12.50,185.73,400.44
47.22,5.01,12.51,185.73,400.22
47.42,5.01,12.48,185.73,400.65
47.62,5.00,12.51,175.95,399.85
47.82,5.01,12.50,195.50,400.44
48.02,5.01,12.52,185.73,400.01
48.22,5.00,12.52,175.95,399.63
48.42,5.01,12.51,185.73,400.22
48.62,5.01,12.50,195.50,400.44
48.82,5.01,12.50,175.95,400.44
49.02,5.01,12.50,175.95,400.44
49.22,5.01,12.50,195.50,400.44
49.42,5.01,12.50,166.18,400.44
49.62,5.01,12.50,195.50,400.44
49.82,5.01,12.51,175.95,400.22
50.02,5.01,12.50,166.18,400.44
50.22,5.01,12.48,185.73,400.65
50.42,5.01,12.50,195.50,400.44
50.62,5.01,12.51,185.73,400.22
50.82,5.01,12.48,185.73,400.65
51.02,5.01,12.50,175.95,400.44
51.22,5.01,12.50,185.73,400.44
51.42,5.00,12.48,185.73,400.28
51.62,5.01,12.52,185.73,400.01
51.82,5.01,12.50,175.95,400.44
52.02,5.01,12.50,195.50,400.44
52.22,5.01,12.52,175.95,400.01
52.42,5.01,12.50,195.50,400.44
52.62,5.01,12.51,175.95,400.22
52.82,5.00,12.50,195.50,400.06
53.02,5.01,12.48,175.95,400.65
53.22,5.00,12.51,185.73,399.85
53.42,5.01,12.50,185.73,400.44
53.62,5.01,12.48,195.50,400.65
53.82,5.01,12.48,205.28,400.65
54.02,5.01,12.50,195.50,400.44
