# material: stock PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 011
# operator: Kevin Liu
# start_time: 2025-07-25 14:36:25
# notes: dehydrated for 24 hr at 65C
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,5.01,12.48,576.74,400.65
1.42,5.00,12.48,576.74,400.28
1.62,5.00,12.50,576.74,400.06
1.82,5.01,12.48,586.51,400.65
2.02,5.01,12.47,596.29,400.87
2.22,5.01,12.48,576.74,400.65
2.42,5.01,12.48,586.51,400.65
2.62,5.01,12.48,586.51,400.65
2.82,5.01,12.51,586.51,400.22
3.02,5.01,12.48,586.51,400.65
3.22,5.01,12.50,576.74,400.44
3.42,5.00,12.48,566.96,400.28
3.62,5.01,12.48,586.51,400.65
3.82,5.01,12.50,547.41,400.44
4.02,5.00,12.48,557.18,400.28
4.22,5.01,12.48,537.63,400.65
4.42,5.01,12.48,557.18,400.65
4.62,5.00,12.48,566.96,400.28
4.82,5.01,12.50,557.18,400.44
5.02,5.01,12.47,557.18,400.87
5.22,5.00,12.48,547.41,400.28
5.42,5.01,12.50,547.41,400.44
5.62,5.01,12.48,547.41,400.65
5.82,5.00,12.48,537.63,400.28
6.02,5.01,12.50,557.18,400.44
6.22,5.01,12.48,557.18,400.65
6.42,5.01,12.50,557.18,400.44
6.62,5.01,12.48,557.18,400.65
6.82,5.01,12.48,557.18,400.65
7.02,5.01,12.48,576.74,400.65
7.22,5.00,12.48,596.29,400.28
7.42,5.00,12.48,596.29,400.28
7.62,5.01,12.50,576.74,400.44
7.82,5.01,12.48,615.84,400.65
8.02,5.01,12.48,586.51,400.65
8.22,5.01,12.50,586.51,400.44
8.42,5.00,12.50,586.51,400.06
8.62,5.01,12.50,596.29,400.44
8.82,5.01,12.50,576.74,400.44
9.02,5.01,12.48,606.06,400.65
9.22,5.01,12.50,586.51,400.44
9.42,5.01,12.48,586.51,400.65
9.62,5.01,12.50,596.29,400.44
9.82,5.01,12.50,596.29,400.44
10.02,5.01,12.47,566.96,400.87
10.22,5.01,12.48,566.96,400.65
10.42,5.01,12.48,576.74,400.65
10.62,5.01,12.48,576.74,400.65
10.82,5.01,12.50,566.96,400.44
11.02,5.01,12.50,547.41,400.44
11.22,5.00,12.48,557.18,400.28
11.42,5.01,12.47,576.74,400.87
11.62,5.01,12.48,576.74,400.65
11.82,5.00,12.48,586.51,400.28
12.02,5.01,12.48,586.51,400.65
12.22,5.01,12.47,0.00,400.87
12.42,5.01,12.50,0.00,400.44
12.62,5.01,12.48,0.00,400.65
12.82,5.01,12.50,0.00,400.44
13.02,5.01,12.48,0.00,400.65
13.22,5.01,12.48,0.00,400.65
13.42,5.01,12.48,0.00,400.65
13.62,5.01,12.48,0.00,400.65
13.82,5.01,12.48,0.00,400.65
14.02,5.01,12.47,0.00,400.87
14.22,5.01,12.47,0.00,400.87
14.42,5.01,12.48,0.00,400.65
14.62,5.01,12.48,0.00,400.65
14.82,5.01,12.50,0.00,400.44
15.02,5.01,12.48,0.00,400.65
15.22,5.00,12.47,0.00,400.49
15.42,5.01,12.48,0.00,400.65
15.62,5.01,12.50,0.00,400.44
15.82,5.01,12.48,0.00,400.65
16.02,5.01,12.47,0.00,400.87
16.22,5.00,12.48,0.00,400.28
16.42,5.01,12.51,0.00,400.22
16.62,5.01,12.48,0.00,400.65
16.82,5.00,12.50,0.00,400.06
17.02,5.00,12.48,0.00,400.28
17.22,5.00,12.50,0.00,400.06
17.42,5.01,12.48,0.00,400.65
17.62,5.01,12.50,0.00,400.44
17.82,5.00,12.50,0.00,400.06
18.02,5.01,12.48,0.00,400.65
18.22,5.01,12.50,0.00,400.44
18.42,5.01,12.48,0.00,400.65
18.62,5.01,12.47,0.00,400.87
18.82,5.01,12.48,0.00,400.65
19.02,5.01,12.47,0.00,400.87
19.22,5.01,12.50,0.00,400.44
19.42,5.01,12.48,0.00,400.65
19.62,5.01,12.48,0.00,400.65
19.82,5.01,12.48,0.00,400.65
20.02,5.00,12.47,0.00,400.49
20.22,5.00,12.48,0.00,400.28
20.42,5.01,12.48,0.00,400.65
20.62,5.01,12.50,0.00,400.44
20.82,5.01,12.48,0.00,400.65
21.02,5.01,12.48,0.00,400.65
21.22,5.00,12.48,0.00,400.28
