# material: stock PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 020
# operator: Kevin Liu
# start_time: 2025-07-28 12:25:12
# notes: Dehydrated over the weekend at 65C. Bubbles still present
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,1.91,5.01,263.93,390.52
1.42,1.90,5.02,254.15,389.04
1.62,1.91,5.01,254.15,390.52
1.82,1.91,5.03,254.15,389.47
2.02,1.91,5.02,244.38,389.99
2.22,1.92,5.02,273.70,390.94
2.42,1.91,5.02,263.93,389.99
2.62,1.92,5.03,273.70,390.42
2.82,1.91,5.02,263.93,389.99
3.02,1.92,5.03,273.70,390.42
3.22,1.91,5.02,263.93,389.99
3.42,1.91,5.03,283.48,389.47
3.62,1.91,5.02,244.38,389.99
3.82,1.91,5.03,273.70,389.47
4.02,1.90,5.03,273.70,388.52
4.22,1.91,5.03,293.26,389.47
4.42,1.90,5.02,273.70,389.04
4.62,1.98,5.06,263.93,395.95
4.82,2.09,5.19,263.93,400.76
5.02,2.20,5.72,273.70,392.07
5.22,2.26,6.31,273.70,378.77
5.42,2.31,7.05,273.70,362.04
5.62,2.34,7.64,244.38,349.86
5.82,2.36,8.12,273.70,340.64
6.02,2.35,8.31,263.93,336.10
6.22,2.36,8.46,273.70,333.82
6.42,2.41,8.67,273.70,333.54
6.62,2.49,8.80,273.70,336.06
6.82,2.69,8.82,263.93,349.37
7.02,2.78,8.82,283.48,355.36
7.22,2.90,8.83,254.15,362.15
7.42,3.31,8.79,254.15,388.35
7.62,3.32,8.80,244.38,388.60
7.82,3.85,8.80,283.48,418.47
8.02,3.92,8.82,254.15,421.67
8.22,4.33,8.82,273.70,443.16
8.42,4.43,8.83,263.93,448.03
8.62,4.93,8.82,244.38,472.67
8.82,4.94,8.82,234.60,473.57
9.02,5.42,8.82,234.60,495.79
9.22,5.42,8.83,234.60,495.41
9.42,5.42,8.83,205.28,495.41
9.62,5.42,8.82,205.28,495.79
9.82,5.42,8.82,195.50,495.79
10.02,5.42,8.82,215.05,495.79
10.22,5.39,8.82,205.28,494.51
10.42,5.30,8.82,205.28,490.22
10.62,5.32,8.82,224.83,491.08
10.82,5.28,8.82,215.05,489.36
11.02,5.22,8.83,244.38,486.39
11.22,5.20,8.82,224.83,485.89
11.42,5.17,8.82,234.60,484.15
11.62,5.17,8.82,244.38,484.15
11.82,5.15,8.82,244.38,483.28
12.02,5.13,8.82,234.60,482.40
12.22,5.11,8.83,244.38,481.16
12.42,5.10,8.82,263.93,481.09
12.62,5.09,8.82,254.15,480.65
12.82,5.07,8.82,224.83,479.77
13.02,5.07,8.82,244.38,479.77
13.22,5.06,8.82,224.83,478.89
13.42,5.05,8.82,244.38,478.45
13.62,5.03,8.82,234.60,477.56
13.82,5.02,8.82,234.60,477.12
14.02,5.02,8.82,254.15,477.12
14.22,5.02,8.82,234.60,477.12
14.42,5.01,8.80,224.83,477.04
14.62,5.02,8.83,244.38,476.76
14.82,5.02,8.83,263.93,476.76
15.02,5.05,8.82,283.48,478.45
15.22,5.02,8.82,234.60,477.12
15.42,5.01,8.82,234.60,476.68
15.62,5.01,8.82,244.38,476.68
15.82,5.02,8.82,234.60,477.12
16.02,5.01,8.82,215.05,476.68
16.22,5.02,8.83,244.38,476.76
16.42,5.02,8.82,244.38,477.12
16.62,5.02,8.80,215.05,477.48
16.82,5.02,8.82,224.83,477.12
17.02,5.02,8.87,205.28,475.67
17.22,5.02,9.14,263.93,468.64
17.42,5.02,9.46,224.83,460.59
17.62,5.02,9.74,234.60,453.88
17.82,5.02,9.99,263.93,448.36
18.02,5.02,10.21,254.15,443.32
18.22,5.02,10.46,234.60,438.17
18.42,5.02,10.66,263.93,434.01
18.62,5.02,10.82,263.93,430.77
18.82,5.02,11.01,263.93,427.07
19.02,5.02,11.23,263.93,422.72
19.22,5.02,11.45,263.93,418.73
19.42,5.02,11.66,263.93,414.86
19.62,5.02,11.80,244.38,412.49
19.82,5.02,11.96,254.15,409.71
20.02,5.02,12.11,254.15,407.20
20.22,5.02,12.29,254.15,404.08
20.42,5.02,12.48,234.60,401.02
20.62,5.02,12.58,234.60,399.52
20.82,5.02,12.60,205.28,399.10
21.02,5.02,12.42,224.83,402.11
21.22,5.01,12.19,224.83,405.48
21.42,5.02,12.11,205.28,407.20
21.62,5.02,12.20,224.83,405.63
21.82,5.01,12.42,205.28,401.73
22.02,5.02,12.54,205.28,400.16
22.22,5.02,12.59,224.83,399.31
22.42,5.02,12.72,205.28,397.20
22.62,5.02,12.79,215.05,396.15
22.82,5.02,12.79,224.83,396.15
23.02,5.02,12.70,195.50,397.62
23.22,5.02,12.52,224.83,400.38
23.42,5.02,12.43,195.50,401.89
23.62,5.02,12.32,224.83,403.64
23.82,5.02,12.35,205.28,403.20
24.02,5.01,12.38,205.28,402.38
24.22,5.02,12.50,195.50,400.81
24.42,5.02,12.50,215.05,400.81
24.62,5.02,12.51,185.73,400.59
24.82,5.02,12.50,205.28,400.81
25.02,5.02,12.50,215.05,400.81
25.22,5.02,12.50,215.05,400.81
25.42,5.02,12.51,205.28,400.59
25.62,5.02,12.50,185.73,400.81
25.82,5.02,12.48,185.73,401.02
26.02,5.02,12.50,195.50,400.81
26.22,5.02,12.48,195.50,401.02
26.42,5.02,12.48,205.28,401.02
26.62,5.01,12.50,205.28,400.44
26.82,5.02,12.50,195.50,400.81
27.02,5.02,12.50,205.28,400.81
27.22,5.02,12.51,215.05,400.59
27.42,5.02,12.51,234.60,400.59
27.62,5.02,12.50,234.60,400.81
27.82,5.02,12.50,224.83,400.81
28.02,5.01,12.50,234.60,400.44
28.22,5.02,12.50,254.15,400.81
28.42,5.02,12.51,254.15,400.59
28.62,5.02,12.50,254.15,400.81
28.82,5.02,12.50,263.93,400.81
29.02,5.01,12.50,254.15,400.44
29.22,5.02,12.50,244.38,400.81
29.42,5.02,12.50,234.60,400.81
29.62,5.02,12.51,244.38,400.59
29.82,5.02,12.48,244.38,401.02
30.02,5.02,12.51,215.05,400.59
30.22,5.01,12.50,215.05,400.44
30.42,5.02,12.51,215.05,400.59
30.62,5.03,12.50,224.83,401.18
30.82,5.02,12.50,224.83,400.81
31.02,5.02,12.50,215.05,400.81
31.22,5.02,12.51,224.83,400.59
31.42,5.02,12.50,224.83,400.81
31.62,5.02,12.50,234.60,400.81
31.82,5.02,12.51,234.60,400.59
32.02,5.02,12.50,234.60,400.81
32.22,5.02,12.50,224.83,400.81
32.42,5.02,12.50,254.15,400.81
32.62,5.02,12.51,224.83,400.59
32.82,5.02,12.51,254.15,400.59
33.02,5.02,12.51,234.60,400.59
33.22,5.01,12.50,263.93,400.44
33.42,5.02,12.51,254.15,400.59
33.62,5.02,12.50,254.15,400.81
33.82,5.02,12.50,244.38,400.81
34.02,5.02,12.50,254.15,400.81
34.22,5.02,12.50,263.93,400.81
34.42,5.02,12.48,254.15,401.02
34.62,5.02,12.50,263.93,400.81
34.82,5.01,12.50,244.38,400.44
35.02,5.02,12.51,244.38,400.59
35.22,5.02,12.51,234.60,400.59
35.42,5.01,12.48,234.60,400.65
35.62,5.02,12.50,224.83,400.81
35.82,5.02,12.48,234.60,401.02
36.02,5.02,12.48,244.38,401.02
36.22,5.02,12.50,224.83,400.81
36.42,5.02,12.50,254.15,400.81
36.62,5.01,12.50,244.38,400.44
36.82,5.01,12.50,234.60,400.44
37.02,5.02,12.51,234.60,400.59
37.22,5.02,12.48,254.15,401.02
37.42,5.02,12.51,215.05,400.59
37.62,5.02,12.51,244.38,400.59
37.82,5.02,12.51,224.83,400.59
38.02,5.02,12.50,263.93,400.81
38.22,5.02,12.48,254.15,401.02
38.42,5.02,12.48,263.93,401.02
38.62,5.02,12.51,254.15,400.59
38.82,5.02,12.48,244.38,401.02
39.02,5.02,12.51,244.38,400.59
39.22,5.01,12.50,244.38,400.44
39.42,5.02,12.50,234.60,400.81
39.62,5.02,12.51,224.83,400.59
39.82,5.01,12.50,234.60,400.44
40.02,5.02,12.50,244.38,400.81
40.22,5.02,12.50,234.60,400.81
40.42,5.02,12.51,234.60,400.59
40.62,5.02,12.51,234.60,400.59
40.82,5.02,12.51,244.38,400.59
41.02,5.02,12.51,224.83,400.59
41.22,5.02,12.50,215.05,400.81
41.42,5.02,12.51,215.05,400.59
41.62,5.01,12.48,195.50,400.65
41.82,5.02,12.48,224.83,401.02
42.02,5.02,12.50,224.83,400.81
42.22,5.02,12.51,224.83,400.59
42.42,5.02,12.50,234.60,400.81
42.62,5.02,12.51,185.73,400.59
42.82,5.02,12.50,244.38,400.81
43.02,5.02,12.51,205.28,400.59
43.22,5.02,12.48,244.38,401.02
43.42,5.02,12.51,195.50,400.59
43.62,5.01,12.51,215.05,400.22
43.82,5.02,12.51,195.50,400.59
44.02,5.02,12.50,224.83,400.81
44.22,5.02,12.51,244.38,400.59
44.42,5.02,12.50,244.38,400.81
44.62,5.02,12.51,273.70,400.59
44.82,5.02,12.50,263.93,400.81
45.02,5.02,12.50,273.70,400.81
45.22,5.02,12.51,283.48,400.59
45.42,5.01,12.50,263.93,400.44
45.62,5.02,12.50,263.93,400.81
45.82,5.02,12.50,293.26,400.81
46.02,5.02,12.52,273.70,400.38
46.22,5.02,12.48,293.26,401.02
46.42,5.02,12.51,283.48,400.59
46.62,5.02,12.48,312.81,401.02
46.82,5.02,12.51,293.26,400.59
47.02,5.02,12.48,303.03,401.02
47.22,5.01,12.50,283.48,400.44
47.42,5.02,12.48,283.48,401.02
47.62,5.02,12.51,263.93,400.59
47.82,5.02,12.50,273.70,400.81
48.02,5.02,12.51,283.48,400.59
48.22,5.02,12.50,293.26,400.81
48.42,5.02,12.51,283.48,400.59
48.62,5.02,12.50,283.48,400.81
48.82,5.02,12.51,283.48,400.59
49.02,5.01,12.50,283.48,400.44
49.22,5.01,12.50,283.48,400.44
49.42,5.02,12.50,273.70,400.81
49.62,5.02,12.50,273.70,400.81
49.82,5.02,12.50,273.70,400.81
50.02,5.02,12.51,293.26,400.59
50.22,5.02,12.51,273.70,400.59
50.42,5.01,12.51,234.60,400.22
50.62,5.02,12.50,263.93,400.81
50.82,5.01,12.50,254.15,400.44
51.02,5.02,12.51,263.93,400.59
51.22,5.01,12.50,244.38,400.44
51.42,5.02,12.51,273.70,400.59
51.62,5.02,12.50,273.70,400.81
51.82,5.02,12.51,254.15,400.59
52.02,5.02,12.48,263.93,401.02
52.22,5.02,12.51,273.70,400.59
52.42,5.02,12.48,273.70,401.02
52.62,5.01,12.51,263.93,400.22
52.82,5.02,12.50,273.70,400.81
53.02,5.02,12.51,254.15,400.59
53.22,5.02,12.50,273.70,400.81
53.42,5.01,12.51,263.93,400.22
53.62,5.02,12.50,273.70,400.81
53.82,5.02,12.51,263.93,400.59
54.02,5.02,12.50,254.15,400.81
54.22,5.02,12.50,254.15,400.81
54.42,5.01,12.51,263.93,400.22
54.62,5.01,12.50,273.70,400.44
54.82,5.02,12.51,263.93,400.59
55.02,5.02,12.48,273.70,401.02
55.22,5.02,12.50,244.38,400.81
55.42,5.02,12.48,254.15,401.02
55.62,5.02,12.51,224.83,400.59
55.82,5.02,12.50,244.38,400.81
56.02,5.02,12.50,263.93,400.81
56.22,5.02,12.50,283.48,400.81
56.42,5.02,12.51,254.15,400.59
56.62,5.02,12.51,283.48,400.59
56.82,5.01,12.51,283.48,400.22
