# material: stock PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 030
# operator: Kevin Liu
# start_time: 2025-07-31 11:43:44
# notes: dehydrated for like 5 days at 65C. Still so many bubbles
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,5.02,12.50,263.93,400.81
1.42,5.02,12.51,263.93,400.59
1.62,5.02,12.52,244.38,400.38
1.82,5.02,12.51,224.83,400.59
2.02,5.02,12.50,244.38,400.81
2.22,5.02,12.52,234.60,400.38
2.42,5.02,12.51,224.83,400.59
2.62,5.02,12.50,263.93,400.81
2.82,5.02,12.52,224.83,400.38
3.02,5.02,12.51,234.60,400.59
3.22,5.02,12.51,254.15,400.59
3.42,5.02,12.51,273.70,400.59
3.62,5.02,12.50,254.15,400.81
3.82,5.02,12.51,244.38,400.59
4.02,5.02,12.51,244.38,400.59
4.22,5.03,12.51,234.60,400.96
4.42,5.02,12.51,224.83,400.59
4.62,5.02,12.51,244.38,400.59
4.82,5.02,12.51,234.60,400.59
5.02,5.02,12.50,224.83,400.81
5.22,5.02,12.51,234.60,400.59
5.42,5.02,12.50,254.15,400.81
5.62,5.02,12.51,215.05,400.59
5.82,5.02,12.51,234.60,400.59
6.02,5.02,12.51,224.83,400.59
6.22,5.02,12.51,224.83,400.59
6.42,5.02,12.50,254.15,400.81
6.62,5.02,12.51,244.38,400.59
6.82,5.02,12.51,224.83,400.59
7.02,5.02,12.50,234.60,400.81
7.22,5.02,12.52,234.60,400.38
7.42,5.02,12.50,234.60,400.81
7.62,5.02,12.51,254.15,400.59
7.82,5.02,12.51,234.60,400.59
8.02,5.02,12.50,244.38,400.81
8.22,5.02,12.50,205.28,400.81
8.42,5.02,12.51,244.38,400.59
8.62,5.02,12.50,244.38,400.81
8.82,5.02,12.50,234.60,400.81
9.02,5.02,12.51,224.83,400.59
9.22,5.02,12.48,244.38,401.02
9.42,5.02,12.50,244.38,400.81
9.62,5.02,12.51,215.05,400.59
9.82,5.02,12.50,234.60,400.81
10.02,5.02,12.51,244.38,400.59
10.22,5.02,12.51,263.93,400.59
10.42,5.02,12.51,263.93,400.59
10.62,5.02,12.52,254.15,400.38
10.82,5.02,12.51,283.48,400.59
11.02,5.02,12.50,283.48,400.81
11.22,5.02,12.50,293.26,400.81
11.42,5.02,12.51,312.81,400.59
11.62,5.02,12.51,332.36,400.59
11.82,5.02,12.51,312.81,400.59
12.02,5.02,12.50,303.03,400.81
12.22,5.02,12.50,303.03,400.81
12.42,5.02,12.51,273.70,400.59
12.62,5.02,12.51,303.03,400.59
12.82,5.02,12.51,273.70,400.59
13.02,5.02,12.51,273.70,400.59
13.22,5.02,12.51,283.48,400.59
13.42,5.02,12.52,273.70,400.38
13.62,5.02,12.50,293.26,400.81
13.82,5.02,12.51,303.03,400.59
14.02,5.02,12.52,293.26,400.38
14.22,5.02,12.51,303.03,400.59
14.42,5.02,12.51,303.03,400.59
14.62,5.02,12.52,312.81,400.38
14.82,5.02,12.50,322.58,400.81
15.02,5.02,12.50,293.26,400.81
15.22,5.02,12.51,312.81,400.59
15.42,5.02,12.50,303.03,400.81
15.62,5.02,12.51,293.26,400.59
15.82,5.02,12.51,293.26,400.59
16.02,5.02,12.51,312.81,400.59
16.22,5.02,12.51,312.81,400.59
16.42,5.02,12.50,303.03,400.81
16.62,5.02,12.52,332.36,400.38
16.82,5.02,12.52,312.81,400.38
17.02,5.02,12.50,332.36,400.81
17.22,5.02,12.51,312.81,400.59
17.42,5.02,12.50,322.58,400.81
17.62,5.02,12.50,342.13,400.81
17.82,5.02,12.52,322.58,400.38
18.02,5.02,12.51,332.36,400.59
18.22,5.02,12.51,342.13,400.59
18.42,5.02,12.51,332.36,400.59
