# material: stock PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 031
# operator: Kevin Liu
# start_time: 2025-07-31 11:54:47
# notes: Same preform as 030. DO NOT USE I FORGOR TO TURN ON THE FEED MOTOR
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,5.02,12.50,498.53,400.81
1.42,5.02,12.52,478.98,400.38
1.62,5.02,12.50,478.98,400.81
1.82,5.02,12.50,459.43,400.81
2.02,5.02,12.51,439.88,400.59
2.22,5.02,12.51,478.98,400.59
2.42,5.02,12.51,430.11,400.59
2.62,5.02,12.50,478.98,400.81
2.82,5.02,12.51,439.88,400.59
3.02,5.02,12.51,430.11,400.59
3.22,5.02,12.50,420.33,400.81
3.42,5.02,12.52,400.78,400.38
3.62,5.02,12.50,430.11,400.81
3.82,5.02,12.52,420.33,400.38
4.02,5.02,12.50,439.88,400.81
4.22,5.02,12.50,430.11,400.81
4.42,5.02,12.51,449.66,400.59
4.62,5.02,12.50,459.43,400.81
4.82,5.01,12.51,439.88,400.22
5.02,5.02,12.50,439.88,400.81
5.22,5.02,12.52,459.43,400.38
5.42,5.02,12.51,459.43,400.59
5.62,5.02,12.50,449.66,400.81
5.82,5.02,12.51,459.43,400.59
6.02,5.02,12.50,459.43,400.81
6.22,5.02,12.51,439.88,400.59
6.42,5.02,12.51,459.43,400.59
6.62,5.02,12.51,469.21,400.59
6.82,5.02,12.50,469.21,400.81
7.02,5.02,12.51,459.43,400.59
7.22,5.02,12.52,478.98,400.38
7.42,5.02,12.50,488.76,400.81
7.62,5.02,12.50,488.76,400.81
7.82,5.01,12.51,478.98,400.22
8.02,5.02,12.51,459.43,400.59
8.22,5.02,12.51,439.88,400.59
8.42,5.02,12.50,459.43,400.81
8.62,5.02,12.52,439.88,400.38
8.82,5.02,12.51,478.98,400.59
9.02,5.02,12.51,498.53,400.59
9.22,5.02,12.50,508.31,400.81
9.42,5.02,12.51,518.08,400.59
9.62,5.02,12.51,498.53,400.59
9.82,5.02,12.51,508.31,400.59
10.02,5.02,12.52,478.98,400.38
10.22,5.02,12.51,478.98,400.59
10.42,5.03,12.51,478.98,400.96
10.62,5.02,12.51,508.31,400.59
10.82,5.02,12.51,537.63,400.59
11.02,5.02,12.51,557.18,400.59
11.22,5.02,12.48,606.06,401.02
11.42,5.02,12.52,596.29,400.38
11.62,5.02,12.51,576.74,400.59
11.82,5.02,12.50,566.96,400.81
12.02,5.02,12.51,557.18,400.59
12.22,5.02,12.50,537.63,400.81
12.42,5.02,12.50,508.31,400.81
12.62,5.02,12.51,527.86,400.59
12.82,5.02,12.52,498.53,400.38
13.02,5.02,12.50,508.31,400.81
13.22,5.02,12.50,518.08,400.81
13.42,5.02,12.51,508.31,400.59
13.62,5.02,12.50,527.86,400.81
13.82,5.02,12.51,537.63,400.59
14.02,5.02,12.50,566.96,400.81
14.22,5.02,12.51,557.18,400.59
14.42,5.02,12.50,537.63,400.81
14.62,5.02,12.51,527.86,400.59
14.82,5.02,12.50,527.86,400.81
15.02,5.02,12.51,547.41,400.59
15.22,5.02,12.51,547.41,400.59
15.42,5.02,12.50,557.18,400.81
15.62,5.02,12.51,547.41,400.59
15.82,5.02,12.51,537.63,400.59
16.02,5.02,12.51,527.86,400.59
16.22,5.02,12.51,576.74,400.59
16.42,5.02,12.50,615.84,400.81
16.62,5.02,12.50,625.61,400.81
16.82,5.02,12.51,635.39,400.59
17.02,5.02,12.51,625.61,400.59
17.22,5.02,12.50,625.61,400.81
17.42,5.02,12.51,625.61,400.59
17.62,5.02,12.51,596.29,400.59
17.82,5.02,12.51,586.51,400.59
18.02,5.02,12.51,537.63,400.59
18.22,5.02,12.50,566.96,400.81
18.42,5.02,12.51,547.41,400.59
18.62,5.02,12.50,537.63,400.81
18.82,5.02,12.51,557.18,400.59
19.02,5.02,12.51,557.18,400.59
19.22,5.02,12.50,557.18,400.81
19.42,5.02,12.51,576.74,400.59
19.62,5.02,12.50,566.96,400.81
19.82,5.02,12.51,586.51,400.59
20.02,5.02,12.50,566.96,400.81
20.22,5.02,12.51,557.18,400.59
20.42,5.02,12.51,576.74,400.59
20.62,5.01,12.51,586.51,400.22
20.82,5.02,12.50,654.94,400.81
21.02,5.02,12.50,723.36,400.81
21.22,5.02,12.52,723.36,400.38
21.42,5.02,12.50,713.59,400.81
21.62,5.02,12.51,664.71,400.59
21.82,5.02,12.51,654.94,400.59
22.02,5.02,12.52,596.29,400.38
22.22,5.02,12.50,557.18,400.81
22.42,5.02,12.51,537.63,400.59
22.62,5.02,12.51,508.31,400.59
22.82,5.02,12.50,478.98,400.81
23.02,5.02,12.51,469.21,400.59
23.22,5.02,12.50,469.21,400.81
23.42,5.02,12.51,478.98,400.59
23.62,5.02,12.51,469.21,400.59
23.82,5.02,12.50,478.98,400.81
24.02,5.02,12.51,488.76,400.59
24.22,5.02,12.50,498.53,400.81
24.42,5.02,12.50,459.43,400.81
24.62,5.02,12.50,478.98,400.81
24.82,5.02,12.51,469.21,400.59
25.02,5.02,12.51,439.88,400.59
25.22,5.02,12.51,410.56,400.59
25.42,5.02,12.51,420.33,400.59
25.62,5.02,12.50,430.11,400.81
25.82,5.02,12.51,400.78,400.59
26.02,5.02,12.51,400.78,400.59
26.22,5.02,12.52,410.56,400.38
26.42,5.02,12.51,400.78,400.59
26.62,5.02,12.51,400.78,400.59
26.82,5.02,12.51,381.23,400.59
27.02,5.02,12.51,400.78,400.59
27.22,5.02,12.51,381.23,400.59
27.42,5.02,12.50,430.11,400.81
27.62,5.02,12.52,420.33,400.38
27.82,5.02,12.51,459.43,400.59
28.02,5.02,12.50,488.76,400.81
28.22,5.02,12.51,547.41,400.59
28.42,5.02,12.51,615.84,400.59
28.62,5.02,12.50,674.49,400.81
28.82,5.02,12.50,762.46,400.81
29.02,5.02,12.52,821.11,400.38
29.22,5.02,12.51,821.11,400.59
29.42,5.02,12.51,772.24,400.59
29.62,5.02,12.50,752.69,400.81
29.82,5.02,12.50,684.26,400.81
30.02,5.02,12.51,635.39,400.59
30.22,5.01,12.50,596.29,400.44
30.42,5.02,12.51,557.18,400.59
30.62,5.02,12.51,537.63,400.59
30.82,5.02,12.50,498.53,400.81
31.02,5.02,12.50,518.08,400.81
31.22,5.02,12.51,537.63,400.59
31.42,5.02,12.51,537.63,400.59
31.62,5.02,12.51,527.86,400.59
31.82,5.02,12.51,537.63,400.59
32.02,5.02,12.50,586.51,400.81
32.22,5.02,12.48,566.96,401.02
32.42,5.02,12.51,537.63,400.59
32.62,5.02,12.51,518.08,400.59
32.82,5.02,12.50,508.31,400.81
33.02,5.02,12.50,508.31,400.81
33.22,5.02,12.51,478.98,400.59
33.42,5.02,12.50,488.76,400.81
33.62,5.02,12.50,439.88,400.81
33.82,5.02,12.50,439.88,400.81
34.02,5.02,12.52,430.11,400.38
34.22,5.02,12.51,439.88,400.59
34.42,5.02,12.48,430.11,401.02
34.62,5.02,12.51,439.88,400.59
34.82,5.02,12.52,478.98,400.38
