# material: stock petg
# geometry: cyl
# preform_diameter: 20.0
# material_color: clear
# temperature_C: 160.0
# drawdown_ratio: 50.0
# trial_number: 021
# operator: Kevin Liu
# start_time: 2025-07-28 12:44:25
# notes: see 020
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,5.02,12.51,263.93,400.59
1.42,5.01,12.50,234.60,400.44
1.62,5.02,12.51,273.70,400.59
1.82,5.01,12.50,283.48,400.44
2.02,5.02,12.51,303.03,400.59
2.22,5.02,12.51,312.81,400.59
2.42,5.02,12.50,312.81,400.81
2.62,5.02,12.51,361.68,400.59
2.82,5.02,12.51,381.23,400.59
3.02,5.02,12.51,420.33,400.59
3.22,5.02,12.51,439.88,400.59
3.42,5.02,12.51,478.98,400.59
3.62,5.02,12.51,518.08,400.59
3.82,5.02,12.50,508.31,400.81
4.02,5.02,12.51,469.21,400.59
4.22,5.02,12.50,430.11,400.81
4.42,5.02,12.51,391.01,400.59
4.62,5.02,12.51,391.01,400.59
4.82,5.02,12.51,400.78,400.59
5.02,5.02,12.50,391.01,400.81
5.22,5.02,12.51,361.68,400.59
5.42,5.02,12.51,312.81,400.59
5.62,5.02,12.51,322.58,400.59
5.82,5.02,12.51,342.13,400.59
6.02,5.02,12.51,332.36,400.59
6.22,5.01,12.51,312.81,400.22
6.42,5.02,12.50,322.58,400.81
6.62,5.02,12.50,312.81,400.81
6.82,5.02,12.51,342.13,400.59
7.02,5.02,12.50,351.91,400.81
7.22,5.02,12.51,332.36,400.59
7.42,5.02,12.50,303.03,400.81
7.62,5.02,12.51,293.26,400.59
7.82,5.02,12.50,293.26,400.81
8.02,5.02,12.50,283.48,400.81
8.22,5.02,12.52,293.26,400.38
8.42,5.02,12.51,293.26,400.59
8.62,5.02,12.50,273.70,400.81
8.82,5.02,12.51,303.03,400.59
9.02,5.02,12.51,293.26,400.59
9.22,5.02,12.51,303.03,400.59
9.42,5.02,12.51,312.81,400.59
9.62,5.02,12.51,303.03,400.59
9.82,5.02,12.51,303.03,400.59
10.02,5.03,12.51,303.03,400.96
10.22,5.02,12.51,283.48,400.59
10.42,5.02,12.51,273.70,400.59
10.62,5.02,12.52,263.93,400.38
10.82,5.02,12.51,273.70,400.59
11.02,5.01,12.50,283.48,400.44
11.22,5.02,12.50,293.26,400.81
11.42,5.02,12.51,273.70,400.59
11.62,5.02,12.51,273.70,400.59
11.82,5.02,12.51,263.93,400.59
12.02,5.02,12.50,244.38,400.81
12.22,5.02,12.50,244.38,400.81
12.42,5.01,12.50,234.60,400.44
12.62,5.02,12.50,234.60,400.81
12.82,5.02,12.51,205.28,400.59
13.02,5.02,12.50,215.05,400.81
13.22,5.02,12.51,205.28,400.59
13.42,5.02,12.50,215.05,400.81
13.62,5.02,12.51,195.50,400.59
13.82,5.02,12.51,205.28,400.59
14.02,5.02,12.51,205.28,400.59
14.22,5.02,12.50,195.50,400.81
14.42,5.02,12.51,195.50,400.59
14.62,5.02,12.50,175.95,400.81
14.82,5.02,12.51,175.95,400.59
15.02,5.02,12.52,185.73,400.38
15.22,5.02,12.50,185.73,400.81
15.42,5.02,12.51,215.05,400.59
15.62,5.02,12.50,224.83,400.81
15.82,5.02,12.51,224.83,400.59
16.02,5.02,12.51,205.28,400.59
16.22,5.02,12.51,195.50,400.59
16.42,5.02,12.51,205.28,400.59
16.62,5.01,12.51,185.73,400.22
16.82,5.02,12.50,205.28,400.81
17.02,5.01,12.51,166.18,400.22
17.22,5.02,12.51,175.95,400.59
17.42,5.02,12.50,175.95,400.81
17.62,5.02,12.50,175.95,400.81
17.82,5.02,12.51,166.18,400.59
18.02,5.02,12.51,185.73,400.59
18.22,5.02,12.50,195.50,400.81
18.42,5.02,12.50,195.50,400.81
18.62,5.02,12.51,215.05,400.59
18.82,5.02,12.51,185.73,400.59
19.02,5.02,12.50,224.83,400.81
19.22,5.02,12.50,224.83,400.81
19.42,5.02,12.51,215.05,400.59
19.62,5.02,12.51,234.60,400.59
19.82,5.02,12.50,215.05,400.81
20.02,5.02,12.50,224.83,400.81
20.22,5.02,12.50,234.60,400.81
20.42,5.02,12.51,224.83,400.59
20.62,5.01,12.51,205.28,400.22
20.82,5.02,12.50,224.83,400.81
21.02,5.02,12.50,234.60,400.81
21.22,5.02,12.51,254.15,400.59
21.42,5.02,12.51,215.05,400.59
21.62,5.02,12.50,224.83,400.81
21.82,5.01,12.51,205.28,400.22
22.02,5.02,12.51,244.38,400.59
22.22,5.02,12.52,205.28,400.38
22.42,5.02,12.50,215.05,400.81
22.62,5.02,12.52,215.05,400.38
22.82,5.02,12.50,224.83,400.81
23.02,5.02,12.52,215.05,400.38
23.22,5.02,12.50,205.28,400.81
23.42,5.02,12.50,195.50,400.81
23.62,5.02,12.50,215.05,400.81
23.82,5.02,12.51,195.50,400.59
24.02,5.01,12.50,215.05,400.44
24.22,5.02,12.51,185.73,400.59
24.42,5.02,12.50,205.28,400.81
24.62,5.02,12.51,195.50,400.59
24.82,5.02,12.51,185.73,400.59
25.02,5.02,12.51,175.95,400.59
25.22,5.02,12.50,195.50,400.81
25.42,5.02,12.52,166.18,400.38
25.62,5.02,12.50,185.73,400.81
25.82,5.02,12.51,175.95,400.59
26.02,5.02,12.50,185.73,400.81
26.22,5.02,12.51,185.73,400.59
26.42,5.02,12.51,195.50,400.59
26.62,5.01,12.51,195.50,400.22
26.82,5.02,12.52,156.40,400.38
27.02,5.01,12.51,175.95,400.22
27.22,5.02,12.51,195.50,400.59
27.42,5.02,12.51,185.73,400.59
27.62,5.02,12.51,195.50,400.59
27.82,5.02,12.48,205.28,401.02
28.02,5.02,12.52,175.95,400.38
28.22,5.02,12.50,185.73,400.81
28.42,5.02,12.52,175.95,400.38
28.62,5.02,12.51,185.73,400.59
28.82,5.02,12.51,156.40,400.59
29.02,5.02,12.50,175.95,400.81
29.22,5.02,12.51,156.40,400.59
29.42,5.02,12.50,185.73,400.81
29.62,5.02,12.51,156.40,400.59
29.82,5.02,12.51,185.73,400.59
30.02,5.02,12.52,166.18,400.38
30.22,5.02,12.51,195.50,400.59
30.42,5.02,12.51,195.50,400.59
30.62,5.02,12.50,175.95,400.81
30.82,5.02,12.51,166.18,400.59
31.02,5.02,12.51,166.18,400.59
31.22,5.02,12.51,166.18,400.59
31.42,5.02,12.52,166.18,400.38
31.62,5.02,12.51,166.18,400.59
31.82,5.02,12.51,156.40,400.59
32.02,5.02,12.51,166.18,400.59
32.22,5.02,12.52,156.40,400.38
32.42,5.02,12.50,185.73,400.81
32.62,5.02,12.51,175.95,400.59
