# material: PETG
# geometry: cyl
# preform_diameter: 20.0
# material_color: black
# temperature_C: 
# drawdown_ratio: 
# trial_number: 001
# operator: Kevin Liu
# start_time: 2025-06-25 12:50:14
# notes: THICK FIBER; fan cooled; 
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,8.58,1.23,2072.34,1667.58
1.42,8.58,1.22,2052.79,1676.72
1.62,8.58,1.22,2043.01,1675.81
1.82,8.58,1.23,2072.34,1667.58
2.02,8.58,1.25,1974.58,1658.59
2.22,8.58,1.23,1798.63,1666.68
2.42,8.58,1.22,1749.76,1675.81
2.62,8.59,1.25,1720.43,1659.49
2.82,8.58,1.23,0.00,1667.58
3.02,8.58,1.23,1515.15,1666.68
3.22,8.58,1.22,1524.93,1676.72
3.42,8.58,1.23,1485.83,1666.68
3.62,8.58,1.23,1476.05,1667.58
3.82,8.58,1.23,1495.60,1667.58
4.02,8.58,1.25,1544.48,1657.69
4.22,8.58,1.23,1612.90,1666.68
4.42,8.58,1.25,1681.33,1657.69
4.62,8.58,1.25,1691.10,1658.59
4.82,8.58,1.23,1710.65,1667.58
5.02,8.58,1.23,1730.21,1666.68
5.22,8.58,1.22,1720.43,1676.72
5.42,8.58,1.25,1759.53,1657.69
5.62,8.58,1.23,1808.41,1666.68
5.82,8.58,1.23,1818.18,1667.58
6.02,8.58,1.23,1818.18,1666.68
6.22,8.58,1.25,2023.46,1657.69
6.42,8.58,1.22,1964.81,1676.72
6.62,8.58,1.23,2072.34,1666.68
6.82,8.58,1.23,2326.49,1667.58
7.02,8.58,1.25,2140.76,1658.59
7.22,8.58,1.22,2101.66,1675.81
7.42,8.58,1.21,2033.24,1686.01
7.62,8.58,1.23,2052.79,1667.58
7.82,8.58,1.23,2091.89,1667.58
8.02,8.58,1.23,2160.31,1667.58
8.22,8.58,1.23,2170.09,1666.68
8.42,8.58,1.23,2111.44,1667.58
8.62,8.57,1.23,2082.11,1665.77
8.82,8.58,1.25,1876.83,1657.69
9.02,8.58,1.23,1769.31,1667.58
9.22,8.58,1.23,1739.98,1667.58
9.42,8.58,1.23,1759.53,1666.68
9.62,8.58,1.22,1818.18,1676.72
9.82,8.58,1.23,1906.16,1666.68
10.02,8.58,1.22,1925.71,1676.72
10.22,8.58,1.22,1984.36,1676.72
10.42,8.58,1.25,2052.79,1658.59
10.62,8.58,1.22,1964.81,1675.81
10.82,8.58,1.23,1749.76,1666.68
11.02,8.58,1.22,1642.23,1676.72
11.22,8.58,1.22,1642.23,1676.72
11.42,8.58,1.25,1652.00,1657.69
11.62,8.59,1.23,1603.13,1668.49
11.82,8.58,1.23,1534.70,1667.58
12.02,8.58,1.21,1583.58,1686.01
12.22,8.58,1.22,1593.35,1676.72
12.42,8.58,1.23,1632.45,1667.58
12.62,8.58,1.25,1681.33,1658.59
12.82,8.58,1.23,1779.08,1667.58
13.02,8.58,1.23,1906.16,1667.58
13.22,8.58,1.23,2121.21,1666.68
13.42,8.58,1.23,2209.19,1666.68
13.62,8.58,1.23,2209.19,1667.58
13.82,8.58,1.22,2111.44,1676.72
14.02,8.58,1.22,2082.11,1675.81
14.22,8.58,1.22,1925.71,1676.72
14.42,8.58,1.25,1886.61,1658.59
14.62,8.58,1.23,1818.18,1666.68
14.82,8.58,1.23,1915.93,1667.58
15.02,8.58,1.23,2091.89,1666.68
15.22,8.58,1.23,2228.74,1667.58
15.42,8.58,1.22,2473.12,1675.81
15.62,8.58,1.23,2179.86,1667.58
15.82,8.58,1.22,2101.66,1676.72
16.02,8.58,1.23,2101.66,1666.68
16.22,8.58,1.22,2121.21,1676.72
16.42,8.58,1.23,2238.51,1667.58
16.62,8.58,1.23,2316.72,1666.68
16.82,8.58,1.23,2316.72,1667.58
17.02,8.58,1.23,2277.61,1666.68
17.22,8.58,1.23,2199.41,1667.58
17.42,8.58,1.23,2179.86,1666.68
17.62,8.58,1.23,2121.21,1667.58
17.82,8.58,1.22,2189.64,1676.72
18.02,8.58,1.22,2316.72,1676.72
18.22,8.58,1.22,2365.59,1676.72
18.42,8.58,1.23,2336.27,1667.58
18.62,8.58,1.25,2130.99,1657.69
18.82,8.58,1.23,1935.48,1666.68
19.02,8.58,1.25,1886.61,1657.69
19.22,8.58,1.23,1896.38,1667.58
19.42,8.58,1.23,1955.03,1666.68
19.62,8.58,1.23,2091.89,1666.68
19.82,8.58,1.22,2306.94,1676.72
20.02,8.58,1.22,2414.47,1675.81
20.22,8.58,1.23,2287.39,1667.58
20.42,8.58,1.23,2160.31,1666.68
20.62,8.58,1.25,2091.89,1657.69
20.82,8.58,1.23,2072.34,1667.58
21.02,8.58,1.23,2170.09,1667.58
21.22,8.58,1.23,2346.04,1667.58
21.42,8.58,1.23,2346.04,1667.58
21.62,8.58,1.23,2394.92,1667.58
21.82,8.58,1.22,2316.72,1676.72
22.02,8.58,1.25,2189.64,1657.69
22.22,8.58,1.23,2209.19,1666.68
22.42,8.58,1.21,2258.06,1686.01
22.62,8.58,1.23,2326.49,1667.58
22.82,8.58,1.25,2326.49,1657.69
23.02,8.58,1.23,2365.59,1666.68
23.22,8.58,1.23,2287.39,1667.58
23.42,8.58,1.22,2228.74,1676.72
23.62,8.58,1.23,2140.76,1667.58
23.82,8.59,1.22,2101.66,1677.63
24.02,8.57,1.25,2150.54,1656.79
24.22,8.58,1.25,2287.39,1657.69
24.42,8.58,1.23,2375.37,1667.58
24.62,8.58,1.23,2394.92,1667.58
24.82,8.58,1.25,2316.72,1657.69
25.02,8.58,1.23,2238.51,1666.68
25.22,8.58,1.25,2258.06,1658.59
25.42,8.58,1.21,2297.16,1685.10
25.62,8.58,1.23,2326.49,1666.68
25.82,8.58,1.22,2434.02,1675.81
26.02,8.59,1.25,2492.67,1659.49
26.22,8.58,1.23,2512.22,1667.58
26.42,8.58,1.22,2385.14,1676.72
26.62,8.58,1.25,2238.51,1657.69
26.82,8.58,1.22,2179.86,1675.81
27.02,8.57,1.22,2160.31,1674.90
